"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"25","2016_Q2",109.52125,"Up",1.952e+09,-1223300000,728700000,-438700000,-387600000,-5.3e+07,1900000,2.9e+08,-44300000,-44400000,1e+05,245700000,-22900000,222800000,-86400000,136400000,136400000,136400000,136400000,133600000,133600000,507900000,507900000,1150800000,233200000,233200000,2025500000,1656800000,2726400000,-1069600000,13076100000,6001400000,6891700000,1.83e+08,14732900000,16758400000,460600000,347100000,113500000,295900000,295900000,1059100000,5694700000,2874600000,2522200000,352400000,8569300000,9628400000,6046900000,1.214e+09,-130900000,7.13e+09,7.13e+09,16758400000,136400000,108700000,4600000,57300000,3.07e+08,-5.3e+07,7e+06,-38100000,-76400000,-173400000,-6900000,-6900000,5e+05,-256200000,12700000,12700000,-4700000,8e+06,398700000,5997300000,489400000,0.37331,0.14857,0.06988,0.01913,0.00814,3.58798,1.91247,1.35041,0.35787,1.14535,1.14523,16.391,59.87081,4.10951,0.64153,0.0133,0.03058,0.56012,14.70705,20.21966
"26","2016_Q3",121.44671875,"Up",2077700000,-1290400000,787300000,-442900000,-389800000,-5.3e+07,-100000.000000002,344400000,-44200000,-42600000,-1600000,300200000,-30600000,269600000,-93600000,1.76e+08,1.76e+08,1.76e+08,1.76e+08,1.39e+08,1.39e+08,605400000,605400000,1051400000,210200000,210200000,2.006e+09,1661500000,2776300000,-1114800000,13027300000,6001700000,6839200000,186400000,14688800000,16694800000,481900000,341400000,140500000,280800000,280800000,1132700000,5494500000,2834400000,2477300000,357100000,8328900000,9461600000,6052100000,1309900000,-128800000,7233200000,7233200000,16694800000,1.76e+08,107700000,10200000,-18400000,275500000,-64200000,6300000,-57900000.0000001,-80100000,-132600000,-5e+05,-5e+05,-7.45058059692383e-09,-213200000,4400000,4400000,1e+06,5400000,452100000,5864500000,463100000,0.37893,0.16576,0.08471,0.02433,0.01054,2.63125,1.77099,1.30808,0.35128,1.47701,1.47689,17.43633,60.70196,3.8864,0.67221,0.01607,0.02907,0.45511,12.66423,16.62456
"27","2016_Q4",107.823333333333,"Down",1973900000,-1210100000,763800000,-404100000,-381100000,-52200000,29200000,359700000,-4.3e+07,-43600000,6e+05,316700000,-41400000,275300000,-9e+07,185300000,185300000,185300000,185300000,140500000,140500000,503800000,503800000,9.42e+08,212100000,212100000,1798400000,1623900000,2756700000,-1132800000,12859200000,5944900000,6.715e+09,199300000,14483100000,16281500000,516300000,3.71e+08,145300000,351700000,351700000,1.006e+09,5146300000,2803700000,2461800000,341900000,7.95e+09,8.956e+09,6057300000,1.415e+09,-146800000,7325500000,7325500000,16281500000,185300000,107300000,-13300000,2.63e+08,542300000,-43400000,170100000,126700000,-8e+07,-5.82e+08,-4e+05,-4e+05,1e+05,-662300000,6700000,6700000,-5200000,1500000,4.67e+08,5284300000,776600000,0.38695,0.18223,0.09388,0.0253,0.01138,4.19104,1.78767,1.22258,0.32456,1.55497,1.55428,16.5642,61.47274,6.51692,0.67133,0.01721,0.05038,0.43173,11.01456,14.30025
"28","2017_Q1",113.717096774194,"Up",1807600000,-1119600000,6.88e+08,-400900000,-351800000,-50200000,1100000,287100000,-35900000,-40500000,4600000,251200000,-4.1e+07,210200000,-19200000,1.91e+08,1.91e+08,1.91e+08,1.91e+08,109800000,109800000,450100000,450100000,899400000,114100000,114100000,1573400000,1627700000,2804300000,-1176600000,1.2783e+10,6091100000,6494400000,197500000,14410700000,15984100000,789200000,459400000,251900000,139800000,139800000,1.213e+09,5.146e+09,2616600000,2230300000,88100000,7762600000,8975600000,5889200000,1267700000,-148400000,7008500000,7008500000,15984100000,1.91e+08,106400000,-92600000,131400000,336200000,-36800000,27800000,-9000000.00000003,-80100000,1.46e+08,-433300000,-433300000,2e+05,-367200000,-4e+07,-4e+07,9300000,-30700000,393500000,5.43e+09,507300000,0.38062,0.15883,0.10566,0.02725,0.01195,2.65602,1.29711,1.28067,0.33971,1.61612,1.61389,15.29475,59.30142,4.29245,0.67775,0.01801,0.0337,0.41937,13.5202,18.53083
"29","2017_Q2",106.327142857143,"Down",1815800000,-1093100000,722700000,-406700000,-3.56e+08,-51700000,1e+06,3.16e+08,-40400000,-41500000,1100000,275600000,-22200000,253400000,-83400000,1.7e+08,1.7e+08,1.7e+08,1.7e+08,109600000,109600000,5.23e+08,5.23e+08,1014600000,93500000,93500000,1740700000,1598500000,2823900000,-1225400000,12722600000,6084600000,6440500000,197500000,14321100000,16061800000,628300000,4.52e+08,176300000,354100000,354100000,1288400000,5045700000,2631800000,2245100000,386700000,7677500000,8965900000,5898300000,1343500000,-145900000,7095900000,7095900000,16061800000,1.7e+08,105700000,8e+06,-44800000,238900000,-50200000,-12300000,-62500000,-77800000,-7.8e+07,-18100000,-18100000,7e+05,-173200000,3200000,3200000,-3400000,-2e+05,421700000,5351700000,410100000,0.39801,0.17403,0.09362,0.02396,0.01058,2.41235,1.35106,1.26353,0.33319,1.46798,1.4662,15.6798,61.27452,3.5413,0.67182,0.01643,0.0272,0.45765,12.43088,16.58892
"30","2017_Q3",96.6993650793651,"Down",1913900000,-1.171e+09,742900000,-4.13e+08,-363100000,-51800000,1900000,329900000,-37800000,-4.1e+07,3200000,292100000,-26600000,265500000,-88200000,177300000,177300000,177300000,177300000,121800000,121800000,517800000,517800000,1028400000,137200000,137200000,1805200000,1586700000,2860700000,-1.274e+09,12666300000,6.08e+09,6387300000,1.99e+08,1.4253e+10,16058200000,615800000,435800000,1.8e+08,284500000,284500000,1306300000,4945400000,2626400000,2.245e+09,381400000,7571800000,8878100000,5902800000,1433400000,-156100000,7180100000,7180100000,16058200000,177300000,104800000,7200000.00000001,-152900000,136400000,-33800000,0,-33800000,-87100000,0,-7e+05,-700000.00000006,-1e+05,-87900000,14700000,14700000,-2500000,12200000,434700000,5351400000,336200000,0.38816,0.17237,0.09264,0.02469,0.01104,1.89622,1.38192,1.23649,0.33325,1.52852,1.52833,16.49986,61.90012,2.8984,0.75089,0.01744,0.02218,0.49126,12.03037,15.85208
"31","2017_Q4",94.7368253968254,"Down",1878800000,-1155900000,722900000,-391500000,-337200000,-51700000,-2600000,331400000,-40100000,-40300000,2e+05,291300000,-93700000,197600000,-6.3e+07,134600000,134600000,134600000,134600000,139600000,139600000,421400000,421400000,995600000,134300000,134300000,1690900000,1574300000,2900500000,-1326200000,12546500000,6084700000,6.262e+09,199800000,14120800000,15811700000,576100000,428500000,147600000,279100000,279100000,997200000,4.945e+09,2627600000,2246300000,381300000,7572600000,8569800000,5907600000,1480700000,-146400000,7241900000,7241900000,15811700000,134600000,104300000,80300000,100300000,419500000,-52200000,4e+05,-51800000,-87200000,-2.64e+08,-2e+05,-2e+05,1e+05,-351300000,16400000,16400000,1400000,17800000,435700000,5.087e+09,546800000,0.38477,0.17639,0.07164,0.01859,0.00851,4.06241,1.69565,1.18336,0.32172,1.16256,1.16073,16.22749,62.54941,4.7228,0.75316,0.01483,0.03656,0.64785,11.35506,14.92879
"32","2018_Q1",107.218196721311,"Up",1783800000,-1.137e+09,646800000,-371400000,-323300000,-52100000,4e+06,275400000,-45900000,-40300000,-5600000,229500000,-67600000,161900000,-51500000,110400000,110400000,110400000,110400000,166800000,166800000,438700000,438700000,905700000,130600000,130600000,1641800000,1617500000,2981700000,-1364200000,12380400000,6077100000,6149900000,153400000,13997900000,15639700000,756500000,477200000,194200000,123100000,123100000,1832600000,4445500000,2511400000,2.167e+09,8.8e+07,6956900000,8789500000,5753100000,1240500000,-143400000,6850200000,6850200000,15639700000,110400000,104200000,-43600000,93200000,264200000,-55700000,14100000,-41600000,-87200000,3.12e+08,-418600000,-418600000,1e+05,-193700000,28900000,28900000,-1700000,27200000,379600000,5398500000,468600000,0.3626,0.15439,0.06189,0.01612,0.00706,4.24457,0.89589,1.2831,0.34518,0.96582,0.96506,15.60538,59.92824,4.0995,0.76286,0.01339,0.03175,0.78986,13.78214,18.99673
"33","2018_Q2",97.0325,"Down",1748900000,-1086800000,662100000,-399800000,-348800000,-51500000,5e+05,262300000,-46200000,-4.2e+07,-4200000,216100000,-27100000,1.89e+08,-62200000,126800000,126800000,126800000,126800000,183200000,183200000,433700000,433700000,981300000,93900000,93900000,1692100000,1595700000,3012600000,-1416900000,12353800000,6092100000,6104300000,157400000,13949500000,15641600000,6.4e+08,477600000,162400000,327700000,327700000,1750900000,4444800000,2.514e+09,2170100000,343900000,6958800000,8709700000,5760800000,1277800000,-106700000,6931900000,6931900000,15641600000,126800000,1.06e+08,6600000,64900000,304300000,-69600000,31500000,-38100000,-84900000,-170100000,-6600000,-6600000,1500000,-260100000,6100000,6100000,10300000,16400000,368300000,5.228e+09,425800000,0.37858,0.14998,0.0725,0.01829,0.00811,3.35804,0.96642,1.25647,0.33424,1.12312,1.12212,15.4907,61.39858,3.77148,0.75199,0.01443,0.02902,0.66956,13.69753,19.23294
"34","2018_Q3",95.015873015873,"Down",1923600000,-1168600000,7.55e+08,-413200000,-359500000,-51600000,-2100000,341800000,-40300000,-41600000,1300000,301500000,-9700000,291800000,-97200000,194600000,194600000,194600000,194600000,180300000,180300000,481600000,481600000,1011700000,112200000,112200000,1785800000,1615700000,3077700000,-1.462e+09,12300500000,6086500000,6051100000,162900000,13916200000,1.5702e+10,645600000,507400000,138200000,245400000,245400000,1854500000,4294100000,2517100000,2172200000,344900000,6811200000,8665700000,5766200000,1383800000,-113700000,7036300000,7036300000,1.5702e+10,194600000,102200000,7600000.00000003,-174100000,130300000,-60400000,-7800000,-68200000,-88500000,30100000.0000001,-1e+05,-99999.9999999404,-2600000,-61100000.0000001,1e+06,1e+06,-3900000,-2900000,4.44e+08,5257600000,306700000,0.39249,0.17769,0.10116,0.02766,0.01239,1.57605,0.96295,1.23157,0.33484,1.7206,1.72212,17.00796,62.21309,2.71176,0.78249,0.01911,0.02071,0.45478,11.43536,14.85459
"35","2018_Q4",91.5165079365079,"Down",1903300000,-1174800000,728500000,-3.82e+08,-330600000,-51600000,2e+05,346500000,-4.8e+07,-43100000,-4900000,298500000,-182500000,1.16e+08,715300000,831300000,831300000,831300000,831300000,186200000,186200000,422700000,422700000,909100000,91900000,91900000,1609900000,1633700000,3129800000,-1496100000,12085600000,5949400000,5970800000,165400000,13719300000,15329200000,588500000,471200000,117300000,247400000,247400000,1089900000,4688500000,1746600000,1380600000,3.66e+08,6435100000,7.525e+09,5768600000,2126700000,-91100000,7804200000,7804200000,15329200000,831300000,103700000,-635500000,169500000,4.69e+08,-71400000,5900000,-65500000,-8.8e+07,-310700000,-2e+05,-2e+05,-5100000,-4.04e+08,-5e+05,-5e+05,6400000,5900000,450200000,4942500000,-1.67e+08,0.38276,0.18205,0.43677,0.10652,0.05423,-0.20089,1.47711,0.96422,0.32242,7.35664,7.35664,16.84336,69.06372,-1.47788,0.77876,0.06343,-0.01152,0.10586,10.56486,13.7267
"36","2019_Q1",92.3734426229508,"Up",2262200000,-1492100000,770100000,-522900000,-469700000,-85600000,32400000,247200000,-92500000,-81200000,-11300000,154700000,-49899999,104800001,-743100000,-638299999,-638299999,-638299999,-638299999,192600000,192600000,385600000,385600000,854400000,122400000,122400000,1.555e+09,1729100000,3256300000,-1527200000,12017100000,5942200000,5916500000,158400000,13746200000,15301200000,782100000,512100000,181400000,107700000,107700000,1033800000,4.688e+09,1688300000,1377200000,105100000,6376300000,7410100000,5768600000,2239200000,-116700000,7891100000,7891100000,15301200000,-638300000,134400000,709400000,32100000,237600000,-158400000,3.09e+08,-1752400000,-116500000,1532700000,1500000,1500000,6500000,1424200000,-90600000,-90600000,-20100000,-110700000,381600000,4.832e+09,998400000,0.34042,0.10927,-0.28216,-0.08089,-0.04172,-1.56415,1.50416,0.93905,0.31579,-5.64867,-5.64867,20.01947,69.83274,8.8354,1.03097,-0.03621,0.06928,-0.18252,12.15776,18.7678
"37","2019_Q2",108.713174603175,"Up",1902500000,-1224300000,678200000,-443600000,-383300000,-60500000,2e+05,234600000,-53800000,-53600000,-2e+05,180800000,-7700000,173100000,-40100000,1.33e+08,1.33e+08,1.33e+08,1.33e+08,1.92e+08,1.92e+08,504200000,504200000,1017400000,92200000,92200000,1805800000,1827900000,3396300000,-1568400000,13879300000,6621900000,7095100000,162300000,15707200000,1.7513e+10,673700000,532100000,141600000,340300000,340300000,1.544e+09,6184900000,1853300000,1550200000,303100000,8038200000,9582200000,5.774e+09,2275600000,-118800000,7930800000,7930800000,1.7513e+10,1.33e+08,111900000,5700000,-7600000,2.43e+08,-101300000,-25200000,-2031500000,-88400000,1.886e+09,-4700000,-4700000,-2400000,1790500000,2e+06,2e+06,-2600000,-6e+05,346500000,6714900000,277700000,0.35648,0.12331,0.06991,0.01677,0.00759000000000001,2.08797,1.16956,1.20823,0.38342,1.17595,1.17595,16.8214,70.12202,2.45535,0.78161,0.01342,0.01683,0.66466,18.82511,27.80435
"38","2019_Q3",99.94453125,"Down",2021500000,-1250200000,771300000,-415400000,-382400000,-59700000,26700000,355900000,-61100000,-53600000,-7500000,294800000,-25400000,269400000,-80900000,188500000,188500000,188500000,188500000,171200000,171200000,561900000,561900000,966200000,87900000,87900000,1787200000,1818700000,3.343e+09,-1524300000,13568300000,6474700000,6925500000,168100000,1.5387e+10,17174200000,671600000,552400000,119200000,372900000,372900000,1434500000,5885100000,1824600000,1525300000,299300000,7709700000,9144200000,5778800000,2367600000,-116400000,8.03e+09,8.03e+09,17174200000,188500000,111200000,-18800000.0000001,-7.8e+07,202900000,-77800000,388400000,312600000,-96500000,-4.4e+08,-300000.000000001,-300000.000000001,2500000,-534300000,-18800000,-18800000,-2e+06,-20800000,467100000,6275100000,392200000,0.38155,0.17606,0.09325,0.02347,0.01098,2.08064,1.24587,1.13875,0.36538,1.66667,1.66667,17.87356,70.99912,3.46773,0.85323,0.01767,0.02432,0.51194,13.06765,17.1506
"39","2019_Q4",95.69046875,"Down",2011900000,-1238100000,773800000,-430200000,-373100000,-59700000,2600000,343600000,-60400000,-51600000,-8800000,283200000,-1.26e+08,157200000,-35800000,121400000,121400000,121400000,121400000,206500000,206500000,502600000,502600000,924700000,92400000,92400000,1726200000,1847900000,3422900000,-1.575e+09,13353500000,6438900000,6.759e+09,155600000,15201400000,16927600000,636700000,519600000,117100000,376400000,376400000,1816400000,5285800000,1803800000,1449600000,354200000,7089600000,8.906e+09,5782300000,2392600000,-153300000,8021600000,8021600000,16927600000,121400000,110900000,93700000,95100000,421100000,-87600000,-16300000,-103900000,-96500000,-1.86e+08,-2e+05,-2e+05,1e+05,-282600000,34600000,34600000,7e+05,35300000,454500000,6089100000,497800000,0.38461,0.17078,0.06034,0.01513,0.00717,4.10049,0.95034,1.11025,0.35971,1.07339,1.07339,17.78868,70.92485,4.40141,0.85323,0.01369,0.03128,0.79489,12.94301,17.12049
"40","2020_Q1",97.4714516129032,"Up",1865100000,-1086400000,778700000,-420800000,-335500000,-56400000,-28900000,357900000,-21100000,-30400000,9300000,336800000,90200000,4.27e+08,-90400000,336600000,336600000,336600000,336600000,101300000,101300000,503800000,503800000,910300000,109800000,109800000,1625200000,1912400000,3532100000,-1619700000,13173700000,6310900000,6718800000,1.44e+08,15086100000,16711300000,733700000,5.91e+08,142700000,383300000,383300000,2341500000,4686300000,1.713e+09,1398600000,314400000,6399300000,8740800000,5784700000,2367600000,-181800000,7970500000,7970500000,16711300000,336600000,112500000,-217500000,156200000,387800000,-2600000,-349100000,1551300000,-115400000,-1547600000,8100000,1e+06,-7400000,-1662300000,276800000,276800000,-9e+05,275900000,470400000,5910800000,714400000,0.41751,0.19189,0.18047,0.04223,0.02014,2.1224,0.69408,1.09664,0.3537,2.97613,2.97613,16.49072,70.47303,6.31653,1.02034,0.02898,0.04581,0.34284,12.35013,16.23219
"41","2020_Q2",103.251746031746,"Up",1778900000,-1079300000,699600000,-438700000,-380500000,-58800000,6e+05,260900000,-50900000,-49400000,-1500000,2.1e+08,-3300000,206700000,-52100000,154600000,154600000,154600000,154600000,48800000,48800000,473700000,473700000,1013300000,77700000,77700000,1613500000,1909200000,3557800000,-1648600000,13268900000,6313300000,6661100000,294500000,15178100000,16791600000,708400000,503100000,205300000,487500000,487500000,2290800000,4685300000,1807800000,1387200000,420600000,6493100000,8783900000,5802500000,2421900000,-216700000,8007700000,8007700000,16791600000,154600000,109600000,6400000,-49100000,221500000,-7.3e+07,20900000,-52100000,-96500000,-1.3e+08,4100000,-2900000,-2e+05,-222600000,-53200000,-53200000,7e+05,-52500000,370500000,5780200000,300500000,0.39328,0.14666,0.08691,0.01931,0.00921,1.94373,0.70434,1.09693,0.34423,1.36572,1.36452,15.71466,70.7394,2.65459,0.85247,0.0161,0.01927,0.62419,15.46937,21.9678
"42","2020_Q3",103.2490625,"Down",1957800000,-1203800000,7.54e+08,-420900000,-361500000,-58800000,-6e+05,333100000,-50700000,-49100000,-1600000,282400000,-3300000,279100000,-67900000,211200000,211200000,211200000,211200000,48800000,48800000,522400000,522400000,1013300000,74700000,74700000,1659200000,1915500000,3602600000,-1687100000,13216300000,6313600000,6602700000,3e+08,15131800000,1.6791e+10,7.36e+08,521800000,214200000,446700000,446700000,2310100000,4584500000,1801100000,1377600000,423500000,6385600000,8695700000,5810700000,2.533e+09,-248400000,8095300000,8095300000,1.6791e+10,211200000,111400000,13900000,-112500000,2.24e+08,-63400000,11300000,-52100000.0000002,-100100000,-72900000,-6e+05,-6e+05,1e+06,-172600000,-700000.00000006,-700000.00000006,7e+05,0,444500000,5711900000,336500000,0.38513,0.17014,0.10788,0.02609,0.01258,1.59328,0.71824,1.07417,0.34018,1.86243,1.86408,17.26455,71.38713,2.96737,0.88272,0.01994,0.02156,0.47396,12.74038,17.0012
"43","2020_Q4",108.485625,"Up",1972300000,-1212300000,7.6e+08,-415300000,-358900000,-58800000,2400000,344700000,-46500000,-45100000,-1400000,298200000,-55700000,242500000,-55100000,187400000,187400000,187400000,187400000,74400000,74400000,477300000,477300000,958800000,92200000,92200000,1602700000,1911700000,3645800000,-1734100000,13121800000,6312800000,6491400000,317600000,15033500000,16636200000,773700000,5.75e+08,198700000,493900000,493900000,2077400000,4583300000,1805100000,1364200000,440900000,6388400000,8465800000,5816200000,2620500000,-266300000,8170400000,8170400000,16636200000,187400000,112100000,67800000,154300000,521600000,-56500000,-16900000,-73400000,-100100000,-319700000,-8e+05,-8e+05,-3e+05,-420900000,27300000,27300000,-1700000,25600000,456800000,5393100000,609700000,0.38534,0.17477,0.09502,0.02294,0.01126,3.25347,0.77149,1.03615,0.32418,1.65402,1.65402,17.40777,72.11297,5.38129,0.8835,0.01871,0.03967,0.53415,11.64339,15.42994
"44","2021_Q1",111.060819672131,"Up",2.092e+09,-1303600000,788400000,-435100000,-373400000,-59900000,-1800000,353300000,-48300000,-45600000,-2700000,3.05e+08,-6600000,298400000,-72100000,226300000,226300000,226300000,226300000,391100000,391100000,551400000,551400000,895300000,134900000,134900000,1972700000,1969400000,3738300000,-1768900000,13028300000,6304500000,6.429e+09,294800000,14997700000,16970400000,1149600000,7.82e+08,267300000,189500000,189500000,1587100000,5373300000,1819100000,1351600000,218200000,7192400000,8779500000,5823100000,2746800000,-3.79e+08,8190900000,8190900000,16970400000,226300000,113400000,-2.25e+08,1.73e+08,287700000,-76400000,-17500000,-93900000,-100100000,2.35e+08,2e+05,100000.000000002,-7700000,127400000,321200000,321200000,-4500000,316700000,466700000,5621300000,635400000,0.37686,0.16888,0.10817,0.02763,0.01333,2.80778,1.24296,1.07186,0.33124,1.99033,1.99033,18.3993,72.03958,5.58839,0.88039,0.02088,0.04065,0.44233,11.20677,14.80385
"45","2021_Q2",125.825873015873,"Up",1971800000,-1196400000,775400000,-414300000,-357500000,-59600000,2800000,361100000,-47500000,-46100000,-1400000,313600000,31012751.200936,313600000,-76600000,2.37e+08,2.37e+08,2.37e+08,2.37e+08,396600000,396600000,497600000,497600000,9.95e+08,95600000,95600000,1984800000,1948600000,3769400000,-1820800000,12968900000,6310700000,6371600000,286600000,14917500000,16902300000,968900000,780600000,188300000,408400000,408400000,2073100000,4672800000,1811200000,1353900000,457300000,6.484e+09,8557100000,5823800000,2882300000,-360900000,8345200000,8345200000,16902300000,2.37e+08,113700000,9700000,48600000,4.09e+08,-76600000,27400000,-49200000,-100100000,-252200000,-4600000,-4600000,-4e+05,-357300000,2500000,2500000,3e+06,5500000,474800000,5368600000,523400000,0.39324,0.18313,0.12019,0.0284,0.01402,2.20844,0.95741,1.02539,0.31763,2.08811,2.08811,17.37269,73.52599,4.61145,0.88194,0.02171,0.03371,0.42236,10.47178,13.76904
"46","2021_Q3",121.299375,"Down",2.034e+09,-1215800000,818200000,-437400000,-382800000,-59500000,4900000,380800000,-77300000,-45100000,-32200000,303500000,25891052.4928671,303500000,-72700000,230800000,230800000,230800000,230800000,405600000,405600000,5.77e+08,5.77e+08,993800000,90700000,90700000,2067100000,1956300000,3822100000,-1865800000,12906300000,6311800000,6312800000,281700000,14862600000,16929700000,1115800000,857200000,258600000,339700000,339700000,2692800000,3914500000,1807400000,1357100000,450300000,5721900000,8414700000,5831600000,3010900000,-327500000,8.515e+09,8.515e+09,16929700000,230800000,113600000,41600000,-7300000,378700000,-52400000,7e+05,-51700000,-102300000,-216100000,-900000.000000015,-1599999.99999999,799999.999999999,-318500000,8499999.99999994,8499999.99999994,5e+05,9000000.00000006,494400000,5151800000,507400000,0.40226,0.18722,0.11347,0.02711,0.01363,2.19844,0.76764,0.98822,0.30431,2.0299,2.0299,17.88918,74.89006,4.46262,0.89974,0.02153,0.03279,0.44324,9.59992,12.46376
"47","2021_Q4",122.65578125,"Up",2076700000,-1267300000,809400000,-401500000,-371700000,-5.7e+07,27200000,407900000,-44700000,-43500000,-1200000,363200000,-1699999.99999999,361500000,-1e+08,261500000,261500000,261500000,261500000,501500000,501500000,604900000,604900000,897900000,74400000,74400000,2078700000,1937800000,3747300000,-1809500000,12412900000,6016900000,6099400000,296600000,14350700000,16429400000,1143100000,896700000,246400000,467900000,467900000,2532400000,3915300000,1770100000,1302900000,467200000,5685400000,8217800000,5.619e+09,2896100000,-303500000,8211600000,8211600000,16429400000,261500000,110500000,-15200000,129500000,486300000,-69700000,589700000,5.2e+08,-102400000,-314100000,-497900000,-497900000,-4e+05,-914800000,91500000,91500000,4400000,95900000,518400000,4836700000,678200000,0.38975,0.19642,0.12592,0.03185,0.01592,2.5935,0.82084,1.00076,0.29439,2.33274,2.33274,18.52542,73.25245,6.04996,0.91347,0.02456,0.04577,0.39159,8.36265,10.6281
"48","2022_Q1",132.053870967742,"Up",1920200000,-1184500000,735700000,-474200000,-411100000,-56900000,-6200000,261500000,-45400000,-42400000,-3e+06,216100000,-22800000,193300000,-46300000,1.47e+08,1.47e+08,1.47e+08,1.47e+08,334300000,334300000,533700000,533700000,959900000,113800000,113800000,1941700000,2001500000,3843300000,-1841800000,12340999999,6023600000,6041200000,276199999,14342499999,16284199999,1471999999,1034099999,340500000,160600000,160600000,2867499999,3516800000,1775100000,1349300000,209600000,5291900000,8159399999,5554700000,2847500000,-277400000,8124800000,8124800000,16284199999,1.47e+08,114700000,-1500000,30799999,290999999,-1.08e+08,0,-1.08e+08,-98400000,-8.4e+07,-170500000,-174300000,-4e+05,-353300000,-170300001,-170300001,3100000,-167200001,376200000,4751700000,345299999,0.38314,0.13618,0.07655,0.01809,0.00903,2.34898,0.67714,1.00426,0.2918,1.35235,1.35235,17.66513,74.74517,3.17663,0.90524,0.01675,0.02357,0.66939,11.74216,16.89254
"49","2022_Q2",130.10564516129,"Down",1.858e+09,-1218600000,639400000,-378200000,-3.24e+08,-55400000,1200000,261200000,-54200000,-43100000,-11100000,2.07e+08,-1800000,205200000,-51300000,153900000,153900000,153900000,153900000,168800000,168800000,5.66e+08,5.66e+08,1105500000,112600000,112600000,1952900000,1988400000,3886900000,-1898500000,12270399999,6.021e+09,5985200000,264199999,14258799999,16211699999,1236100000,1041200000,194900000,409500000,409500000,2763200000,3517500000,1760700000,1348800000,411900000,5278200000,8041400000,5.531e+09,2893800000,-281600000,8170300000,8170300000,16211700000,153900000,113900000,14500000,-144500000,137800000,-6.8e+07,-1.2e+07,-8e+07,-97200000,-1.23e+08,-2800000,-6800000,-3e+05,-223300000,-165500000,-165500000,-102730.875464913,-165500000,375100000,4635100000,213900000,0.34413,0.14058,0.08283,0.01884,0.00949,1.38986,0.70675,0.98422,0.28591,1.425,1.42368,17.2037,75.4,1.98056,0.9,0.01724,0.01468,0.63158,11.90696,17.09916
"50","2022_Q3",133.95546875,"Up",2.05e+09,-1338500000,711500000,-398400000,-347700000,-55400000,4700000,313100000,-4.3e+07,-40300000,-2700000,270100000,-1300000,268800000,-62800000,2.06e+08,2.06e+08,2.06e+08,2.06e+08,155300000,155300000,659100000,659100000,1100200000,94200000,94200000,2008800000,2015200000,3969900000,-1954700000,12216800000,6022300000,5930400000,264100000,1.4232e+10,16240800000,1240800000,1.031e+09,209800000,329700000,329700000,1890500000,4308800000,1755100000,1351600000,403500000,6063900000,7954400000,5.537e+09,2992800000,-270500000,8286400000,8286400000,16240800000,2.06e+08,115900000,6700000,-163500000,165100000,-59200000,-3800000.00000003,-6.3e+07,-106900000,1400000,-7e+05,-700000.000000004,-9300000,-115500000,-13400000,-13400000,-99999.9999999995,-13500000,4.29e+08,4628800000,269100000,0.34707,0.15273,0.10049,0.02486,0.01268,1.30631,1.06258,0.95993,0.28501,1.90741,1.90564,18.98148,76.475,2.49167,0.98981,0.02133,0.01834,0.51893,10.42774,14.28777
