"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"33","2018_Q2",23.08546875,"Down",1185800000,-608200000,577600000,-342700000,-342700000,234900000,-2600000,-2600000,232300000,231900000,-57600000,174300000,174300000,174300000,174300000,137100000,137100000,688600000,688600000,1134900000,99700000,99700000,2060300000,8.89e+08,80300000,80300000,969300000,3029600000,389900000,148100000,199700000,4.03e+08,62700000,62700000,454600000,857600000,16600000,2178500000,-23100000,2.172e+09,2.172e+09,3029600000,174300000,33400000,15200000,-63200000,159700000,-28800000,-1e+05,-28900000,-106400000,3800000,-112600000,18200000,18200000,2e+06,20200000,268300000,4.05e+08,233900000,0.4871,0.19809,0.14699,0.08025,0.05753,1.34194,5.11241,0.39484,0.13368,0.30298,0.30273,2.06124,3.77552,0.40658,0.18495,6,0.10634,0.08861,0.61044,0.99851,1.14049
"34","2018_Q3",25.5804761904762,"Up",1267900000,-650200000,617700000,-349300000,-349300000,268400000,-3100000,-3100000,265300000,265900000,-54700000,211200000,211200000,211200000,211200000,135500000,135500000,733700000,733700000,1163400000,108100000,108100000,2140700000,880100000,79300000,79300000,959400000,3100100000,378500000,172100000,204400000,3.81e+08,7e+07,7e+07,492500000,873500000,3300000,2259200000,-35900000,2226600000,2226600000,3100100000,211200000,34100000,9200000,-102600000,151900000,-2.5e+07,0,-2.5e+07,-106300000,-38600000,-124900000,2e+06,2e+06,-3600000,-1600000,302500000,4.25e+08,229600000,0.48718,0.21169,0.16657,0.09485,0.06813,1.08712,5.61864,0.3923,0.13709,0.36776,0.36761,2.2078,3.8772,0.3998,0.1851,7,0.11666,0.08436,0.50331,0.95702,1.07861
"35","2018_Q4",24.4839682539683,"Down",1279800000,-6.64e+08,615800000,-353800000,-353800000,2.62e+08,-2900000,-2900000,259100000,259400000,-61800000,197600000,197600000,197600000,197600000,129700000,129700000,772500000,772500000,1194700000,128600000,126400000,2225500000,883800000,84600000,84600000,968400000,3193900000,413600000,1.86e+08,227600000,416100000,74700000,74700000,462200000,878300000,10300000,2.342e+09,-36700000,2315600000,2315600000,3193900000,197600000,34800000,8100000,-55900000,184600000,-3.5e+07,-6300000,-4.5e+07,-114800000,5699999.99999999,-144100000,-4500000,-4500000,-1300000,-5800000,296800000,3.9e+08,267700000,0.48117,0.20472,0.1544,0.08533,0.06187,1.35476,5.34847,0.3793,0.12211,0.34424,0.34394,2.22956,4.03405,0.46637,0.2,6,0.11236,0.09628,0.58097,0.87702,0.99351
"36","2019_Q1",27.4309836065574,"Up",1231600000,-643800000,587800000,-354400000,-354400000,233400000,-3600000,-3600000,229800000,229800000,-6.1e+07,168800000,168800000,168800000,168800000,167200000,167200000,714300000,714300000,1278700000,1.56e+08,1.47e+08,2316200000,924800000,80500000,80500000,1005300000,3321500000,434400000,193600000,240800000,437400000,84400000,84400000,581400000,1018800000,5900000,2341600000,-44800000,2302700000,2302700000,3321500000,168800000,31800000,18099999,-40700000,177999999,-7.8e+07,3e+06,-7.5e+07,-114400000,-60500000,-64900000,38099999,38099999,-6e+05,37499999,265200000,5e+08,207500000,0.47727,0.18951,0.13706,0.07331,0.05082,1.22927,5.29538,0.44244,0.15053,0.29502,0.29484,2.15256,4.02461,0.36266,0.19995,5,0.09809,0.07187,0.67773,1.2549,1.42588
"37","2019_Q2",30.2503174603175,"Up",1309300000,-684600000,624700000,-363600000,-363600000,261100000,-3900000,-3900000,257200000,257500000,-63400000,194100000,194100000,194100000,194100000,185400000,185400000,7.93e+08,7.93e+08,1293900000,116900000,116900000,2389200000,943300000,319300000,319300000,1262600000,3651800000,458400000,183900000,232800000,554600000,215400000,8.5e+07,7e+08,1254600000,25600000,2412700000,-41100000,2397200000,2397200000,3651800000,194100000,36400000,3900000,-29500000,204900000,-52800000,1e+05,-52700000,-1.23e+08,18100000,-134900000,17300000,17300000,9e+05,18200000,297500000,4.89e+08,278600000,0.47713,0.19942,0.14825,0.08097,0.05315,1.43534,4.30797,0.52336,0.13391,0.33923,0.33875,2.2883,4.18964,0.48692,0.21497,4,0.10224,0.08982,0.63369,1.0205,1.16277
"38","2019_Q3",28.72953125,"Down",1368400000,-727200000,641200000,-366700000,-366700000,274500000,-3600000,-3600000,270900000,271400000,-66800000,204600000,204600000,204600000,204600000,1.75e+08,1.75e+08,819800000,819800000,1345700000,127800000,123800000,2468300000,975100000,3.13e+08,3.13e+08,1288100000,3756400000,429800000,203800000,2.26e+08,527900000,227800000,86700000,724800000,1252700000,48900000,2494200000,-39400000,2503700000,2503700000,3756400000,204600000,37100000,3600000,-117200000,128100000,-66800000,-99999.9999999995,-66900000,-123100000,2.2e+07,-71100000,-9900000,-9900000,-5e+05,-10400000,311600000,5e+08,194400000,0.46858,0.2006,0.14952,0.08172,0.05447,0.95015,4.6757,0.50034,0.13311,0.35693,0.35607,2.38719,4.36773,0.33913,0.21475,3,0.10141,0.06016,0.60166,1.043,1.18397
"39","2019_Q4",33.21546875,"Up",1379100000,-7.28e+08,651100000,-369200000,-369200000,281900000,-3500000,-3500000,278400000,278400000,-64900000,213500000,213500000,213500000,213500000,191200000,191200000,817300000,817300000,1354700000,137600000,137200000,2500800000,997700000,315700000,315700000,1313400000,3814200000,456500000,215200000,241300000,555100000,231400000,86600000,673400000,1228500000,53200000,2581500000,-4.9e+07,2585700000,2585700000,3814200000,213500000,37300000,3100000,3400000,257300000,-59700000,2e+05,-59500000,-126200000,2900000,-178300000,19500000,19500000,-3300000,16200000,319200000,4.45e+08,327800000,0.47212,0.20441,0.15481,0.08257,0.05598,1.53536,4.50513,0.47511,0.11667,0.37241,0.37169,2.40555,4.5102,0.57178,0.22013,5,0.10414,0.10049,0.5911,0.79511,0.90032
"40","2020_Q1",32.9203225806452,"Down",1276900000,-678500000,598400000,-358700000,-358700000,239700000,-2500000,-2500000,237200000,236400000,-57700000,178700000,178700000,178700000,178700000,174900000,174900000,741800000,741800000,1366400000,174100000,157400000,2457200000,1023200000,319500000,319500000,1342700000,3799900000,444300000,192800000,251500000,544700000,247600000,99400000,589600000,1134300000,70100000,2633900000,-38400000,2665600000,2665600000,3799900000,178700000,37899999,14400000,21400000,252399999,-60500000,-1e+05,-60600000,-126300000,15500000,-210800000,-19000001,-19000001,2700000,-16300001,277599999,3.45e+08,296199999,0.46863,0.18772,0.13995,0.06704,0.04703,1.65753,4.51111,0.42553,0.09079,0.31127,0.31046,2.22418,4.64309,0.51594,0.22,4,0.09361,0.09091,0.70677,0.61275,0.70964
"41","2020_Q2",36.0112698412698,"Up",1.367e+09,-730200000,636800000,-365500000,-365500000,271300000,-2100000,-2100000,269200000,269200000,-66599999,202600001,202600001,202600001,202600001,160700000,160700000,833900000,833900000,1345500000,124200000,124200000,2464300000,1027700000,442700000,442700000,1470400000,3934700000,479100000,212100000,227500000,580400000,247600000,99900000,697700000,1278100000,27100000,2692900000,-63400000,2656600000,2656600000,3934700000,202600000,37600000,4600000,-3700000,241100000,-46700000,779540.837519037,-171700000,-143600000,-44600000,-78200000,-8800000,-8800000,-5400000,-14200000,308900000,4.55e+08,325099999,0.46584,0.19846,0.14821,0.07626,0.05149,1.60464,4.24586,0.4811,0.11564,0.35302,0.35216,2.38195,4.62903,0.56647,0.25022,4,0.10306,0.09678,0.70879,0.95274,1.08478
"42","2020_Q3",43.54046875,"Up",1.509e+09,-837400000,671600000,-355600000,-355600000,3.16e+08,-2300000,-2300000,313700000,313700000,-74800001,238899999,238899999,238899999,238899999,201500000,201500000,881500000,881500000,1401500000,121800000,121800000,2606300000,1029700000,449200000,449200000,1478900000,4085200000,534600000,194100000,238200000,631300000,265900000,100300000,670900000,1302200000,47300000,2788600000,-52900000,2.783e+09,2.783e+09,4085200000,238900000,41700000,3100000,-3.3e+07,250700000,-38200000,1200000,-3.7e+07,-143200000,18900000,-174300000,39400000,39400000,1400000,40800000,357700000,4.05e+08,361300001,0.44506,0.20941,0.15832,0.08584,0.05848,1.51235,4.12847,0.46791,0.09914,0.41671,0.41555,2.63213,4.85435,0.63021,0.24978,5,0.11063,0.10461,0.59941,0.56891,0.64399
"43","2020_Q4",44.97234375,"Up",1413300000,-772700000,640600000,-350499999,-350499999,290100001,-2500000,-2500000,287600001,287600001,-66100000,221500001,221500001,221500001,221500001,331800000,331800000,834500000,834500000,1342600000,137800000,123200000,2646700000,1023700000,438200000,438200000,1461900000,4108600000,468600000,210400000,258200000,6.03e+08,2.55e+08,102900000,6.2e+08,1.223e+09,60700000,2866700000,-41800000,2885600000,2885600000,4108600000,221500000,41100000,4800000,21600000,2.89e+08,-3e+07,-1e+05,-30100000,-143400000,1.2e+07,-131400000,127500000,127500000,2800000,130300000,331200001,4.05e+08,388900001,0.45327,0.20526,0.15673,0.07676,0.05391,1.75576,4.38922,0.42383,0.09857,0.38596,0.38435,2.46262,5.02805,0.67764,0.24987,4,0.10292,0.10969,0.6474,0.22101,0.25233
"44","2021_Q1",46.1980327868852,"Up",1.358e+09,-739200000,618800000,-354400001,-354400001,264399999,-2200000,-2200000,262199999,262199999,-66100000,196099999,196099999,196099999,196099999,245700000,245700000,769400000,769400000,1337500000,1.47e+08,140300000,2499600000,1030700000,434400000,434400000,1465100000,3964700000,479100000,2.07e+08,272100000,612700000,253800000,102300000,618800000,1231500000,64800000,2689600000,-21200000,2733200000,2733200000,3964700000,196100000,4.2e+07,2200000,80700000,3.21e+08,-42600000,-3e+05,-42900000,-373200000,2700000,-370500000,-92400000,-92400000,6300000,-86100000,306399999,4.05e+08,410599999,0.45567,0.1947,0.1444,0.07175,0.04946,2.09383,4.07965,0.45057,0.10215,0.34158,0.34027,2.36544,4.76084,0.71521,0.65006,4,0.16784,0.12105,1.90311,0.51991,0.6025
"45","2021_Q2",50.5479365079365,"Up",1.417e+09,-773600000,643400000,-363100000,-363100000,280300000,-2400000,-2400000,277900000,277900000,-67300000,210600000,210600000,210600000,210600000,333900000,333900000,8.51e+08,8.51e+08,1305300000,1.24e+08,1.24e+08,2614200000,1.022e+09,438200000,438200000,1460200000,4074400000,528100000,215100000,265800000,661200000,261500000,102600000,626500000,1287700000,72900000,2739400000,-25600000,2786700000,2786700000,4074400000,210600000,4.2e+07,1100000,21100000,274800000,-3e+07,1e+05,-29900000,-160800000,6600000,-154200000,90700000,90700000,-2500000,88200000,322300000,4.05e+08,380700000,0.45406,0.19781,0.14862,0.07557,0.05169,1.80769,3.95372,0.46209,0.0994,0.36703,0.36582,2.4695,4.85657,0.66347,0.28024,5,0.10755,0.11025,0.76353,0.2206,0.25366
"46","2021_Q3",52.98265625,"Up",1507700000,-8.07e+08,700700000,-382900000,-382900000,317800000,-2600000,-2600000,315200000,315200000,-75500000,239700000,239700000,239700000,239700000,321800000,321800000,908900000,908900000,1327900000,146700000,146700000,2705300000,1015800000,445500000,445500000,1461300000,4166600000,515400000,236100000,277900000,650200000,270600000,1.03e+08,635600000,1285800000,81300000,2818300000,-18800000,2880800000,2880800000,4166600000,239700000,42300000,1100000,-111600000,171500000,-31500000,0,-31500000,-160800000,7e+06,-153800000,-13800000,-13800000,1700000,-12100000,360100000,4.05e+08,292500000,0.46475,0.21078,0.15898,0.08321,0.05753,1.22028,4.16072,0.44633,0.0972,0.41774,0.41636,2.62757,5.02056,0.50976,0.28024,5,0.11261,0.08225,0.67084,0.23105,0.2618
"47","2021_Q4",57.86984375,"Up",1554300000,-834100000,720200000,-401800000,-401800000,318400000,-2200000,-2200000,316200000,316200000,-72700000,243500000,243500000,243500000,243500000,250500000,250500000,949400000,949400000,1401100000,169300000,162600000,2770300000,1019200000,4.33e+08,4.33e+08,1452200000,4222500000,534899999,256899999,2.78e+08,662499999,265300000,104600000,595300000,1257799999,93500000,2900800000,-29600000,2964700000,2964700000,4222499999,243500000,42800000,4100000,-1.23e+08,167400000,-45500000,-1e+05,-45600000,-1.61e+08,10800000,-190200000,-68400000,-68400000,-2900000,-71300000,361200000,3.65e+08,265400000,0.46336,0.20485,0.15666,0.08213,0.05767,1.08994,4.18158,0.42426,0.08644,0.42348,0.42179,2.70313,5.156,0.46157,0.28,6,0.11252,0.07382,0.66119,0.317,0.35961
"48","2022_Q1",55.1409677419355,"Down",1531900000,-8.19e+08,712900000,-4.12e+08,-4.12e+08,300900000,-2400000,-2400000,298500000,298500000,-67300000,231200000,231200000,231200000,231200000,236200000,236200000,900200000,900200000,1523600000,196600000,188100000,2856600000,1019200000,423200000,423200000,1442400000,4.299e+09,531400000,233100000,298300000,682200000,244600000,88600000,574600000,1256800000,1.02e+08,2970900000,-30700000,3042200000,3042200000,4.299e+09,231200000,43600000,-1.3e+07,-105400000,156400000,-41200000,-3e+05,-41500000,-161100000,7200000,-128900000,-1.4e+07,-1.4e+07,-299999.999999999,-14300000,344500000,3.9e+08,265200000,0.46537,0.19642,0.15092,0.076,0.05378,1.14706,4.18734,0.41312,0.09072,0.40209,0.40049,2.66417,5.29078,0.46122,0.28017,7,0.1067,0.07213,0.6968,0.44644,0.51113
"49","2022_Q2",53.4622580645161,"Down",1704100000,-910800000,793300000,-435300000,-435300000,3.58e+08,-2300000,-2300000,355700000,355700000,-86100000,269600000,269600000,269600000,269600000,234200000,234200000,1071599999,1071599999,1600800000,127400000,127400000,3033999999,1008400000,424300000,424300000,1432700000,4466699999,619200000,289900000,268200000,745500000,249200000,89600000,579200000,1324700000,107400000,3.063e+09,-28400000,3.142e+09,3.142e+09,4466700000,269600000,43900000,5700000,-89200000,2.3e+08,-33100000,-1e+05,-33200000,-178400000,3900000,-199500000,-2700000,-2700000,7e+05,-2e+06,401900000,3.65e+08,365700000,0.46552,0.21008,0.15821,0.08581,0.06036,1.35645,4.06975,0.42161,0.08172,0.46863,0.46668,2.96211,5.4615,0.63567,0.3101,7,0.11927,0.09736,0.66172,0.32545,0.36536
"50","2022_Q3",51.263,"Down",1778500000,-950900000,827600000,-444200000,-444200000,383400000,-2600000,-2600000,380800000,380800000,-93700000,287100000,287100000,287100000,287100000,247900000,247900000,1103900000,1103900000,1665200000,135699999,129199999,3152699999,1008700000,430900000,430900000,1439600000,4592299999,560500000,291800000,268700000,8.49e+08,254600000,89100000,564600000,1413600000,61500000,3171600000,-54400000,3178700000,3178700000,4592300000,287100000,43900000,5e+05,-180300000,151200000,-43400000,-5e+05,-43900000,-178500000,-47400000,-85900000,21400000,21400000,-7700000,13700000,427300000,5.05e+08,297300000,0.46534,0.21557,0.16143,0.09032,0.06252,1.03553,3.71343,0.44471,0.10997,0.49887,0.49723,3.09036,5.52337,0.51659,0.31017,6,0.11822,0.07549,0.62173,0.60168,0.67058
