"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",95.0037704918033,"Up",1297600000,-766600000,-118800000,-647800000,5.31e+08,1.02e+08,101300000,6.33e+08,6.33e+08,-246400000,386600000,386600000,347100000,347100000,1902700000,1902700000,565300000,565300000,4516400000,6.52e+08,1477300000,889700000,665700000,2.24e+08,3.019e+09,7535400000,3.93e+08,216200000,68300000,108500000,3.93e+08,718200000,895100000,4.9e+07,846100000,4932900000,-3600000,5824400000,6817200000,7535400000,386600000,36700000,-62600000,-4.84e+08,-123300000,-5.7e+07,39900000,-19300000,-36400000,-142300000,56900000,276300000,190900000,31200000.0000001,31200000.0000001,29600000,567700000,2.22044604925031e-16,273100000,0.40922,0.26749,0.05092,0.04606,0.7868,11.49211,0.10535,5.16987882845642e-26,1.43075,1.40242,5.34872,24.00824,1.12572,0.58656,0.06852,0.03824,0.40997,-3.35159,-3.58324
"33","2018_Q2",99.76609375,"Up",1.328e+09,-744200000,-96300000,-647900000,583800000,16100000,15200000,599900000,599900000,-144400000,455500000,455500000,453700000,453700000,1681400000,1681400000,593600000,593600000,3785800000,650200000,2095100000,843200000,665700000,177500000,3588500000,7374300000,588200000,241300000,159800000,187100000,588200000,925900000,703300000,48700000,654600000,5.205e+09,-6400000,5901900000,6448400000,7374300000,455500000,36900000,30100000,-1500000,5.21e+08,-36700000,-413900000,-69200000,-519800000,-174800000,-245100000,177800000,-242100000,-240900000,-240900000,-239600000,620700000,0,726900000,0.43961,0.34164,0.07036,0.06152,1.60216,6.43625,0.14359,0,1.85714,1.81625,5.43594,24.15841,2.97544,0.71551,0.09262,0.10712,0.38528,-2.70888,-2.8801
"34","2018_Q3",99.9119047619048,"Up",1.345e+09,-750300000,-92400000,-657900000,594700000,34100000,36500000,628800000,628800000,-169200000,459600000,459600000,448900000,448900000,1484400000,1484400000,564400000,564400000,3905800000,655200000,2459500000,861700000,665700000,1.96e+08,3976400000,7882200000,6.26e+08,2.2e+08,56400000,349600000,6.26e+08,1028400000,703200000,48600000,654600000,5435100000,-23700000,6114600000,6853800000,7882200000,459600000,37800000,41600000,-130700000,408300000,-41900000,-4.37e+08,54700000,-424200000,-173900000,-112400000,140200000,-146100000,-1.62e+08,-1.62e+08,-169900000,632500000,0,629100000,0.44216,0.33375,0.0655,0.05695,1.40143,6.2393,0.15005,-4.13590306276514e-25,1.85343,1.81447,5.55326,25.24608,2.59744,0.718,0.08583,0.0867,0.38739,-2.34688,-2.49605
"35","2018_Q4",84.3207936507936,"Down",1394600000,-7.54e+08,-93900000,-660100000,640600000,124900000,124800000,765500000,765500000,-183900000,581600000,581600000,5.83e+08,5.83e+08,2090600000,2090600000,583100000,583100000,4591500000,6.57e+08,2414400000,867700000,665700000,2.02e+08,3939100000,8530600000,841800000,249900000,80300000,511600000,841800000,1209500000,7.03e+08,48500000,654500000,5788500000,-3.1e+07,6460500000,7321100000,8530600000,581600000,40200000,-5.7e+07,-7700000,557100000,-42900000,75800000,80700000,113600000,-173600000,-69500000,168200000,-74900000,595800000,595800000,6e+08,680800000,0,814100000,0.45934,0.41804,0.07963,0.06834,1.3964,5.45438,0.16521,0,2.40115,2.35556,5.74382,26.60832,3.35297,0.71499,0.0984,0.10588,0.29777,-3.0708,-3.2635
"36","2019_Q1",84.4090163934426,"Up",1.305e+09,-777900000,-1.13e+08,-664900000,527100000,-151900000,-150200000,375200000,390400000,-118400000,2.72e+08,2.72e+08,351900000,351900000,1425200000,1425200000,549600000,549600000,3655200000,661300000,2453400000,919400000,665700000,253700000,4034100000,7689300000,4.06e+08,228500000,54200000,123300000,4.06e+08,824700000,702200000,47600000,654600000,5464100000,-4.2e+07,6124300000,6864600000,7689300000,2.72e+08,44600000,-434600000,251500000,133500000,-4.7e+07,3500000,-1600000,-45100000,-1.72e+08,-588600000,-15800000,-776400000,-6.88e+08,-6.88e+08,-7.01e+08,571700000,-5.6843418860808e-14,894600000,0.40391,0.26966,0.05126,0.04576,2.5422,9.00296,0.12014,-6.61744490042422e-24,1.46931,1.44874,5.44885,25.57119,3.73528,0.71816,0.07193,0.12283,0.48878,-2.49292,-2.70385
"37","2019_Q2",92.7649206349206,"Up",1327300000,-794800000,-94600000,-700200000,532500000,202800000,2.02e+08,735300000,735300000,-181300000,5.54e+08,5.54e+08,512600000,512600000,1657400000,1657400000,604600000,604600000,4325500000,667200000,2546700000,919500000,665700000,253800000,4133400000,8458900000,604300000,2.1e+08,197500000,196800000,766200000,1261200000,701800000,47300000,654500000,5650800000,-41600000,6.311e+09,7197700000,8458900000,5.54e+08,41900000,-56700000,39500000,578700000,-47700000,17900000,-4e+06,-33800000,-184600000,-187400000,6.6e+07,-3.06e+08,238900000,238900000,238200000,574400000,0,747500000,0.40119,0.3862,0.07122,0.0606,1.45825,5.64539,0.17522,0,2.16653,2.1394,5.60989,26.67371,3.15934,0.78022,0.09063,0.09717,0.36012,-2.88545,-3.11249
"38","2019_Q3",98.86015625,"Up",1395200000,-780100000,-94200000,-685900000,615100000,124500000,124600000,739600000,739600000,-183700000,555900000,555900000,527500000,527500000,1802400000,1802400000,619800000,619800000,4745700000,6.72e+08,2575200000,919400000,665700000,253700000,4166600000,8912300000,619500000,1.93e+08,52400000,374100000,774400000,1320900000,701700000,47100000,654600000,5915900000,-38500000,6579100000,7591400000,8912300000,555900000,44100000,3700000,-233600000,370100000,-46800000,5.1e+07,5e+05,4700000,-183200000,-136600000,124300000,-195500000,179300000,179300000,179600000,659200000,0,562500000,0.44087,0.37808,0.06949,0.05919,1.06635,6.12823,0.174,1.05879118406788e-22,2.23707,2.20527,5.91688,27.90119,2.3855,0.77693,0.08733,0.06912,0.3473,-2.73422,-2.93026
"39","2019_Q4",105.51421875,"Up",1426700000,-767600000,-92300000,-675300000,659100000,4.3e+07,43700000,702100000,702100000,-1.57e+08,545100000,545100000,545900000,545900000,2213200000,2213200000,620600000,620600000,5192500000,678800000,2605900000,920600000,665700000,254900000,4205300000,9397800000,786500000,203300000,49200000,5.34e+08,932900000,1455100000,701500000,46900000,654600000,6.187e+09,-48700000,6839800000,7942700000,9397800000,545100000,45699999,31300000,-70200000,551899999,-54400000,8100000,-1300000,-47600000,-182600000,-135700000,196800000,-121500000,382799999,382799999,380999999,704799999,0,737199999,0.46198,0.38263,0.06873,0.05809,1.35043,5.56598,0.1832,0,2.32298,2.29177,6.07106,29.10553,3.13702,0.77702,0.08606,0.08709,0.33449,-3.14018,-3.35791
"40","2020_Q1",110.130161290323,"Up",1468700000,-888400000,-137600000,-750800000,580300000,169999999,162999999,750299999,750299999,-156400000,593899999,593899999,545299999,545299999,1781800000,1781800000,646600000,646600000,4816100000,674400000,2939800000,900100000,665700000,234400000,4514300000,9330400000,358400000,214500000,31800000,112100000,504700000,1107300000,701600000,4.7e+07,654600000,6443500000,-4.3e+07,7102100000,8223100000,9330400000,593900000,59100001,-1004900000,373900000,22000001,-55700000,-185300000,-6800000,-247800000,-183500000,-162800000,136600000,-209700000,-435499999,-435499999,-435799999,639400001,0,1114000001,0.39511,0.37128,0.06631,0.05844,2.04291,9.5425,0.13466,0,2.32835,2.29697,6.27114,30.32494,4.75662,0.78352,0.08258,0.12622,0.33651,-2.78668,-3.07048
"41","2020_Q2",103.438095238095,"Down",1462600000,-755400000,-1.02e+08,-653400000,707200000,-500300000,-484900000,206900000,206900000,-40300000,166600000,166600000,343100000,343100000,1562400000,1562400000,585300000,585300000,4309600000,675200000,2731300000,920800000,665700000,255100000,4327300000,8636900000,472200000,198500000,58300000,215400000,644800000,1231900000,700200000,45600000,654600000,5782900000,-49100000,6.434e+09,7.405e+09,8636900000,166600000,46100000,216700000,358300000,787700000,-4.6e+07,7.4e+07,-4e+05,27600000,-215200000,-853200000,76100000,-992300000,-1.77e+08,-1.77e+08,-178200000,753300000,0,1105900000,0.48352,0.23458,0.04633,0.03972,3.22326,6.68362,0.16636,0,1.46561,1.4489,6.24776,27.48398,4.72405,0.91927,0.06986,0.13837,0.62722,-2.07407,-2.20928
"42","2020_Q3",120.8265625,"Up",1415400000,-861700000,-99800000,-761900000,553700000,415100000,413100000,968800000,968800000,-240300000,728500000,728500000,6.03e+08,6.03e+08,2058100000,2058100000,655700000,655700000,5006800000,685400000,2.9e+09,885100000,665700000,219400000,4470500000,9477300000,838300000,194300000,259300000,384700000,1004700000,1636500000,7e+08,45400000,654600000,6102900000,-52200000,6750700000,7840800000,9477300000,728500000,48200000,-111700000,1.88e+08,8.53e+08,-59300000,36800000,-2700000,-25200000,-210500000,-119899999,11600000,-318799999,509000001,509000001,502800001,601900000,-1.16415321826935e-10,970900000,0.3912,0.42603,0.07691,0.06363,1.61012,4.98338,0.20872,0,2.65288,2.6286,6.22701,29.69952,4.27145,0.92609,0.09602,0.11459,0.34909,-3.41934,-3.71699
"43","2020_Q4",131.614375,"Up",1595800000,-866900000,-88700000,-778200000,728900000,191600000,185700000,920500000,920500000,-221900000,698600000,698600000,643200000,643200000,2228200000,2228200000,714800000,714800000,5524500000,681900000,3030800000,897400000,665700000,231700000,4610100000,10134600000,836900000,186900000,66700000,583300000,1012200000,1665900000,699900000,45300000,654600000,6471300000,-42700000,7128500000,8468700000,10134600000,698600000,49700000,-385700000,-86400000,276200000,-50100000,30800000,-36200000,-55500000,-2.1e+08,-109200001,2.11e+08,-108200001,112499999,112499999,123299999,778600000,0,8.64e+08,0.45676,0.40306,0.07595,0.06347,1.34328,5.45791,0.19671,0,2.83223,2.80261,7.02686,31.38926,3.80449,0.9247,0.09353,0.09471,0.32649,-2.8618,-3.05694
"44","2021_Q1",151.816393442623,"Up",7.426e+09,-1490600000,-622900000,-867700000,5935400000,390100000,6479694.83258826,6325500000,6.826e+09,-216400000,6609600000,6609600000,6463400000,6463400000,2151700000,2151700000,863100000,863100000,5710300000,695400000,3250800000,1002500000,665700000,336800000,4948700000,1.0659e+10,406300000,187700000,8.5e+07,133600000,560400000,1390300000,700200000,45600000,654600000,7029800000,-2.3e+07,7.707e+09,9268700000,1.0659e+10,929600000,45600000,-604400000,-368800000,2e+06,-59200000,-141600000,217600000,16800000,-210100000,-115700000,258800000,-6.7e+07,-48200000.0000001,-48200000.0000001,-49700000,902501685.147137,0,1145851598.54499,0.498628318446569,0.383822415277634,0.0740107041067695,0.0637546507506224,1.74386346535897,10.18969,0.15,-2.16840434497101e-19,2.93419642902665,2.90323459662644,7.57655240613041,33.99647,5.02924944548477,0.92678,0.0967381309220202,0.117358984811756,0.415593536962328,-2.53137493759479,-2.66526712892087
"45","2021_Q2",174.313174603175,"Up",1826800000,-933600000,-106200000,-827400000,893200000,102100000,105800000,995300000,995300000,-230500000,764800000,764800000,749400000,749400000,2830100000,2830100000,885900000,885900000,3.716e+09,2650700000,3403600000,994100000,665700000,328400000,7048400000,10764400000,773700000,228900000,2.84e+08,260800000,973400000,1743300000,7e+08,45400000,654600000,7338700000,-30500000,8008200000,9021100000,10764400000,764800000,4.9e+07,-100900000,281800000,994700000,-58800000,-12500000,40500000,-30800000,-252300000,-238300000,183100000,-307500000,656400000,656400000,657300000,942200000,53700000,1395700000,0.48894,0.41023,0.08307,0.06962,1.86242,3.81755,0.19325,0.00499,3.29117,3.25826,8.02284,35.16996,6.12956,1.10804,0.10175,0.14177,0.33667,-2.94672,-3.10837
"46","2021_Q3",200.21875,"Up",1929300000,-971200000,-112100000,-859100000,958100000,143900000,143200000,1.102e+09,1.102e+09,-259300000,842700000,842700000,815700000.000001,815700000.000001,3514900000,3514900000,918200000,918200000,4433100000,2384600000,3473900000,987600000,665700000,321900000,6846100000,11279200000,1528400000,246200000,102400000,4.8e+08,1666900000,2505800000,719100000,45400000,673700000,7202600000,-28700000,7.893e+09,8773400000,11279200000,842700000,50400000,-157600000,71800000.0000001,807300000,-6.3e+07,-18100000,117600000,36500000,-252800000,-48400000,1.16e+08,-185200000,658600000,658600000,657200000,1008500000,0,1276600000,0.4966,0.4228,0.09297,0.07232,1.56504,2.65949,0.28561,0,3.58235,3.54652,8.47299,34.66403,5.6065,1.11023,0.11116,0.13281,0.30992,-3.48528,-3.66861
"47","2021_Q4",194.10578125,"Down",1813400000,-817200000,36800000,-8.54e+08,996200000,-3100000,72400402.1197089,993100000,984700000,-227300000,757400000,757400000,777200000,777200000,3418500000,3418500000,941600000,941600000,6386800000,719100000,3330300000,1014500000,665700000,348800000,5063900000,11450700000,1.068e+09,309800000,60700000,697500000,1210100000,2.102e+09,699800000,45200000,654600000,7591700000,-29400000,8262100000,9348700000,11450700000,757400000,51700000,303200000,176400000,1288700000,-56900000,-16700000,125500000,51900000,-948900000,-173100000,-276400000,-1398400000,-57800000,-57800000,-60900000,1047900000,0,1394700000,0.54935,0.42859,0.08313,0.06787,1.79452,5.27791,0.22484,0,3.42077,3.38797,7.98151,36.36488,6.13864,4.1765,0.16855,0.13619,1.22092,-3.26224,-3.43154
"48","2022_Q1",148.491774193548,"Down",9200500000,-1813700000,-876100000,-937600000,7386800000,41700000,-57434289.5601853,7428500000,7733300000,-1.79e+08,7554300000,7554300000,7561300000,7561300000,1523100000,1523100000,1058300000,1058300000,4544200000,736200000,2975500000,4253100000,2693200000,646500000,7964800000,1.2509e+10,687800000,4.31e+08,744656435.492827,256800000,988500000,2255300000,965600000,45334315.0737045,656176353.913053,8083600000,-26500000,9022700000,10253700000,1.2509e+10,733600000,53700000,36600000,-462600000,361300000,-60400000,47300000,1308200000,-1155700000,-247900000,-760300000,-89500000,-1097700000,-1892100000,-1892100000,-1885900000,1030718695.84599,1.86264514923096e-09,1485887562.89954,0.531123956301724,0.384179563371261,0.0704590829500596,0.0589012195433465,2.17016332167234,4.59707,0.21995,0,3.09308781035006,3.06488251666741,8.18106576280202,41.38853,6.57441016244493,1.13716,0.142651468986679,0.13521251873041,1.0904913554066,-2.54430502421412,-2.67707475776899
"49","2022_Q2",123.316612903226,"Down",1.863e+09,-985600000,-103800000,-881800000,877400000,-198500000,-191300000,678900000,678900000,-164500000,514400000,514400000,567900000,567900000,1997500000,1997500000,919500000,919500000,2.917e+09,736300000,2879300000,5815400000,2643900000,2285200000,9.431e+09,1.2348e+10,710900000,417300000,2674769306.47848,293600000,922700000,2.231e+09,713700000,45500000,668200000,8372200000,-31500000,9054400000,1.0117e+10,1.2348e+10,514400000,54500000,296500000,2.38e+08,1103400000,-54900000,-6e+06,64700000,3800000,-279200000,-3.15e+08,-49900000,-644100000,463100000,463100000,460400000,931900000,0,1279500000,0.47096,0.30483,0.05613,0.04599,2.25304,3.16137,0.22052,0,2.52512,2.50286,8.28368,40.25967,5.6892,1.24144,0.07414,0.11199,0.49164,-2.14347,-2.27661
"50","2022_Q3",117.03171875,"Down",1.513e+09,-844400000,-94700000,-749700000,668600000,-279900000,-274500000,388699999.999999,388700000,-100899999,287800001,287800001,339600000.999999,339600000.999999,2.116e+09,2.116e+09,773200000,773200000,4196400000,747300000,2563700000,4261300000,2652400000,749800000,7572300000,11768700000,855700000,3.61e+08,6371538612.95696,494700000,1060400000,2031100000,699700000,45100000,654600000,8311900000,-47400000,8964200000,9737600000,11768700000,287800000,54700000,462300000,-181200000,623600000,-67900000,-25200000,63600000,-29500000,-2.77e+08,-187600000,-22300000,-486900000,107200000,107200000,102600000,723300000,0,575099999,0.4419,0.22445,0.03488,0.02886,1.69346,3.95737,0.20858,0,1.51,1.49669,6.72743,39.8586,2.55714,1.23166,0.05758,0.05371,0.81567,-2.92548,-3.16482
