"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","stock_based_compensation","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"24","2016_Q1",34.6926229508197,"Down",1334900000,-316500000,1018400000,-949500000,-855700000,-93800000,68900000,-25800000,-25800000,43100000,-14700000,28400000,39800000,68200000,68200000,62300000,62300000,480400000,480400000,3733300000,3733300000,4213700000,2.49e+08,6447800000,1698800000,3662900000,643500000,442600000,6696800000,10910500000,3751100000,3751100000,2.45e+08,1.91e+08,1.91e+08,4187100000,2071700000,963500000,963500000,3035200000,7222300000,3386300000,176900000,3209400000,774500000,-522500000,3638300000,3688200000,10910500000,68200000,68200000,93800000,332800000,3e+06,329800000,-135200000,-1.23e+08,33499999.9999999,-45700000,359600000,-27200000,-73100000,-73100000,-8400000,-108700000,-6.5e+07,61500000,4300000,4300000,-33700000,-32900000,2.18e+08,2.18e+08,-62800000,155200000,162700000,2316700000,-39500000,0.7629,0.05161,0.04667,0.01689,0.00571,-0.63403,1.00635,1.95822,0.21234,0.35257,0.35257,7.55461,20.59027,-0.22354,0.36786,0.01827,-0.00567,1.04334,11.28642,26.65167
"25","2016_Q2",40.66828125,"Up",1300400000,-304400000,9.96e+08,-910600000,-826600000,-8.4e+07,85400000,-25800000,-25800000,59600000,-3900000,55700000,2200000,57900000,57900000,46500000,46500000,425400000,425400000,3514100000,3514100000,3939500000,218200000,6554900000,1672900000,3693400000,660600000,5.28e+08,6773100000,10712600000,3522200000,3522200000,3.55e+08,145200000,145200000,4022400000,2071800000,966100000,966100000,3037900000,7060300000,3379100000,177100000,3.202e+09,753400000,-535400000,3597100000,3652300000,10712600000,57900000,57900000,8.4e+07,84600000,3300000,81300000,-126500000,-60800000,-114200000,48500000,1e+08,-61900000,-44500000,-44500000,-4800000,-111200000,-68900000,66700000,-23600000,6800000,-16100000,-41900000,-53100000,-53100000,-1900000,-5.5e+07,169400000,2426800000,-21200000,0.76592,0.06567,0.03576,0.01273,0.00434,-0.45591,0.97939,1.93311,0.22654,0.26271,0.26271,7.34689,20.3226,-0.11977,0.38927,0.01638,-0.00301,1.48172,11.81464,23.4356
"26","2016_Q3",43.62015625,"Up",1427100000,-3.25e+08,1102100000,-924200000,-835600000,-88600000,177900000,-27200000,-27200000,150700000,-13200000,137500000,18200000,155700000,155700000,1.5e+08,1.5e+08,411100000,411100000,4074500000,4074500000,4485600000,213900000,6684800000,1659800000,3716100000,702300000,606600000,6898700000,11384300000,3947800000,3947800000,2.85e+08,150900000,150900000,4383700000,2344400000,1000400000,1000400000,3344800000,7728500000,3368200000,1.77e+08,3191200000,835200000,-603500000,3599900000,3655800000,11384300000,155700000,155700000,88600000,-228900000,3800000,-232700000,1.4e+07,-362600000,587900000,-211300000,29400000,-41200000,-52800000,-52800000,-4100000,-98100000,-67500000,209800000,-56500000,14100000,-28500000,57300000,-11400000,-11400000,-2900000,-14300000,266500000,2629400000,221100000,0.77227,0.12466,0.10511,0.04103,0.01318,1.474,1.02325,2.11404,0.23097,0.84555,0.84555,8.04453,20.29256,1.24634,0.3805,0.02985,0.03035,0.45,8.32383,12.46936
"27","2016_Q4",44.7811111111111,"Up",1482300000,-449700000,1032600000,-905100000,-816200000,-88900000,127500000,-28500000,-28500000,9.9e+07,-4100000,94900000,35500000,130400000,130400000,122800000,122800000,531800000,531800000,3681900000,3681900000,4213700000,213900000,6772700000,1629900000,3762600000,749800000,630400000,6986600000,11200300000,3601900000,3601900000,6.08e+08,1.89e+08,1.89e+08,4398900000,2044600000,1015600000,1015600000,3060200000,7459100000,3417200000,177900000,3239300000,889800000,-620500000,3686500000,3741200000,11200300000,130400000,130400000,88900000,46600000,3800000,42800000,-26400000,396700000,-385300000,-37800000,239500000,-35700000,-49700000,-49700000,-6100000,-91500000,-67900000,51600000,15900000,15900000,-25100000,-25500000,122500000,122500000,-1800000,120700000,216400000,2652600000,118800000,0.69662,0.08601,0.08284,0.03282,0.01096,0.96743,0.9579,1.99377,0.23683,0.69066,0.69066,8.3369,20.73397,0.66817,0.38189,0.02574,0.01603,0.55293,9.80037,16.63373
"28","2017_Q1",49.4420967741936,"Up",1338600000,-329500000,1009100000,-924400000,-835100000,-89300000,84700000,-28300000,-28300000,56400000,-10900000,45500000,40800000,86300000,86300000,77500000,77500000,545500000,545500000,3870600000,3870600000,4416100000,377600000,6695900000,1627300000,3767800000,796500000,504300000,7073500000,11489600000,3837200000,3837200000,5.78e+08,196500000,196500000,4611700000,2144600000,1077500000,1077500000,3222100000,7833800000,3443800000,178300000,3265500000,916400000,-763600000,3596600000,3655800000,11489600000,86300000,86300000,89300000,208200000,3800000,204400000,-103100000,-750500000,681600000,-34200000,280700000,-7.9e+07,-96400000,-96400000,-9100000,-184500000,-67900000,68700000,8800000,8800000,-11100000,-1500000,94700000,94700000,-1.01e+08,-6300000.00000003,1.74e+08,2722600000,-48900000,0.75385,0.06328,0.0579,0.0212,0.00675,-0.63097,0.95759,2.14284,0.23696,0.4349,0.4349,7.51178,20.18294,-0.27441,0.38103,0.0195,-0.00656,0.87613,12.51207,25.70366
"29","2017_Q2",51.041746031746,"Up",1613300000,-366900000,1246400000,-1005100000,-911300000,-93800000,241300000,-29900000,-29900000,211400000,-11800000,199600000,42400000,2.42e+08,2.42e+08,228800000,228800000,5.64e+08,5.64e+08,3919200000,3919200000,4483200000,375500000,6921900000,1682100000,3896900000,806700000,536200000,7297400000,11780600000,3921600000,3921600000,6.95e+08,168100000,168100000,4784700000,2144700000,1123900000,1123900000,3268600000,8053300000,3459800000,179500000,3280300000,901800000,-699100000,3662500000,3727300000,11780600000,2.42e+08,2.42e+08,93800000,78500000,4100000,74400000,-398800000,-1559400000,1.119e+09,41600000,15500000,-29300000,-137100000,-137100000,-3800000,-170200000,-71400000,89200000,20300000,20300000,-18200000,19900000,-134800000,-134800000,19200000,-115600000,335100000,2839700000,-135400000,0.77258,0.14957,0.14182,0.06138,0.01942,-0.59178,0.93699,2.16063,0.24105,1.27893,1.27893,9.01789,20.47233,-0.75685,0.39911,0.03903,-0.01761,0.31206,6.79111,9.43099999999999
"30","2017_Q3",53.4831746031746,"Up",1454300000,-397100000,1057200000,-966400000,-871100000,-95300000,90800000,-31600000,-31600000,59200000.0000001,-5100000,54100000,24200000,78300000,78300000,7e+07,7e+07,587800000,587800000,4519400000,4519400000,5107200000,387600000,7074800000,1662600000,3.989e+09,861900000,561300000,7462400000,12569600000,4331500000,4331500000,3.68e+08,158500000,158500000,4.858e+09,2644800000,1156800000,1156800000,3801600000,8659600000,3503700000,180200000,3323500000,1002900000,-661900000,3844700000,3.91e+09,12569600000,78300000,78300000,95300000,-112700000,4400000,-117100000,184500000,2.5e+07,260400000,-100900000,245400000,-36300000,-7.7e+07,-7.7e+07,1e+05,-113200000,-70200000,169500000,14600000,14600000,-14800000,99100000,231300000,231300000,15600000,246900000,186100000,3012800000,310100000,0.72695,0.06244,0.04813,0.0179,0.00557,4.43,1.0513,2.21473,0.23969,0.38911,0.38911,8.08394,21.37132,1.72374,0.39022,0.01735,0.03838,1.00286,13.03063,26.70705
"31","2017_Q4",58.4361904761905,"Up",1559900000,-451400000,1108500000,-989600000,-889500000,-100100000,118900000,-31400000,-31400000,87500000,-10600000,76900000,41200000,118100000,118100000,1.11e+08,1.11e+08,564900000,564900000,4522500000,4522500000,5087400000,413400000,7309600000,1671200000,4160400000,918400000,559600000,7.723e+09,12810400000,4.362e+09,4.362e+09,1.25e+08,218200000,218200000,4705200000,2741700000,1191300000,1191300000,3.933e+09,8638200000,3546800000,180800000,3.366e+09,1062100000,-498900000,4.11e+09,4172200000,12810400000,118100000,118100000,100100000,72800000,4400000,68400000,41300000,734300000,-623800000,-69200000,332300000,-28200000,-88600000,-88600000,-2e+06,-118800000,-7e+07,-95700000,15300000,15300000,-15200000,-165600000,47900000,47900000,63700000,111600000,2.19e+08,2866700000,190900000,0.71062,0.07622,0.07116,0.0266,0.00866,1.71982,1.08123,2.07042,0.22378,0.61462,0.61462,8.63732,22.75748,1.05703,0.3876,0.02199,0.0232,0.63063,10.5105,19.35913
"32","2018_Q1",62.097868852459,"Up",1485500000,-420500000,1.065e+09,-1001200000,-904600000,-96600000,63800000,-31200000,-31200000,32600000,-3400000,29200000,49300000,78500000,78500000,71500000,71500000,681200000,681200000,6588200000,6588200000,7269400000,412200000,7228100000,1644600000,4164800000,851600000,567100000,7640300000,14909700000,5933800000,5933800000,2.9e+08,506400000,151100000,6730200000,2691900000,1187900000,1112600000,3879800000,1.061e+10,3569200000,1.81e+08,3388200000,1221800000,-555400000,4235600000,4299700000,14909700000,78500000,78500000,96600000,58600000,4400000,54200000,27300000.0000001,752400000,-588700000,-136400000,2.61e+08,-35400000,-73400000,-73400000,0,-108800000,-71100000,97600000,-7500000,10200000,-20200000,-1200000,1.51e+08,1.51e+08,-26500000,124500000,160400000,2981900000,1.03e+08,0.71693,0.04295,0.04813,0.01663,0.0048,1.44056,1.08012,2.46761,0.2,0.39503,0.39503,8.20718,23.4011,0.56906,0.39282,0.01684,0.01216,0.99441,14.34352,36.06113
"33","2018_Q2",62.7009375,"Up",1802900000,-431200000,1371700000,-1090700000,-991900000,-98800000,2.81e+08,-31300000,-31300000,249700000,-7400000,242300000,43700000,2.86e+08,2.86e+08,273700000,273700000,697900000,697900000,7835400000,7835400000,8533300000,424200000,7.17e+09,1639600000,4236300000,708400000,585700000,7594200000,16127500000,6.871e+09,6.871e+09,3.6e+08,511400000,1.21e+08,7742400000,2792100000,1008500000,933700000,3800600000,1.1543e+10,3587400000,182100000,3405300000,1426700000,-499500000,4514600000,4584500000,16127500000,2.86e+08,2.86e+08,98800000,-1.53e+08,4800000,-157800000,-449400000,-1505400000,979400000,76600000,-217600000,-31100000,-57300000,-57300000,1500000,-86900000,-76100000,139700000,2.1e+07,32300000,-15100000,69500000,-2.35e+08,-2.35e+08,38700000,-196300000,379800000,3152100000,-144400000,0.76083,0.15586,0.15181,0.0597,0.01697,-0.52758,1.10215,2.51783,0.19545,1.50799,1.50799,9.93333,24.87383,-0.79559,0.41928,0.04,-0.01651,0.27804,6.46182,8.73381
"34","2018_Q3",66.7579365079365,"Up",1.625e+09,-441800000,1183200000,-1051700000,-947500000,-104200000,131500000,-33900000,-33900000,97600000,6e+06,103600000,20100000,123700000,123700000,114900000,114900000,652200000,652200000,7712800000,7712800000,8.365e+09,427600000,7437900000,1.731e+09,4403900000,716300000,586700000,7865500000,16230500000,6827300000,6827300000,2.35e+08,506300000,111100000,7568600000,3.141e+09,1007800000,931200000,4148800000,11717400000,3.629e+09,182600000,3446400000,1.466e+09,-651400000,4443600000,4513100000,16230500000,123700000,123700000,104200000,1.8e+07,1600000,16400000,2.85e+08,408100000,127500000,-250600000,530900000,-31600000,-338100000,-338100000,10900000,-358800000,-74800000,220800000,15400000,15400000,-29300000,132100000,304200000,304200000,-68200000,2.36e+08,235700000,3.376e+09,4.69e+08,0.72812,0.08092,0.07071,0.02546,0.00708,4.08181,1.10522,2.59631,0.208,0.63028,0.63028,8.91388,24.37521,2.57268,0.41031,0.02132,0.05271,0.651,11.55622,20.71331
"35","2018_Q4",69.8942857142857,"Up",1741200000,-508800000,1232400000,-1099600000,-993400000,-106200000,132800000,-36700000,-36700000,96100000,-5800000,90300000,48100000,138400000,138400000,127600000,127600000,6.05e+08,6.05e+08,7.479e+09,7.479e+09,8.084e+09,429300000,7601400000,1772100000,4501300000,743400000,584600000,8030700000,16114700000,6636700000,6636700000,2.3e+08,555900000,159300000,7422600000,3141200000,938200000,862100000,4079400000,1.1502e+10,3700300000,183700000,3516600000,1517600000,-673400000,4544500000,4612700000,16114700000,138400000,138400000,106200000,54900000,3700000,51200000,-108200000,3.15e+08,-377800000,-45400000,191300000,-28100000,-180100000,-180100000,1e+05,-208100000,-75300000,48500000,22200000,22200000,-40200000,-44800000,-61600000,-61600000,-22600000,-84200000,2.39e+08,3371200000,54600000,0.70779,0.07627,0.07328,0.02766,0.00792,0.4279,1.08911,2.49355,0.2092,0.69575,0.69575,9.494,24.77917,0.29771,0.41058,0.02274,0.00612,0.59013,11.57406,20.82982
"36","2019_Q1",72.5509836065574,"Up",1623300000,-434200000,1189100000,-1.107e+09,-997200000,-109800000,82100000,-36500000,-36500000,45600000,-2400000,43200000,84600000,127800000,127800000,117300000,117300000,607200000,607200000,7511500000,7511500000,8118700000,436900000,7778400000,1.773e+09,4625600000,806200000,573600000,8215300000,1.6334e+10,6795300000,6795300000,3.65e+08,533300000,1.54e+08,7693600000,3091400000,979300000,900900000,4070700000,11764300000,3725900000,1.84e+08,3541900000,1558600000,-785600000,4498900000,4569700000,1.6334e+10,127800000,127800000,109800000,69100001,3600000,65500001,-46199999.9999999,-8e+05,90600000,-1.36e+08,260500001,-33600000,-209300000,-209300000,-13600000,-256500000,-75600000,98900000,1.2e+07,1.2e+07,-30100000,5199999.99999997,9200000.99999994,9200000.99999994,-32900000,-23699999.0000001,191900000,3456400000,27500000,0.73252,0.05058,0.07226,0.02567,0.00718,0.23444,1.05525,2.57441,0.21161,0.63889,0.63889,8.8415,24.50381,0.14978,0.41176,0.02142,0.00305,0.6445,14.84732,34.70402
"37","2019_Q2",78.9579365079365,"Up",1957500000,-382500000,1.575e+09,-1210100000,-1099600000,-110500000,364900000,-40200000,-40200000,324700000,-2900000,321800000,29900000,351700000,351700000,334100000,334100000,871500000,871500000,8.798e+09,8.798e+09,9669500000,450200000,8511700000,1841400000,4800900000,869900000,999500000,8961900000,18631400000,7.741e+09,7.741e+09,3.6e+08,536900000,134800000,8637900000,3690300000,1.345e+09,1.267e+09,5035300000,13673200000,3791600000,185300000,3606300000,1810200000,-721500000,4880300000,4958200000,18631400000,351700000,351700000,110500000,-235600000,3600000,-239200000,-322800000,-1285600000,876900000,85900000,-96200000,-39300000,-175600000,-175600000,73600000,-141300000,-79600000,574500000,32800000,32800000,-20300000,507400000,269900000,269900000,34100000,3.04e+08,475400000,4050300000,83400000,0.8046,0.18641,0.17068,0.06738,0.01793,0.24963,1.11943,2.75769,0.21739,1.81084,1.81084,10.60976,26.45149,0.45203,0.43144,0.03996,0.00806,0.23825,6.68658,8.71143
"38","2019_Q3",85.48828125,"Up",1624800000,-2.92e+08,1332800000,-1.179e+09,-1.064e+09,-1.15e+08,153800000,-44900000,-44900000,108900000,-3400000,105500000,15900000,121400000,121400000,110100000,110100000,512300000,512300000,9035100000,9035100000,9547400000,4.58e+08,9194900000,2008800000,5241900000,905700000,1038500000,9652900000,19200300000,7941200000,7941200000,4.25e+08,566300000,137300000,8932500000,3815600000,1504400000,1429100000,5.32e+09,14252500000,3842600000,186100000,3656500000,1839300000,-802500000,4879400000,4947800000,19200300000,121400000,121400000,1.15e+08,66499999.9999999,3500000,6.3e+07,212900000,176600000,202300000,-1.66e+08,515800000,-3.6e+07,-558300000,-558300000,2800000.00000001,-591500000,-80100000,195100000,32300000,32300000,-34600000,112700000,3.7e+07,3.7e+07,-31200000,5800000,268800000,4240600000,429800000,0.82029,0.09466,0.06776,0.02225,0.00573,3.90372,1.06884,2.88057,0.22086,0.59289,0.59289,8.7496,26.27571,2.31449,0.43134,0.01779,0.0402,0.72752,13.87016,24.24122
"39","2019_Q4",87.51046875,"Up",1790500000,-397400000,1393100000,-1.226e+09,-1106700000,-119300000,167100000,-46599999,-46599999,120500001,-5700000,114800001,22300000,137100001,137100001,126100001,126100001,578900000,578900000,8749700000,8749700000,9328600000,458800000,9386400000,2073500000,5314800000,952800000,1045300000,9845200000,19173800000,7829600000,7829600000,4.9e+08,591300000,170100000,8910900000,3815800000,1535100000,1462400000,5350900000,14261800000,3884200000,186500000,3697700000,1884200000,-925100000,4843300000,4.912e+09,19173800000,137100000,137100000,119300000,104600000,3400000,101200000,-11500000,276900000,-235900000,-52500000,349500000,-32400000,-217200000,-217200000,2e+06,-247600000,-80100000,103600000,1.8e+07,1.8e+07,-32900000,8600000,110500000,110500000,-49800000,60700000,286400000,4305800000,220200000,0.77805,0.09333,0.07043,0.02567,0.00658,1.74623,1.04688,2.90346,0.22457,0.67687,0.67687,9.61084,25.99732,1.18196,0.42995,0.01918,0.02048,0.63521,13.01292,22.30341
"40","2020_Q1",91.9070967741935,"Up",1683600000,-280900000,1402700000,-1267300000,-1137700000,-129600000,135400000,-48100001,-48100001,87299999,-3300000,83999999,21600000,105599999,105599999,98499999,98499999,604800000,604800000,8512700000,8512700000,9117500000,467400000,10049900000,2318700000,5618500000,945600000,1167100000,10517300000,19634800000,7696300000,7696300000,6.2e+08,604700000,170600000,8.921e+09,3816100000,1682200000,1612500000,5498300000,14419300000,4013800000,188100000,3825700000,1901300000,-759600000,5155500000,5215500000,19634800000,105600000,105600000,129600000,-112100000,3500000,55600000,298900000,397400000,-381700000,283200000,4.22e+08,-31100000,-315700000,-315700000,-121300000,-468100000,-81300000,1.26e+08,18100000,18100000,-53100000,9699999.99999999,-36400000,-36400000,5.3e+07,16600000,2.65e+08,4436100000,511200000,0.83316,0.08042,0.05851,0.01889,0.00502,5.18985,1.02203,2.7647,0.22593,0.52533,0.52533,8.9792,27.496,2.7264,0.4336,0.01586,0.0451,0.82538,14.45774,28.29616
"41","2020_Q2",85.387619047619,"Down",1829200000,-185400000,1643800000,-1326300000,-1153900000,-172400000,317500000,-50500000,-50500000,2.67e+08,8.9e+07,3.56e+08,-6e+05,355400000,355400000,346300000,346300000,352800000,352800000,10174400000,10174400000,10527200000,454300000,9.855e+09,2246800000,5555200000,1003800000,1049200000,10309300000,20836500000,8836900000,8836900000,4.55e+08,545900000,122600000,9837800000,4315100000,1613500000,1545300000,5928600000,15766400000,4099200000,189600000,3909600000,2161400000,-1231100000,5029500000,5070100000,20836500000,355400000,355400000,172400000,-83800000,3300000,-87100000,-335400000,-2055800000,1863100000,-142700000,108600000,-29500000,-76200000,-76200000,7e+05,-1.05e+08,-87400000,308500000,23900000,23900000,-97100000,147900000,151500000,151500000,-142200000,9300000,489900000,4770100000,125600000,0.89864,0.17357,0.18932,0.0683,0.01662,0.36269,1.07008,3.10968,0.22893,1.83519,1.83519,9.69369,26.65342,0.66561,0.46317,0.03787,0.01097,0.25238,9.01674,13.91276
"42","2020_Q3",100.45421875,"Up",1551600000,-91100000,1460500000,-1223100000,-1030400000,-122600000,237400000,-5e+07,-5e+07,187400000,-15700000,171700000,-9900000,161800000,161800000,153700000,153700000,349700000,349700000,10410700000,10410700000,10760400000,461400000,10084400000,2.226e+09,5756400000,1012100000,1089900000,10545800000,21306200000,9082100000,9082100000,2.25e+08,556900000,103600000,9.864e+09,4315400000,1592300000,1.526e+09,5907700000,15771700000,4242500000,191500000,4.051e+09,2228300000,-982200000,5488600000,5534500000,21306200000,161800000,161800000,122600000,2.6e+07,3400000,22600000,383200000,486700000,-139500000,35999999.9999999,693600000,-29300000,-6699999.99999997,-6699999.99999997,1200000.00000001,-34800000,-86100000,-266400001,34300000,34300000,-82200000,-400400001,258399999,258399999,111100000,369499999,3.6e+08,4540400000,723800000,0.94129,0.153,0.09906,0.02777,0.00721,4.70917,1.09088,2.84971,0.2131,0.80682,0.80682,8.14488,28.81155,3.79948,0.45197,0.02055,0.06204,0.56018,11.64083,17.65249
"43","2020_Q4",110.76828125,"Up",1807500000,-5.01e+08,1306500000,-1028800000,-1076700000,-133900000,277700000,-48100000,-48100000,229600000,-20100000,209500000,-21700000,187800000,187800000,176600000,176600000,629900000,629900000,10570400000,10570400000,11200300000,458700000,10155900000,2.195e+09,5832200000,1049800000,1078900000,10614600000,21814900000,9333400000,9333400000,1.25e+08,658800000,1.93e+08,10117200000,4265700000,1613799999,1548200000,5879499999,15996699999,4324800000,192300000,4132500000,2317300000,-870400000,5771700000,5818200000,21814899999,187800000,187800000,133900000,38200001,3400000,34800001,225500000,271200000,-127600000,81900000,585400001,-20700000,-8400000,-8400000,6100000,-2.3e+07,-86600000,-70599999,25400000,25400000,3100000,-128699999,433700002,433700002,38400000,472100002,411600000,4390700000,638100000,0.72282,0.15364,0.0977,0.03035,0.0081,3.61325,1.10706,2.74942,0.20127,0.91979,0.91979,9.41406,30.06094,3.32344,0.45104,0.02226,0.05397,0.49037,9.13703,13.54267
"44","2021_Q1",117.854754098361,"Up",1815300000,-256300000,1.559e+09,-1357200000,-1.112e+09,-133500000,201800000,-47800000,-47800000,1.54e+08,-20300000,133700000,19400000,153100000,153100000,142200000,142200000,664600000,664600000,10459600000,10459600000,11124200000,450700000,10756500000,2399900000,6.127e+09,1085800000,1143800000,11207200000,22331400000,9380800000,9380800000,7.5e+07,679200000,203600000,1.0135e+10,4.266e+09,1697700000,1.632e+09,5963700000,16098700000,4458099999,193700000,4264399999,2371700000,-643600000,6186199999,6232699999,22331399999,153100000,359661880.948154,133500000,-106100001,3300727.06049926,24164098.8187269,2.39e+08,-1563466070.10166,1090981325.86351,217076173.163076,419499999,-19800000,-2.33e+08,-251161781.181829,-55800000,-308600000,-87300000,-50600000,28300000,28300000,-14300000,-123900000,-13000001,-13000001,112500000,99499999,335300000,4.341e+09,535100000,0.85881,0.11117,0.07833,0.02282,0.00637,3.76301,1.0976,2.58294,0.19439,0.73755,0.73755,9.41546,32.0861,2.77541,0.4528,0.0187,0.04361,0.61392,10.96451,18.21804
"45","2021_Q2",138.506825396825,"Up",2132600000,-276700000,1855900000,-1384400000,-1208700000,-143300000,471500000,-48100000,-48100000,423400000,-1.5e+07,408400000,-14700000,393700000,393700000,382100000,382100000,526299999,526299999,12141199999,12141199999,12667499998,449200000,11297800000,2478800000,6510900000,1087900000,1220200000,1.1747e+10,24414499998,10838100000,10838100000,132559389.917441,677900000,151300000,1.1516e+10,4366300000,1752699999,1688600000,6118999999,17634999999,4.6e+09,195900000,4404100000,2658900000,-527799999,6731100001,6779500001,24414500000,393700000,393700000,143300000,19800000,3700000,22300000,-338100000,-1691300000,1208200000,1.45e+08,218700000,-27200000,-395600000,-395600000,72500000,-350300000,-97400000,-29600000,37200000,37200000,-28300000,-118100000,-249700000,-249700000,36300000,-213400000,614800000,4366300000,264200000,0.87025,0.22109,0.17917,0.05636,0.01565,0.69144,1.09999,2.60122,0.17884,1.96351,1.96351,10.95889,34.58941,1.35766,0.50051,0.03717,0.02048,0.25491,6.24593,8.14422
"46","2021_Q3",140.7046875,"Up",1896800000,-232100000,1664700000,-1372400000,-1190500000,-145200000,292300000,-56200000,-56200000,236100000,-13800000,222300000,-20500000,201800000,201800000,190200000,190200000,3204100000,3204100000,12735199999,12735199999,15939299999,454900000,1.1423e+10,2447300000,6630300000,1126300000,1219100000,11877900000,27817199999,11125100000,11125100000,2e+08,696200000,166100000,12021300000,5712200000,1729700000,1667700000,7441900000,19463200000,6094100000,206800000,5887300000,2749100000,-530500000,8312700000,8.354e+09,27817200000,201800000,201800000,145200000,19299999,4499999,14200000,103900000,12600000,409200000,-317900000,470199999,-3.2e+07,-1.56e+08,-1.56e+08,-64400000,-252400000,-1.05e+08,1578300000,1464800000,1464800000,-155600000,2782500000,3000299999,3000299999,13800000,3014099999,437500000,5912200000,529900000,0.87764,0.1541,0.10027,0.02277,0.00684,2.78601,1.32592,2.32981,0.21254,0.97739,0.89353,9.74717,42.71686,2.72302,0.53957,0.01845,0.03313,0.55205,6.18994,9.2648
"47","2021_Q4",161.20640625,"Up",2138200000,-398700000,1739500000,-1397400000,-1266100000,-131300000,342100000,-60300000,-60300000,281800000,-50400000,231400000,7200000,238600000,238600000,225100000,225100000,2735100000,2735100000,12403200000,12403200000,15138300000,454500000,1.1323e+10,2.339e+09,6627500000,1171400000,1185100000,11777500000,26915800000,10698600000,10698600000,2e+08,761200000,234100000,11659800000,5072400000,1713500000,1652400000,6785900000,18445700000,6169600000,207300000,5962300000,2873800000,-623200000,8420200000,8470100000,26915800000,238600000,200887250.375086,131300000,-3799999,3484393.83995053,19902415.2058271,155300000,-3954519141.52119,4388850118.8971,-239773548.369889,521400001,-4.4e+07,-8e+07,-11748884.4224979,-64100000,-188100000,-89800000,-573800000,22600000,22600000,-21800000,-662800000,-329499999,-329499999,-33200000,-362699999,473400000,5272400000,577500000,0.81353,0.15999,0.10528,0.02658,0.00836,2.56553,1.29833,2.17774,0.19588,1.1199,1.05748,10.63781,41.89154,2.87313,0.44677,0.02037,0.03736,0.39893,5.35974,7.41684
"48","2022_Q1",157.755806451613,"Down",2041800000,-398700000,1643100000,-1.412e+09,-1334600000,-146500000,231100000,-61500000,-61500000,169600000,-56600000,1.13e+08,7900000,120900000,120900000,109400000,109400000,402600000,402600000,17267800000,17267800000,17670400000,500800000,15173800000,3.954e+09,8666200000,1228500000,1325100000,15674600000,3.3345e+10,15740700000,15740700000,2.45e+08,749300000,228400000,1.6735e+10,5810200000,2239700000,2.181e+09,8049900000,24784900000,6352200000,207965942.741642,5999724064.92225,2882300000,-726100000,8508400000,8560100000,3.3345e+10,120900000,346881886.602327,146500000,-5.2e+07,1980068.94360488,25617900.5855263,278400000,-9710172180.96803,9522106439.29816,163355014.673707,493800000,-25400000,-2619300000,-31108380.996135,3800000,-2640900000,-99800000,784100000,22100000,22099999.9999998,-23900000,682500000,-1464600000,-1464600000,-81400000,-1.546e+09,377600000,6055200000,622700000,0.80473,0.11318,0.05358,0.01278,0.00328,5.69196,1.05589,2.8954,0.18159,0.47943,0.47943,8.94789,37.2868,2.72889,0.43736,0.01241,0.03694,0.91225,14.96981,24.45954
