"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q4",4.35301587301587,"Up",116400000,116400000,-30700000,85700000,-35400000,-2.6e+07,-9400000,50300000,-12900000,-12900000,37400000,0,37400000,36200000,36200000,-22500000,13700000,13700000,34100000,30400000,3700000,118400000,118400000,9200000,4100000,161700000,29200000,19400000,943100000,732600000,11500000,991700000,1153400000,46100000,1.4e+07,32100000,45600000,45600000,91700000,910800000,212800000,144600000,1123600000,1215300000,-110800000,-250500000,-361300000,299400000,-61900000,1153400000,36200000,9400000,4800000,-1.5e+07,35400000,-3300000,17900000,14400000,-13400000,-1e+07,-10600000,-3.4e+07,15800000,15800000,15800000,59700000,910800000,0.73625,0.43213,0.1177,-0.22132,0.01188,1.76336,-19.63328,0.78967,0.21409,0.21312,1.81894,-5.64591,0.2094,0.02553,0.9781,14.68509,17.42942
"30","2018_Q1",4.42508196721311,"Up",140700000,140700000,-3.4e+07,106700000,-36500000,-27100000,-9400000,70200000,-1.3e+07,-13200000,57200000,191600000,248800000,69500000,69500000,-28800000,40700000,40700000,43300000,30200000,13100000,160600000,160600000,8700000,4052403.73711438,212600000,30700000,19700000,910100000,717200000,6900000,960500000,1173100000,50300000,19300000,3.1e+07,59400000,59400000,109700000,923300000,214900000,214900000,1138200000,1247900000,-232300000,-130200000,-362500000,287700000,-74800000,1173100000,69500000,9400000,-8500000,-35500000,34900000,-4300000,-10200000,-1e+07,-16600000,1.2e+07,-20500000,-25100000,-199999.999999996,-199999.999999996,-199999.999999996,79600000,923300000,0.75835,0.49893,0.28927,-0.54412,0.03469,1.93801,-16.68316,0.78706,0.53556,0.09719,1.85144,-4.77005,0.21844,0.05388,0.40786,11.05528,12.53561
"31","2018_Q2",4.72703125,"Up",80200000,80200000,-31100000,49100000,-38100000,-28600000,-9500000,1.1e+07,-13600000,-13600000,-2600000,1e+05,-2500000,-3500000,-3500000,1600000,-1900000,-1900000,6.8e+07,4.6e+07,2.2e+07,1.15e+08,1.15e+08,9600000,4900000,192600000,31500000,16300000,917300000,724200000,6600000,965100000,1157700000,42900000,1.7e+07,25900000,36500000,36500000,79400000,944800000,217900000,217800000,1162700000,1242100000,-228500000,-145600000,-374100000,289700000,-84400000,1157700000,-3500000,9500000,4500000,3.9e+07,49500000,-3500000,-5900000,-9400000,-1.5e+07,2.1e+07,-30300000,-24300000,15800000,15800000,15800000,20500000,944800000,0.61222,0.13716,-0.02369,0.02251,-0.00164,2.42569,-14.71682,0.8161,-0.02479,-0.02479,1.04645,-4.88124,0.19572,0.01215,-7.89474,42.77073,79.70909
"32","2018_Q3",6.32222222222222,"Up",113700000,113700000,-3.4e+07,79700000,-39500000,-29500000,-1e+07,40200000,-14800000,-13600000,25400000,7700000,33100000,17100000,17100000,-12900000,4200000,4200000,52400000,34400000,1.8e+07,125700000,125700000,12600000,4800000,190700000,3.2e+07,16400000,893600000,711800000,10900000,9.42e+08,1132700000,43900000,16500000,27400000,44200000,44200000,90100000,939500000,198200000,198200000,1137700000,1227800000,-226300000,-154900000,-381200000,286100000,-95100000,1132700000,17100000,1e+07,11700000,-22100000,16700000,-3700000,4e+06,3e+05,-13100000,-2800000,-12700000,-28600000,-11600000,-11600000,-11600000,50200000,941500000,0.70097,0.35356,0.03694,-0.04416,0.00371,2.11654,-12.91062,0.8312,0.05461,0.05446,1.47831,-4.95631,0.17032,0.01656,3.11905,17.71116,22.11692
"33","2018_Q4",5.70666666666667,"Down",110100000,110100000,-33200000,76900000,-34600000,-24600000,-1e+07,42300000,-13700000,-14100000,28600000,-3200000,25400000,25700000,25700000,-14500000,11200000,11200000,56500000,27300000,29200000,114100000,114100000,12700000,4e+06,183300000,32800000,13400000,890500000,699500000,10300000,936700000,1.12e+09,49900000,17600000,32300000,41300000,41300000,93900000,914800000,201700000,201700000,1116500000,1210400000,-215400000,-156800000,-372200000,281800000,-90400000,1.12e+09,25700000,1e+07,4400000,12500000,52600000,-2800000,-8100000,-10900000,-13100000,-24100000,-11600000,-48800000,-7100000,-7100000,-7100000,52300000,917500000,0.69846,0.3842,0.10173,-0.12389,0.01,1.95208,-13.38938,0.8192,0.1456,0.14454,1.43126,-4.83848,0.1703,0.02362,1.16964,16.46272,20.35461
"34","2019_Q1",5.31049180327869,"Down",137400000,137400000,-34100000,103300000,-42500000,-32100000,-10400000,60800000,-11600000,-12600000,49200000,-1500000,47700000,40900000,40900000,-24600000,16300000,16300000,65400000,41400000,2.4e+07,149900000,149900000,15600000,4093121.04205274,230900000,33600000,13200000,864100000,684500000,5700000,910900000,1141800000,5.5e+07,1.8e+07,3.7e+07,52800000,52800000,110500000,920900000,199600000,199600000,1120500000,1.231e+09,-214400000,-153600000,-3.68e+08,278800000,-89200000,1141800000,40900000,10400000,1e+07,-30500000,30800000,-4300000,5400000,3900000,-13200000,6700000,-14100000,-20600000,14100000,14100000,14100000,71200000,923600000,0.75182,0.4425,0.11863,-0.18274,0.01428,2.08959,-13.80045,0.8089,0.2118,0.04092,1.78537,-4.78178,0.17152,0.02853,0.809820000000001,12.05337,14.11513
"35","2019_Q2",5.3484126984127,"Up",76900000,76900000,-29900000,4.7e+07,-36100000,-25900000,-10200000,10900000,-13700000,-13900000,-2800000,-4e+05,-3200000,-2600000,-2600000,1500000,-1100000,-1100000,72300000,6.4e+07,8300000,105600000,105600000,9300000,4700000,187200000,32200000,13300000,885200000,682700000,27900000,930700000,1117900000,40700000,13300000,27400000,32100000,32100000,75500000,925700000,221400000,221400000,1147100000,1222600000,-212800000,-1.68e+08,-380800000,276100000,-104700000,1117900000,-2600000,3300000,15200000,30100000,4.6e+07,-2900000,16500000,1.5e+07,-1.4e+07,4700000,-29100000,-38400000,22600000,22600000,22600000,14200000,928400000,0.61118,0.14174,-0.0143,0.01051,-0.00098,2.47947,-11.67717,0.83049,-0.01425,-0.01425,0.99637,-4.93393,0.18139,0.01234,-12.72727,60.28873,78.54128
"36","2019_Q3",5.826875,"Up",110200000,110200000,-34900000,75300000,-37600000,-27300000,-10300000,37700000,-13600000,-13700000,24100000,-8e+05,23300000,2.1e+07,2.1e+07,-12100000,8900000,8900000,5.4e+07,42800000,11200000,124900000,124900000,12100000,4700000,1.91e+08,32400000,10900000,869700000,669600000,27700000,9.13e+08,1.104e+09,43300000,15500000,27800000,45200000,45200000,91200000,915400000,207900000,207900000,1123300000,1214500000,-211100000,-172600000,-383700000,273200000,-110500000,1.104e+09,2.1e+07,3300000,15700000,-26700000,13300000,-3900000,-5e+05,-4400000,-13200000,-10700000,-6200000,-30100000,-21200000,-21200000,-21200000,4.1e+07,918100000,0.6833,0.34211,0.08076,-0.08054,0.00806,2.0943,-10.99095,0.83161,0.11507,0.11415,1.42482,-4.96101,0.17067,0.02176,1.48315,21.07561,22.92042
"37","2019_Q4",6.0071875,"Up",110500000,110500000,-32900000,77600000,-37600000,-27400000,-10200000,4e+07,-13400000,-13400000,26600000,5e+05,27100000,22800000,22800000,-13600000,9200000,9200000,54400000,46300000,8100000,121600000,121600000,11600000,3500000,187600000,32100000,9600000,854800000,658300000,28600000,896500000,1084100000,49800000,16500000,33300000,5.2e+07,5.2e+07,104500000,8.94e+08,207900000,207900000,1101900000,1206400000,-2.1e+08,-176900000,-386900000,264600000,-122300000,1084100000,22800000,3400000,20500000,7600000,54300000,-3e+06,2400000,-6e+05,-13200000,-21600000,-15400000,-50200000,3500000,3500000,3500000,43400000,896700000,0.70226,0.36199,0.08326,-0.07522,0.00849,1.79522,-9.86427,0.82714,0.11893,0.11808,1.42845,-5.0015,0.17064,0.0228,1.43478,19.40783,21.0575
"38","2020_Q1",5.28758064516129,"Down",147200000,147200000,-36800000,110400000,-37700000,-28100000,-9600000,72700000,-14800000,-14900000,57900000,-6e+06,51900000,45500000,45500000,-26400000,19100000,19100000,73400000,55900000,17500000,170800000,170800000,10100000,3500000,254300000,33200000,8500000,8.34e+08,643700000,28200000,875700000,1.13e+09,56600000,20700000,35900000,60200000,60200000,119500000,923900000,207800000,207800000,1131700000,1251200000,-208400000,-171100000,-379500000,258300000,-121200000,1.13e+09,45500000,3600000,24900000,-4.4e+07,3e+07,-4200000,-8400000,-8400000,-13200000,28300000,-27100000,-1.2e+07,9600000,9600000,9600000,76300000,926600000,0.75,0.49389,0.12976,-0.15759,0.0169,2.12803,-10.32343,0.82,0.24644,0.24466,1.89929,-4.89661,0.17032,0.03188,0.6911,11.18218,11.7359
"39","2020_Q2",2.52301587301587,"Down",64700000,64700000,-26800000,37900000,-3.3e+07,-23700000,-9300000,4900000,-13300000,-13400000,-8400000,-2e+05,-8600000,-8200000,-8200000,4500000,-3700000,-3700000,2.1e+08,193200000,16800000,113700000,113700000,3500000,3500000,327200000,32800000,6400000,838200000,646700000,28800000,877400000,1204600000,43900000,12700000,31200000,33600000,33600000,80200000,1051600000,209100000,209100000,1260700000,1340900000,-208300000,-188300000,-396600000,260300000,-136300000,1204600000,-8199999,9300000,9100000,47900000,58100001,-3300000,4100000,8e+05,-15500000,127300000,-33400000,78400000,137300001,137300001,137300001,14200000,1054300000,0.58578,0.07573,-0.05719,0.02715,-0.00307,4.0798,-9.83786,0.87523,-0.04758,-0.04758,0.832,-5.10005,0.19932,0.01047,-4.18919,59.45775,172.30612
"40","2020_Q3",2.700625,"Up",3999999.99999999,4e+06,1.5e+07,1.9e+07,-23400000,-14100000,-9300000,-4400000,-13400000,-13300000,-17800000,-19800000,-37600000,-33400000,-33400000,19600000,-13800000,-13800000,246900000,245400000,1500000,26700000,26700000,4100000,4100000,277700000,29900000,4e+06,836300000,640500000,28900000,870200000,1147900000,36900000,12300000,24600000,23600000,23600000,63200000,1050900000,208800000,208800000,1259700000,1322900000,-208300000,-207400000,-415700000,240700000,-1.75e+08,1147900000,-33400001,9300000,-99999.9999999981,73500000,49299999,-1900000,16600001,14700001,-5500000,-700000.000000015,-5600000,-11800000,52200000,52200000,52200000,4900000.00000001,1053600000,4.75,-1.1,-3.45,0.07886,-0.01202,4.39399,-7.55943,0.91785,-0.17693,-0.17693,0.0512799999999999,-5.32976,0.07052,-0.00763,-0.39855,164.63265,-183.34091
"41","2020_Q4",2.67984375,"Down",6e+06,6e+06,-2900000,3100000,-42100000,-13300000,-9300000,-3.9e+07,-13700000,-13600000,-52700000,18700000,-3.4e+07,-30900000,-30900000,18200000,-12700000,-12700000,2.19e+08,217700000,1300000,10800000,10800000,3600000,3600000,233400000,28300000,2600000,833500000,634400000,2.9e+07,864400000,1097800000,35900000,9400000,26500000,11800000,11800000,50400000,1050500000,207300000,207300000,1257800000,1308200000,-207600000,-225600000,-433200000,222800000,-210400000,1097800000,-30900000,9300000,-2700000,2800000,-21500000,-1400000,1400000,0,-5500000,-6e+05,-1e+05,-6200000,-27700000,-27700000,-27700000,-29700000,1053200000,0.51667,-6.5,-2.11667,0.06036,-0.01157,4.63095,-6.21768,0.95937,-0.16279,-0.16279,0.07691,-5.55265,0.0705,-0.00686,-0.43307,-28.08754,-21.38974
"42","2021_Q1",3.93229508196721,"Up",15700000,15700000,-28800000,-13100000,-7700000.00000001,-17400000,-9800000,-20800000,-1.5e+07,-14900000,-35800000,151900000,116100000,-53800000,-53800000,18600000,-35200000,-35200000,180600000,180300000,3e+05,16200000,16200000,3100000,3100000,199900000,27500000,2e+06,656800000,627800000,2.9e+07,686300000,886200000,37500000,13700000,23800000,9800000,9800000,5e+07,1049599999,55200000,22600000,1104799999,1154799999,-206700000,-266399999,-473099999,204500000,-268599999,886200000,-53800000,-14800000,44700000,-6699998.99999999,-30599999,-1400000,1500000,1e+05,-5500000,-1400000,4.65661287307739e-10,-6900000,-37399999,-37399999,-37399999,-35600000,1052299999,-0.83439,-1.32484,-2.24204,0.13105,-0.03972,3.998,-4.29933,1.18743,-0.45102,-0.45102,0.20116,-6.06181,0.07047,-0.0354,-0.15625,-24.48596,-41.90865
"43","2021_Q2",4.23015873015873,"Up",2300000,5400000,-3300000,-1e+06,-27300000,-17900000,-9400000,-28300000,-14800000,-14700000,-43100000,1100000,-4.2e+07,-4.2e+07,-4.2e+07,22600000,-19400000,-19400000,1.91e+08,190700000,3e+05,7500000,7500000,14200000,14200000,212700000,25200000,1200000,655900000,626500000,29400000,682300000,8.95e+08,3.6e+07,9400000,26600000,7700000,7700000,46900000,1094100000,53300000,53300000,1147400000,1194300000,-198100000,-290300000,-488400000,189100000,-299300000,8.95e+08,-4.2e+07,9400000,2300000,5300000,-2.5e+07,-2e+06,3425948.85821498,-2e+06,-4800000,49300000,-7100000,37400000,10400000,10400000,10400000,-18900000,1097300000,-0.43478,-12.30435,-8.43478,0.06482,-0.02168,4.53518,-3.99031,1.22603,-0.24719,-0.24719,0.02931,-6.22313,0.06116,-0.01715,-0.24742,-47.95238,-32.02473
"44","2021_Q3",2.968125,"Down",2800000,1.4e+07,-5100000,-2300000,-27300000,-18500000,-8800000,-29600000,-16900000,-16900000,-46500000,-4e+05,-46900000,-46900000,-46900000,24200000,-22700000,-22700000,147700000,147400000,3e+05,11800000,11800000,1.6e+07,1.6e+07,175500000,23500000,1300000,650700000,620200000,30500000,675500000,8.51e+08,37500000,1.4e+07,23500000,12700000,12700000,53400000,1093800000,52800000,52800000,1146600000,1.2e+09,-196800000,-317400000,-514200000,165200000,-3.49e+08,8.51e+08,-46900000,8800000,3799999.99999999,-2300000,-36600000,-9e+05,2167422.00068226,-9e+05,-4e+06,-800000.000000007,-1e+06,-5800000,-43300000,-43300000,-43300000,-20800000,1.097e+09,-0.82143,-10.57143,-8.10714,0.06504,-0.02667,3.28652,-3.4384,1.28907,-0.28924,-0.28924,0.03568,-6.55187,0.05097,-0.02335,-0.17621,-45.63942,-32.07095
"45","2021_Q4",2.961875,"Down",4.6e+07,31700000,-7200000,38800000,-57500000,-17800000,-8700000,-18700000,-16500000,-16500000,-35200000,1700000,-33500000,-33500000,-33500000,18299999,-15200001,-15200001,110100000,110100000,264935.421102413,28500000,28500000,1.5e+07,1.5e+07,153600000,21800000,1200000,643500000,613900000,29600000,666500000,820100000,41100000,15100000,2.6e+07,17100000,17100000,61400000,1122900000,2.1e+07,2.1e+07,1143900000,1205300000,-195800000,-336700000,-532500000,147300000,-385200000,820100000,-33500000,8700000,1600000,-7700000,-30900000,-1e+06,299999.999999997,-7e+05,-4100000,-8e+05,-8e+05,-5700000,-37300000,-37300000,-37300000,-1e+07,1126100000,0.84348,-0.40652,-0.33043,0.03946,-0.01853,2.50163,-3.12902,1.37313,-0.19083,-0.19083,0.57751,-6.68532,0.05147,-0.01457,-0.26974,-101.6,-54.33155
"46","2022_Q1",2.62306451612903,"Down",63500000,63500000,-61300000,2200000,5800000.00000001,-16500000,-8700000,8e+06,-16500000,-16600000,-8500000,12500000,4e+06,3999999.99999999,3999999.99999999,4600001,8600001,8600001,101500000,101200000,3e+05,5.3e+07,5.3e+07,3900000,3900000,158400000,21300000,1800000,635900000,606300000,29600000,6.59e+08,817400000,37600000,16300000,21300000,2.9e+07,2.9e+07,69800000,1110699999,20400000,20400000,1131099999,1200899999,-194700000,-3.32e+08,-526700000,143200000,-383500000,817399999,4e+06,-1.6e+07,14999999,-5700000,-2700001,-1800000,0,-1800000,-4e+06,0,-400000.000000001,-4400000,-8900001,-8900001,-8900001,-8e+06,1113899999,0.0346500000000002,0.12598,0.135429999999999,-0.02243,0.01052,2.26934,-3.13142,1.36274,0.10426,0.10426,0.76986,-6.3856,0.0485,0.01678,0.46512,-126.55,126.55
"47","2022_Q2",1.63274193548387,"Down",1.8e+07,35900000,-6700000,11300000,-2.8e+07,-19900000,-8100000,-16700000,-17100000,-17200000,-33800000,-12200000,-4.6e+07,-4.6e+07,-4.6e+07,20800000,-25200000,-25200000,114100000,113800000,3e+05,4.3e+07,4.3e+07,6700000,6700000,163800000,14200000,1800000,641800000,610700000,31100000,657800000,821600000,31200000,13100000,18100000,23300000,23300000,57700000,1165500000,19800000,19800000,1185300000,1.243e+09,-190700000,-361400000,-552100000,130699999,-421400001,821599999,-4.6e+07,8100000,16900000,-2599999,-23599999,-7e+05,1846685.42944862,-7e+05,-4500000,48400000,-7e+06,36900000,12600001,12600001,12600001,-8600000,1168700000,0.62778,-0.92778,-1.4,0.0598,-0.03067,2.83882,-2.94969,1.42247,-0.31299,-0.31299,0.22357,-6.85729,0.05589,-0.02698,-0.17857,-122.62791,-63.1497
"48","2022_Q3",1.28183673469388,"Down",43900000,67100000,-10399999,33500001,-27900000,-20100000,-7800000,5600001,-20300000,-20400000,-14699999,6100000,-8599999.00000001,-8599999,-8599999,7900000,-699999,-699999,73400000,73100000,3e+05,63600000,63600000,5300000,5300000,142300000,13500000,1700000,632400000,603300000,29100000,647600000,789900000,36300000,16900000,19400000,23700000,23700000,280200000,921800000,19200000,19200000,9.41e+08,1221200000,-189700000,-364900000,-554600000,123300000,-431300000,789900000,-8600000,7800000,-1900000,-14100001,-16800001,-8e+05,6020056.28834586,-8e+05,-2500000,-20600000,0,-23100000,-40700001,-40700001,-40700001,13400001,1.142e+09,0.7631,0.12756,-0.0159499999999999,0.00162,-0.000889999999999998,0.50785,-2.83144,1.44575,-0.00858999999999988,-0.00858999999999999,0.53886,-6.80761,0.03069,0.00247,-3.57143,79.74626,190.82139
