"","YQ","p","d","revenue","sales_services_revenue","financing_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",50.7970967741935,"Up",753900000,741600000,12300000,-220300000,533600000,-257300000,-257300000,276300000,-2e+05,276100000,276100000,-9.8e+07,178100000,178100000,178100000,178100000,352100000,131500000,220600000,408600000,408600000,4102900000,58800000,4033600000,4863600000,3.53e+08,441100000,783100000,69500000,657100000,56500000,1577200000,6440800000,304500000,56700000,247800000,4061400000,4035100000,4365900000,163200000,22100000,141100000,163200000,4529100000,956300000,3600000,952700000,926200000,29200000,1911700000,1911700000,6440800000,178100000,3e+07,37100000,-18200000.0000001,2.27e+08,-29400000,-1190600000,500500000,-151500000,-697600000,-849100000,-121600000,-121600000,-121600000,306300000,-9.31322574615479e-10,356700000,0.70779,0.36649,0.23624,0.09316,0.02765,2.00281,1.114,2.36915,-2.16840434497101e-19,0.49404,0.49104,2.09126,5.30291,0.98946,0.42025,0.15885,0.17191,0.85065,-1.14953,-1.27434
"29","2017_Q2",49.4285714285714,"Down",785500000,773500000,1.2e+07,-225100000,560400000,-237400000,-237400000,3.23e+08,1500000,324500000,324500000,-107100000,217400000,217400000,217400000,217400000,497700000,1.3e+08,367700000,485600000,485600000,3537700000,62700000,3.475e+09,4.521e+09,348400000,446300000,781200000,6.5e+07,657100000,59100000,1575900000,6096900000,362600000,51200000,245800000,3499300000,3472500000,3913200000,195600000,41200000,154400000,195600000,4108800000,9.9e+08,3600000,986400000,958900000,39200000,1988100000,1988100000,6096900000,217400000,29700000,42900000,4700000,294700000,-20300000,143300000,380300000,-166300000,-561500000,-676500000,-1500000,-1500000,-1500000,352700000,51300000,444200000,0.71343,0.4112,0.27677,0.10935,0.03566,2.04324,1.15532,2.0667,0.00841,0.60222,0.59709,2.1759,5.5072,1.23047,0.46066,0.17168,0.19875,0.76495,-1.26566,-1.38204
"30","2017_Q3",48.5174603174603,"Down",771400000,7.6e+08,11400000,-226300000,545100000,-2.34e+08,-2.34e+08,311100000,9e+05,3.12e+08,3.12e+08,-109900000,202100000,202100000,202100000,202100000,2.93e+08,1.65e+08,1.28e+08,528900000,528900000,3393800000,65100000,3.278e+09,4215700000,349300000,432100000,7.79e+08,65200000,657100000,56700000,1560400000,5776100000,293900000,48600000,245300000,3387100000,3358600000,3784100000,176400000,18500000,157900000,176400000,3960500000,997500000,3600000,993900000,834900000,-16800000,1815600000,1815600000,5776100000,202100000,3e+07,38300000,-151700000,118700000,-31100000,391100000,317600000,-165200000,-121700000,-401300000,3.5e+07,3.5e+07,3.5e+07,341100000,103100000,268200000,0.70664,0.40329,0.26199,0.11131,0.03499,1.32707,1.11406,2.18137,0.01785,0.56108,0.55736,2.14159,5.04053,0.74459,0.45863,0.17531,0.12801,0.81742,-0.55673,-0.61041
"31","2017_Q4",56.1893650793651,"Up",795800000,782600000,13200000,-236800000,5.59e+08,-252400000,-252400000,306600000,1200000,307800000,307800000,-105300000,202500000,202500000,202500000,202500000,403900000,189900000,2.14e+08,429900000,429900000,4.918e+09,6.8e+07,4816600000,5751800000,341600000,440200000,776700000,6.2e+07,657100000,57600000,1558500000,7310300000,3.34e+08,55900000,278100000,4884300000,4859200000,5273700000,139900000,17700000,122200000,139900000,5413600000,1020200000,3600000,1016600000,871900000,4600000,1896700000,1896700000,7310300000,202500000,3.1e+07,3600000,118800000,355900000,-23800000,-946500000,-1.645e+09,-165400000,1527100000,1.314e+09,24900000,24900000,24900000,337600000,55400000,537900000,0.70244,0.38527,0.25446,0.10676,0.0277,2.6563,1.09066,2.85422,0.00758,0.56407,0.5597,2.21671,5.28329,1.49833,0.46072,0.17586,0.25712,0.81679,-1.03229,-1.13666
"32","2018_Q1",56.9998360655738,"Up",798600000,784600000,1.4e+07,-231400000,567200000,-268300000,-268300000,298900000,1600000,300500000,300500000,-105200000,195300000,195300000,195300000,195300000,323400000,184600000,138800000,507500000,507500000,4441100000,58300000,4337800000,5.272e+09,337200000,4.54e+08,770500000,57600000,657100000,55800000,1561700000,6833700000,337700000,57200000,280500000,4387400000,4364500000,4725100000,153300000,33900000,119400000,153300000,4878400000,1033600000,3600000,1.03e+09,901700000,2e+07,1955300000,1955300000,6833700000,195300000,36200000,45300000,-85700000,191100000,-27700000,-147200000,522500000,-165400000,-498100000,-718900000.000001,-5300000,-5300000,-5300000,335100000,0,326900000,0.71024,0.37428,0.24455,0.09988,0.02858,1.67384,1.11574,2.49496,0,0.54401,0.53965,2.22451,5.44652,0.91058,0.46072,0.17106,0.15503,0.8469,-0.96509,-1.08197
"33","2018_Q2",56.09390625,"Down",792900000,779200000,13700000,-2.32e+08,560900000,-243600000,-243600000,317300000,2100000,319400000,319400000,-1.09e+08,210400000,210400000,210400000,210400000,368200000,234400000,133800000,538600000,538600000,5066700000,81600000,4985100000,5973500000,328600000,483200000,834200000,79200000,6.98e+08,5.7e+07,1.646e+09,7619500000,355700000,74600000,2.77e+08,5042800000,5018100000,5455700000,2.2e+08,95400000,124600000,2.2e+08,5675700000,1075700000,3600000,1072100000,843700000,24400000,1943800000,1943800000,7619500000,210400000,3.2e+07,75400000,25800000,343600000,-18400000,245300000,-7.11e+08,-179100000,633200000,417200000,49800000,49800000,49800000,349300000,57200000,465700000,0.7074,0.40018,0.26536,0.10824,0.02761,2.2134,1.09491,2.9199,0.00751,0.58624,0.58234,2.20925,5.41599,1.29758,0.49902,0.17537,0.20968,0.85124,-0.89035,-0.98014
"34","2018_Q3",63.0547619047619,"Up",8.03e+08,7.89e+08,1.4e+07,-248600000,554400000,-251300000,-251300000,303100000,1700000,304800000,304800000,-1.06e+08,198800000,198800000,198800000,198800000,338600000,257200000,81400000,595200000,595200000,5059200000,73400000,4923400000,5.993e+09,377100000,480900000,833600000,77400000,698100000,58100000,1691600000,7684600000,339600000,58400000,281200000,5028700000,5001700000,5501700000,2.14e+08,8.5e+07,1.29e+08,2.14e+08,5715700000,1097100000,3600000,1093500000,8.81e+08,-9200000,1968900000,1968900000,7684600000,198800000,33700000,26500000,-83199999.9999999,175800000,-81200000,139100000,-40099999.9999998,-179800000,-9300000,-112900000,22800000,22800000,22800000,336800000,133400000,278400000,0.69041,0.37746,0.24757,0.10097,0.02587,1.4004,1.0893,2.90299,0.01736,0.55361,0.54993,2.23615,5.48287,0.77527,0.5007,0.16345,0.12019,0.90443,-0.60926,-0.677
"35","2018_Q4",59.9088888888889,"Down",913900000,895800000,18100000,-270900000,6.43e+08,-293700000,-293700000,349300000,2300000,351600000,351600000,-55600000,2.96e+08,2.96e+08,2.96e+08,2.96e+08,421200000,323900000,97300000,550500000,550500000,4.077e+09,77900000,3976200000,5048700000,397200000,405400000,991500000,105100000,827400000,5.9e+07,1794100000,6842800000,428200000,71900000,356300000,4137800000,4114100000,4623700000,173600000,41900000,131700000,173600000,4797300000,1110800000,3600000,1107200000,961400000,-26700000,2045500000,2045500000,6842800000,2.96e+08,36600000,-12700000,149600000,469500000,-29100000,356300000,775500000,-179800000,-922800000,-1178300000,66700000,66700000,66700000,385900000,57700000,5.62e+08,0.70358,0.38221,0.32389,0.14471,0.04326,1.89865,1.09192,2.34529,0.00843,0.82382,0.81768,2.54356,5.69301,1.56415,0.50042,0.20898,0.24684,0.60743,-0.94195,-1.04065
"36","2019_Q1",65.7740983606557,"Up",871100000,853400000,17700000,-266300000,604800000,-2.87e+08,-2.87e+08,317800000,2500000,320300000,320300000,-91800000,228500000,228500000,228500000,228500000,424200000,358200000,6.6e+07,492400000,492400000,4.977e+09,2.24e+08,4.736e+09,5893600000,393500000,295500000,1332800000,141400000,8.14e+08,377400000,2021800000,7915400000,394300000,73700000,320600000,4902400000,4867800000,5296700000,261900000,154400000,107500000,261900000,5558600000,1130400000,3600000,1126800000,1262600000,-36200000,2356800000,2356800000,7915400000,228500000,35700000,43500000,-20200000,287500000,-65100000,6.32e+08,-703400000,-2.01e+08,757900000,450200000,34300000,34300000,34300000,353500000,-7.45058059692383e-09,3.6e+08,0.69429,0.36483,0.26231,0.09695,0.02887,1.57549,1.11269,2.35854,0,0.63702,0.63261,2.42849,6.57039,1.00362,0.56036,0.16401,0.13747,0.87965,-1.2,-1.3348
"37","2019_Q2",75.6926984126984,"Up",862800000,845700000,17100000,-265500000,597300000,-2.77e+08,-2.77e+08,320300000,2300000,322600000,322600000,-7.9e+07,243600000,243600000,243600000,243600000,5.23e+08,440100000,82900000,535200000,535200000,4.018e+09,225100000,3792900000,5076200000,389100000,264600000,1320100000,135500000,813300000,371300000,1973800000,7.05e+09,397400000,62600000,283200000,3943300000,3906700000,4397400000,265600000,155500000,110100000,265600000,4.663e+09,1154700000,3600000,1151100000,1268100000,-35800000,2.387e+09,2.387e+09,7.05e+09,243600000,35900000,28300000,-34100000,273700000,-25200000,181200000,918500000,-201400000,-932800000,-1110300000,81900000,81900000,81900000,356200000,56700000,375900000,0.69228,0.37123,0.28234,0.10205,0.03455,1.5431,1.15436,1.9535,0.00804,0.67836,0.67386,2.40267,6.64717,1.04678,0.56085,0.16425,0.13874,0.82677,-1.3091,-1.45582
"38","2019_Q3",75.22734375,"Down",858900000,840600000,18300000,-264900000,5.94e+08,-286800000,-286800000,307200000,2100000,309300000,309300000,-73500000,235800000,235800000,235800000,235800000,7.59e+08,510600000,248400000,562600000,562600000,3968400000,234200000,3700900000,5.29e+09,3.94e+08,9999999.99999997,1308400000,1.28e+08,810600000,369800000,1712400000,7002400000,378500000,70600000,307900000,3.871e+09,3828500000,4306800000,271100000,161600000,109500000,271100000,4577900000,1169300000,3600000,1165700000,1302600000,-47400000,2424500000,2424500000,7002400000,235800000,36800000,34800000,-83900000,223500000,-36600000,-65700000,120300000,-201300000,-72600000,-273300000,70500000,70500000,70500000,3.44e+08,57300000,2.97e+08,0.69158,0.35767,0.27454,0.09726,0.03367,1.25954,1.22829,1.88818,0.00818,0.65664,0.65228,2.39181,6.7516,0.82707,0.56057,0.15878,0.10789,0.85369,-2.03983,-2.28418
"39","2019_Q4",76.9221875,"Up",1070400000,1047400000,2.3e+07,-325300000,745100000,-315800000,-315800000,429300000,-3700000,425600000,425600000,-1.01e+08,324600000,324600000,324600000,324600000,7.32e+08,696400000,35600000,8.21e+08,8.21e+08,5.739e+09,2.35e+08,5498100000,7.292e+09,404700000,2e+07,2646300000,420900000,1781500000,443900000,3.071e+09,1.0363e+10,914200000,73900000,840300000,5581900000,5542500000,6549700000,415300000,229200000,186100000,1215300000,7.765e+09,1191500000,3600000,1187900000,1425800000,-19300000,2.598e+09,2.598e+09,1.0363e+10,324600000,5.3e+07,1.57e+08,-9e+06,525600000,-29700000,421500000,-1577400000,-201200000,2509300000,2304400000,1252600000,1252600000,1252600000,482300000,853600000,544600000,0.69609,0.40107,0.30325,0.12494,0.03132,1.67776,1.11333,2.98884,0.08237,0.90393,0.89718,2.98079,7.23475,1.51657,0.56029,0.13597,0.14084,0.61984,0.25213,0.28325
"40","2020_Q1",73.3675806451613,"Down",980400000,958200000,22200000,-322100000,658300000,-343800000,-343800000,314500000,-4e+06,310500000,310500000,-80100000,230400000,230400000,230400000,230400000,712600000,673600000,3.9e+07,420500000,420500000,4544600000,233900000,4288100000,5677700000,408700000,10200000,2579400000,399100000,1782600000,397700000,2998300000,8.676e+09,800900000,75900000,7.25e+08,4044100000,4003800000,4.845e+09,415100000,223100000,1.92e+08,1211500000,6056500000,1209900000,3600000,1206300000,1409500000,100000.000000004,2619500000,2619500000,8.676e+09,230400000,55800000,63300000,-100800000,248700000,-37600000,-1.044e+09,-1089700000,-222900000,-1628700000,-1929300000,-2770300000,-2770300000,-2770300000,370300000,796400000,3.12e+08,0.67146,0.32079,0.23501,0.08796,0.02656,1.35417,1.17187,2.31208,0.09179,0.64089,0.63576,2.72712,7.28651,0.86787,0.62003,0.11832,0.08144,0.96745,0.2263,0.26645
"41","2020_Q2",64.1580952380952,"Down",9.92e+08,971500000,20500000,-325400000,666600000,-317500000,-317500000,349100000,-4800000,344300000,344300000,-80100000,264200000,264200000,264200000,264200000,627300000,586400000,40900000,425100000,425100000,4503500000,242300000,4261200000,5555900000,403400000,10300000,2668600000,379500000,1783100000,5.06e+08,3082300000,8638200000,739300000,61700000,628600000,4027700000,3986400000,4823500000,498900000,227600000,271300000,1295400000,6118900000,1227600000,3600000,1.224e+09,1265200000,26500000,2519300000,2519300000,8638200000,264200000,52900000,64200000,-86500000,294800000,-28100000,572800001,544700001,-2.22e+08,-75800000,-413200000,426300001,426300001,426300001,4.02e+08,8.53e+08,367500000,0.67198,0.35192,0.26633,0.10487,0.03059,1.39099,1.15184,2.42881,0.09875,0.73675,0.73084,2.76631,7.02538,1.02482,0.61907,0.12559,0.09493,0.84027,0.56144,0.64652
"42","2020_Q3",70.2284375,"Up",990700000,970800000,19900000,-323400000,667300000,-325600000,-325600000,341700000,-4700000,3.37e+08,3.37e+08,-78300000,258700000,258700000,258700000,258700000,6.35e+08,600600000,34400000,464900000,464900000,4.528e+09,240900000,4228500000,5627900000,401700000,10100000,2.662e+09,359700000,1785800000,516500000,3073800000,8701700000,766100000,76300000,689800000,4006500000,3964300000,4823900000,511800000,226800000,2.85e+08,1308400000,6132300000,1256400000,3600000,1252800000,1301400000,11600000,2569400000,2569400000,8701700000,258700000,5.5e+07,71300000,-115200000,269800000,-31800000,56499999,20499999,-222300000,-4300000,-231800000,58499998.9999995,58499998.9999995,58499998.9999995,396700000,847900000,3.28e+08,0.67356,0.34491,0.26113,0.10068,0.02973,1.26788,1.16667,2.38667,0.09744,0.72222,0.71722,2.76577,7.17309,0.91569,0.6206,0.12242,0.08348,0.8593,0.53668,0.62306
"43","2020_Q4",83.706875,"Up",1142700000,1121500000,21200000,-340300000,802400000,-332300000,-332300000,470100000,-5900000,464200000,464200000,-109700000,354500000,354500000,354500000,354500000,853800000,7.8e+08,73800000,436300000,436300000,5099300000,2.5e+08,4825700000,6389400000,403800000,10200000,2663500000,3.48e+08,1789800000,525700000,3077500000,9466900000,750600000,67700000,682900000,4587900000,4549100000,5389700000,520700000,232700000,2.88e+08,1317400000,6707100000,1281300000,3600000,1277700000,1433300000,45200000,2759800000,2759800000,9466900000,354500000,50100000,66700000,16800000,488100000,-40199999,-158500000,-200799999,-222500000,587800000,365200000,652500001,652500001,652500001,520200000,847900000,606500001,0.7022,0.41139,0.31023,0.12845,0.03745,1.71086,1.18548,2.43028,0.08956,0.98829,0.98172,3.18567,7.69389,1.69083,0.6203,0.13976,0.14691,0.62764,-0.01134,-0.01255
"44","2021_Q1",87.4639344262295,"Up",915100000,889800000,25300000,-291700000,623400000,-323800000,-323800000,299600000,-8e+06,291600000,291600000,-70900000,220700000,220700000,220700000,220700000,932400000,905200000,27200000,384100000,384100000,4148100000,244800000,3886500000,5464600000,407400000,10200000,2668500000,330600000,1791100000,546800000,3086100000,8550700000,773999999,79400000,644099999,3647800000,3608600000,4426899999,545600000,240800000,304800000,1342400000,5769299999,1293500000,3600000,1289900000,1431400000,56500000,2781400000,2781400000,8550699999,220700000,51700000,64600000,51200000,388200000,-36700001,4.44e+08,407499999,-222600000,-939700000,-1208400000,-412700001,-412700001,-412700001,351300000,801900000,436699999,0.68124,0.3274,0.24118,0.07935,0.02581,1.9787,1.23441,2.07424,0.09378,0.61562,0.61187,2.55258,7.75844,1.21813,0.62092,0.10737,0.10577,1.00861,-0.37148,-0.43558
"45","2021_Q2",96.0655555555556,"Up",932200000,917300000,14900000,-307100000,625100000,-341100000,-341100000,2.84e+08,-7900000,276100000,276100000,-64500000,211600000,211600000,211600000,211600000,866300000,835700000,30600000,414800000,414800000,4059100000,252900000,3806200000,5340200000,3.96e+08,10200000,2630500000,314100000,1796800000,519600000,3036700000,8376900000,715300000,6.2e+07,601500000,3541700000,3502100000,4263100000,538300000,243500000,294800000,1335200000,5598300000,1328900000,3600000,1325300000,1370200000,79500000,2778600000,2778600000,8376900000,211600000,49600000,68900000,-115100000,2.15e+08,-21300000,-2.15e+08,-236300000,-223200000,-131800000,-382800000,-404100000,-404100000,-404100000,333600000,8.03e+08,261700000,0.67056,0.30466,0.22699,0.07615,0.02526,1.23677,1.25266,2.01479,0.09586,0.58925,0.58566,2.59593,7.73768,0.72877,0.62155,0.10554,0.06352,1.05482,-0.18975,-0.22289
"46","2021_Q3",108.039375,"Up",983700000,968900000,14800000,-319900000,663800000,-309500000,-309500000,354300000,-4700000,349600000,349600000,-77200000,272400000,272400000,272400000,272400000,868400000,693500000,174900000,5.19e+08,5.19e+08,4.205e+09,241300000,3924900000,5592400000,392400000,10100000,2620500000,297200000,1798900000,524400000,3.023e+09,8615400000,737999999,70400000,667599999,3635100000,3594500000,4379999999,548700000,240400000,308300000,1345700000,5725699999,1397700000,3600000,1394100000,1418900000,73100000,2889700000,2889700000,8615399999,272400000,48600000,67500000,-172800000,215700000,-30900000,-223199999,-254099999,-223500000,143100000,-79600000,-117999999,-117999999,-117999999,402900000,803900000,276400000,0.6748,0.36017,0.27691,0.09427,0.03162,1.01468,1.2768,1.98142,0.09331,0.75688,0.75269,2.73326,8.02917,0.76799,0.62101,0.11689,0.06515,0.82048,-0.16009,-0.18205
"47","2021_Q4",119.55015625,"Up",1111700000,1096600000,15100000,-328400000,783300000,-314700000,-314700000,468600000,-6e+06,462600000,462600000,-112100000,350500000,350500000,350500000,350500000,990700000,7.87e+08,203700000,694800000,694800000,4936700000,244900000,4676800000,6622200000,393100000,9900000,2640700000,287900000,1819600000,533200000,3043700000,9665900000,847600000,73900000,773700000,4501400000,4.463e+09,5.356e+09,536300000,233300000,3.03e+08,1333500000,6689500000,1419900000,3600000,1416300000,1499300000,57200000,2976400000,2976400000,9665900000,350500000,46400000,76300000,-33300000,439900000,-34500000,-55900001,-109900001,-223800000,855400000,584500000,914499999,914499999,914499999,5.15e+08,804200000,559300000,0.7046,0.42152,0.31528,0.11776,0.03626,1.59572,1.23641,2.24751,0.0832,0.97253,0.9661,3.08463,8.2586,1.55189,0.62098,0.13304,0.12956,0.63852,-0.36214,-0.39799
"48","2022_Q1",119.385,"Down",1029200000,1014700000,14500000,-315800000,713400000,-359600000,-359600000,353800000,-7900000,345900000,345900000,-82900000,2.63e+08,2.63e+08,2.63e+08,2.63e+08,1031900000,995200000,36700000,578300000,578300000,4559300000,249200000,4276600000,6169500000,395800000,7100000,2654800000,275800000,1820700000,558300000,3057700000,9227200000,885100000,8.9e+07,796100000,4045700000,4007800000,4938200000,543700000,2.18e+08,325700000,1.341e+09,6279200000,1450300000,3600000,1446700000,1445900000,51800000,2.948e+09,2.948e+09,9227200000,2.63e+08,47400000,52800000,26500000,389700000,-36600000,176300000,139700000,-238200000,-4.41e+08,-758500000,-229100000,-229100000,-229100000,401200000,804700000,4.74e+08,0.69316,0.34376,0.25554,0.08921,0.0285,1.80228,1.24934,2.12999,0.08721,0.73096,0.72652,2.86048,8.19344,1.3174,0.66203,0.11666,0.11032,0.9057,-0.5663,-0.64217
"49","2022_Q2",122.790161290323,"Up",1082900000,1068400000,14500000,-312500000,770400000,-327500000,-327500000,442900000,1e+06,443900000,443900000,-110310000,333590000,333590000,333590000,333590000,1141600000,1.102e+09,39600000,574100000,574100000,4601600000,260700000,4340900000,6317300000,395400000,7100000,2647500000,2.6e+08,1816700000,570800000,3.05e+09,9367300000,847500000,7.9e+07,727600000,4103300000,4064700000,4957900000,568500000,225700000,342800000,1365900000,6323800000,1485100000,3600000,1481500000,1513300000,45100000,3043500000,3043500000,9367300000,333600000,45700000,77200000,-70900000,385600000,-31700000,9400000,-22300000,-238100000,26700000,-211700000,151600000,151600000,151600000,488600000,804500000,496310000,0.71142,0.40899,0.30805,0.10961,0.03561,1.48778,1.27419,2.07781,0.08588,0.92638,0.91949,3.00722,8.45182,1.37826,0.66121,0.12944,0.11238,0.71375,-0.68993,-0.76112
"50","2022_Q3",121.9584375,"Down",1108500000,1646278484.50734,16435827.5603243,-331600000,776900000,-336600000,-336600000,440300000,-2700000,437600000,437600000,-105500000,332100000,332100000,332100000,332100000,1012200000,636200000,3.76e+08,8.17e+08,8.17e+08,4803199999,264300000,4481599999,6632399999,398600000,7e+06,2650100000,245900000,1832300000,571900000,3055700000,9688099999,925900000,85900000,8.4e+08,4287100000,4247300000,5221900000,548900000,207600000,341300000,1346400000,6568300000,1509100000,3600000,1505500000,1606900000,3800000,3119800000,3119800000,9688100000,332100000,48600000,7e+07,-280900000,169800000,-32900000,-364600000,-429100000,-238300000,145300000,-91200000,-350500000,-350500000,-350500000,488900000,806400000,280600000,0.70086,0.3972,0.29959,0.10645,0.03428,0.84493,1.27011,2.10536,0.08324,0.92071,0.91462,3.07319,8.64929,0.77793,0.66066,0.12746,0.0627,0.71755,-0.42094,-0.46741
