"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",73.69,"Down",1522200000,-1245600000,276600000,-300400000,-177700000,-28700000,-9.4e+07,-23800000,-32200000,-31500000,4e+05,-1100000,-5.6e+07,-5.6e+07,21800000,-34200000,-34199999.9999999,-34199999.9999999,-34199999.9999999,186300000,174200000,352700000,352700000,993100000,95800000,93100000,1627900000,1296300000,3585700000,1089400000,2454200000,42100000,4.882e+09,6509900000,712100000,712100000,70900000,7.83e+08,2568400000,615600000,4.1e+08,205600000,3.184e+09,3.967e+09,2094500000,526100000,-77700000,2542900000,2542900000,6509900000,-34199999.9999999,-34200000,66600000,104800000,111700000,248900000,-40500000,-21500000,-118500000,-2500000,-1.21e+08,106400000,106400000,6e+05,1.07e+08,42800000,2639300000,92200000,0.18171,-0.01564,-0.02247,-0.01345,-0.00525,-2.69591,2.07905,1.56003,0.40543,-0.6,-0.600000000000001,26.70526,44.61228,1.61754,-0.0059,0.0159,57.31308,-103.06723
"31","2017_Q4",53.525873015873,"Down",1548800000,-1289100000,259700000,-202100000,-162500000,-28500000,-11100000,57600000,-27500000,-3.1e+07,2500000,1e+06,30100000,30100000,-1300000,28800000,28800000,28800000,28800000,145100000,131900000,432100000,432100000,1137500000,110400000,110400000,1825100000,1289800000,3570700000,1068300000,2459200000,43200000,4860500000,6685600000,773800000,773800000,72100000,845900000,2620400000,6.22e+08,421400000,200600000,3242400000,4088300000,2.102e+09,554900000,-59600000,2597300000,2597300000,6685600000,28800000,28800000,74200000,14200000,-181200000,-6.4e+07,-30200000,-30600000,51500000,1100000,52600000,-4.2e+07,-4.2e+07,-3e+05,-42300000,131800000,2692500000,-78300000,0.16768,0.03719,0.0186,0.01109,0.00431000000000001,-2.71875,2.15758,1.57406,0.40273,0.50262,0.49913,27.02967,45.3281,-1.36649,0.00486999999999999,-0.01324,19.32777,44.22569
"32","2018_Q1",43.5260655737705,"Down",1699900000,-1442200000,257700000,-221900000,-176800000,-28300000,-16800000,35800000,-24500000,-37400000,2200000,10700000,11300000,-538400000,229400000,-3.09e+08,-3.09e+08,-3.09e+08,-3.09e+08,132800000,132800000,329800000,329800000,918300000,103800000,103800000,1484700000,1294400000,3000200000,7.73e+08,2.182e+09,45200000,4294600000,5779300000,589700000,589700000,10100000,599800000,2535700000,380500000,178400000,202100000,2916200000,3.516e+09,2107600000,245900000,-61500000,2263300000,2263300000,5779300000,-3.09e+08,-3.09e+08,74400000,3.25e+08,152200000,242600000,-63500000,-64200000,-146800000,-4100000,-179600000,-1199999.99999999,-1199999.99999999,2100000,900000.000000015,110200000,2545800000,-30500000,0.1516,0.02106,-0.18178,-0.13653,-0.05347,0.0987100000000001,2.47533,1.55348,0.4405,-5.4021,-5.50802,29.71853,39.56818,-0.53322,-0.05954,-0.00588,21.89655,67.40223
"33","2018_Q2",45.31859375,"Up",1481200000,-1249300000,231900000,-240600000,-189500000,-22200000,-28900000,-8700000,-35200000,-26500000,-2500000,-6200000,-43900000,-43900000,9800000,-34100000,-34100000,-34100000,-34100000,142200000,128500000,345200000,345200000,940600000,104900000,104900000,1532900000,1279200000,2973400000,752800000,2178700000,41900000,4252600000,5785500000,648700000,648700000,10100000,658800000,2533200000,373700000,175800000,197900000,2906900000,3565700000,2124800000,213300000,-72500000,2219800000,2219800000,5785500000,-34100000,-34100000,6.7e+07,29700000,-4800000,57800000,-41400000,-41700000,-3800000,8e+05,-20100000,-4e+06,-4e+06,-3e+05,-4300000,58300000,2543300000,2300000,0.15656,-0.00587,-0.02302,-0.01536,-0.00589000000000001,-0.06745,2.32681,1.60632,0.4396,-0.60354,-0.60354,26.21593,39.2885,0.04071,-0.00663999999999999,0.000449999999999998,41.18525,-275.98851
"34","2018_Q3",51.367619047619,"Up",1455800000,-1.22e+09,235800000,-232600000,-164600000,-21300000,-46700000,3200000,-29400000,-30800000,-1900000,3300000,-26200000,-26200000,6100000,-20100000,-20100000,-20100000,-20100000,112900000,98900000,258300000,258300000,944300000,118500000,118500000,1.434e+09,1270400000,2956100000,7.37e+08,2176500000,42600000,4226500000,5660500000,698700000,698700000,10200000,708900000,2390800000,375300000,173800000,201500000,2766100000,3.475e+09,2132500000,193200000,-81800000,2185500000,2185500000,5660500000,-20100000,-20100000,61900000,2400000,129300000,173500000,-43600000,-4.4e+07,-143900000,-1500000,-157900000,-28400000,-28400000,-1200000,-29600000,65100000,2.401e+09,144700000,0.16197,0.0022,-0.01381,-0.0092,-0.00355,-7.199,2.02285,1.59003,0.42417,-0.35638,-0.356379999999999,25.81206,38.75,2.5656,-0.00405,0.02916,35.14747,715.03125
"35","2018_Q4",49.3015873015873,"Down",1.394e+09,-1166500000,227500000,-196600000,-151900000,-21400000,-23300000,30900000,-30700000,-26500000,-6e+05,-3600000,2e+05,2e+05,5200000,5400000,5400000,5400000,5400000,68200000,52800000,285600000,285600000,999300000,92500000,92500000,1445600000,1272100000,2926500000,722300000,2.168e+09,36200000,4198600000,5644200000,750900000,750900000,10400000,761300000,2333100000,360100000,173300000,186800000,2693200000,3454500000,2137300000,198500000,-75200000,2189700000,2189700000,5644200000,5400000,5400000,64800000,-1.3e+07,-1.8e+07,39200000,-43400000,-1.3e+07,136300000,-196500000,-72800000,-46600000,-46600000,5e+05,-46100000,95700000,2343500000,29100000,0.1632,0.02217,0.00387,0.00247,0.000959999999999998,5.38889,1.89886,1.57761,0.4152,0.09591,0.09524,24.76021,38.89343,0.51687,0.0011,0.00595,23.77534,73.6343000000002
"36","2019_Q1",58.9703278688525,"Up",256800000,-59800000,1.97e+08,-138999999,-86899999,-15300000,-36800000,58000001,-39100000,-21600000,-3600000,-13900000,18900001,12300001,-9700000,2600001,-15599999,-15599999,-15599999,164300000,164300000,351300000,351300000,839700000,61800000,61800000,1417100000,1274400000,2907800000,700200000,2161400000,46200000,4182200000,5599300000,8.34e+08,8.34e+08,1200000,835200000,2297400000,324800000,154200000,170600000,2622200000,3457400000,2136400000,185900000,-97100000,2141900000,2141900000,5599300000,2600000.00000001,-15600000,31500000,28200000,139300000,235300000,-43300000,-62200000,-242500000,194700000,-60200000,112900000,112900000,-1400000,111500000,89500001,2298600000,195200001,0.76713,0.22586,-0.06075,-0.00728,-0.00279,-12.51282,1.69672,1.61417,0.41052,-0.28467,-0.28676,4.68613,39.08577,3.56204,-0.00327,0.04096,23.84693,36.79828
"37","2019_Q2",58.3801587301587,"Down",1301100000,-1106500000,194600000,-195500000,-145100000,-21600000,-28800000,-9e+05,-38700000,-26900000,4e+05,-12200000,-39600000,-39600000,12300000,-27300000,-27300000,-27300000,-27300000,7.9e+07,7.9e+07,367300000,367300000,854200000,78800000,78800000,1379300000,1.26e+09,3125700000,690500000,2163900000,271300000,4385700000,5.765e+09,836700000,836700000,4600000,841300000,2285200000,515300000,155200000,360100000,2800500000,3641800000,2138100000,158600000,-90200000,2123200000,2123200000,5.765e+09,-27300000,-27300000,61900000,22700000,-95200000,-37900000,-36400000,-36500000,-10400000,-4400000,-14800000,-89200000,-89200000,3900000,-85300000,6.1e+07,2289800000,-82900000,0.14957,-0.00069,-0.02098,-0.01286,-0.00474,3.03663,1.63949,1.71524,0.39719,-0.48663,-0.48663,23.19251,37.8467,-1.47772,-0.00554,-0.01682,36.24262,-2456.44444
"38","2019_Q3",54.7853125,"Down",1250700000,-1051200000,199500000,-218200000,-163400000,-19300000,-35500000,-18700000,-50800000,-27900000,1300000,-24200000,-69500000,-199900000,28500000,-171400000,-171400000,-171400000,-171400000,63700000,63700000,301300000,301300000,842100000,226200000,83700000,1433300000,1149200000,3010400000,635500000,2112700000,262200000,4159600000,5592900000,828800000,828800000,7900000,836700000,2257600000,515300000,1.61e+08,354300000,2772900000,3609600000,2144100000,5300000,-82800000,1983300000,1983300000,5592900000,-171400000,-171400000,54200000,161300000,3200000,47300000,-36200000,-36200000,-25900000,-700000.00000003,-26600000,-15500000,-15500000,2e+05,-15300000,35500000,2265500000,-2.6e+07,0.15951,-0.01495,-0.13704,-0.08642,-0.03065,0.15169,1.71304,1.82,0.40507,-3.0444,-3.0444,22.21492,35.22735,-0.461810000000001,-0.03598,-0.00546,62.02254,-117.74332
"39","2019_Q4",51.1959375,"Down",597600000,-4.2e+08,177600000,-1.18e+08,-82600000,-15500000,-19900000,59600000,-38200000,-23700000,-4e+05,-14100000,21400000,63800000,9300000,73100000,-177800000,-177800000,-177800000,45100000,45100000,305200000,305200000,702800000,215900000,8.2e+07,1.269e+09,1080200000,2.912e+09,576900000,2111300000,223800000,3992200000,5261200000,824900000,824900000,11700000,851400000,2.158e+09,445800000,130100000,315700000,2603800000,3455200000,2.15e+09,-172500000,-88200000,1.806e+09,1.806e+09,5261200000,73100000,-177800000,41200000,-52700000,-65200000,36300000,-27200000,44600000,-100200000,3e+05,-99900000,-1.9e+07,-1.9e+07,4e+05,-18600000,100800000,2169700000,-9e+05,0.29719,0.09973,-0.29752,-0.09845,-0.03379,0.00506,1.49049,1.91318,0.4124,-3.1637,-3.1637,10.63345,32.13523,-0.01601,-0.04021,-0.000199999999999999,21.07738,35.6476500000002
"40","2020_Q1",43.0795161290323,"Down",1139499999,-914400000,225099999,-152099999,-118999999,-17700000,-15400000,7.3e+07,-1.2e+07,-23900000,2200000,9700000.00000001,6.1e+07,19900000,-4600000,15300000,15500000,15500000,15500000,202300000,202300000,270600000,270600000,5.44e+08,202600000,44500000,1219500000,1045200000,2874700000,554700000,2107300000,212700000,3919900000,5139400000,781600000,781600000,15300000,813400000,2091699999,403400000,101500000,301900000,2495099999,3308499999,2155200000,-1.57e+08,-8.4e+07,1830900000,1830900000,5139399999,15300000,15500000,53300000,3600000,185900000,2.62e+08,-42200000,-4e+07,-65400000,-199999.999999998,-65600000,156400000,156400000,8e+05,157200000,126300000,2106999999,274600000,0.19754,0.06406,0.0136,0.00847,0.00302,17.71613,1.49926,1.80703,0.40997,0.2758,0.2758,20.2758,32.57829,4.88612,0.00357,0.06325,15.08076,26.09178
"41","2020_Q2",48.7860317460317,"Up",1084900000,-8.9e+08,194900000,-164699999,-128699999,-17500000,-18500000,30200001,-103200000,-24800000,-14400000,-6.4e+07,-72999999,-72999999,40200000,-32799999,-31199999,-31199999,-31199999,330400000,330400000,292800000,292800000,537800000,252100000,97500000,1413100000,1022300000,2835600000,536900000,2097900000,200800000,3857900000,5.271e+09,870300000,870300000,15300000,893700000,2189500000,399700000,114800000,284900000,2589200000,3482900000,2159400000,-188200000,-99800000,1788100000,1788100000,5.271e+09,-32800000,-31200000,49800000,106199999,-54700000,62499999,-2.6e+07,-26300000,96100000,-3800000,92300000,128499999,128499999,-4e+05,128099999,80000001,2204800000,-40899999,0.17965,0.02784,-0.02876,-0.01745,-0.00591999999999999,1.3109,1.58118,1.94782,0.41829,-0.55417,-0.55417,19.26998,31.76021,-0.72647,-0.0071,-0.00931000000000001,23.43,62.06622
"42","2020_Q3",42.5484375,"Down",1041900000,-850700000,191200000,-165900001,-136700001,-17400000,-11800000,25299999,-14100000,-26200000,6500000,5600000,11199999,11199999,-13800000,-2600001,-1500001,-1500001,-1500001,293900000,293900000,265100000,265100000,629400000,216800000,94100000,1405200000,1014300000,2822500000,524800000,2102100000,195600000,3836800000,5.242e+09,9.29e+08,9.29e+08,15400000,951700000,2086600000,4e+08,123200000,276800000,2486600000,3438300000,2.169e+09,-189700000,-92300000,1803700000,1803700000,5.242e+09,-2600000,-1500000.00000001,49600000,2400001,5400000.00000006,61300001,-25500000,1300000,-103800000,2400000,-101400000,-38799999,-38799999,2300000,-36499999,74899999,2.102e+09,68599999.0000001,0.18351,0.02428,-0.00143999999999999,-0.00083,-0.00029,-45.7333,1.47652,1.90625,0.40099,-0.02655,-0.0265500000000002,18.44071,31.92389,1.21416,-0.00035,0.01593,24.14019,71.46641
"43","2020_Q4",40.66546875,"Down",1045700000,-857500000,188200000,-148400000,-110800000,-17600000,-2e+07,39800000,-16199999,-26900000,3800001,6900000,23600001,22400001,-1.1e+07,11400001,12100001,12100001,12100001,365100000,365100000,268399999,268399999,664100000,254199999,128699999,1551799998,1013400000,2820699999,513299999,2115100000,192300000,3834099999,5385899997,897500000,897500000,15600000,920600000,2201500000,436500000,150700000,285800000,2.638e+09,3558600000,2174600000,-177600000,-86400000,1827300000,1827300000,5385900000,11400000,12100000,51100000,23700000,-8.5e+07,-9e+05,-22500000,-40400000,1.2e+08,-6999999,113000001,71700001,71700001,-5e+05,71200001,90900000,2217100000,-5600000,0.17998,0.03806,0.01157,0.00662,0.00225,-0.46281,1.68564,1.94746,0.41165,0.2134,0.2134,18.44268,32.22751,-0.09877,0.0027,-0.00125,20.37404,46.53266
"44","2021_Q1",47.2996721311475,"Up",-178200000,148600000,-29600000,-6.3e+07,-46300000,2100000,-18800000,-92600000,16099999,-9900000,4699999,21300000,-76500001,-76500001,45700000,-30800001,34399999,34399999,34399999,364600000,364600000,308800000,308800000,598600000,156800000,86100000,1428800000,1.07e+09,2986900000,6.15e+08,2178700000,193200000,4056900000,5485700000,968300000,968300000,15700000,990700000,2.199e+09,430999999,158300000,272699999,2629999999,3620699999,2180500000,-143200000,-6.4e+07,1.865e+09,1.865e+09,5485699999,-30800000,34400000,-2099999.99999999,-27100000,147800000,293800000,-5100000,-2.67e+08,-3700000,-900000.999999998,-29900001,-3100001,-3100001,2600000,-500001,-94700000,2214700000,2300000.00000001,0.16611,0.51964,-0.19304,0.01845,0.00627,0.066860000000003,1.44221,1.94139,0.40372,0.60885,0.60035,-3.15398,33.00885,0.04071,0.00763,0.00051,-19.53643,-19.97948
"45","2021_Q2",49.3350793650794,"Up",1057300000,-876200000,181100000,-170100000,-1.32e+08,-18400000,-19700000,1.1e+07,3600000,-25100000,1300000,27400000,14600000,2e+05,2e+05,4e+05,1500000,1500000,1500000,48800000,48800000,2.41e+08,2.41e+08,6.53e+08,176100000,101600000,1118900000,1053099999,2970500000,600400000,2179900000,190200000,4023599999,5142499999,905600000,905600000,15900000,927400000,1929800000,420800000,158400000,262400000,2350600000,3.278e+09,2177500000,-141700000,-6.3e+07,1864500000,1864500000,5142500000,4e+05,1500000,53500000,-1400000,-5.8e+07,-8600000,-30400000,-13600000,-278400000,-14900000,-293300000,-315500000,-315500000,-3e+05,-315800000,64500000,1945700000,-24100000,0.17129,0.0104,0.00142,0.000799999999999995,0.000290000000000001,-16.06667,1.20649,1.75811,0.37836,0.02679,0.02655,18.88036,33.29464,-0.43036,0.00035,-0.0057,29.4093,172.44545
"46","2021_Q3",40.88375,"Down",1003200000,-837100000,166100000,-1.62e+08,-119200000,-1.8e+07,-24800000,4100000,-10700000,-18500000,1300000,6500000,-6599999.99999999,-6600000,1400000.00000001,-5200000,8400000,8400000,8400000,17400000,17400000,259700000,259700000,713700000,93100000,93100000,1083900000,1041800000,2955700000,586400000,2184600000,184700000,3997500000,5081400000,884100000,884100000,1.6e+07,900100000,1916900000,405900000,154300000,251600000,2322800000,3222900000,2182100000,-133300000,-5.7e+07,1858500000,1858500000,5081400000,-5200000.00000001,8400000,53800000,3500000,-90600000,-42200000,-3e+07,50600000,-14200000,-499999.999999998,-39700000,-31300000,-31300000,-100000.000000001,-31400000,57900000,1932900000,-64100000,0.16557,0.00409000000000007,0.00837000000000001,0.00452,0.00165,-7.63095,1.2042,1.73414,0.38039,0.15,0.14867,17.91429,33.1875,-1.14464,0.002,-0.01527,33.0829,467.19512
"47","2021_Q4",38.65296875,"Down",751700000,-625800000,125900000,-116900000,-88200000,-11800000,-16900000,9e+06,-13500000,-16500000,-6e+05,3600000,-4500000,-4500000,4e+05,-4100000,6700000,6700000,6700000,67400000,67400000,255500000,255500000,721700000,82300000,82300000,1126900000,1021900000,2933500000,570300000,2181300000,181900000,3955400000,5082300000,917800000,917800000,15800000,933600000,1893800000,397100000,150400000,246700000,2290900000,3224500000,2183700000,-126600000,-6.6e+07,1857800000,1857800000,5082300000,-45300000,6700000,5e+06,-8500000,35800000,1.05e+08,-9900000,-29700000,-23800000,-1100000,-25200000,50100000,50100000,-1e+05,5e+07,1.4e+07,1909600000,39500000,0.16749,0.01197,0.00891,0.00361,0.00132,5.89552,1.20705,1.73566,0.37574,0.12007,0.11964,13.47133,33.29391,0.70789,0.00161,0.00948,131.58571,204.68889
"48","2022_Q1",37.6283870967742,"Down",133700000,-140100000,-6399999.99999999,-68700000,-46300000,9e+05,-23300000,-75100000,-7e+06,-7300000,-1600000,1900000,-82100000,-91300000,19300000,-7.2e+07,-29100000,-29100000,-29100000,304500000,304500000,151300000,151300000,461600000,1265100000,5.7e+07,2182500000,700100000,2325200000,336600000,1821900000,166700000,3025300000,5207800000,859800000,625900000,15400000,1157700000,1.89e+09,314700000,105100000,209600000,2204700000,3362400000,2.188e+09,-155700000,-53600000,1845400000,1845400000,5207800000,-30800000,-29100000,36600000,-3200000,194900000,270700000,-15400000,-24100000,-3800000,-2e+05,-4100000,242500000,242500000,-1300000,241200000,-38500000,1905400000,121700000,-0.04787,-0.56171,-0.21765,-0.01577,-0.00559,-4.18213,1.8852,1.82204,0.36587,-0.52151,-0.51964,2.39606,33.07168,2.181,-0.00716,0.02993,-41.58182,-21.31691
"49","2022_Q2",36.7114516129032,"Down",1.141e+09,-9.86e+08,1.55e+08,-195700000,-146200000,-18200000,-31300000,-40700000,39100000,-19200000,2800000,55500000,-1600000,-1600000,-1200000,-2800000,-3e+06,-3e+06,-3e+06,192800000,192800000,264300000,264300000,741600000,78900000,78900000,1277600000,999600000,2.951e+09,539900000,2.184e+09,227100000,3950600000,5228200000,1080800000,1080800000,4700000,1085500000,1886600000,408300000,157800000,250500000,2294900000,3380400000,2.189e+09,-158700000,-49200000,1847800000,1847800000,5228200000,-2800000,-3e+06,53100000,-48200000,-72500000,-70600000,-25700000,-25700000,-14800000,-4900000,-19700000,-1.16e+08,-1.16e+08,2e+05,-115800000,12400000,1891300000,-84600000,0.13585,-0.03567,-0.00263,-0.00162,-0.00057,28.2,1.17697,1.82942,0.36175,-0.05376,-0.05376,20.44803,33.1147,-1.51613,-0.00072,-0.0204,136.97581,-41.73219
"50","2022_Q3",44.84765625,"Up",1197600000,-1035700000,161900000,-183600000,-149900000,-18100000,-15600000,-21700000,-11900001,-20600000,-2900000,11599999,-33600001,-33600001,3e+06,-30600001,-29400001,-29400001,-29400001,199100000,199100000,218200000,218200000,854100000,80600000,80600000,1.352e+09,988300000,2927099998,522799999,2.18e+09,224299999,3915399998,5267399998,1165600000,1165600000,8100000,1173700000,1883500000,396600000,155800000,240800000,2280100000,3453800000,2194800000,-188100000,-59800000,1813600000,1813600000,5267400000,-30600000,-29400000,5.2e+07,-5300000,27700000,4.4e+07,-36300000,-36300000,-400000.000000004,-9.31322574615479e-10,-4e+05,7300000,7300000,-1e+06,6300000,30300000,1891600000,18700000.0000001,0.13519,-0.0181199999999999,-0.02455,-0.01621,-0.00558,-0.636049999999994,1.15191,1.90439,0.35911,-0.525,-0.525,21.38571,32.38571,0.33393,-0.00717,0.00456,55.85809,-77.99539
