"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",22.16171875,"Up",249700000,-187800000,61900000,-41800000,-41800000,20100000,-2600000,-2500000,-1e+05,17500000,-5e+05,1.7e+07,-4100000,12900000,12900000,12900000,12900000,35400000,35400000,124500000,124500000,152900000,8400000,321200000,146100000,146100000,540800000,378200000,6800000,686900000,1008100000,6.4e+07,6.4e+07,3e+05,66900000,66900000,131200000,2.67e+08,1.4e+08,92400000,4.07e+08,538200000,630200000,-86300000,-7.4e+07,469900000,469900000,1008100000,12900000,8600000,-11200000,10300000,-2900000,1e+05,-4200000,-8600000,1e+05,-12700000,-2300000,-2300000,2e+05,-2100000,28700000,267300000,0.2479,0.0805,0.05166,0.02745,0.0128,2.44817,1.14535,0.26515,0.21572,0.21217,4.17559,7.85786,0.07023,0.01949,0.32558,8.08014,11.53731
"32","2018_Q3",24.1631746031746,"Up",2.91e+08,-211800000,79200000,-40700000,-40700000,38500000,-2900000,-2500000,-4e+05,35600000,-399999.999999999,35200000,-8300000,26900000,26900000,26900000,26900000,3.6e+07,3.6e+07,131200000,131200000,147700000,10100000,3.25e+08,155200000,155200000,5.36e+08,3.76e+08,7500000,691200000,1016200000,66300000,66300000,3e+05,84600000,84600000,151200000,247800000,124800000,76500000,372600000,523800000,656400000,-86700000,-77300000,492400000,492400000,1016200000,26900000,9e+06,-8400000,27500000,-4100000,-4e+06,-4800000,-1.8e+07,6e+05,-22200000,1300000,1300000,-7e+05,6e+05,47500000,248100000,0.27216,0.1323,0.09244,0.05463,0.02647,2.14947,1.06377,0.24414,0.44833,0.44098,4.85,8.20667,0.08,0.03663,0.17844,4.46526,5.50909
"33","2018_Q4",21.8465079365079,"Down",269400000,-200400000,6.9e+07,-38200000,-38200000,30800000,-2200000,-2200000,0,28600000,-4e+05,28200000,-6500000,21700000,21700000,21700000,21700000,3.5e+07,3.5e+07,117800000,117800000,153600000,8e+06,314400000,159900000,159900000,5.35e+08,375800000,8300000,694900000,1009300000,6.6e+07,6.6e+07,3e+05,88800000,88800000,155100000,221900000,120500000,72200000,342400000,497500000,675500000,-87100000,-76600000,511800000,511800000,1009300000,21700000,9400000,2900000,3.4e+07,-3100000,-3200000,-4800000,-2.7e+07,1e+05,-31700000,-9e+05,-9e+05,-1e+05,-1e+06,40200000,222200000,0.25612,0.11433,0.08055,0.0424,0.0215,2.02708,0.97206,0.22015,0.36227,0.35458,4.4975,8.54424,0.08013,0.03101,0.2212,4.65672,6.07792
"34","2019_Q1",21.9639344262295,"Up",279400000,-207400000,7.2e+07,-38400000,-38400000,33600000,-2200000,-2100000,-1e+05,31400000,-2e+05,31200000,1e+06,32200000,32500000,32500000,32500000,37400000,37400000,124400000,124400000,157300000,9400000,328500000,158600000,158600000,536700000,375100000,5600000,695300000,1023800000,66100000,66100000,2e+05,92500000,92500000,158800000,209900000,1.25e+08,77300000,334900000,493700000,715900000,-88500000,-97300000,530100000,530100000,1023800000,32500000,9400000,10200000,20999999,-4e+06,-3900000,-4900000,-8500000,0,-14600000,2499999,2499999,-99999.9999999999,2399999,4.3e+07,210100000,0.2577,0.12026,0.11632,0.06131,0.03174,2.06864,0.93133,0.20522,0.54257,0.52589,4.66444,8.84975,0.0818,0.04323,0.15077,4.01628,5.13988
"35","2019_Q2",25.3166666666667,"Up",273800000,-203500000,70300000,-43900000,-43900000,26400000,-2400000,-2e+06,-4e+05,2.4e+07,-6e+05,23400000,-5900000,17500000,17500000,17500000,17500000,22700000,22700000,139400000,139400000,1.69e+08,9100000,340200000,170800000,170800000,559200000,374700000,30800000,7.3e+08,1070200000,72900000,72900000,2e+05,90400000,90400000,163500000,216600000,141700000,91100000,358300000,521800000,736600000,-90600000,-97600000,548400000,548400000,1070200000,17500000,9500000,-35800000,-8800000,-4500000,-4500000,-4800000,5500000,-1100000,-1400000,-14700000,-14700000,0,-14700000,35900000,216800000,0.25676,0.09642,0.06392,0.03191,0.01635,2.08073,0.9515,0.20258,0.29118,0.28595,4.55574,9.12479,0.07987,0.02459,0.27429,5.40669,7.35227
"36","2019_Q3",28.76109375,"Up",324300000,-235300000,8.9e+07,-41800000,-41800000,47200000,-1900000,-2e+06,1e+05,45300000,-9e+05,44400000,-11600000,32800000,32800000,32800000,32800000,38600000,38600000,145900000,145900000,173500000,9600000,367600000,173700000,173700000,554400000,3.75e+08,28200000,728100000,1095700000,71300000,71300000,2e+05,94500000,94500000,1.66e+08,209200000,140400000,88200000,349600000,515600000,767700000,-91400000,-96200000,580100000,580100000,1095700000,32800000,9800000,-8000000.00000001,34600000,-4900000,-4900000,-4800000,-8600000.00000001,-6e+05,-1.4e+07,15700000,15700000,2e+05,15900000,5.7e+07,209400000,0.27444,0.14554,0.10114,0.05654,0.02994,2.21446,0.88881,0.19111,0.54576,0.53595,5.39601,9.65225,0.07987,0.04043,0.14634,2.99649,3.61864
"37","2019_Q4",31.6425,"Up",308800000,-226800000,8.2e+07,-42999999,-42999999,39000001,-2300000,-2100000,-2e+05,36700001,-4e+05,36300001,-7900000,28400001,28400001,28400001,28400001,35900000,35900000,142500000,142500000,189100000,12700000,380200000,192800000,192800000,600600000,392100000,32600000,793400000,1173600000,70500000,70500000,2e+05,93300000,93300000,1.64e+08,249100000,156300000,98500000,405400000,569400000,795600000,-92600000,-98800000,604200000,604200000,1173600000,28400000,10800000,-6400000,32800000,-11500000,-61100000,-4900000,39600000,-8600000,26100000,-2200000,-2200000,-5e+05,-2700000,49800001,249300000,0.26554,0.1263,0.09197,0.047,0.0242,2.31829,0.9424,0.21242,0.47255,0.46179,5.1381,10.05324,0.08153,0.03298,0.17254,4.28514,5.47179
"38","2020_Q1",30.2811290322581,"Down",314400000,-232900000,81500000,-44500001,-35700001,36999999,-1900000,-1800000,-1e+05,35099999,-6e+05,34499999,-4800000,29699999,29799999,29799999,29799999,31600000,31600000,134199999,134199999,182900000,1.2e+07,360699999,207300000,207300000,597500000,388800000,35500000,804800000,1165499999,6.5e+07,6.5e+07,2e+05,94999999,94999999,160199999,220300000,143400000,38900000,363700000,523899999,295500000,-9.3e+07,-89100000,641600000,641600000,1165499999,29800000,11400000,60300000,44500000,-14500000,-13900000,-4800000,-30100000,-400000.000000002,-35300000,-4700000,-4700000,4e+05,-4300000,48399999,220500000,0.25922,0.11768,0.09478,0.04645,0.02557,2.25156,0.81655,0.18919,0.49256,0.4768,5.19669,10.60496,0.07934,0.03441,0.16107,3.90289,5.10541
"39","2020_Q2",27.6171428571429,"Down",286100000,-211300000,74800000,-42200000,-42200000,32600000,-1700000,-1500000,-2e+05,30900000,-3e+05,30600000,-7200000,23400000,23400000,23400000,23400000,69400000,69400000,141400000,141400000,201400000,10700000,422900000,2.14e+08,2.14e+08,590200000,387900000,3.3e+07,804200000,1227100000,7.8e+07,7.8e+07,2e+05,88900000,88900000,167100000,278700000,145100000,89900000,423800000,590900000,844100000,-111400000,-96500000,636200000,636200000,1227100000,23400000,10800000,3800000,5200001,-9500000,-8400000,-4800000,63600000,-3900000,41400000,38200001,38200001,-4e+05,37800001,43400000,278900000,0.26145,0.11395,0.08179,0.03678,0.01907,2.53082,0.9288,0.22728,0.38678,0.37925,4.72893,10.5157,0.07934,0.0266,0.20513,4.82719,6.42638
"40","2020_Q3",30.1828125,"Up",270100000,-199800000,70300000,-37400000,-37400000,32900000,-3800000,-1800000,-2e+06,29100000,-1600000,27500000,-6100000,21400000,21400000,21400000,21400000,73600000,73600000,125300000,125300000,197500000,10400000,406800000,214800000,214800000,589600000,390600000,32400000,804400000,1211200000,73100000,73100000,2e+05,87400000,87400000,160700000,244400000,150700000,92900000,395100000,555800000,865500000,-115400000,-94700000,655400000,655400000,1211200000,21400000,11100000,6100000.00000001,59799999,-6800000,-12800000,-4900000,-35900000,-2100000,-42900000,4099999,4099999,1e+05,4199999.00000001,4.4e+07,244600000,0.26027,0.12181,0.07923,0.03265,0.01767,2.53143,0.84803,0.20195,0.35607,0.34797,4.49418,10.90516,0.08153,0.02503,0.22897,3.88636,5.19757
"41","2020_Q4",30.964375,"Up",279800000,-207200000,72600000,-38400000,-38400000,34200000,-1100000,-1200000,1e+05,33100000,-2e+05,32900000,-7600000,25300000,25300000,25300000,25300000,66200000,66200000,1.45e+08,1.45e+08,196600000,9900000,417700000,2.21e+08,2.21e+08,585999999,3.92e+08,30599999,806999999,1224699999,71100000,71100000,2e+05,87300000,87300000,158600000,238700000,147600000,88600000,386300000,544900000,305200000,-119300000,-89900000,679800000,679800000,1224700000,25300000,11200000,3900000,14600000,-7500000,-8e+06,-4800000,-7200000,-2300000,-14500000,-7900000,-7900000,5e+05,-7400000,45400000,238900000,0.25947,0.12223,0.09042,0.03722,0.02066,2.63367,0.80156,0.19507,0.41957,0.41272,4.64013,11.27363,0.0796,0.02823,0.18972,3.80396,5.04971
"42","2021_Q1",35.5260655737705,"Up",294800000,-218900000,75900000,-40800000,-31200000,35100000,-2e+05,-1200000,1e+06,34900000,-1300000,33600000,-7600000,2.6e+07,26100000,26100000,26100000,81700000,81700000,1.27e+08,1.27e+08,1.85e+08,11800000,405500000,220200000,220200000,583100000,394200000,25700000,803300000,1208800000,51600000,51600000,2e+05,96599999,96599999,148399999,209800000,148500000,4e+07,358300000,506699999,308600000,-119800000,-91700000,702100000,702100000,1208799999,26100000,11700000,-6100000,56600000,-5900000,-5200000,-4900000,-32300000,-2e+05,-37400000,1.4e+07,1.4e+07,1500000,15500000,46800000,2.1e+08,0.25746,0.11906,0.08853,0.03717,0.02159,2.73248,0.72169,0.17373,0.43284,0.41894,4.88889,11.64345,0.08126,0.02923,0.18774,2.74145,3.65527
"43","2021_Q2",40.4798412698413,"Up",278800000,-2.1e+08,68800000,-40800000,-38200000,2.8e+07,-6e+05,-1100000,5e+05,27400000,-2e+05,27200000,-5e+06,22200000,22200000,22200000,22200000,54800000,54800000,136300000,136300000,204600000,9200000,404900000,228700000,228700000,632500000,406700000,3.8e+07,861200000,1266100000,71200000,71200000,6e+05,94900000,94900000,166700000,2.22e+08,157800000,49700000,379800000,546500000,313600000,-124300000,-91400000,719600000,719600000,1266100000,22200000,12200000,1800000,2.6e+07,-4300000,-56400000,-5500000,10100000,-6e+05,4e+06,-26400000,-26400000,-5e+05,-26900000,40200000,222600000,0.24677,0.10043,0.07963,0.03085,0.01753,2.42891,0.75945,0.17582,0.36634,0.35981,4.60066,11.87459,0.09076,0.02518,0.24775,4.17413,5.99286
"44","2021_Q3",38.848125,"Down",334700000,-253100000,81600000,-42800000,-4e+07,38800000,-8e+05,-1100000,3e+05,3.8e+07,-3e+05,37700000,-8e+06,29700000,29700000,29700000,29700000,54500000,54500000,1.48e+08,1.48e+08,203900000,21800000,428200000,231900000,231900000,629300000,407600000,36800000,861200000,1289400000,70500000,70500000,6e+05,99800000,99800000,170900000,2.23e+08,149500000,43800000,372500000,543400000,318300000,-129800000,-88400000,7.46e+08,7.46e+08,1289400000,29700000,12600000,2e+06,13300000,-5e+06,-4899999.99999999,-5500000,-100000.000000007,-3200000,-9e+06,-6e+05,-6e+05,3e+05,-3e+05,51400000,223600000,0.2438,0.11592,0.08874,0.03981,0.02303,2.50556,0.72842,0.17341,0.4901,0.48136,5.5231,12.31023,0.09076,0.03145,0.18519,3.28988,4.35825
"45","2021_Q4",42.9846875,"Up",298300000,-227400000,70900000,-36200000,-33400000,34700000,-8e+05,-1100000,3e+05,33900000,-4e+05,33500000,-4300000,29200000,29200000,29200000,29200000,8.8e+07,8.8e+07,140800000,140800000,2.17e+08,18200000,4.64e+08,225400000,225400000,624400000,406900000,36400000,849800000,1313800000,65599999,65599999,6e+05,91300000,91300000,157499999,251800000,138800000,42300000,390600000,548099999,320600000,-133400000,-91100000,765700000,765700000,1313799999,29200000,12700000,-6300000,15800000,-3200000,-3200000,-5500000,30100000,0,21400000,3.4e+07,3.4e+07,-5e+05,33500000,47400000,252400000,0.23768,0.11633,0.09789,0.03814,0.02223,2.94603,0.71582,0.19211,0.47947,0.47326,4.89819,12.57307,0.09031,0.02999,0.18836,3.46835,4.73775
"46","2022_Q1",36.9182258064516,"Down",301400000,-2.34e+08,67400000,-40300000,-37600000,27100000,-6e+05,-1200000,6e+05,26500000,-7300000,19200000,3e+05,19500000,19500000,19500000,19500000,40500000,40500000,1.36e+08,1.36e+08,229100000,25400000,4.31e+08,250300000,250300000,684800000,432200000,38500000,935100000,1366100000,64800000,64800000,6e+05,1.05e+08,1.05e+08,170400000,282200000,129500000,35900000,411700000,582100000,325600000,-1.51e+08,-74200000,7.84e+08,7.84e+08,1366100000,19500000,12900000,6900000,46700000,-24900000,-104200000,-5500000,30400000,-2900000,9999999.99999999,-47500000,-47500000,0,-47500000,4e+07,282800000,0.22362,0.08991,0.0647,0.02487,0.01427,2.52934,0.74247,0.20701,0.3202,0.31605,4.9491,12.87356,0.09031,0.0209,0.28205,6.0575,8.94096
"47","2022_Q2",34.1814516129032,"Down",330200000,-254500000,75700000,-46900000,-43600000,28800000,-9e+05,-1300000,4e+05,27900000,-3e+05,27600000,-7100000,20500000,20500000,20500000,20500000,39200000,39200000,156400000,156400000,249700000,18900000,464200000,281400000,281400000,679500000,431300000,36500000,960900000,1425100000,80700000,80700000,5e+05,100300000,100300000,181500000,329200000,126600000,33200000,455800000,637300000,328400000,-166500000,-72700000,787800000,787800000,1425100000,20500000,13400000,2700000,7e+06,-33700000,-34300000,-5500000,46800000,-1600000,26100000,-1200000,-1200000,-1e+05,-1300000,42200000,329700000,0.22925,0.08722,0.06208,0.02602,0.01438,2.55758,0.80896,0.23135,0.33662,0.33225,5.422,12.93596,0.09031,0.0209,0.26829,6.88389,10.08681
"48","2022_Q3",39.171875,"Up",366700000,-276900000,89800000,-45300000,-42100000,44500000,-1600000,-1900000,3e+05,42900000,1700000,44600000,-11100000,33500000,33500000,33500000,33500000,31200000,31200000,169900000,169900000,259600000,19200000,479900000,283800000,283800000,680100000,430700000,38300000,963900000,1443800000,77900000,77900000,7e+05,101100000,101100000,179700000,326100000,128900000,34600000,4.55e+08,634700000,331599999,-170200000,-7.9e+07,809099999,809099999,1443799999,33500000,13700000,5900000,15400000,-7800000,-11700000,-5400000,-2700000,-6e+05,-11200000,-7500000,-7500000,-5e+05,-8000000.00000001,58200000,326800000,0.24489,0.12135,0.09136,0.0414,0.0232,2.67056,0.78445,0.22635,0.55464,0.55008,6.07119,13.3957,0.0894,0.03076,0.16119,5.07904,6.6427
