"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",31.0015873015873,"Up",242500000,-88900000,153600000,-158500000,-111300000,-47200000,-4900000,-8200000,-2600000,-13100000,29600000,30200000,30200000,30200000,30200000,606100000,300200000,305900000,1.62e+08,1.62e+08,46200000,21700000,21700000,8.36e+08,156800000,14700000,2800000,171500000,1007500000,1.64e+08,117900000,46100000,6800000,6800000,170800000,19600000,19600000,354600000,525400000,1149200000,-665800000,-1300000,482100000,482100000,1007500000,30200000,6700000,-7700000,12200000,41400000,-10300000,-149600000,-159900000,1e+06,1e+06,-800000.000000007,-119300000,-119300000,-120200000,1800000.00000001,3.35e+08,0.6334,-0.02021,0.12454,0.06264,0.02998,4.89461,1.08982,0.33251,0.0856,0.08445,0.68736,1.3665,0.03609,-150.61111,55.32653
"33","2018_Q4",31.7201587301587,"Up",266700000,-98100000,168600000,-154700000,-104600000,-50100000,13900000,-4e+06,-2400000,9900000,44800000,46600000,46600000,46600000,46600000,668700000,367400000,301300000,169800000,169800000,55200000,20400000,20400000,914100000,169600000,30600000,12200000,200200000,1114300000,190400000,135400000,5.5e+07,3500000,3500000,193900000,19400000,19400000,358200000,552100000,1181700000,-619200000,-3e+05,562200000,562200000,1114300000,46600000,7800000,-3600000,6e+06,56800000,-23800000,39700000,4600000,5400000,5400000,5400000,66800000,66800000,67200000,21700000,338800000,0.63217,0.05212,0.17473,0.08289,0.04182,4.71429,0.98203,0.30405,0.13164,0.12901,0.75339,1.58814,0.05063,-15.20276,-23.73381
"34","2019_Q1",35.1398360655738,"Up",337999999,-115200000,222799999,-169700000,-112100000,-57600000,53099999,-7400000,-14400000,45699999,-176900001,-179700001,-179700001,-179700001,-179700001,1385600000,1.137e+09,248600000,226700000,226700000,70700000,16500000,16500000,1699500000,183100000,33400000,14700000,216500000,1.916e+09,219500000,147100000,72400000,2900000,2900000,222400000,2e+07,2e+07,1030300000,1252700000,1560700000,-798900000,1500000,663300000,663300000,1.916e+09,-179700000,8600000,253400000,-48600000,33700000,-17699999,49600000,30900001,-99800000,200000.000000001,701600000,766200001,766200001,769400001,61699999,1010300000,0.65917,0.1571,-0.53166,-0.27092,-0.09379,7.64164,1.88859,0.5273,-0.50591,-0.5236,0.95158,1.8674,-0.10611,-6.08266000000001,-7.0678
"35","2019_Q2",31.4319047619048,"Down",280500000,-111700000,168800000,-183200000,-124200000,-5.9e+07,-14400000,-8e+06,-14900000,-22400000,-26600000,-26900000,-26900000,-26900000,-26900000,1.358e+09,1285100000,72900000,204700000,204700000,101100000,2.7e+07,2.7e+07,1690800000,221400000,61800000,43200000,283200000,1.974e+09,220400000,169100000,51300000,2700000,2700000,235400000,47600000,47600000,1.07e+09,1305400000,1590700000,-823700000,1600000,668600000,668600000,1.974e+09,-26900000,9900000,41700000,-12900000,11800000,-39300000,170600000,131300000,5e+06,5e+06,4900000,1.48e+08,1.48e+08,148600000,-4500000,1034700000,0.60178,-0.05134,-0.0959,-0.04023,-0.01363,7.18267,1.95244,0.52416,-0.07447,-0.07447,0.77658,1.85105,-0.01536,71.84444,22.45139
"36","2019_Q3",38.84921875,"Up",336400000,-129900000,206500000,-207300000,-138300000,-6.9e+07,-800000.000000007,-8500000,-1.5e+07,-9299999.99999999,-9299999.99999999,-10500000,-10500000,-10500000,-10500000,1377500000,709200000,668300000,217300000,217300000,117900000,31500000,31500000,1744200000,253200000,68500000,49800000,321700000,2065900000,270600000,196700000,73900000,17600000,3500000,288200000,54700000,54700000,1089400000,1377600000,1620500000,-834200000,2e+06,688300000,688300000,2065900000,-10500000,11600000,39800000,23600000,64500000,-46900000,-592500000,-639400000,99999.9999999851,99999.9999999991,-100000.000000119,-5.75e+08,-5.75e+08,-575900000,10800000,1034700000,0.61385,-0.00237999999999997,-0.03121,-0.01525,-0.00508,6.05205,2.00145,0.50085,-0.0288100000000001,-0.02881,0.92316,1.88886,-0.00591,-31.74074,428.5
"37","2019_Q4",47.43015625,"Up",396300000,-149400000,246900000,-190900000,-124200000,-66700000,5.6e+07,-10200000,3200000,45800000,45800000,45800000,45800000,45800000,45800000,1429900000,395600000,1034300000,234900000,234900000,120400000,30500000,30500000,1815700000,3.01e+08,6.9e+07,50600000,3.7e+08,2185700000,303300000,232400000,70900000,19100000,4300000,322400000,51900000,51900000,1.099e+09,1421400000,1651700000,-788400000,1e+06,764300000,764300000,2185700000,45800000,12900000,39400000,-3600000,94500000,-49700000,-361900000,-412800000,6800000,6800000,6e+06,-312300000,-312300000,-313700000,68900000,1047100000,0.62301,0.14131,0.11557,0.05992,0.02095,5.63182,1.85974,0.47907,0.12541,0.12027,1.08516,2.09283,0.02458,-5.55588,-6.83571
"38","2020_Q1",62.2251612903226,"Up",462800000,-153500000,309300000,-207800000,-1.29e+08,-78800000,101500000,-11400000,-33600000,90100000,94300000,92700000,92700000,92700000,92700000,1533300000,446200000,1087100000,286300000,286300000,119800000,3e+07,3e+07,1969400000,321300000,104300000,85700000,425600000,2.395e+09,344899999,256399999,88500000,15300000,1700000,360199999,92500000,92500000,1152200000,1512399999,1.676e+09,-695700000,2300000,882600000,882600000,2394999999,92700000,14300000,37700000,-999999.999999993,143700000,-44100000,-50200000,-94300000,-1.86264514923096e-09,-9.31322574615479e-10,-1e+05,49300000.0000001,49300000.0000001,50300000,115800000,1059700000,0.66832,0.21932,0.2003,0.10503,0.03871,5.46752,1.71357,0.44246,0.25273,0.25027,1.26172,2.40622,0.04556,-4.08980999999999,-4.66601000000002
"39","2020_Q2",89.4522222222222,"Up",405100000,-148600000,256500000,-222900000,-149800000,-73100000,33600000,-11200000,-15400000,22400000,22400000,19900000,19900000,19900000,19900000,1510500000,584600000,925900000,300700000,300700000,141900000,42600000,42600000,1995700000,346100000,106100000,87500000,452200000,2447900000,326500000,267500000,5.9e+07,16300000,1800000,342800000,98200000,98200000,1170600000,1513400000,1706600000,-675800000,3700000,934500000,934500000,2447900000,19900000,1.3e+07,36700000,-67700000,1900000,-33200000,164200000,130600000,6700000,6700000,6500000,1.39e+08,1.39e+08,138500000,46600000,1072400000,0.63318,0.08294,0.04912,0.02129,0.00813,5.82176,1.61948,0.43809,0.05419,0.05287,1.10321,2.54493,0.00945,-9.40129,-13.03869
"40","2020_Q3",104.4771875,"Up",451800000,-167700000,284100000,-216300000,-136400000,-79900000,67800000,-16200000,-20300000,51600000,46200000,46300000,46300000,46300000,46300000,2508800000,5.3e+08,1978800000,296500000,296500000,165300000,62400000,62400000,3.033e+09,384300000,104500000,85800000,488800000,3521800000,383300000,315900000,67400000,16800000,1700000,400100000,1.09e+08,1.09e+08,1767800000,2167900000,2079900000,-629500000,3500000,1353900000,1353900000,3521800000,46300000,15300000,57100000,35400000,154100000,-58200000,-1054700000,-1115300000,-9.31322574615479e-10,0,9.06e+08,-55200000,-55200000,-54900000,83100000,1658800000,0.62882,0.15007,0.10248,0.0342,0.01315,7.5806,1.60123,0.47101,0.1234,0.11921,1.20416,3.60848,0.01483,-10.22864,-12.53687
"41","2020_Q4",89.286875,"Down",500900000,-160500000,340400000,-246300000,-158600000,-87700000,94100000,-18500000,-24400000,75600000,75100000,72200000,72200000,72200000,72200000,2603800000,673500000,1930300000,3.7e+08,3.7e+08,200700000,62600000,62600000,3237100000,461800000,134300000,115300000,596100000,3833200000,489100000,3.97e+08,92100000,1500000,1500000,506400000,181700000,181700000,1827500000,2333900000,2153800000,-557300000,2800000,1499300000,1499300000,3833200000,72200000,18400000,54900000,2100000,147600000,-47400000,45900000,-9300000,8600000,8600000,4500000,142800000,142800000,143800000,112500000,1661600000,0.67958,0.18786,0.14414,0.04816,0.01884,6.39238,1.55666,0.43348,0.18841,0.18141,1.30715,3.91258,0.0216,-8.37511,-10.01275
"42","2021_Q1",93.8680327868853,"Up",568900000,-169800000,399100000,-295100000,-173400000,-119200000,1.04e+08,44300000,42400000,148300000,154200000,411300000,411300000,411300000,411300000,2707700000,817600000,1890100000,428500000,428500000,234700000,53900000,53900000,3424800000,515299999,350400000,93300000,865699999,4290499999,595400000,481100000,114300000,2200000,2200000,614100000,182700000,182700000,1849900000,2.464e+09,2125400000,-202100000,3200000,1826500000,1826500000,4290500000,355200000,20399999,-2.13e+08,9400000,171999999,-60200000,36900000,-2.4e+07,-1.86264514923096e-09,1.86264514923096e-09,-4900000,143099999,143099999,144399999,124399999,1683700000,0.70153,0.18281,0.72297,0.22518,0.09586,5.57694,1.34903,0.39243,1.06887,1.0355,1.47843,4.74662,0.11138,-8.23151,-9.84615
"43","2021_Q2",96.0326984126984,"Up",5.05e+08,-161100000,343900000,-2.98e+08,-188600000,-109400000,45900000,-4600000,-4700000,41300000,41300000,56500000,56500000,56500000,56500000,2632600000,733800000,1898800000,443400000,443400000,289700000,79400000,79400000,3445100000,589900000,354800000,119200000,944700000,4389800000,5.84e+08,502600000,81400000,1900000,1900000,604100000,193700000,193700000,1882500000,2486600000,2162100000,-161800000,2900000,1903200000,1903200000,4389800000,56500000,20900000,37800000,-87400000,27800000,-99700000,-1.2e+07,-112200000,8700000,8700000,8e+05,-83600000,-83600000,-8.4e+07,66800000,1.707e+09,0.68099,0.09089,0.11188,0.02969,0.01287,5.70286,1.30654,0.38886,0.14668,0.1421,1.31101,4.94081,0.01485,-13.85629,-20.16558
"44","2021_Q3",126.1065625,"Up",595100000,-1.78e+08,417100000,-316100000,-1.86e+08,-129100000,1.01e+08,-3900000,-4800000,97100000,97100000,78400000,78400000,78400000,78400000,2584900000,1158800000,1426100000,483500000,483500000,319300000,86500000,86500000,3474200000,6.76e+08,353600000,118100000,1029600000,4503800000,580100000,4.82e+08,98100000,1800000,1800000,600700000,194800000,194800000,1905500000,2506200000,2193700000,-98900000,2800000,1997600000,1997600000,4503800000,78400000,23500000,42100000,-82400000,61600000,-101200000,468400000,363200000,0,0,-400000.000000007,424400000,424400000,424900000,124500000,1729500000,0.70089,0.16972,0.13174,0.03925,0.01741,5.78359,1.25461,0.38401,0.20353,0.19718,1.54491,5.18588,0.01999,-6.87068,-8.46931
"45","2021_Q4",143.69234375,"Up",650200000,-203300000,446900000,-328600000,-198500000,-128800000,118300000,-6300000,-4600000,1.12e+08,1.12e+08,87300000,87300000,87300000,87300000,2697900000,1444300000,1253600000,529100000,529100000,351300000,77900000,77900000,3656200000,742200000,377500000,91300000,1119700000,4775900000,713300000,5.98e+08,115300000,2300000,2300000,734900000,201400000,201400000,1904900000,2639800000,2322200000,-2.8e+07,1400000,2136100000,2136100000,4775900000,87300000,25500000,43700000,90800000,247300000,-108100000,168700000,2.9e+07,11600000,11600000,10800000,287100000,287100000,286100000,143800000,1722800000,0.68733,0.18194,0.13427,0.04087,0.01828,4.9751,1.2358,0.36073,0.22593,0.21869,1.68271,5.52821,0.0215,-6.78095,-8.2426
"46","2022_Q1",109.385322580645,"Down",698200000,-225600000,472600000,-384900000,-233700000,-149800000,87700000,5900000,-4700000,93600000,6400000,-5300000,-5300000,-5300000,-5300000,2731200000,1052600000,1678600000,514300000,514300000,357300000,81600000,81600000,3684400000,801800000,447100000,98600000,1248900000,4933300000,698200000,621808229.495383,698200000,2100000,2100000,720800000,188600000,188600000,2170400000,2891200000,2109100000,138700000,5e+05,2042100000,2042100000,4933300000,-5300000,32100000,1.32e+08,-5.3e+07,105800000,-80200000,-431900000,-496100000,0,0,-800000.000000002,-391100000,-391100000,-391600000,119800000,2002300000,0.67688,0.12561,-0.00759000000000001,-0.00259999999999999,-0.00107,5.11154,1.4158,0.40587,-0.01355,-0.01291,1.78476,5.22009,-0.00125,-6.08431,-8.31129
"47","2022_Q2",91.2635483870968,"Down",628800000,-230700000,398100000,-356800000,-220900000,-135900000,41300000,-5200000,-4600000,36100000,36100000,97300000,97300000,97300000,97300000,2688200000,7.16e+08,1972200000,544500000,544500000,342200000,171700000,171700000,3746600000,856500000,453900000,105100000,1310400000,5.057e+09,687800000,603100000,84700000,2700000,2700000,711400000,190400000,190400000,2156300000,2867700000,1996700000,2.36e+08,-6100000,2189300000,2189300000,5.057e+09,97300000,36800000,34400000,-97500000,7.1e+07,-101600000,-304700000,-411800000,10100000,10100000,5300000,-335500000,-335500000,-336500000,78100000,1986800000,0.63311,0.06568,0.15474,0.04444,0.01924,5.26652,1.30987,0.39288,0.25077,0.25077,1.62062,5.64253,0.02228,-8.98079,-16.98305
"48","2022_Q3",84.69546875,"Down",696200000,-246700000,449500000,-372500000,-246900000,-121700000,7.7e+07,-1700000,-4700000,75300000,75300000,50900000,50900000,50900000,50900000,2754800000,735400000,2019400000,560800000,560800000,339500000,153600000,153600000,3808700000,942900000,465800000,102700000,1408700000,5217400000,783100000,688300000,94800000.0000001,2700000,2700000,8.07e+08,187200000,187200000,2154500000,2961500000,2029300000,286900000,-2.3e+07,2255900000,2255900000,5217400000,50900000,43600000,26500000,51800000,172800000,-91500000,-53400000,-144900000,0,0,-4300000,23600000,23600000,19300000,120600000,1988500000,0.64565,0.1106,0.07311,0.02256,0.00976,4.71958,1.31278,0.38113,0.12968,0.12079,1.77376,5.74752,0.01149,-6.35406,-9.95195
