"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",82.1646031746032,"Up",892400000,-523700000,368700000,-254200000,-254200000,114500000,-24800000,-23300000,-1500000,89700000,89700000,-31100000,58600000,58600000,-4e+05,58200000,53400000,47023000,47023000,615348000,615348000,97553000,51926000,35999000,759924000,725420000,5511512000,1857209000,3622793000,31510000,6236932000,6996856000,376990000,133119000,243871000,96301000,106270000,88296000,579561000,2767035000,757779000,657865000,99914000,3524814000,4104375000,1162836000,2059452000,-341119000,2881176000,11305000,2892481000,6996856000,58600000,58200000,17700000,33800000,168300000,-33100000,-16900000,2e+05,-49800000,-101600000,3500000,-9600000,-117100000,1400000,1400000,1400000,2800000,172700000,2863336000,204500000,0.41316,0.12831,0.05984,0.01846,0.00763,3.82959,1.31121,1.41898,0.40923,0.62661,0.62403,10.47169,33.80851,2.39967,0.00964,0.0314,16.30754,24.59662
"30","2017_Q3",73.5761904761905,"Down",917700000,-5.36e+08,381700000,-5.74e+08,-5.74e+08,-192300000,-25400000,-23700000,-1700000,-217700000,-217700000,73500000,-144200000,-144200000,2e+05,-1.44e+08,-148800000,44191000,44191000,639611000,639611000,112312000,66907000,36608000,796114000,733770000,5507613000,1839434000,3637182000,30997000,6241383000,7037497000,711172000,150043000,561129000,111400000,92661000,73422000,915233000,2749818000,611630000,513949000,97681000,3361448000,4276681000,1155984000,1910684000,-316737000,2749938000,10878000,2760816000,7037497000,-144200000,58700000,-1.3e+08,286100000,70600000,-3e+07,-4200000,2e+05,-3.4e+07,-20400000,9e+05,-13200000,-41900000,-5300000,-5300000,2500000,-2800000,-133600000,2861218000,4.9e+07,0.41593,-0.20955,-0.16214,-0.0539,-0.02114,-0.329299999999999,0.86985,1.54906,0.40657,-1.74501,-1.74501,10.76207,32.24905,0.57463,-0.02239,0.00786,-21.08553,-14.64913
"31","2017_Q4",67.8887301587302,"Down",882800000,-514700000,368100000,-274500000,-274500000,93600000,-26800000,-24500000,-2300000,66800000,66800000,-27800000,3.9e+07,3.9e+07,0,3.9e+07,35500000,52171000,52171000,627904000,627904000,114631000,53783000,35292000,794706000,729571000,5492085000,1818078000,3638574000,35433000,6221656000,7016362000,760384000,144600000,615784000,122189000,90094000,71023000,972667000,2633732000,591242000,501647000,89595000,3224974000,4197641000,1147936000,1946133000,-286693000,2807383000,11338000,2818721000,7016362000,3.9e+07,60300000,2700000,51100000,153100000,-28600000,-1500000,2e+05,-29900000,-92600000,6e+05,-11400000,-112300000,10900000,10900000,-2900000,8e+06,153900000,2755921000,204200000,0.41697,0.10603,0.04021,0.01259,0.00506,5.75211,0.81704,1.4892,0.39278,0.41597,0.41462,10.34415,32.89523,2.3927,0.00719999999999999,0.03312,17.56823,28.88622
"32","2018_Q1",67.6881967213115,"Down",887800000,-543800000,3.44e+08,-302400000,-302400000,41599999.9999999,-23300000,-22200000,-1100000,18300000,-46700000,136300000,89600000,89600000,-4e+05,89200000,83300000,42200000,42200000,624100000,624100000,147100000,76500000,49800000,813400000,7.41e+08,5433900000,1791500000,3.604e+09,38400000,6174900000,6988300000,790300000,195200000,595100000,119500000,59600000,59600000,969400000,2615300000,4.95e+08,371100000,123900000,3110300000,4079700000,1154100000,2029500000,-2.87e+08,2896600000,1.2e+07,2908600000,6988300000,89600000,72300000,-53800000,8500000,116600000,-51300000,-28700000,7e+05,-79300000,-42900000,5200000,-3400000,-49900000,-12600000,-12600000,2600000,-1e+07,113900000,2734800000,-65200000.0000001,0.38747,0.0468599999999999,0.09383,0.02864,0.01192,-0.78271,0.83908,1.40263,0.39134,0.97581,0.96934,10.40003,33.93189,-0.76378,0.015,-0.01062,23.64004,64.72596
"33","2018_Q2",62.213125,"Down",8.95e+08,-536500000,358500000,-304400000,-304400000,54100000,-2.5e+07,-2.5e+07,1141874.83123645,29100000,29100000,-6600000,22500000,22500000,-261453.341604209,22500000,2.1e+07,49400000,49400000,633500000,633500000,127700000,61800000,48200000,810600000,748900000,5456200000,1771200000,3625200000,59800000,6205100000,7015700000,814200000,1.77e+08,637200000,121900000,63800000,63800000,999900000,2586200000,477500000,357400000,120100000,3063700000,4063600000,1147200000,2063500000,-270700000,2.94e+09,12100000,2952100000,7015700000,22500000,62700000,-1700000,26900000,110400000,-28500000,-15900000,3e+05,-44100000,-50100000,3700000,-7400000,-62600000,3700000,3700000,3500000,7200000,116800000,2708100000,121800000,0.40056,0.06045,0.02346,0.00711,0.00299,5.8,0.81068,1.37651,0.38601,0.24561,0.24476,10.46784,34.38596,1.42456,0.00486,0.01984,22.76284,49.14418
"34","2018_Q3",63.8569841269841,"Up",883300000,-5.3e+08,353300000,-290900000,-290900000,62400000,-25200000,-24600000,-6e+05,37200000,37200000,-9600000.00000001,27600000,27600000,-1e+05,27500000,26400000,4.5e+07,4.5e+07,629600000,629600000,138700000,74800000,46400000,813300000,744400000,5356900000,1698700000,3598400000,59800000,6101300000,6914600000,833800000,205900000,627900000,112100000,55500000,55500000,1001400000,2535700000,475900000,357400000,118500000,3011600000,4.013e+09,1.146e+09,2090100000,-345800000,2890300000,11300000,2901600000,6914600000,27600000,65600000,18300000,9100000,120600000,-35500000,-4900000,1100000,-39300000,-7e+07,5100000,-7400000,-80600000,700000.000000002,700000.000000002,-5100000,-4400000,1.28e+08,2647800000,111200000,0.39998,0.07064,0.02989,0.0091,0.00382,4.21212,0.81216,1.38303,0.38293,0.30841,0.30769,10.31893,33.76519,1.29907,0.00576,0.01846,20.33438,41.71154
"35","2018_Q4",46.9404761904762,"Down",854900000,-519400000,335500000,-267200000,-267200000,68300000,-33900000,-27700000,-6200000,34400000,34400000,-10900000,23500000,23500000,0,23500000,17500000,5.2e+07,5.2e+07,607400000,607400000,143700000,94500000,49200000,803100000,755100000,5344700000,1670600000,3613800000,60300000,6099800000,6902900000,589200000,222800000,366400000,109300000,50800000,50800000,749300000,2720800000,500200000,380600000,119600000,3.221e+09,3970300000,1156400000,2107600000,-342500000,2921500000,11100000,2932600000,6902900000,23500000,63900000,36300000,-264800000,-141100000,-32900000,6400000,5e+05,-2.6e+07,174300000,11300000,-2600000,174600000,7500000,7500000,-5e+05,7e+06,132200000,2830100000,-154600000,0.39244,0.07989,0.02047,0.00596999999999999,0.00254,-8.83429,1.0718,1.35385,0.40999,0.20185,0.20161,9.86044,33.69666,-1.78316,0.00414,-0.02469,21.01437,40.67496
"36","2019_Q1",45.2680327868852,"Down",852700000,-5.24e+08,328700000,-303100000,-303100000,25600000,-30200000,-28700000,-1500000,-4600000,-376100000,56900000,-319200000,-319200000,1e+06,-318200000,-318200000,34300000,34300000,599600000,599600000,113400000,5e+07,63400000,747300000,743500000,4964700000,1637700000,3222200000,104800000,5708200000,6455500000,581400000,225800000,355600000,104300000,47500000,47500000,733200000,2663900000,461300000,307300000,1.54e+08,3125200000,3858400000,1163500000,1789200000,-365300000,2587400000,9700000,2597100000,6455500000,-319200000,63700000,359800000,-28500000,75800000,-33900000,-30300000,26100000,-38100000,-55199999,0,-1900000,-57099999,-19399999,-19399999,1700000,-17699999,89300000,2768200000,-3e+07,0.38548,0.03002,-0.37317,-0.12252,-0.04929,0.0942799999999995,1.01923,1.48566,0.42881,-3.51214,-3.53556,9.4117,28.5585,-0.33113,-0.05461,-0.00515,30.61478,106.79297
"37","2019_Q2",50.8709523809524,"Up",830100000,-5.33e+08,297100000,-280400000,-280400000,16700000,-29800000,-27600000,-2200000,-13100000,-3.4e+07,-3600000,-37600000,-37600000,-2e+05,-37800000,-37800000,48200000,48200000,600900000,600900000,152500000,8.7e+07,65500000,801600000,7.6e+08,5289100000,1599700000,3197500000,491900000,6049100000,6850700000,549600000,210700000,338900000,101900000,134500000,134500000,7.86e+08,2702400000,791800000,347700000,444100000,3494200000,4280200000,1172100000,1751400000,-356900000,2566600000,3900000,2570500000,6850700000,-37600000,69600000,30100000,-25900000,36200000,-52500000,-3e+05,5e+05,-52300000,3.1e+07,3e+05,-7377288.84259417,31300000,15200000,15200000,-1300000,13900000,86300000,2804300000,11500000,0.35791,0.02012,-0.04554,-0.01471,-0.00552,-0.30423,1.01985,1.66512,0.40935,-0.41676,-0.41676,9.15215,28.29768,0.12679,-0.00613,0.00186,31.93627,165.03593
"38","2019_Q3",46.525625,"Down",845800000,-543200000,302600000,-277300000,-277300000,25300000,-35400000,-33600000,-1800000,-10100000,-33200000,3000000.00000001,-30200000,-30200000,-3e+05,-30500000,-30500000,34500000,34500000,613700000,613700000,170900000,97800000,73100000,819100000,786200000,5264400000,1562800000,3195100000,506500000,6050600000,6869700000,535400000,229400000,3.06e+08,117300000,131500000,131500000,784200000,2697200000,826100000,360200000,465900000,3523300000,4307500000,1193700000,1720900000,-356600000,2.558e+09,4200000,2562200000,6869700000,-30200000,69800000,43800000,-48600000,34800000,-42100000,-3.72529029846191e-09,1300000,-40800000,-12800000,13600000,-8800000,-8e+06,-1.4e+07,-1.4e+07,3e+05,-13700000,95100000,2814500000,1400000,0.35777,0.02991,-0.03606,-0.0119,-0.00444,-0.0459000000000005,1.0445,1.68117,0.4097,-0.3348,-0.3348,9.2843,28.07903,0.0153699999999999,-0.00492,0.00023,29.23239,109.88142
"39","2019_Q4",59.12875,"Up",833100000,-537800000,295300000,-251700000,-251700000,43600000,-33100000,-29900000,-3200000,10500000,-67600000,8600000,-5.9e+07,-5.9e+07,-2e+05,-59200000,-59200000,30800000,30800000,562800000,562800000,156900000,72600000,54100000,750500000,785700000,5140100000,1466800000,3178400000,494900000,5925800000,6676300000,540800000,216900000,323900000,111900000,1.43e+08,1.43e+08,795700000,2.617e+09,786300000,330500000,455800000,3403300000,4.199e+09,1197400000,1661700000,-385400000,2473700000,3600000,2477300000,6676300000,-5.9e+07,67700000,93700000,27800000,130200000,-48800000,1e+05,5e+05,-48200000,-84900000,2300000,-7e+05,-83300000,-1300000,-1300000,-2400000,-3700000,111300000,2728900000,81700000,0.35446,0.05233,-0.07106,-0.0239,-0.00887,-1.38007,0.94319,1.69499,0.40874,-0.64912,-0.64912,9.13487,27.1239,0.89583,-0.00988,0.01363,24.24169,61.88303
"40","2020_Q1",58.9022580645161,"Down",799900000,-520400000,279500000,-245699999,-245699999,33800001,-29500000,-27200000,-2300000,4300001,-227999999,8800000,-219199999,-219199999,-1e+05,-219299999,-219299999,34700000,34700000,544300000,544300000,127600000,60700000,66900000,706600000,798500000,4931900000,1422400000,2982200000,527300000,5730400000,6.437e+09,516700000,220100000,296600000,103100000,137100000,137100000,756900000,2559300000,786100000,295100000,4.91e+08,3345400000,4102300000,1206600000,1442400000,-318100000,2330900000,3800000,2334700000,6.437e+09,-219200000,65700000,2.04e+08,-3700000,46800000,-50800000,86600000,1500000,37300000,-85300000,3700000,9.31322574615479e-10,-81600000,2500000,2500000,1400000,3900000,99500001,2662400000,36200001,0.34942,0.04226,-0.27416,-0.09393,-0.03407,-0.16507,0.93354,1.7571,0.41361,-2.40989,-2.40989,8.79011,25.61429,0.3978,-0.03792,0.00626,26.40904,77.7426
"41","2020_Q2",52.0996825396825,"Down",7.85e+08,-498400000,286600000,-258700000,-258700000,27900000,-27900000,-2.5e+07,-2900000,0,-58300000,38400000,-19900000,-19900000,-2e+05,-20100000,-20100000,3.6e+07,3.6e+07,4.18e+08,4.18e+08,749200000,151500000,46600000,1203200000,727600000,4422400000,1188600000,2782200000,451600000,5.15e+09,6353200000,448800000,203600000,245200000,101400000,268300000,268300000,818500000,2518800000,735700000,334700000,4.01e+08,3254500000,4.073e+09,1213600000,1419800000,-357200000,2276200000,4e+06,2280200000,6353200000,-19900000,59900000,6.7e+07,-24900000,82100000,-39600000,390050974.741473,-5e+05,-40100000,-3.7e+07,-1200000,-1400000,-39600000,2400000,2400000,-1100000,1300000,87800000,2620200000,-15100000,0.3651,0.03554,-0.02561,-0.00881999999999998,-0.00316,0.75124,1.47001,1.78625,0.41242,-0.22015,-0.22015,8.59803,24.931,-0.16539,-0.00356999999999999,-0.00268,29.4328,92.62366
"42","2020_Q3",61.4003125,"Up",598200000,-368500000,229700000,-2.01e+08,-2.01e+08,28700000,-20300000,-19300000,-1e+06,8400000,4600000,-8700000.00000001,-4100000,-4100000,-4e+05,-4500000,-4500000.00000003,4.2e+07,4.2e+07,376100000,376100000,174500000,1.2e+08,54500000,592600000,705600000,4387100000,1160700000,2785700000,440700000,5092700000,5685300000,412900000,149600000,263300000,114600000,132800000,132800000,660300000,1998700000,730200000,3.18e+08,412200000,2728900000,3389200000,1223300000,1415300000,-3.47e+08,2291600000,4500000,2296100000,5685300000,-4100000.00000003,60200000,21600000,47500000,125200000,-3.5e+07,427700000,-3e+05,392400000,-511500000,1e+05,2.3283064365387e-10,-511400000,6200000,6200000,-2e+05,6e+06,88900000,2113300000,110100000,0.38399,0.04798,-0.00752000000000001,-0.00196,-0.00079,-24.46667,0.89747,1.47607,0.37171,-0.0491799999999999,-0.0491800000000004,6.5377,25.04481,1.20328,-0.00088,0.02142,23.29921,72.17073
"43","2020_Q4",68.42140625,"Up",636400000,-369100000,267300000,-2.19e+08,-2.19e+08,48300000,-18600000,-17700000,-9e+05,29700000,-74400000,-6500000,-80900000,-80900000,-3e+05,-81200000,-81200000,59400000,59400000,384900000,384900000,121400000,68700000,52700000,565700000,696400000,4371100000,1122400000,2801800000,446900000,5067500000,5633200000,430400000,156100000,274300000,117500000,1.39e+08,1.39e+08,686900000,1878700000,729100000,311200000,417900000,2607800000,3294700000,1229100000,1334100000,-229600000,2333600000,4900000,2338500000,5633200000,-80900000,57700000,109800000,71300000,157900000,-20100000,-6500000,2500000,-24100000,-114300000,2e+05,-3200000,-117300000,16500000,16500000,9e+05,17400000,1.06e+08,1996200000,163700000,0.42002,0.0759,-0.12759,-0.03472,-0.01441,-2.01601,0.82356,1.40889,0.35436,-0.8884,-0.8884,6.9628,25.53173,1.79103,-0.01604,0.03233,18.2717,40.09938
"44","2021_Q1",67.966393442623,"Down",655900000,-386400000,269500000,-218900000,-218900000,50600000,-21100000,-19900000,-1200000,29500000,72100000,-23100000,4.9e+07,4.9e+07,-5e+05,48500000,48500000,53300000,53300000,380700000,380700000,118500000,6.3e+07,55500000,552500000,701300000,4328100000,1087400000,2819300000,421400000,5029400000,5581900000,470600000,181200000,289400000,9.1e+07,135500000,135500000,697100000,1689100000,761300000,380400000,380900000,2450400000,3147500000,1234900000,1382600000,-187400000,2430100000,4300000,2434400000,5581900000,4.9e+07,55700000,6700000.00000003,53599999,164999999,-24800000,77699999.9999999,3e+05,53200000,-220600000,5e+05,-4100000,-224200000,-6000001,-6000001,-1e+05,-6100001,106300000,1780100000,158199999,0.41089,0.07715,0.07394,0.01992,0.00869,3.26186,0.79257,1.29293,0.31891,0.52832,0.52832,7.14488,26.47168,1.72331,0.00975,0.03179,16.24459,34.12648
"45","2021_Q2",73.5328571428571,"Up",6.68e+08,-406600000,261400000,-202300000,-202300000,59100000,-19100000,-18400000,-7e+05,4e+07,4e+07,-13800000,26200000,26200000,-1e+05,26100000,26100000,5e+07,5e+07,388300000,388300000,98900000,48300000,50600000,537200000,702400000,4291800000,1.054e+09,2811300000,426500000,4994200000,5531400000,440300000,195100000,245200000,92900000,140800000,140800000,6.74e+08,1.651e+09,757600000,375900000,381700000,2408600000,3082600000,1236800000,1408700000,-200300000,2445200000,3600000,2448800000,5531400000,26200000,55300000,4900000,-23800000,62600000,-24700000,84493238.686792,2e+05,-24500000,-33500000,-5100000,-1500000,-40100000,-2e+06,-2e+06,-1300000,-3300000,114400000,1743900000,79700000,0.39132,0.08847,0.03907,0.01066,0.00472,3.05364,0.79703,1.25882,0.31527,0.28493,0.2837,7.29258,26.69432,0.87009,0.00527,0.0161,14.80682,28.66159
"46","2021_Q3",69.07015625,"Down",672700000,-403600000,269100000,-213500000,-213500000,55600000,-17200000,-17900000,7e+05,38400000,38400000,-9100000,29300000,29300000,2e+05,29500000,29500000,61700000,61700000,402700000,402700000,8.4e+07,32200000,51800000,548400000,713300000,4255400000,1027200000,2814200000,4.14e+08,4968700000,5517100000,446600000,176900000,269700000,97900000,132200000,132200000,676700000,1604500000,742400000,369900000,372500000,2346900000,3023600000,1245500000,1.438e+09,-193700000,2489800000,3700000,2493500000,5517100000,29300000,5.5e+07,700000.000000004,2200000,87200000,-3.5e+07,-7e+05,1800000,-33900000,-42900000,1500000,-1100000,-42500000,10800000,10800000,9e+05,11700000,110600000,1702400000,86900000,0.40003,0.08265,0.04385,0.01183,0.00535,2.94576,0.8104,1.21259,0.30857,0.32205,0.32065,7.34389,27.18122,0.94869,0.00597,0.0176,14.83454,29.50899
"47","2021_Q4",62.64203125,"Down",648900000,-409200000,239700000,-279400000,-279400000,-39700000,-18300000,-18800000,5e+05,-5.8e+07,-68900000,3e+06,-65900000,-65900000,1e+05,-65800000,-65800000,37500000,37500000,425700000,425700000,1.07e+08,58500000,48500000,570200000,7.04e+08,4195300000,986100000,2799300000,409900000,4899300000,5469500000,530600000,211200000,319400000,21500000,135100000,135100000,687200000,1.621e+09,739100000,3.89e+08,350100000,2360100000,3047300000,1254500000,1.372e+09,-2.08e+08,2418500000,3700000,2422200000,5469500000,-65900000,56700000,39500000,22100000,52400000,-26100000,11300000,2e+05,-14600000,-56200000,5e+05,-4900000,-60600000,-22800000,-22800000,-1400000,-24200000,1.7e+07,1642500000,1e+07,0.36939,-0.06118,-0.1014,-0.02717,-0.01203,-0.15198,0.82974,1.25807,0.3003,-0.71678,-0.71678,7.06863,26.34532,0.10893,-0.0137,0.00208,94.41176,-40.42821
"48","2022_Q1",57.9151612903226,"Down",657300000,-410300000,2.47e+08,-251400000,-251400000,-4400000,-1.7e+07,-16800000,-2e+05,-21400000,-8800000.00000001,-7600000,-16400000,-16400000,-1200000,-17600000,-17600000,55600000,55600000,420400000,420400000,99500000,45600000,53900000,575500000,7.11e+08,4186600000,964500000,2815700000,406400000,4897600000,5473100000,578500000,218900000,359600000,21500000,131700000,131700000,731700000,1589800000,748800000,4.11e+08,337800000,2338600000,3070300000,1262700000,1354800000,-218800000,2398700000,4100000,2402800000,5473100000,-16400000,56900000,21800000,38600000,100900000,-31100000,13900000,1e+05,-17100000,-67100000,-3e+05,2700000,-64700000,19100000,19100000,-1e+06,18100000,52500000,1611300000,67600000,0.37578,-0.00669,-0.02678,-0.00732,-0.00322,-3.84091,0.78652,1.2778,0.2944,-0.19089,-0.19089,7.12907,26.01627,0.73319,-0.0037,0.01419,29.63238,-353.56818
"49","2022_Q2",49.5641935483871,"Down",664200000,-419700000,244500000,-238600000,-238600000,5900000,-17100000,-16300000,-8e+05,-11200000,-11200000,-2900000,-14100000,-14100000,-1e+05,-14200000,-14200000,59600000,59600000,457200000,457200000,96700000,42900000,53800000,613500000,713100000,4150500000,932900000,2808800000,408800000,4863600000,5477100000,519700000,210900000,308800000,18300000,131500000,131500000,669500000,1678300000,747900000,410400000,337500000,2426200000,3095700000,1264300000,1340600000,-227400000,2377500000,3900000,2381400000,5477100000,-14100000,59700000,6400000,-90800000,-38800000,-37500000,6616181.42459338,7e+05,-36800000,85500000,-5200000,-9e+05,79400000,3800000,3800000,2e+05,4e+06,65600000,1696600000,-59800000,0.36811,0.00888,-0.02138,-0.00596,-0.00259,4.21127,0.91636,1.29995,0.30976,-0.15435,-0.15435,7.21957,25.84239,-0.65,-0.00294,-0.01239,24.95427,277.45763
"50","2022_Q3",48.1225,"Down",679800000,-419300000,260500000,-222400000,-222400000,38100000,-19200000,-18500000,-7e+05,18900000,18900000,-8400000,10500000,10500000,3e+05,10800000,10800000,45900000,45900000,466200000,466200000,84800000,35400000,49400000,596900000,719800000,4091300000,887400000,2784300000,419600000,4811100000,5.408e+09,463300000,207100000,256200000,17500000,137800000,137800000,618600000,1676300000,759400000,412900000,346500000,2435700000,3054300000,1272100000,1.351e+09,-273200000,2349900000,3800000,2353700000,5.408e+09,10500000,57800000,13300000,-61200000,20400000,-32500000,1600000,1e+05,-30800000,2.98023223876953e-08,0,-4e+05,-4e+05,-10800000,-10800000,-2900000,-13700000,95900000,1693800000,10600000,0.3832,0.05605,0.01589,0.00459,0.002,0.98148,0.96492,1.29766,0.3132,0.11726,0.11714,7.38111,25.51466,0.11509,0.00225,0.00221,17.18352,43.25197
