"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"23","2015_Q4",34.54921875,"Up",601900000,-4.07e+08,194900000,-121300000,-103300000,-60200000,-1.8e+07,73600000,4e+06,4e+06,77600000,30300000,107900000,-11400000,96500000,34200000,34200000,130700000,130700000,130700000,504900000,504900000,567800000,567800000,299700000,198700000,198700000,1571100000,414400000,1492800000,622700000,106600000,4.91e+08,1907200000,3478300000,706700000,291900000,414800000,717200000,1394200000,238800000,238800000,1155400000,1394200000,2111400000,89500000,1665300000,-391500000,1363300000,1366900000,3478300000,96500000,21200000,-26500000,-33600000,57600000,-18500000,-18200000,-18200000,-3e+05,28800000,-10600000,-58400000,0,-2e+05,-1600000,-70600000,15800000,1600000,17400000,-9900000,7500000,94800000,10500000,54100000,0.32381,0.12228,0.21715,0.09562,0.03758,0.41393,2.1906,1.54466,0.00302,1.45708,1.4458,6.71014,15.19844,0.60312,0.11817,5,0.05098,0.01952,0.0811,-5.21519,-6.71739
"24","2016_Q1",31.4922950819672,"Down",666800000,-465500000,201300000,-139200000,-115500000,-71500000,-23700000,62100000,-3e+05,-3e+05,61800000,-8300000,53500000,-17100000,36400000,1e+05,1e+05,36500000,36700000,36700000,415700000,415700000,584900000,584900000,292700000,204400000,204400000,1497700000,443500000,1782400000,778300000,187200000,490800000,2225900000,3723600000,707400000,314700000,392700000,953100000,1405100000,260400000,260400000,1144700000,1405100000,2358200000,89500000,1696700000,-424100000,1362100000,1365400000,3723600000,36600000,26900000,13700000,5399999.99999999,82600000,-21600000,-22500000,-22500000,1800000,-374100000,-21200000,232500000,6e+05,-1e+05,-1300000,210600000,-80900000,-6e+05,-81500000,-7700000,-89200000,8.9e+07,245700000,89900000,0.30189,0.09313,0.05504,0.02688,0.00986,2.44959,1.5714,1.72711,0.06598,0.41006,0.40597,7.45028,15.21899,1.00447,0.23687,6,0.0192,0.02981,0.57766,-1.91011,-2.73752
"25","2016_Q2",33.241875,"Up",609100000,-413800000,195300000,-131500000,-112300000,-6.9e+07,-19200000,63800000,-1700000,-1700000,62100000,-12800000,49300000,-11700000,37600000,-3e+05,-3e+05,37300000,37400000,37400000,430900000,430900000,6.07e+08,6.07e+08,301300000,2.27e+08,2.27e+08,1566200000,4.43e+08,1.8e+09,787600000,181200000,508600000,2.243e+09,3809200000,678800000,293500000,385300000,9.54e+08,1432300000,260600000,260600000,1171700000,1432300000,2386300000,9e+07,1727200000,-395800000,1421400000,1422900000,3809200000,37700000,25300000,7900000,-65200000,5700000,-2.1e+07,-2.1e+07,-2.1e+07,1e+05,-24800000,-11400000,28200000,-8e+05,-6900000,9e+05,16900000,-2200000,7500000,5300000,9900000,15200000,89100000,275200000,14600000,0.32064,0.10474,0.0614,0.02628,0.00982,0.39037,1.64172,1.67707,0.07225,0.41741,0.41326,6.79799,15.86384,0.16295,0.12723,4,0.01559,0.00466,0.30481,-1.74747,-2.44044
"26","2016_Q3",31.7825,"Down",626200000,-420600000,205600000,-141100000,-1.2e+08,-7.4e+07,-21100000,64500000,5e+05,5e+05,6.5e+07,-1.5e+07,5e+07,-17500000,32500000,499999.999999999,499999.999999999,3.3e+07,32800000,32800000,433300000,433300000,625100000,625100000,299300000,170100000,170100000,1527800000,437900000,1784600000,788300000,171800000,498300000,2222500000,3750300000,697300000,3.1e+08,387300000,916300000,1417200000,257300000,257300000,1159900000,1417200000,2333500000,89600000,1734600000,-4.09e+08,1415200000,1416800000,3750300000,32300000,25800000,14600000,-6800000,65900000,-23900000,-25100000,-25100000,1e+05,2.8e+07,-11100000,-55900000,-17900000,-20600000,2e+05,-84700000,9200000.00000001,-9e+05,8300000,-5900000,2400000,90300000,2.19e+08,77100000,0.32833,0.103,0.05238,0.02315,0.00875,2.35061,1.66736,1.64702,0.0584,0.36526,0.36323,6.97327,15.75947,0.85857,0.12361,5,0.01438,0.02525,0.33841,-2.3732,-3.32248
"27","2016_Q4",35.1626984126984,"Up",581700000,-397800000,183900000,-117200000,-98600000,-59200000,-18600000,66700000,-3e+05,-3e+05,66400000,68100000,134500000,-46100000,88400000,1800000,1800000,90200000,90100000,90100000,475800000,475800000,595200000,595200000,305100000,139700000,139700000,1515800000,450300000,1751500000,784800000,166400000,506100000,2201800000,3717600000,6.87e+08,304400000,382600000,938900000,1.321e+09,255100000,255100000,1065900000,1.321e+09,2259900000,88300000,1771200000,-403500000,1.456e+09,1457700000,3717600000,88300000,25400000,-86100000,47500000,75100000,-21800000,-2.2e+07,-2.2e+07,-2e+05,-25700000,-1e+05,32800000,-43400000,-43400000,99999.9999999999,-10600000,38800000,-1300000,37500000,5e+06,42500000,92100000,251900000,163900000,0.31614,0.11466,0.15489,0.06181,0.02424,1.81909,1.61444,1.55032,0.06776,1.01122,1.00334,6.52862,16.34119,1.83951,0.00112,3,0.02976,0.05408,0.00111,-2.43105,-3.35682
"28","2017_Q1",38.4958064516129,"Up",588400000,-412300000,176100000,-1.21e+08,-99400000,-58300000,-21600000,55100000,-16700000,-16700000,38400000,-13800000,24600000,-7e+05,23900000,2200000,2200000,26100000,25800000,25800000,460700000,460700000,523900000,523900000,295200000,1.22e+08,1.22e+08,1401800000,464500000,1735400000,774700000,160300000,5.03e+08,2199900000,3601700000,651900000,301700000,350200000,866200000,1307100000,248600000,248600000,1058500000,1307100000,2173300000,88400000,1789200000,-451200000,1426400000,1428400000,3601700000,23600000,25500000,37500000,7400000,9.4e+07,-41700000,-43300000,-43300000,-1e+05,-31900000,-2.2e+07,-37800000,-3400000,-6900000,-3e+05,-63500000,-1399999.99999999,6700000,5300000,-20400000,-15100000,80600000,214300000,4.7e+07,0.29929,0.09364,0.04385,0.01806,0.00716,1.82171,1.61833,1.52149,0.0595,0.29219,0.28989,6.66365,16.15402,0.53228,0.24915,5,0.0162,0.01593,0.85271,-3.05707,-4.47187
"29","2017_Q2",37.4620634920635,"Down",625800000,-422700000,203100000,-131200000,-108800000,-65700000,-22400000,71900000,-2200000,-2200000,69700000,-14900000,54800000,-9100000,45700000,-1e+05,-1e+05,45600000,4.6e+07,4.6e+07,348500000,348500000,576900000,576900000,311500000,1.42e+08,1.42e+08,1378900000,481500000,1.81e+09,865700000,156700000,487400000,2291500000,3670400000,672700000,313600000,359100000,885800000,1292600000,251900000,251900000,1040700000,1292600000,2178400000,88700000,1832600000,-430900000,1490400000,1.492e+09,3670400000,46100000,24800000,-2100000,-41900000,26900000,-36700000,-36700000,-36700000,3e+05,-150100000,-2e+05,3e+05,3600000,-2300000,-172721.663064329,3700000,-119500000,-8e+05,-120300000,7900000,-112400000,96700000,213100000,27200000,0.32454,0.11489,0.07351,0.03083,0.01253,0.5913,1.55667,1.46005,0.05806,0.51977,0.5157,7.07119,16.84068,0.30734,0.00226,6,0.01541,0.00907,0.00435,-1.40021,-1.88317
"30","2017_Q3",38.8138095238095,"Up",630900000,-425900000,2.05e+08,-1.31e+08,-108400000,-64600000,-22600000,7.4e+07,-499999.999999998,-5e+05,73500000,-14900000,58600000,-10600000,4.8e+07,-1e+05,-1e+05,47900000,47800000,47800000,355300000,355300000,591100000,591100000,314900000,142900000,142900000,1404200000,491200000,1835200000,883900000,153500000,496900000,2326400000,3730600000,688800000,315200000,373600000,892900000,1291700000,255100000,255100000,1036600000,1291700000,2184600000,8.8e+07,1843600000,-387200000,1544400000,1.546e+09,3730600000,47900000,25600000,-2200000,-5600000,65700000,-16600000,-16600000,-16600000,2200000,-14400000,-11400000,-10400000,-29900000,-30500000,1e+05,-51600000,-299999.999999985,-1e+05,-399999.999999985,7400000,7000000.00000001,99600000,204100000,8.8e+07,0.32493,0.11729,0.07576,0.03092,0.01281,1.841,1.57263,1.41307,0.05471,0.54134,0.53708,7.14496,17.49037,0.9966,0.12911,5,0.01946,0.02893,0.23849,-1.51807,-2.04324
"31","2017_Q4",47.4353968253968,"Up",6.45e+08,-441200000,203800000,-134400000,-111400000,-70100000,-2.3e+07,69400000,-5500000,-5500000,63900000,63700000,127600000,-40600000,8.7e+07,-1e+05,-1e+05,86900000,86900000,86900000,395600000,395600000,611600000,611600000,327900000,130100000,130100000,1465200000,503500000,1831400000,882600000,159800000,503300000,2334900000,3800100000,734300000,334700000,399600000,925400000,1221500000,251300000,251300000,970200000,1221500000,2146900000,8.8e+07,1924500000,-360900000,1651600000,1653200000,3800100000,8.7e+07,27200000,-66100000,37600000,85700000,-22500000,-25900000,-25900000,-2300000,-24800000,-11200000,-16200000,1e+05,-1e+05,-1e+05,-27400000,33500000,-3e+05,33200000,7100000,40300000,96600000,191100000,152300000,0.31597,0.1076,0.13473,0.05256,0.02287,1.75259,1.58332,1.29863,0.05029,0.98638,0.9786,7.32123,18.74688,1.72872,0.12713,4,0.032,0.04968,0.12888,-2.11698,-2.94669
"32","2018_Q1",50.0140983606557,"Up",683600000,-475600000,2.08e+08,-124800000,-99300000,-5.8e+07,-25500000,83200000,-1700000,-1700000,81500000,-13100000,68400000,-134300000,-65900000,-1200000,-1200000,-67100000,-67200000,-67200000,389800000,389800000,629600000,629600000,311900000,147400000,147400000,1478700000,521700000,1699800000,886800000,156200000,506900000,2221500000,3700200000,735800000,351400000,384400000,899400000,1.203e+09,227300000,227300000,975700000,1.203e+09,2102400000,88200000,1856100000,-348200000,1596100000,1597800000,3700200000,-6.6e+07,27700000,123200000,-1.6e+07,68900000,-33700000,-34100000,-34100000,-2e+05,-33900000,-22600000,-19100000,4500000,0,-228650.531770514,-37200000,-2200000,-1200000,-3400000.00000001,-2400000,-5800000,110900000,163600000,195500000,0.30427,0.12171,-0.0983,-0.04206,-0.01816,-2.90923,1.6441,1.31581,0.04421,-0.76104,-0.75506,7.74179,18.07588,2.21404,0.25595,5,-0.01505,0.06595,-0.33631,-2.03968,-2.71875
"33","2018_Q2",49.544375,"Down",689300000,-465100000,224200000,-133300000,-108600000,-65100000,-24700000,90900000,-1800000,-1800000,89100000,19700000,108800000,-7600000,101200000,1e+05,1e+05,101300000,101200000,101200000,438700000,438700000,581400000,581400000,404900000,1.73e+08,1.73e+08,1.598e+09,526600000,1746900000,895700000,151800000,532400000,2273500000,3871500000,761200000,3.67e+08,394200000,1009100000,1201900000,227600000,227600000,974300000,1201900000,2.211e+09,87400000,1891800000,-320600000,1658600000,1660500000,3871500000,101100000,27600000,-31600000,-54700000,42400000,-28700000,-28700000,-28700000,5e+05,-28200000,-2e+05,82600000,-54700000,-55300000,-193497.399920786,27700000,41900000,-1200000,40700000,8200000,48900000,118500000,247900000,42700000,0.32526,0.13187,0.14682,0.06095,0.02614,0.42194,1.58359,1.33153,0.06403,1.15,1.13708,7.83295,18.84773,0.48523,0.00227,7,0.0326,0.01373,0.00198,-1.61013,-2.09901
"34","2018_Q3",54.9542857142857,"Up",696800000,-470800000,2.26e+08,-132200000,-106400000,-6.3e+07,-25800000,93800000,-1500000,-1500000,92300000,-13500000,78800000,-8900000,69900000,0,0,69900000,69700000,69700000,449600000,449600000,560400000,560400000,393500000,175100000,175100000,1578600000,506100000,1.715e+09,879900000,145300000,525800000,2221100000,3799700000,728900000,331200000,397700000,939600000,1177800000,223500000,223500000,954300000,1177800000,2117400000,87600000,1959300000,-366600000,1680300000,1682300000,3799700000,69700000,27600000,11800000,-32200000,76900000,-17600000,-17600000,-17600000,4e+05,-17200000,-11800000,-23900000,3999999.99999999,-1e+05,-1e+05,-31800000,27900000,-2e+05,27700000,-16800000,10900000,121400000,210700000,80500000,0.32434,0.13462,0.10003,0.04143,0.01834,1.15495,1.68008,1.25863,0.05545,0.79566,0.78846,7.95434,19.18151,0.91895,0.1347,7,0.02654,0.02621,0.1693,-1.96787,-2.54691
"35","2018_Q4",50.4114285714286,"Down",680600000,-454100000,226500000,-133500000,-109300000,-68500000,-24200000,9.3e+07,-7e+05,-7e+05,92300000,44800000,137100000,-25900000,111200000,-1e+05,-1e+05,111100000,110900000,110900000,525800000,525800000,562900000,562900000,391400000,151800000,151800000,1631900000,500600000,1712200000,879500000,1.41e+08,528100000,2212800000,3844700000,751400000,334500000,416900000,897700000,1159200000,221900000,221900000,937300000,1159200000,2056900000,87600000,2065700000,-367700000,1785600000,1787800000,3844700000,1.11e+08,27300000,-6.2e+07,5.1e+07,127300000,25200000,-17500000,-17500000,-9e+05,24300000,-11900000,-60900000,7e+05,-4e+05,0,-72100000,79500000,-5e+05,7.9e+07,-2800000,76200000,120300000,146300000,222400000,0.33279,0.13664,0.16294,0.06203,0.02884,2.00541,1.81787,1.15052,0.03805,1.26743,1.25028,7.77829,20.40686,2.54171,0.136,8,0.0397,0.0719,0.1073,-3.15461,-4.08065
"36","2019_Q1",52.2195081967213,"Up",678400000,-467900000,210500000,-121500000,-97800000,-57300000,-23700000,8.9e+07,-2300000,-1800000,86700000,-20400000,66300000,-15300000,5.1e+07,1300000,1300000,52300000,51900000,51900000,561200000,561200000,5.4e+08,5.4e+08,380500000,163400000,163400000,1645100000,518800000,1682900000,875900000,136100000,506400000,2201700000,3846800000,755900000,339200000,416700000,872100000,1149800000,208200000,208200000,941600000,1149800000,2021900000,87600000,2110300000,-375500000,1822400000,1824900000,3846800000,50600000,26900000,3899999.99999999,43800000,125200000,-31200000,-31700000,-31700000,-485839.375142027,-31200000,-23400000,-29100000,-3e+05,-3e+05,2e+05,-52600000,41400000,-2300000,39100000,-3900000,35200000,115900000,116200000,143800000,0.31029,0.13119,0.0765,0.02844,0.01349,2.77071,1.88637,1.10795,0.03021,0.59179,0.58512,7.73546,20.77993,1.63968,0.26682,7,0.02436,0.04652,0.45087,-3.83952,-5
"37","2019_Q2",58.5803174603175,"Up",695500000,-476700000,218800000,-115600000,-92100000,-51900000,-23500000,103200000,5e+05,5e+05,103700000,-12600000,91100000,-19700000,71400000,1090175.55452808,1090175.55452808,71400000,71300000,71300000,5.54e+08,5.54e+08,582700000,582700000,396200000,1.46e+08,1.46e+08,1678900000,513200000,1.745e+09,872500000,131700000,579100000,2258200000,3937100000,746100000,344400000,401700000,860500000,1205300000,205700000,205700000,999600000,1205300000,2065800000,87800000,2158100000,-377300000,1868600000,1871300000,3937100000,71300000,26400000,16100000,-71700000,42100000,-29200000,-29200000,-29200000,4e+05,-28800000,-13200000,6900000,-14800000,-19900000,1e+05,-2.1e+07,-7700000,-4e+05,-8100000,7e+05,-7400000,129600000,114400000,48400000,0.31459,0.14838,0.10252,0.0381,0.01811,0.67882,1.95107,1.10394,0.02906,0.81393,0.80474,7.9395,21.33105,0.55251,0.15068,4,0.02648,0.01517,0.18513,-3.39198,-4.25969
"38","2019_Q3",57.98859375,"Down",719900000,-487900000,2.32e+08,-1.3e+08,-104200000,-61500000,-25800000,1.02e+08,4e+05,4e+05,102400000,-1.6e+07,86400000,-19300000,67100000,-1e+05,-1e+05,6.7e+07,66800000,66800000,531900000,531900000,6e+08,6e+08,421400000,149100000,149100000,1702400000,534100000,1804900000,9.31e+08,128100000,582900000,2.339e+09,4041400000,7.43e+08,347400000,395600000,892400000,1211600000,2.04e+08,2.04e+08,1007600000,1211600000,2.104e+09,87900000,2218800000,-371500000,1935200000,1937400000,4041400000,66900000,26600000,-12900000,-21600000,5.9e+07,-16600000,-16600000,-16600000,4e+05,-103500000,-12900000,31900000,3100000,-1e+05,-7e+05,21400000,-23100000,1600000,-21500000,-1e+05,-21600000,128600000,149400000,109700000,0.32227,0.14169,0.09279,0.03448,0.01653,1.64222,1.90766,1.08599,0.03697,0.76082,0.75395,8.19932,22.041,1.24943,0.14692,3,0.02416,0.03326,0.19311,-2.97434,-3.75
"39","2019_Q4",64.04390625,"Up",711900000,-480600000,231300000,-127300000,-103500000,-61900000,-23800000,1.04e+08,4e+05,4e+05,104400000,48500000,152900000,-34100000,118800000,-1e+05,-1e+05,118700000,118600000,118600000,555700000,555700000,574300000,574300000,414600000,161700000,161700000,1706300000,521700000,1836200000,909800000,147700000,629600000,2357900000,4064200000,766100000,340400000,425700000,888800000,1175500000,196200000,196200000,979300000,1175500000,2064300000,87600000,2313600000,-403600000,1997600000,1999900000,4064200000,118700000,28100000,-46600000,20400000,120600000,-23500000,-23500000,-23500000,8e+05,-48500000,0,-22300000,-1.5e+07,-18300000,0,-37300000,34800000,-1e+05,34700000,-11200000,23500000,132100000,122700000,163100000,0.32491,0.14609,0.1666,0.0593,0.02918,1.37521,1.91978,1.0322,0.03019,1.35234,1.3386,8.11745,22.77765,1.85975,0,7,0.03596,0.04945,0,-3.27782,-4.16346
"40","2020_Q1",59.8977419354839,"Down",719100000,-491100000,2.28e+08,-132200000,-107400000,-6.6e+07,-24800000,95800000,1699999,-2400000,97499999,-13500000,83999999,-16800000,67199999,1900000,1900000,69099999,68399999,68399999,612100000,612100000,578400000,578400000,392900000,153400000,153400000,1736800000,531500000,1839400000,927200000,1.38e+08,319600000,2370900000,4107700000,763200000,332400000,430800000,849700000,1180200000,213900000,213900000,966300000,1180200000,2029900000,87800000,2372400000,-385300000,2074900000,2077800000,4107700000,66500000,32300000,65100000,-27900000,1.36e+08,-21200000,-22100000,-22100000,-1400000,-22600000,-2.6e+07,-38800000,199999.999999993,-3100000,0,-64600000,48800000,-2e+05,48600000,7600000,56200000,128100000,86500000,95800000,0.31706,0.13322,0.09512,0.03292,0.01665,1.40058,2.04402,0.97695,0.02106,0.77993,0.77201,8.19954,23.65906,1.09236,0.29647,8,0.02823,0.02864,0.38012,-4.10304,-5.48643
"41","2020_Q2",51.3669841269841,"Down",663300000,-453900000,209400000,-121400000,-98700000,-57100000,-22700000,8.8e+07,-6e+05,-6e+05,87400000,21300000,108700000,-24700000,8.4e+07,1100000,1100000,85100000,84800000,84800000,839900000,839900000,573900000,573900000,382400000,1.52e+08,1.52e+08,1948200000,511500000,1816900000,914400000,119700000,6.58e+08,2328400000,4276600000,720200000,323900000,396300000,1.107e+09,1.154e+09,211900000,211900000,942100000,1.154e+09,2.261e+09,86300000,2361800000,-435700000,2012400000,2015600000,4276600000,83700000,27400000,-1.7e+07,-40600000,53500000,-22200000,-22200000,-22200000,7e+05,-26200000,-2e+05,295600000,-83300000,-83400000,-1e+05,2.12e+08,239300000,2e+05,239500000,-11700000,227800000,115400000,386800000,77300000,0.31569,0.13267,0.12785,0.04207,0.01983,0.91156,1.75989,1.12175,0.09045,0.97025,0.96145,7.58924,23.02517,0.88444,0.00229,5,0.0239,0.02174,0.00236,-3.92634,-5.14886
"42","2020_Q3",58.92421875,"Up",514700000,-351100000,163600000,-99200000,-80300000,-44600000,-18900000,64400000,-2200000,-2200000,62200000,-43900000,18300000,28100000,46400000,1600000,1600000,4.8e+07,4.8e+07,4.8e+07,819100000,819100000,463200000,463200000,384600000,159900000,159900000,1826800000,505400000,1819100000,920300000,115900000,621500000,2324500000,4151300000,700100000,2.71e+08,429100000,947600000,1148700000,212900000,212900000,935800000,1148700000,2096300000,86300000,2398200000,-432700000,2051800000,2.055e+09,4151300000,46400000,27100000,30300000,45800000,149600000,-12100000,-12100000,-12100000,-3500000,-10900000,-14400000,-156200000,-4e+05,-3e+05,2e+05,-170800000,-32100000,-1e+05,-32200000,11500000,-20700000,91500000,247500000,97100000,0.31786,0.12512,0.09326,0.02336,0.01156,2.02292,1.92782,1.0201,0.05962,0.55427,0.55172,5.94342,23.69284,1.12125,0.16628,5,0.01808,0.02814,0.3,-6.24699,-8.87578
"43","2020_Q4",68.126875,"Up",591200000,-400600000,190600000,-100200000,-80500000,-47100000,-19700000,90400000,-1200000,-1200000,89200000,-152900000,-63700000,16200000,-47500000,1200000,1200000,-46300000,-46800000,-46800000,782300000,782300000,490200000,490200000,378500000,171800000,171800000,1822800000,505700000,1847900000,928900000,112200000,624500000,2353600000,4176400000,747300000,300500000,446800000,8.66e+08,1285900000,213900000,213900000,1.072e+09,1285900000,2151900000,86400000,2341900000,-407400000,2020900000,2024500000,4176400000,-4.8e+07,27500000,1.54e+08,-18500000,1.15e+08,-13300000,-13300000,-13300000,0,-13300000,-15100000,-137400000,-2e+05,-2e+05,1600000,-151100000,-49400000,1e+05,-49300000,12400000,-36900000,117900000,118700000,69900000,0.3224,0.15291,-0.07916,-0.02312,-0.01121,-1.49359,2.10485,1.06293,0.02842,-0.54167,-0.53793,6.84259,23.39005,0.80903,0.17477,4,-0.00924,0.02038,-0.32265,-5.6285,-7.34071
"44","2021_Q1",80.583606557377,"Up",708600000,-4.9e+08,218600000,-111300000,-87700000,-52886058.1137905,-23600000,107300000,6900000,6200000,114200000,-92300000,21900000,-34900000,-1.3e+07,1e+05,1e+05,-12900000,-13500000,-13500000,859800000,859800000,507500000,507500000,360500000,189500000,189500000,1917300000,525100000,1835200000,944800000,106400000,625700000,2360300000,4277600000,764200000,306800000,457400000,8.71e+08,1278700000,227500000,227500000,1051200000,1278700000,2149700000,86500000,2319300000,-279400000,2126400000,2127900000,4277600000,-13600000,30200000,46800000,54400000,117800000,-14400000,-12153692.2897609,-12153692.2897609,3700000,-15400000,-29300000,-18800000,10700000,10700000,-11300000,-48700000,53700000,8e+05,54500000,2.3e+07,77500000,137500000,106800000,212400000,0.3085,0.15143,-0.01905,-0.00634,-0.00316,-15.73333,2.20126,1.01024,0.02497,-0.15625,-0.15517,8.20139,24.61111,2.45833,0.33912,4,0.0045,0.06045,-2.17037,-5.47636,-7.01771
"45","2021_Q2",91.1722222222222,"Up",698400000,-469400000,2.29e+08,-119100000,-94800000,-58100000,-24300000,109900000,1300000,1300000,111200000,5816794.31294557,111200000,-24700000,86500000,-40956.7837702949,-40956.7837702949,86500000,86200000,86200000,780200000,780200000,546300000,546300000,374700000,190800000,190800000,1.892e+09,501200000,1786500000,933400000,100300000,596500000,2287700000,4179700000,765300000,3.27e+08,438300000,826500000,1245300000,222800000,222800000,1022500000,1245300000,2071800000,86100000,2329400000,-309400000,2106100000,2107900000,4179700000,86200000,28500000,9600000,-53500000,70800000,-17200000,-17200000,-17200000,1e+05,-17100000,-19100000,-42700000,-5e+07,-5e+07,-1.1e+07,-122800000,-69100000,-1e+05,-69200000,-10400000,-79600000,138400000,61200000,92400000,0.32789,0.15736,0.12342,0.04089,0.02062,1.07193,2.28917,0.98287,0.01464,0.99884,0.99194,8.0927,24.4044,1.07068,0.22132,7,0.03084,0.02706,0.22158,-5.19509,-6.54231
"46","2021_Q3",92.11703125,"Up",691600000,-4.67e+08,224600000,-119400000,-96200000,-62822154.2698122,-23200000,105200000,3500000,3500000,108700000,74400000,183100000,-143900000,39200000,496470.492582897,496470.492582897,39200000,3.9e+07,3.9e+07,578800000,578800000,553400000,553400000,406200000,88800000,88800000,1627200000,502700000,1332400000,936300000,95800000,2.63e+08,1835100000,3462300000,700300000,337800000,362500000,9e+08,4.22e+08,2.22e+08,2.22e+08,2e+08,4.22e+08,1.322e+09,86100000,2353100000,-3.01e+08,2138200000,2140300000,3462300000,125200000,57200000,-453800000,39800000,-231600000,-35100000,-35100000,-35100000,4e+05,-34700000,-38100000,43700000,15782598.3891587,15783860.5531165,-10700000,-5099999.99999999,-271400000,-2e+05,-271600000,-9200000,-280800000,162400000,199700000,3.11e+08,0.32475,0.15211,0.05639,0.01822,0.01126,7.97436,1.808,0.61767,0.05768,0.45191,0.44879,8.0139,24.77636,3.60371,0.44148,4,0.02791,0.1126,0.97692,-2.33436,-3.60361
"47","2021_Q4",96.2740625,"Up",689600000,-467600000,2.22e+08,-120300000,-97800000,-65820015.2168925,-22500000,101700000,-5e+05,-5e+05,101200000,85981602.8435272,101200000,-14100000,87100000,9e+05,9e+05,8.8e+07,87500000,87500000,585800000,585800000,560200000,560200000,413700000,82100000,82100000,1641800000,494700000,1317699999,929100000,90800000,260899999,1812399999,3454199999,700600000,3.42e+08,358600000,899200000,4.1e+08,215100000,215100000,194900000,4.1e+08,1309200000,85600000,2376800000,-319400000,2.143e+09,2.145e+09,3454200000,4e+05,-4e+05,1500000,31400000,32900000,-3e+05,-38537647.3545939,-38537647.3545939,-1800000,-2100000,2e+05,-7600000,5e+07,49999999.9999999,11100000,53700000,84500000,1e+06,85500000,1100000,86600000,101300000,198600000,146500000,0.32193,0.14748,0.12689,0.04079,0.02533,1.67429,1.82585,0.61035,0.0575,1.01626,1.01039,8.00929,24.88966,1.70151,-0.00232,5,0.0317,0.0532,-0.00229,-3.82231,-3.80728
"48","2022_Q1",87.0832258064516,"Down",685400000,-461500000,223900000,-108200000,-83300000,-65532868.5555265,-24900000,115700000,-8e+05,-1900000,114900000,-1300000,113600000,-6900000,106700000,6e+05,6e+05,107300000,103600000,103600000,647500000,647500000,555100000,555100000,430900000,88600000,88600000,1722100000,509100000,1334200000,924300000,85700000,324200000,1843300000,3565400000,730700000,373400000,357300000,928300000,406400000,199900000,189262586.001737,206500000,406400000,1334700000,85500000,2461600000,-321300000,2225800000,2230700000,3565400000,1.03e+08,27800000,113300000,-124600000,119500000,-27800000,-31831230.1347416,-31831230.1347416,-6e+05,-28400000,-18800000,99600000,-104800000,-104800000,-1600000,-25600000,65500000,1e+05,65600000,-4100000,61500000,143500000,197600000,-2e+06,0.32667,0.16881,0.15115,0.04644,0.02906,-0.0193100000000008,1.85511,0.59833,0.05542,1.21028,1.20325,8.00701,26.00234,-0.0233600000000003,0.21963,7,0.04318,-0.000710000000000009,0.18147,-3.13519,-3.8885
