"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2019_Q4",14.77734375,"Down",28564000,-4510000,24054000,-30166000,-25985000,-4181000,-6112000,541000,-7000,-7000,-5571000,-5571000,-5571000,-5571000,-5571000,-5571000,100066000,24555000,15451000,15451000,13682000,8144000,2144000,137343000,11673000,5176000,1488000,16849000,154192000,14970000,14970000,16757000,2002000,22000,2024000,18781000,308234000,-172823000,135411000,135411000,154192000,-5571000,225000,2561000,919000,-1866000,-2107000,923000,627000,627000,620000,-323000,-323000,-323000,-5887000,3775000,0.84211,-0.21398,-0.19504,-0.04114,-0.03613,8.19616,0.1387,0.02448,-0.1416,-0.1416,0.72601,3.44175,-0.04002,16.35655,15.75442
"38","2020_Q1",12.7308064516129,"Down",28162000,-4881000,23281000,-30700000,-25788000,-4912000,-7419000,381000,-8000,-50000,-7038000,-7038000,-7038000,-7038000,-7038000,-7038000,96510000,35724000,16944000,16944000,13861000,7706000,1706000,135021000,14887000,4735000,1515000,19622000,154643000,19144000,19144000,20880000,1595000,15000,1610000,22490000,312014000,-179861000,132153000,132153000,154643000,-7038000,336000,6073000,-2701000,-3330000,-1154000,13586000,860000,860000,913000.000000001,11169000,11169000,11169000,-7083000,1595000,0.82668,-0.26344,-0.24991,-0.05326,-0.04551,6.46652,0.17018,0.01031,-0.17824,-0.17824,0.71321,3.3468,-0.05262,13.4004,12.7935
"39","2020_Q2",8.96126984126984,"Down",24261000,-4816000,19445000,-27954000,-23340000,-4614000,-8509000,317000,-31000,37000,-8192000,-8192000,-8192000,-8192000,-8192000,-8192000,83039000,35894000,13020000,13020000,14563000,9730000,3730000,120352000,20063000,4468000,1598000,24531000,144883000,17689000,17689000,19488000,1189000,11999.9999999999,1201000,20689000,312247000,-188053000,124194000,124194000,144883000,-8192000,343000,1923000,-2126000,-8052000,-5140000,8550000,316000,316000,-328000,170000,170000,170000,-8166000,2974000,0.80149,-0.35073,-0.33766,-0.06596,-0.05654,6.1757,0.16659,0.02053,-0.20636,-0.20636,0.61114,3.12849,-0.06441,9.80468,9.40945
"40","2020_Q3",11.61421875,"Up",22116000,-5605000,16511000,-24765000,-20694000,-4071000,-8254000,149000,-31000,-57000,-8105000,-8105000,-8105000,-8105000,-8105000,-8105000,99329000,75320000,14049000,14049000,12836000,14015000,3405000,140229000,24858000,4874000,1660000,29732000,169961000,12451000,12451000,14018000,31960000,4223000,36183000,50201000,315918000,-196158000,119760000,119760000,169961000,-8105000,347000,3025000,-2296000,-7029000,-8259000,14969000,1468000,1468000,36096000,44036000,44036000,44036000,-7907000,33513000,0.74656,-0.37321,-0.36648,-0.06768,-0.04769,10.0035,0.41918,0.19718,-0.20352,-0.20352,0.55535,3.00728,-0.05146,8.32376,7.97383
"41","2020_Q4",14.686875,"Up",33428000,-5697000,27731000,-28776000,-24546000,-4230000,-1045000,-363000,-397000,6000,-1408000,-1479000,-1479000,-1479000,-1479000,-1479000,99128000,60002000,18758000,18758000,11929000,10158000,2551000,139973000,36110000,17854000,1797000,53964000,193937000,16279000,16279000,18792000,31817000,21615000,53432000,72224000,319350000,-197637000,121713000,121713000,193937000,-1479000,414000,4116000,-433000,2618000,-5901000,-21130000,492000,492000,191000,-18321000,-18321000,-18321000,-631000,34316000,0.82957,-0.03126,-0.04424,-0.01215,-0.00763,7.44854,0.5934,0.17694,-0.03688,-0.03688,0.83365,3.03537,-0.00833,102.71315,62.02105
"42","2021_Q1",19.7508196721311,"Up",32495000,-5463000,27032000,-32406000,-27475000,-4931000,-5374000,-590000,-595000,-24000,-5964000,-6010000,-6010000,-6010000,-6010000,-6010000,103966000,48767000,17618000,17618000,12529000,11138000,4296000,145251000,38398000,17732000,2054000,56130000,201381000,21968000,21968000,22831000,52901000,2500000,55401000,78232000,326796000,-203647000,123149000,123149000,201381000,-6010000,556000,3648000,4643000,2837000,-3297000,-19352000,4524000,4524000,4515000,-1.2e+07,-1.2e+07,-1.2e+07,-4818000,53764000,0.83188,-0.16538,-0.18495,-0.0488,-0.02984,6.36201,0.63526,0.26698,-0.14932,-0.14932,0.80736,3.05972,-0.0335,10.41968,9.34164
"43","2021_Q2",20.2111111111111,"Up",31037000,-5172000,25865000,-32085000,-26337000,-5748000,-6220000,-418000,-444000,-8000,-6638000,-6660000,-6660000,-6660000,-6660000,-6660000,90905000,39843000,19825000,19825000,13388000,11027000,4694000,135145000,44395000,17829000,2328000,62224000,197369000,20831000,20831000,22273000,52871000,2521000,55392000,77665000,330011000,-210307000,119704000,119704000,197369000,-6660000,819000,4100000,-9079000,-10820000,-3251000,870000,521000,521000,517000,-9433000,-9433000,-9433000,-5401000,54313000,0.83336,-0.20041,-0.21458,-0.05564,-0.03374,6.06766,0.64881,0.27519,-0.16361,-0.16361,0.76247,2.94071,-0.03773,6.77504,5.88296
"44","2021_Q3",17.956875,"Down",33580000,-7092000,26488000,-33642000,-27919000,-5723000,-7154000,-661000,-566000,-124000,-7815000,-7898000,-7898000,-7898000,-7898000,-7898000,99917000,53078000,18182000,18182000,13415000,10281000,3948000,141795000,50952000,17785000,2460000,68737000,210532000,19839000,19839000,21628000,66425000,3776000,70201000,91829000,336908000,-218205000,118703000,118703000,210532000,-7898000,682000,6112000,409000,-695000,-8365000,-4157000,3091000,3091000,18087000,13235000,13235000,13235000,-6472000,68214000,0.7888,-0.21304,-0.2352,-0.06654,-0.03751,6.55608,0.7736,0.32401,-0.19403,-0.19403,0.82494,2.91612,-0.04142,4.89849,4.43151
"45","2021_Q4",11.99578125,"Down",31204000,-5239000,25965000,-32654000,-26250000,-6404000,-6689000,-406000,-417000,-6000,-7095000,-7141000,-7141000,-7141000,-7141000,-7141000,91719000,46730000,18567000,18567000,15453000,9229000,2896000,134968000,56328000,18675000,2701000,75003000,209971000,21685000,21685000,23359000,67509000,3822000,71331000,94690000,340627000,-225346000,115281000,115281000,209971000,-7141000,706000,3906000,2153000,-376000,-9559000,-6777000,809000,809000,805000,-6348000,-6348000,-6348000,-5983000,69183000,0.8321,-0.21436,-0.22885,-0.06194,-0.03401,5.77799,0.82138,0.32949,-0.1738,-0.1738,0.75945,2.80574,-0.03793,3.76667,3.36911
"46","2022_Q1",8.63677419354839,"Down",31537000,-5428000,26109000,-31462000,-25160000,-6302000,-5353000,-56000,70999.9999999999,-140000,-5409000,-5286000,-5286000,-5286000,-5286000,-5286000,84086000,32756000,18158000,18158000,16693000,8112000,1861000,127049000,62923000,18052000,2859000,80975000,208024000,22459000,22459000,24293000,65619000,5562000,71181000,95474000,343182000,-230632000,112550000,112550000,208024000,-5286000,716000,2819000,237000,-1514000,-7225000,-13585000,1046000,1046000,1043000,-14056000,-14056000,-14056000,-4637000,67453000,0.82788,-0.16974,-0.16761,-0.04697,-0.02541,5.22986,0.84828,0.32426,-0.12406,-0.12406,0.74017,2.64154,-0.02849,3.58702,3.10723
"47","2022_Q2",8.54806451612903,"Down",31007000,-5546000,25461000,-36781000,-30506000,-6275000,-11320000,-407000,-354000,-7000,-11727000,-11475000,-11475000,-11475000,-11475000,-11475000,67418000,14559000,18590000,18590000,17400000,9067000,2816000,112475000,66954000,18596000,3190000,85550000,198025000,20872000,20872000,22945000,65919000,5310000,71229000,94174000,345958000,-242107000,103851000,103851000,198025000,-11475000,773000,3895000,-4244000,-11051000,-5617000,-7241000,97000,97000,95000,-18197000,-18197000,-18197000,-10547000,67992000,0.82114,-0.36508,-0.37008,-0.11049,-0.05795,4.90194,0.90682,0.34335,-0.27672,-0.27672,0.74774,2.50439,-0.06477,-0.05442,-0.05071
"48","2022_Q3",10.00140625,"Up",34454000,-6284000,28170000,-36093000,-29072000,-7021000,-7923000,-251000,-249000,-33000,-8174000,-7740000,-7740000,-7740000,-7740000,-7740000,58032000,11822000,20370000,20370000,19222000,9151000,2900000,106775000,70988000,18321000,3346000,89309000,196084000,21838000,21838000,23600000,65918000,4876000,70794000,94394000,351537000,-249847000,101690000,101690000,196084000,-7740000,777000,5931000,-4656000,-5688000,-4321000,2279000,670000,670000,671000,-2738000,-2738000,-2738000,-7146000,67680000,0.81761,-0.22996,-0.22465,-0.07611,-0.03947,4.52436,0.92825,0.34516,-0.18431,-0.18431,0.82044,2.4215,-0.04442,-1.35013,-1.21772
