"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",4.97634920634921,"Down",22787000,-13506000,9281000,-15250000,-13249000,-8564000,-4685000,-2001000,-5969000,68000,68000,-5901000,-5901000,-29000,-5930000,-5930000,-5930000,-5930000,23725000,23725000,8430000,8430000,8725000,492000,492000,41372000,1312000,853000,533000,216000,2165000,43537000,8173000,2552000,5621000,2217000,2217000,10390000,538000,538000,538000,10928000,71428000,-38946000,32609000,32609000,43537000,-3074000,222000,712000,-781000,-2921000,-17000,-133000,10648000,7594000,7594000,7680000,-5747000,0,-6516000,0.40729,-0.26195,-0.26024,-0.18185,-0.13621,1.09882,3.98191,0.33512,0,-0.50963,-0.50963,1.95832,2.80242,-0.55999,4,-0.1789,-0.19658,4.12824,3.9747
"36","2019_Q1",4.63426229508197,"Down",0,0,1.86264514923096e-09,-3.72529029846191e-09,1.86264514923096e-09,0,0,0,9.31322574615479e-10,0,0,9.31322574615479e-10,0,0,-9.31322574615479e-10,-9.31322574615479e-10,-9.31322574615479e-10,-9.31322574615479e-10,21194000,21194000,9083000,9083000,8794000,547000,547000,39618000,1220000,834000,533000,201000,2054000,41672000,8863000,2516000,6347000,1639000,1639000,10502000,1209000,623000,1209000,11711000,71693000,-41802000,29961000,29961000,41672000,-2856000,192000,346000,267000,-2051000,-49000,-134000,-179000,-2364000,-2364000,-2531000,192000,0,410000.000000002,0.393225906836579,-0.272145198224204,-0.273118439114233,5.55111512312578e-17,0,1.60690488049508,3.77242,0.39087,-3.3881317890172e-21,0,0,-2.22044604925031e-16,2.19817,0.0300800000000001,0,0,0.01315,-110.38542,4.50938030629731
"37","2019_Q2",4.87571428571429,"Up",10595000,-6338000,4257000,-7293000,-6335000,-4091000,-2244000,-958000,-3036000,-6000,-6000,-3042000,-3042000,-6000,-3048000,-3048000,-3048000,-3048000,17175000,17175000,8417000,8417000,8701000,766000,766000,35059000,1112000,4496000,533000,3867000,5608000,40667000,6571000,2400000,4171000,3076000,1742000,9647000,3577000,3051000,3577000,13224000,72215000,-44850000,27443000,27443000,40667000,-3048000,186000,714000,-1649000,-3797000,-67000,-163000,-93000,-4053000,-4053000,-4019000,-2850000,0,-4560000,0.40179,-0.28655,-0.28768,-0.11107,-0.07495,1.49606,3.63419,0.48187,0,-0.22362,-0.22362,0.77733,2.01343,-0.33456,2,-0.09826,-0.147,6.02632,5.65711
"38","2019_Q3",2.9290625,"Down",10426000,-5877000,4549000,-7017000,-6088000,-3462000,-2626000,-929000,-2468000,58000,58000,-2410000,-2410000,-9000,-2419000,-2419000,-2419000,-2419000,15633000,15633000,8083000,8083000,8974000,593000,593000,33283000,991000,4211000,533000,3586000,5202000,38485000,6891000,2196000,4695000,2877000,1514000,9768000,3088000,2619000,3088000,12856000,72832000,-47269000,25629000,25629000,38485000,-2419000,179000,678000,198000,-1364000,-44000,-147000,-8000,-1519000,-1519000,-1542000,-2289000,1.81898940354586e-12,-2126000,0.43631,-0.23672,-0.23202,-0.09439,-0.06286,0.87888,3.40735,0.50162,0,-0.17724,-0.17724,0.76392,1.87786,-0.15577,5,-0.08424,-0.07403,6.82961999999999,6.33428
"39","2019_Q4",2.111875,"Down",10664000,-6381000,4283000,-6136000,-5129000,-3508000,-1621000,-1007000,-1853000,75000,75000,-1778000,-1778000,-7000,-1785000,-1785000,-1785000,-1785000,12948000,12948000,8784000,8784000,8896000,590000,590000,31218000,876000,3864000,533000,3243000,4740000,35958000,6383000,2429000,3954000,2916000,1528000,9299000,2671000,2305000,2671000,11970000,72940000,-49054000,23988000,23988000,35958000,-1785000,169000,78000,-1025000,-2563000,-14000,-133000,-50000,-2746000,-2746000,-2685000,-1684000,0,-2716000,0.40163,-0.17376,-0.16739,-0.07441,-0.04964,1.52157,3.35714,0.499,0,-0.13023,-0.13023,0.778,1.75005,-0.19815,1,-0.06696,-0.10188,7.68884,6.98759
"40","2020_Q1",2.57709677419355,"Up",11762000,-6912000,4850000,-6467000,-5679000,-3791000,-1888000,-788000,-1617000,82000,82000,-1535000,-1535000,-26000,-1561000,-1561000,-1561000,-1561000,12653000,12653000,9323000,9323000,8174000,401000,401000,30551000,730000,3532000,533000,2915000,4262000,34813000,6914000,2592000,4322000,2864000,1450000,9778000,2330000,1970000,2330000,12108000,73240000,-50615000,22705000,22705000,34813000,923000,-30000,-153000,3747000,4487000,32000,350000,2618000,7455000,7455000,7219000,-1647000,1.45519152283669e-11,2158000,0.41234,-0.13748,-0.13272,-0.06875,-0.04484,-1.38245,3.12446,0.53327,0,-0.11388,-0.11388,0.8581,1.65645,0.15744,3,-0.06235,0.0862,7.68245,7.82498
"41","2020_Q2",1.88253968253968,"Down",9021000,-5105000,3916000,-5569000,-4850000,-3152000,-1698000,-719000,-1653000,9000,9000,-1644000,-1644000,-7000,-1651000,-1651000,-1651000,-1651000,11139000,11139000,6987000,6987000,8158000,691000,691000,26975000,707000,3214000,533000,2601000,3921000,30896000,5023000,1501000,3522000,2812000,1382000,7835000,1912000,1592000,1912000,9747000,73333000,-52266000,21149000,21149000,30896000,-1651000,143000,137000,-82000,-1453000,-68000,-68000,-2000,-1523000,-1523000,-1514000,-1510000,0,-1653000,0.4341,-0.18324,-0.18302,-0.07807,-0.05344,1.00121,3.44288,0.46087,0,-0.11976,-0.11976,0.65436,1.53409,-0.1199,3,-0.07159,-0.07168,7.37682,6.73866
"42","2020_Q3",2.0678125,"Up",6219000,-3813000,2406000,-5190000,-4383000,-2693000,-1690000,-807000,-2784000,9000,9000,-2775000,-2775000,-5000,-2780000,-2780000,-2780000,-2780000,11624000,11624000,5784000,5784000,7847000,508000,508000,25763000,589000,2923000,533000,2314000,3512000,29275000,3798000,557000,3241000,2667000,1222000,7575000,1519000,1217000,2906000,10481000,73767000,-55046000,18794000,18794000,29275000,-2780000,134000,495000,164999.999999999,-1986000,-11000,-11000.0000000001,2495000,498000,498000,485000,-2650000,2497000,-2491000,0.38688,-0.44766,-0.44702,-0.14792,-0.09496,0.89604,3.40106,0.55768,0.08529,-0.20157,-0.20157,0.45091,1.36267,-0.18061,1,-0.12188,-0.10921,3.44415,3.27838
"43","2020_Q4",1.88640625,"Down",8803000,-5149000,3654000,-5500000,-4631000,-2959000,-1672000,-869000,-1846000,135000,135000,-1711000,-1711000,-8000,-1719000,-1719000,-1719000,-1719000,11932000,11932000,6083000,6083000,7004000,542000,542000,25561000,451000,2447000,533000,1842000,2898000,28459000,5228000,1475000,3753000,2459000,1072000,9213000,1023000,737000,1994000,11207000,73985000,-56765000,17252000,17252000,28459000,-1719000,122000,293000,1714000,410000,-5000,-5000,-25000,380000,380000,308000,-1724000,2497000,-7000,0.41509,-0.2097,-0.19527,-0.09964,-0.0604,0.0040699999999998,2.77445,0.64961,0.08774,-0.12372,-0.12372,0.63358,1.24169,-5e-04,4,-0.08276,-0.00034,5.47274,5.11105
"44","2021_Q1",5.75672131147541,"Up",12304000,-6722000,5582000,-5882000,-4995000,-3435000,-1560000,-887000,-3e+05,127000,127000,-173000,-173000,-6000,-179000,-179000,-179000,-179000,11626000,11626000,7289000,7289000,5714000,730000,730000,25359000,449000,2161000,533000,1560000,2610000,27969000,4269000,1148000,3121000,3163000,938000,8681000,674000,385000,1922000,10603000,74329000,-56944000,17366000,17366000,27969000,-179000,105000,392000,-526000,-208000.000000001,-8999.99999999999,-8999.99999999977,-1000,-217999.999999999,-217999.999999999,-306000,-195000,2497000,-724000,0.45367,-0.02438,-0.01455,-0.01031,-0.00640000000000001,4.04469,2.92121,0.61056,0.08928,-0.01288,-0.01288,0.88543,1.24971,-0.0521000000000001,3,-0.00872,-0.03525,46.81538,30.43
"45","2021_Q2",7.59619047619048,"Up",11959000,-7020000,4939000,-6780000,-5615000,-2982000,-2633000,-1165000,-1841000,-161000,-161000,-2002000,-2002000,-8000,-2010000,-2010000,-2010000,-2010000,27993000,27993000,8185000,8185000,7042000,1001000,1001000,44221000,719000,4619000,965000,1305000,5338000,49559000,5131000,1687000,3444000,5431000,1812000,12747000,10851000,198000,11163000,23910000,84584000,-58954000,25649000,25649000,49559000,-2010000,140000,366000,13334000,11830000,-73000,-5416000,9889000,16303000,16303000,16367000,-1701000,2497000,11568000,0.41299,-0.15394,-0.16807,-0.07837,-0.04056,-5.75522,3.46913,0.9322,0.05038,-0.14011,-0.14011,0.83361,1.78789,0.80636,5,-0.05154,0.29664,14.98883,13.849
"46","2021_Q3",7.01796875,"Down",13426000,-7318000,6108000,-7246000,-5574000,-3646000,-1928000,-1672000,-1138000,2539000,2539000,1401000,1401000,-8000,1393000,1393000,1393000,1393000,26259000,26259000,8599000,8599000,7962000,911000,911000,43731000,646000,6143000,965000,2877000,6789000,50520000,5870000,2249000,3621000,5052000,2005000,10922000,12718000,2239000,12718000,23640000,84432000,-57561000,26880000,26880000,50520000,1393000,225000,-2217000,-632000,-1231000,-52000,-51999.9999999991,-432000.000000002,-1715000,-1715000,-1734000,-913000,0,-1589000,0.45494,-0.08476,0.10375,0.05182,0.02757,-1.1407,4.00394,0.87946,0,0.08903,0.08903,0.85811,1.71801,-0.10156,6,0.03518,-0.04013,28.76123,23.07469
"47","2021_Q4",7.164375,"Up",13264000,-7482000,5782000,-7939000,-6151000,-4148233.49945125,-1427685.69860337,-1788000,-2157000,1963854.33849908,1963854.33849908,-2157000,-2157000,-8000,-2165000,-2165000,-2165000,-2165000,25568000,25568000,7569767.69494023,7569767.69494023,8791000,9547000,1025000,43906000,567000,6069000,965000,2851000,6636000,50542000,7541000,3208000,4333000,5426000,2250000,12967000,12253000,2054000,12253000,25220000,85019000,-59726000,25322000,25322000,50542000,-2165000,222000,617000,682000,-644000,-51000,-51000,-30000,-725000,-725000,-691000,-1935000,0,-1296000,0.43592,-0.16262,-0.16322,-0.0855,-0.04284,0.59861,3.38598,0.99597,0,-0.13682,-0.13682,0.83822,1.60023,-0.0819,6,-0.05762,-0.03449,13.21344,11.8535
"48","2022_Q1",4.94096774193548,"Down",15254000,-9252000,6002000,-8399000,-6156000,-4251557.68146898,-1547027.2627476,-2243000,-2397000,-30000,-30000,-2427000,-2427000,-16000,-2443000,-2443000,-2443000,-2443000,23852000,23852000,6610000,6610000,7614000,4177000,1071000,42253000,428000,6006000,965000,2836000,6434000,48687000,8324000,2772000,5552000,4380000,2355000,12704000,12684000,1754000,12684000,25388000,85423000,-62169000,23299000,23299000,48687000,-2443000,216000,405000,84000,-1738000,-37000,-37000,39000,-1736000,-1736000,-1716000,-2181000,5.82076609134674e-11,-2118000,0.39347,-0.15714,-0.16015,-0.10485,-0.05018,0.86697,3.32596,1.08966,0,-0.13976,-0.13976,0.87265,1.33289,-0.12117,4,-0.06789,-0.05886,10.93627,9.95077
"49","2022_Q2",3.40451612903226,"Down",13387000,-7410000,5977000,-8254000,-6138000,-4300000,-1838000,-2116000,-2277000,-94000,-94000,-2371000,-2371000,-20000,-2391000,-2391000,-2391000,-2391000,20621000,20621000,7042000,7042000,9091000,5175000,1766000,41929000,363000,5732000,965000,2610000,6095000,48024000,8517000,3454000,5063000,4147000,2356000,12664000,14034000,1503000,14034000,26698000,85813000,-64560000,21326000,21326000,48024000,-2391000,119000,384000,-1365000,-3253000,-26000,-26000,6000,-3273000,-3273000,-3231000,-2158000,0,-3529000,0.44648,-0.17009,-0.17861,-0.11212,-0.04979,1.47595,3.31088,1.2519,0,-0.15069,-0.15069,0.8437,1.34405,-0.22241,2,-0.06762,-0.0998,9.55561,9.05621
"50","2022_Q3",2.73171875,"Down",13755000,-7488000,6267000,-8427000,-6505000,-4607000,-1898000,-1922000,-2160000,-64000,-64000,-2224000,-2224000,-17000,-2241000,-2241000,-2241000,-2241000,17966000,17966000,6808000,6808000,10176000,4494000,2065000,39444000,431000,5771000,965000,2697000,6202000,45646000,8199000,3812000,4387000,4229000,2367000,12428000,13786000,1246000,13786000,26214000,86104000,-66801000,19432000,19432000,45646000,-2241000,109000,344000,-782000,-2570000,-120000,-120000,-53000,-2743000,-2743000,-2655000,-2051000,7.27595761418343e-12,-2936000,0.45562,-0.15703,-0.16292,-0.11533,-0.0491,1.31013,3.1738,1.34901,-1.0842021724855e-19,-0.14124,-0.14124,0.86689,1.22468,-0.18504,1,-0.06746,-0.08839,8.75963,8.31759
