"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"28","2017_Q1",72.5132258064516,"Up",2061600000,-1447700000,613900000,-500900000,-445600000,-55300000,1.13e+08,-14400000,-1.9e+07,4600000,98600000,97900000,-3.5e+07,62900000,62900000,-1200000,61700000,61700000,122800000,122800000,960200000,960200000,1532600000,72900000,72900000,2688500000,1662200000,2934700000,-1272500000,3060600000,1151300000,1827400000,81900000,4722800000,7411300000,573500000,302200000,265100000,82500000,6.56e+08,1846700000,729500000,89600000,626900000,1.3e+07,2576200000,3232200000,3663200000,-104700000,4148800000,30300000,4179100000,7411300000,62900000,55300000,8e+06,112700000,238900000,-44300000,2600000,-47100000,-30900000,-176900000,6200000,-5400000,-2.07e+08,-15200000,-15200000,-5300000,-20500000,168300000,1929200000,271700000,0.29778,0.05481,0.02993,4.40357,4.09832,0.77342,0.26031,0.84983,0.84084,28.39574,57.14408,3.7423,0.42561,0.50081
"29","2017_Q2",66.5390476190476,"Down",2419300000,-1697700000,721600000,-531400000,-476200000,-55200000,190200000,-21700000,-17300000,-4400000,168500000,168500000,-55100000,113400000,113400000,-1700000,111700000,111700000,133800000,133800000,1147700000,1147700000,1680200000,63900000,63900000,3025600000,1651400000,2961600000,-1310200000,3047400000,1138500000,1829200000,79700000,4698800000,7724400000,694700000,402400000,234700000,71300000,7.66e+08,1951900000,730500000,90600000,628600000,11300000,2682400000,3448400000,3.742e+09,-94800000,4245100000,30900000,4.276e+09,7724400000,113400000,55200000,5800000,-195100000,-20700000,-34100000,3400000,-3.2e+07,-33700000,93100000,2800000,-1800000,60400000,7700000,7700000,3300000,1.1e+07,245400000,2023200000,71300000,0.29827,0.07862,0.04617,0.63832,3.94987,0.80645,0.26192,1.53346,1.52148,33.21304,58.27829,0.97883,0.46265,0.3017
"30","2017_Q3",65.4104761904762,"Down",2475200000,-1773100000,702100000,-530900000,-475900000,-5.5e+07,171200000,-18800000,-18500000,-3e+05,152400000,152400000,-47600000,104800000,104800000,-1800000,1.03e+08,1.03e+08,146500000,146500000,1177500000,1177500000,1751300000,69100000,69100000,3144400000,1648800000,2995800000,-1.347e+09,3.038e+09,1126700000,1831200000,80100000,4686800000,7831200000,668900000,421200000,2.45e+08,78900000,747800000,1990100000,7.31e+08,90800000,626800000,13400000,2721100000,3468900000,3812200000,-88400000,4331100000,31200000,4362300000,7831200000,104800000,5.5e+07,12800000,-136700000,35900000,-38700000,3800000,-34900000,-32800000,44500000,0,-1500000,10200000,11200000,11200000,1500000,12700000,226200000,2.069e+09,98400000,0.28365,0.06917,0.04161,0.95534,4.20487,0.7952,0.2642,1.41306,1.40134,33.95724,59.4183,1.34995,0.44998,0.31845
"31","2017_Q4",70.9298412698413,"Up",2450100000,-1764600000,685500000,-5.24e+08,-4.7e+08,-5.4e+07,161500000,-16500000,-19100000,2600000,1.45e+08,142200000,-43200000,9.9e+07,9.9e+07,-1700000,97300000,97300000,170200000,170200000,1.166e+09,1.166e+09,1772500000,60400000,60400000,3169100000,1651100000,3032100000,-1.381e+09,3026700000,1116800000,1.834e+09,75900000,4677800000,7846900000,701500000,407200000,274600000,79700000,781200000,1.896e+09,723800000,86200000,624600000,1.3e+07,2619800000,3.401e+09,3876600000,-77900000,4414900000,3.1e+07,4445900000,7846900000,9.9e+07,5.4e+07,5600000,24500000,183100000,-45300000,-1600000,-32900000,-32800000,-94500000,6e+05,-2e+06,-128700000,21500000,21500000,2200000,23700000,215500000,1975700000,237900000,0.27978,0.06592,0.03971,2.44502,4.05671,0.76497,0.25178,1.33453,1.32169,33.6047,60.5532,3.26295,0.44987,0.3371
"32","2018_Q1",80.7586885245902,"Up",2376400000,-1697800000,678600000,-534900000,-480700000,-54200000,143700000,-21600000,-1.9e+07,-2600000,122100000,120700000,183100000,303800000,303800000,-2400000,301400000,301400000,154400000,154400000,1087300000,1087300000,1.726e+09,83600000,80700000,3051300000,1656300000,3063600000,-1407300000,3043400000,1112100000,1842600000,88700000,4699700000,7.751e+09,611700000,346700000,2.65e+08,9.2e+07,703700000,1809400000,5.38e+08,85400000,440800000,11800000,2347400000,3051100000,4144100000,-71600000,4667100000,32800000,4699900000,7.751e+09,303800000,54200000,-174300000,1.7e+07,200700000,-43500000,-13200000,-79600000,-32700000,-7.5e+07,-23200000,-9100000,-1.4e+08,-18900000,-18900000,3100000,-15800000,197900000,1901400000,-11700000.0000001,0.28556,0.06047,0.12683,-0.0388200000000003,4.33608,0.64918,0.24531,4.14232,4.09381,32.66032,64.1428,-0.1608,0.44942,0.10849
"33","2018_Q2",82.80046875,"Up",2757100000,-1937200000,819900000,-573500000,-519400000,-54100000,246400000,-21200000,-19300000,-1900000,225200000,225200000,-54100000,171100000,171100000,-2100000,1.69e+08,1.69e+08,145400000,145400000,1323700000,1323700000,1902900000,65600000,65600000,3437600000,1654300000,3101500000,-1447200000,3.056e+09,1115500000,1850400000,90100000,4710300000,8147900000,772900000,483900000,248200000,101200000,874100000,1947100000,543100000,8.7e+07,441800000,14300000,2490200000,3364300000,4275900000,-74500000,4750500000,33100000,4783600000,8147900000,171100000,54100000,10400000,-222300000,13300000,-41800000,4100000,-77300000,-38500000,145300000,-46500000,-5400000,54900000,-9100000,-9100000,1e+05,-9e+06,300500000,2048300000,90500000,0.29738,0.08937,0.0613,0.5355,3.93273,0.7033,0.25139,2.32084,2.30087,37.86272,65.23769,1.24282,0.52871,0.22781
"34","2018_Q3",81.0698412698413,"Down",2988900000,-2071400000,917500000,-590200000,-535900000,-54300000,327300000,-20700000,-21300000,6e+05,306600000,306600000,-73500000,233100000,233100000,-2300000,230800000,230800000,124300000,124300000,1379200000,1379200000,2062100000,82600000,82600000,3648200000,1666400000,3150500000,-1484100000,3.038e+09,1101500000,1848700000,87800000,4704400000,8352600000,7.95e+08,517800000,268700000,104400000,899400000,1932700000,539700000,8.8e+07,437500000,14200000,2472400000,3371800000,4470600000,-85700000,4946200000,34600000,4980800000,8352600000,233100000,54300000,17200000,-220900000,83700000,-56800000,5100000,-51700000,-36100000,-10700000,-7e+05,-2600000,-50100000,-18100000,-18100000,-3e+06,-21100000,381600000,2037100000,177400000,0.30697,0.10951,0.07722,0.76863,4.05626,0.67696,0.24389,3.19045,3.16229,41.31693,68.37359,2.45228,0.49903,0.15641
"35","2018_Q4",72.7033333333333,"Down",2974500000,-2140200000,834300000,-584400000,-5.31e+08,-53400000,249900000,-19500000,-2.2e+07,2500000,230400000,194900000,-44600000,150300000,150300000,-2e+06,148300000,148300000,112100000,112100000,1425800000,1425800000,2083700000,7.1e+07,7.1e+07,3692600000,1681400000,3198100000,-1516700000,2998600000,1064500000,1853300000,80800000,4.68e+09,8372600000,750900000,461200000,287100000,89100000,8.4e+08,1981100000,521200000,76500000,430400000,14300000,2502300000,3342300000,4.583e+09,-83100000,4995500000,34800000,5030300000,8372600000,150300000,53400000,45800000,-113200000,136300000,-5.4e+07,1200000,-6e+07,-35900000,29300000,-80100000,-1900000,-88600000,-12300000,-12300000,1e+05,-12200000,303300000,2070200000,180700000,0.28048,0.08401,0.04986,1.21848,4.39595,0.66443,0.24726,2.06163,2.03222,41.35085,69.44635,2.51205,0.49907,0.24208
"36","2019_Q1",77.1318032786885,"Up",2.814e+09,-2104200000,709800000,-558900000,-505500000,-53400000,150900000,-25500000,-23600000,-1900000,125400000,123900000,-36600000,87300000,87300000,-1700000,85600000,85600000,128200000,128200000,1242300000,1242300000,1817100000,97400000,81500000,3.285e+09,1729900000,3272900000,-1.543e+09,3.03e+09,1.072e+09,1870800000,87200000,4759900000,8044900000,633900000,338800000,295100000,65200000,699100000,2138500000,527800000,71800000,440100000,15900000,2666300000,3365400000,4637900000,-102700000,4671600000,7900000,4679500000,8044900000,87300000,53400000,900000.000000007,289700000,431300000,-58100000,-3100000,-9.2e+07,-34800000,114200000,-357600000,-41900000,-320100000,19200000,19200000,-3100000,16100000,204300000,2203700000,472500000,0.25224,0.05362,0.03042,5.51986,4.6989,0.71918,0.27393,1.23358,1.2167,40.55244,67.32223,6.80918,0.5015,0.40654
"37","2019_Q2",83.4860317460317,"Up",2956600000,-2089700000,866900000,-586100000,-532100000,-5.4e+07,280800000,-25300000,-24200000,-1100000,255500000,255500000,-63900000,191600000,191600000,-1500000,190100000,190100000,133600000,133600000,1.422e+09,1.422e+09,1936900000,68300000,68300000,3560800000,1738700000,3317500000,-1578800000,3204700000,1062400000,1871700000,270600000,4943400000,8504200000,761200000,485300000,234700000,65300000,877400000,2122200000,665400000,76200000,439300000,149900000,2787600000,3.665e+09,4789800000,-95900000,4829800000,9400000,4839200000,8504200000,191600000,5.4e+07,11500000,-139900000,117200000,-5.3e+07,4300000,-48700000,-39600000,-1.7e+07,-271532873.653573,-8800000,-65400000,3100000,3100000,2300000,5400000,334800000,2187500000,205800000,0.29321,0.09497,0.0643,1.08259,4.05835,0.75736,0.25723,2.83195,2.79863,44.04487,71.95018,3.06583,0.58993,0.20831
"38","2019_Q3",91.6771875,"Up",2883500000,-2029900000,853600000,-585800000,-531400000,-54400000,267800000,-20800000,-23700000,2900000,2.47e+08,245800000,-61500000,184300000,184300000,-1200000,183100000,183100000,141500000,141500000,1350300000,1350300000,1787100000,8.7e+07,73400000,3365900000,1763300000,3376400000,-1613100000,3197900000,1052200000,1873800000,271900000,4961200000,8327100000,645100000,396100000,2.49e+08,65300000,760800000,1944900000,671900000,78400000,439300000,154200000,2616800000,3377600000,4.936e+09,-94700000,4.941e+09,8500000,4949500000,8327100000,184300000,54400000,17200000,90099999.9999999,3.46e+08,-70900000,2700000,-69200000,-36900000,-1.78e+08,-5e+07,-2800000,-267700000,9100000,9100000,-1200000,7900000,322200000,2010200000,402900000,0.29603,0.09287,0.0635,2.20044,4.42416,0.68241,0.2414,2.731,2.6936,43.00843,73.69677,6.0094,0.55038,0.20153
"39","2019_Q4",106.80765625,"Up",2685900000,-1871200000,814700000,-573500000,-518700000,-54800000,241200000,-22800000,-20500000,-2300000,218400000,218400000,-54500000,163900000,163900000,-1200000,162700000,162700000,1.66e+08,1.66e+08,1250900000,1250900000,1669500000,78600000,69600000,3.165e+09,1775800000,3425900000,-1650100000,3190100000,1040700000,1872800000,276600000,4965900000,8130900000,671900000,385900000,2.86e+08,65200000,788500000,1578200000,682500000,8.1e+07,4.39e+08,162500000,2260700000,3049200000,5061900000,-103400000,5073400000,8300000,5081700000,8130900000,163900000,54800000,19900000,252300000,490900000,-58900000,4900000,-5.4e+07,-36800000,-367300000,0,-1600000,-405700000,31200000,31200000,-6700000,24500000,2.96e+08,1643400000,543900000,0.30332,0.0898,0.06058,3.34296,4.01395,0.60004,0.20212,2.44107,2.40318,40.29797,76.11889,8.16042,0.55213,0.22618
"40","2020_Q1",101.041451612903,"Down",2447800000,-1653600000,794200000,-569300000,-513200000,-56100000,224900000,-15300000,-16600000,1300000,209600000,209600000,-43300000,166300000,166300000,-7e+05,165600000,165600000,174300000,174300000,1067800000,1067800000,1645700000,122400000,85200000,3010200000,1795200000,3479300000,-1684100000,3325699999,1031099999,2003800000,290800000,5120899999,8131099999,557900000,2.75e+08,282900000,64900000,675300000,1523600000,718100000,8.7e+07,469300000,161800000,2241700000,2.917e+09,5189500000,-105100000,5206600000,7500000,5214100000,8131100000,166300000,56100000,48200000,76800000,347400000,-51400000,-1.9e+07,-247200000,-3.8e+07,-55600000.0000001,1.49011611938477e-08,-8200000,-101800000,-1600000,-1600000,9900000,8300000,2.81e+08,1588500000,349700000,0.32445,0.09188,0.06765,2.11171,4.45757,0.55944,0.19536,2.48213,2.4419,36.6893,78.04008,5.24154,0.56957,0.22947
"41","2020_Q2",87.1252380952381,"Down",2572900000,-1792200000,780700000,-579700000,-522700000,-5.7e+07,2.01e+08,-20200000,-16900000,-3300000,180800000,83100000,-20200000,62900000,62900000,-1200000,61700000,61700000,172100000,172100000,1216100000,1216100000,1.63e+09,68200000,68200000,3086400000,1791700000,3513500000,-1721800000,3207400000,9.28e+08,1998800000,280600000,4999100000,8085500000,618400000,3.47e+08,260200000,64800000,735600000,1772300000,678300000,81200000,434800000,162300000,2450600000,3186200000,5028600000,-136500000,4892200000,7100000,4899300000,8085500000,62900000,5.7e+07,86600000,-35700000,170800000,-54700000,-3e+05,-5.5e+07,-41900000,2.48e+08,-3e+08,-13500000,-107400000,8400000,8400000,-10600000,-2200000,2.58e+08,1837100000,187800000,0.30343,0.07812,0.02398,3.04376,4.19576,0.65034,0.22721,0.9301,0.9175,38.78529,73.74768,2.831,0.63162,0.67909
"42","2020_Q3",97.934375,"Up",2019300000,-1404600000,614700000,-495900000,-438500000,-57400000,118800000,-16600000,-14600000,-2e+06,102200000,1.02e+08,-21300000,80700000,80700000,-5e+05,80200000,80200000,222700000,222700000,922500000,922500000,1492600000,88900000,88900000,2726700000,1809300000,3547700000,-1738400000,3188100000,974300000,1923700000,290100000,4997400000,7724100000,525400000,247100000,257100000,64900000,6.42e+08,1426900000,693700000,85900000,436300000,171500000,2120600000,2762600000,5068900000,-124100000,4953900000,7600000,4961500000,7724100000,80700000,57400000,16300001,321300000,475700001,-40100000,-1300000,-41400000,-39900000,-3.46e+08,0,-3e+05,-386200000,48100001,48100001,2500000,50600001,176200000,1491800000,478700000,0.30441,0.05883,0.03972,5.96883,4.2472,0.55681,0.19314,1.26008,1.24183,31.72655,77.83399,7.52117,0.6269,0.49751
"43","2020_Q4",111.7571875,"Up",2085600000,-1409500000,676100000,-505600000,-449200000,-56400000,170500000,-33500000,-15700000,-17800000,1.37e+08,1.27e+08,-28700000,98300000,98300000,-7e+05,97600000,97600000,591600000,591600000,943900000,943900000,1.423e+09,73499999,66599999,3031999999,1799400000,3.577e+09,-1777600000,3167300000,955800000,1924800000,286700000,4966700000,7998699999,545900000,2.6e+08,285900000,5800000,601900000,1638300000,711199999,87300000,445700000,178199999,2349499999,2951399999,5125500000,-96800000,5039800000,7500000,5047300000,7998699999,98300000,56400000,46199999,95400000,296299999,-33700000,2400000,-31300000,-4.1e+07,1.57e+08,-2e+05,-17100000,98700000,363699999,363699999,5200000,368899999,226900000,1644100000,317300000,0.32418,0.08175,0.0468,3.25102,5.03738,0.58475,0.20555,1.53098,1.50899,32.71529,79.05569,4.97725,0.64314,0.42008
"44","2021_Q1",130.592459016393,"Up",2134100000,-1430500000,703600000,-520100000,-463600000,-56500000,183500000,-17300000,-15700000,-1600000,166200000,166100000,-35600000,130500000,130500000,-9e+05,129600000,129600000,683500000,683500000,926300000,926300000,1420400000,82600000,80500000,3112800000,1792200000,3607900000,-1815700000,3201800000,947100000,1935200000,319500000,4.994e+09,8106800000,5.56e+08,259300000,296700000,6e+06,6.13e+08,1638900000,732200000,95800000,455600000,180800000,2371100000,2984100000,5193200000,-77900000,5115400000,7300000,5122700000,8106800000,130500000,56500000,23900000,19300000,230200000,-36800000,-1.7e+07,-60700000,-41300000,-199999.99999994,-37100000,-9500000,-88099999.9999999,81400000,81400000,10500000,91900000,2.4e+08,1644900000,258100000,0.32969,0.08598,0.06073,1.99151,5.07798,0.58252,0.2029,2.03844,2.00796,33.56664,80.45708,4.05958,0.6496,0.31867
"45","2021_Q2",158.49380952381,"Up",2838400000,-1884700000,953700000,-575400000,-518500000,-56900000,378300000,-12100000,-15700000,3600000,366200000,366200000,-90800000,275400000,275400000,-1300000,274100000,274100000,760300000,760300000,1272300000,1272300000,1.477e+09,75100000,75100000,3584700000,1769700000,3626300000,-1856600000,3194600000,9.38e+08,1935700000,320900000,4964300000,8.549e+09,767400000,3.61e+08,324900000,5200000,823700000,1639700000,736600000,101900000,456200000,178500000,2376300000,3.2e+09,5415300000,-79100000,5342800000,6200000,5.349e+09,8.549e+09,268200000,56900000,19500000,-182799999,161800001,-23100000,-4600000,-27700000,-44800000,-8e+05,-11774002.1678282,-10799999,-56399999,77700002,77700002,-9e+05,76800002,241568008.698304,1644900000,310889812.507307,0.324933075549125,0.079805228183291,0.0792483168794953,2.03741449870538,4.35195,0.59824,0.19241,2.83811058615986,2.79374991580266,35.1300068776066,83.94689,4.92456449921028,0.7039,0.199024694177256
"46","2021_Q3",147.37515625,"Down",3418800000,-2336600000,1082200000,-621800000,-563300000,-58500000,460400000,-15100000,-15700000,6e+05,445300000,445300000,-113900000,331400000,331400000,-1100000,330300000,330300000,727600000,727600000,1492600000,1492600000,1644800000,79600000,79600000,3944600000,1797099999,3694299999,-1897200000,3188300000,928900000,1936300000,323100000,4985399999,8929999999,849500000,473600000,3.58e+08,5300000,904900000,1640600000,745500000,105400000,456200000,183900000,2386100000,3.291e+09,5700600000,-74600000,5631700000,7300000,5.639e+09,8.93e+09,330200000,58500000,23200000,-310300002,101599998,-74600000,3700000,-70900000,-43800000,-7.45058059692383e-09,-2.4e+07,1799999,-66000001,-35300003,-35300003,2600000,-32700003,282690678.264405,1645900000,402659750.009743,0.3169314340655,0.0795809709110546,0.0955470891726604,2.30096399827384,4.35916,0.58361,0.18431,3.87784744821315,3.81568855440355,39.7495258368088,87.5634374760917,6.40949199894704,0.682523698183645,0.109285592236342
"47","2021_Q4",152.17828125,"Up",3847400000,-2636300000,1211100000,-663500000,-606800000,-56700000,547600000,-23400000,-15600000,-7800000,524200000,524200000,-135900000,388300000,388300000,-1e+06,387300000,387300000,638400000,638400000,1693500000,1693500000,1877800000,74300000,74300000,4.284e+09,1802600000,3.731e+09,-1928400000,3165800000,919500000,1935300000,3.11e+08,4968400000,9252400000,953300000,519400000,397400000,4900000,1007100000,1641400000,7.36e+08,105800000,4.56e+08,174200000,2377400000,3384500000,5943500000,-82900000,5860700000,7200000,5867900000,9252400000,396700000,56700000,21500000,-332699999,142200001,-54400000,4800000,-49600000,-43700000,-3e+05,-1.31e+08,-4400000,-179400000,-86799999,-86799999,-2400000,-89199999,398818008.698304,1646300000,512149812.507307,0.310814075549125,0.0966187281832909,0.105659816879495,2.27869149870538,4.2538,0.57678,0.17793,5.17287808615986,5.08915541580266,48.8351268776066,91.659761685655,8.17609849921028,0.644856818910187,0.0710961941772561
"48","2022_Q1",170.893548387097,"Up",3988700000,-2745400000,1243300000,-6.76e+08,-617900000,-58100000,567300000,-15200000,-15700000,500000.000000002,552100000,547400000,-125100000,422300000,422300000,-1e+06,421300000,421300000,300500000,300500000,1.683e+09,1.683e+09,2.065e+09,111600000,111600000,4160100000,1836800000,3786500000,-1949700000,3539100000,1077700000,2107600000,353800000,5375900000,9.536e+09,1001400000,453900000,483200000,5e+06,1.065e+09,1.642e+09,735300000,102320814.771982,484800000,169500000,2377300000,3442300000,6155300000,-68900000,6086500000,7200000,6093700000,9.536e+09,422300000,58100000,-2700000,-83900000,393800000,-48500000,-16300000,-504100000,-44700000,-4e+05,-168500000,-13500000,-227100000,-337400000,-337400000,-500000.000000001,-337900000,625400000,1.647e+09,618100000,0.31171,0.14223,0.10562,1.46713,3.9062,0.56489,0.17271,6.73843,6.62953,63.79674,97.34813,9.88612,0.71495,0.1061
"49","2022_Q2",185.424193548387,"Up",4485800000,-3098700000,1387100000,-6.71e+08,-611900000,-59100000,716100000,-12300000,-15600000,3300000,703800000,703800000,-172600000,531200000,531200000,-1300000,529900000,529900000,5.48e+08,5.48e+08,2078699999,2078699999,2010300000,1.07e+08,1.07e+08,4743999999,1851700000,3.833e+09,-1981300000,3518500000,1059900000,2.113e+09,345600000,5370200000,10114199999,1138400000,636200000,360900000,4999999.99999999,1198300000,1642800000,734400000,94462444.3159468,483200000,1.66e+08,2377200000,3575500000,6599500000,-68300000,6531300000,7400000,6538700000,10114200000,524600000,59100000,19800000,-199500000,4.04e+08,-58500001,-4800000,-63300001,-56700000,-1308625.36347858,-17100000,-18200000,-9.2e+07,248699999,248699999,-1200000,247499999,997886652.169494,1647800000,699250312.487821,0.324748207418125,0.227726286361182,0.0914611385341745,-0.637187497842305,3.95894,0.54682,0.16292,8.58973068973356,8.45219180699556,86.044295203989,104.83635,11.2012925013162,0.91013,0.235940509704573
"50","2022_Q3",184.15575,"Down",4681200000,-3185800000,1495400000,-707900000,-648600000,-59300000,787500000,-6300000,-15600000,9300000,781200000,781200000,-188700000,592500000,592500000,-1100000,591400000,591400000,504500000,504500000,2053300000,2053300000,2352100000,1.14e+08,106200000,5023900000,1888300000,3905300000,-2.017e+09,3490500000,1045800000,2109400000,335300000,5378800000,10402700000,1.102e+09,663800000,438200000,509700000,1665600000,1.138e+09,7.36e+08,81724888.6318936,482100000,173700000,1.874e+09,3539600000,6942500000,-88300000,6854300000,8800000,6863100000,10402700000,573900000,59300000,34400000,-397400000,270200000,-86499999,4e+05,-86099999,-53900000,-8e+05,-193900000,24100000,-224500000,-40399999,-40399999,-3100000,-43499999,1551727965.20678,1647700000,734340749.97077,0.3550576978035,0.364419087266836,0.0592167324820189,-4.53772799482153,3.01627,0.51574,0.15839,10.7420076553606,10.5725203367894,116.987722489574,111.16662,11.7833520031589,0.87419,0.482261223290975
