"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"24","2016_Q1",34.8719672131148,"Down",702800000,-323400000,379400000,-247100000,-1.66e+08,-53700000,-27400000,132300000,-62500000,-50900000,-11600000,69800000,-44400000,25400000,-300000.000000004,25100000,25100000,25100000,25100000,491300000,491300000,416100000,416100000,283100000,75300000,33200000,21700000,1265800000,457100000,5919600000,3023200000,2808200000,88200000,6376700000,7642500000,389100000,1.17e+08,272100000,391200000,163100000,163100000,943400000,3.221e+09,1398900000,19600000,1178400000,200900000,4619900000,5563300000,5562700000,-3.469e+09,-14500000,2079200000,2079200000,7642500000,25100000,122300000,53400000,17100000,-37900000,74200000,32800000,-33800000,1.1e+07,27300000,28300000,233600000,-20200000,-20200000,-20200000,-9100000,-19700000,-593700000,19600000,19600000,-29800000,-603900000,-3.9e+08,-3.9e+08,-3700000,-393700000,254600000,3612200000,267500000,0.53984,0.18825,0.03571,0.01207,0.00328,10.65737,1.34174,2.67569,0.47265,0.08898,0.08515,2.49157,7.37119,0.94834,6,0.00354,0.03773,12.25805,23.58957
"25","2016_Q2",34.62703125,"Down",695200000,-316100000,379100000,-250700000,-176400000,-51700000,-22600000,128400000,-11400000,-3.9e+07,27600000,1.17e+08,-2300000,114700000,-29800000,84900000,84900000,84900000,84900000,650300000,650300000,410500000,410500000,286400000,40500000,40500000,0,1387700000,454500000,5837300000,2926700000,2806900000,103700000,6291800000,7679500000,365200000,1.12e+08,253200000,393300000,156900000,156900000,915400000,3239100000,1358700000,20300000,1131600000,206800000,4597800000,5513200000,5576300000,-3384100000,-25900000,2166300000,2166300000,7679500000,84900000,115900000,-24200000,15900000,-2.8e+07,-12100000,-5200000,4300000,-3600000,-4900000,-1e+06,171400000,-9100000,-9100000,-9100000,-9700000,12300000,-18900000,11100000,11100000,-14900000,-22700000,1.61e+08,1.61e+08,-2e+06,1.59e+08,244300000,3632400000,259800000,0.54531,0.1847,0.12212,0.03919,0.01106,3.06007,1.51595,2.54498,0.473,0.30003,0.29078,2.45675,7.65542,0.9181,7,0.01186,0.0363,12.20671,23.22508
"26","2016_Q3",37.75,"Up",693200000,-308200000,3.85e+08,-245300000,-163400000,-59100000,-22800000,139700000,-39600000,-38900000,-699999.999999993,100100000,-8200000,91900000,-2.3e+07,68900000,68900000,68900000,68900000,316300000,316300000,422600000,422600000,285100000,68600000,50400000,18200000,1092600000,454100000,5739600000,2837500000,2806400000,95700000,6193700000,7286300000,382400000,118500000,263900000,307700000,150900000,150900000,8.41e+08,3.098e+09,1302900000,19300000,1.071e+09,212600000,4400900000,5241900000,5537600000,-3315200000,-29200000,2044400000,2044400000,7286300000,68900000,1.14e+08,-11300000,14700000,-36700000,10700000,-28600000,-11300000,1300000,6500000,-25100000,1.43e+08,-14300000,-14300000,-10300000,-12500000,-26800000,-330100000,-1.28e+08,7900000,7200000,-450900000,-334700000,-334700000,7e+05,-3.34e+08,253700000,3405700000,233800000,0.5554,0.20153,0.09939,0.0337,0.00946,3.39332,1.29917,2.56403,0.46741,0.24392,0.23935,2.45403,7.23748,0.82769,6,0.0102,0.03462,12.17737,22.11453
"27","2016_Q4",38.5888888888889,"Up",717400000,-324300000,393100000,-252100000,-171400000,-58800000,-21900000,1.41e+08,-38300000,-38900000,6e+05,102700000,-1500000,101200000,-16300000,84900000,84900000,84900000,84900000,441500000,441500000,426200000,426200000,280500000,71800000,52100000,19700000,1.22e+09,451500000,5635200000,2737200000,2804700000,93300000,6086700000,7306700000,418900000,131200000,287700000,333400000,158500000,158500000,910800000,3088800000,1264400000,17400000,1030500000,216500000,4353200000,5.264e+09,5556300000,-3230300000,-33300000,2042700000,2042700000,7306700000,84900000,120900000,-4200000,14500000,-39500000,20800000,53700000,-3800000,4400000,12800000,40300000,255300000,-7600000,-7600000,-7600000,-1.4e+07,-21600000,-193700000,-105700000,8400000,191600000,-107800000,125900000,125900000,-7e+05,125200000,261900000,3422200000,324300000,0.54795,0.19654,0.11834,0.04156,0.01162,3.81979,1.33948,2.57698,0.46836,0.30556,0.30074,2.58194,7.35173,1.16716,7,0.01262,0.04819,11.38106,21.13972
"28","2017_Q1",40.7693548387097,"Up",726900000,-320800000,406100000,-256100000,-171200000,-62500000,-22400000,1.5e+08,-38700000,-37800000,-900000.000000002,111300000,-3800000.00000001,107500000,-15400000,92100000,92100000,92100000,92100000,548400000,548400000,4.47e+08,4.47e+08,274700000,56500000.0000001,39600000,16900000,1326600000,460200000,5530200000,2643400000,2803100000,83700000,5990400000,7.317e+09,444500000,156900000,287600000,2.96e+08,161400000,161400000,901900000,3049400000,1.223e+09,15900000,982600000,224500000,4272400000,5174300000,5563200000,-3138200000,-32300000,2142700000,2142700000,7.317e+09,92100000,114600000,-14700000,20300000,-51600000,16600000,36500000,-2.1e+07,5500000,25700000,26300000,228500000,-20300000,-20300000,-20300000,-1.2e+07,-32300000,-100100000,11100000,11100000,-299999.99999997,-89299999.9999999,106900000,106900000,0,106900000,264600000,3345400000,296200000,0.55867,0.20636,0.1267,0.04298,0.01259,3.21607,1.47089,2.41485,0.45721,0.33183,0.32602,2.619,7.72008,1.0672,9,0.01372,0.04414,10.57067,18.64667
"29","2017_Q2",44.1409523809524,"Up",734400000,-329600000,404800000,-255600000,-179800000,-54400000,-21400000,149200000,-29900000,-40100000,10200000,119300000,-3200000,116100000,-29600000,86500000,86500000,86500000,86500000,6.46e+08,6.46e+08,419900000,419900000,258300000,1013900000,67700000,17700000,2338100000,432600000,4567100000,2005700000,2474500000,86900000,4999700000,7337800000,437600000,138700000,298900000,707300000,145800000,145800000,1290700000,2615600000,1202900000,15200000,958900000,228800000,3818500000,5109200000,5573100000,-3051700000,-42800000,2228600000,2228600000,7337800000,86500000,115300000,2900000,19200000,-24600000,8300000,-35100000,21500000,-20700000,-17800000,-18100000,169600000,-11500000,-11500000,-11500000,-14100000,-25200000,-25200000,13200000,13200000,-28400000,-40400000,1.04e+08,1.04e+08,-6400000,97600000,264500000,3322900000,247500000,0.5512,0.20316,0.11778,0.03881,0.01179,2.86127,1.8115,2.29256,0.45285,0.31041,0.30434,2.63544,7.99747,0.88817,9,0.01281,0.03664,10.1206,17.94169
"30","2017_Q3",40.3630158730159,"Down",715400000,-326700000,388700000,-2.87e+08,-220800000,-55400000,-10800000,101700000,-32200000,-35600000,3400000,69500000,898100000,967600000,-440800000,526800000,526800000,526800000,526800000,1139800000,1134600000,456700000,456700000,3.84e+08,71299999.9999998,5.8e+07,13300000,2051800000,482700000,6172100000,2923900000,3155300000,92900000,6654800000,8706600000,1166300000,177100000,989200000,1.051e+09,158100000,158100000,2375400000,2257400000,1276700000,2.4e+07,1099300000,153400000,3534100000,5909500000,5612200000,-2524900000,-40200000,2797100000,2797100000,8706600000,526800000,95100000,-1102800000,19800000,-2.38e+08,-884600000,564700000,6500000,-8300000,18300000,548200000,83800000,-1.3e+07,-1.3e+07,-1.3e+07,-1.3e+07,4.49e+08,-33300000,13400000,13400000,-25200000,-45100000,487700000,487700000,9e+05,488600000,196800000,3308400000,1189300000,0.54333,0.14216,0.73637,0.18834,0.06051,2.25759,0.86377,2.11272,0.37999,1.87999,1.84189,2.55304,9.98198,4.24424,5,0.07136,0.1611,11.01931,21.3235
"31","2017_Q4",39.8863492063492,"Down",806100000,-396500000,409600000,-288500000,-210900000,-62500000,-15100000,121100000,-3.8e+07,-38100000,1e+05,83100000,-8600000,74500000,-1.5e+07,59500000,59500000,59500000,59500000,588400000,588400000,520300000,520300000,3.57e+08,70300000,52200000,18100000,1.536e+09,485500000,6096500000,2835800000,3.165e+09,95700000,6.582e+09,8.118e+09,615700000,148700000,4.67e+08,1014900000,182200000,182200000,1812800000,2230800000,1208800000,2e+07,1.032e+09,156800000,3439600000,5252400000,5608400000,-2465400000,-27400000,2865600000,2865600000,8.118e+09,59500000,118300000,1.1e+07,14400000,-4.2e+07,38600000,-600500000,-57700000,8800000,-28800000,-522800000,-411700000,-11300000,-11300000,-11300000,-16700000,-30200000,-163300000,15900000,15900000,34300000,-113100000,-5.55e+08,-5.55e+08,8800000,-546200000,239400000,3245700000,-357400000,0.50813,0.15023,0.07381,0.02076,0.00733,-6.00672,0.84731,1.83291,0.39982,0.21188,0.20686,2.87048,10.20426,-1.27268,3,0.00813,-0.04882,11.09983,21.94302
"32","2018_Q1",40.4070491803279,"Up",802900000,-150400000,652500000,-540700000,-230400000,-60500000,-249800000,111800000,-36400000,-35600000,-8e+05,75400000,-3100000.00000012,72300000,10400000,82699999.9999999,82699999.9999999,82699999.9999999,82699999.9999999,540600000,540600000,533500000,533500000,331600000,72900000,50500000,22400000,1478600000,472800000,6028200000,2772300000,3171200000,84700000,6.501e+09,7979600000,541900000,166600000,375300000,1152400000,171200000,171200000,1865500000,2194800000,1134600000,20800000,973600000,140200000,3329400000,5194900000,5633700000,-2382700000,-16200000,2784700000,2784700000,7979600000,82700000,120500000,-4299999.99999988,14800000,-52600000,33500000,-32300000,-11800000,8600000,17700000,-46800000.0000001,166600000,-2.2e+07,-2.2e+07,-2.2e+07,1858400000,-107800000,85300000,-193600000,6500000,-2299999.99999999,-110600000,-51800000,-51800000,4e+06,-47800000.0000001,232300000,3347200000,167600000,0.81268,0.13925,0.103,0.0297,0.01036,2.0266,0.7926,1.86552,0.41947,0.29584,0.29044,2.8722,9.96165,0.59955,6,0.01138,0.02306,12.08179,25.10376
"33","2018_Q2",38.463125,"Down",791100000,-366600000,424500000,-286600000,-217400000,-54800000,-14400000,137900000,-37300000,-40200000,2900000,100600000,-4800000,95800000,310900000,406700000,406700000,406700000,406700000,664400000,664400000,5.48e+08,5.48e+08,358200000,67800000,53500000,14300000,1638400000,467100000,5942800000,2681300000,3176700000,84800000,6409900000,8048300000,5.73e+08,160300000,412700000,573700000,163200000,163200000,1309900000,2.78e+09,764400000,18800000,586400000,159200000,3544400000,4854300000,5631800000,-1.976e+09,-11700000,3.194e+09,3.194e+09,8048300000,406700000,121200000,-363400000,16400000,-390700000,10900000,4600000,-6400000,-23300000,-7100000,41400000,169100000,-10200000,-10200000,-10200000,-1.2e+07,-26200000,-353600000,9500000,9500000,323800000,-20300000,122600000,122600000,1200000,123800000,259100000,3353700000,-57400000,0.53659,0.17431,0.51409,0.12733,0.05053,-0.14114,1.25078,1.51982,0.4167,1.46899,1.44835,2.85744,11.53668,-0.20733,6,0.05562,-0.00785,10.37939,19.50181
"34","2018_Q3",40.4222222222222,"Up",789300000,-374200000,415100000,-285800000,-214300000,-56800000,-14700000,129300000,-41900000,-36800000,-5100000,87400000,-778400000,-6.91e+08,9600000,-681400000,-681400000,-681400000,-681400000,614200000,614200000,544200000,544200000,361900000,114900000,62800000,52100000,1635200000,468600000,5130600000,2.544e+09,2498200000,88400000,5599200000,7234400000,513900000,158200000,355700000,613200000,172500000,172500000,1299600000,2.761e+09,728200000,19100000,543500000,165600000,3489200000,4788800000,5660200000,-2657400000,-600000.000000002,2445600000,2445600000,7234400000,-681400000,119500000,761800000,19500000,-42900000,785200000,-102500000,8900000,-4200000,-2400000,-104800000,97400000,-14400000,-14400000,-14400000,-20400000.0000002,-35100000,-1018300000,-83900000,6800000,987100000,-115100000,-52800000,-52800000,2600000,-50200000,248800000,3374200000,122300000,0.52591,0.16382,-0.8633,-0.27862,-0.09419,-0.179479999999999,1.25823,1.95813,0.46641,-2.45892,-2.45892,2.84829,8.82525,0.44133,5,-0.10406,0.01868,11.09325,21.34571
"35","2018_Q4",41.0193650793651,"Up",824100000,-3.88e+08,436100000,-297100000,-227400000,-54400000,-15300000,1.39e+08,-27900000,-3.3e+07,5100000,111100000,-5800000,105300000,7600000,112900000,112900000,112900000,112900000,575400000,575400000,551700000,551700000,370500000,97800000,53600000,44200000,1595400000,461500000,5034500000,2.449e+09,2493400000,92100000,5.496e+09,7091400000,532200000,167300000,364900000,526900000,176100000,176100000,1235200000,2743300000,663400000,18900000,494900000,149600000,3406700000,4641900000,5.65e+09,-2544500000,-18600000,2449500000,2449500000,7091400000,112900000,120500000,-18100000,17200000,-36700000,1400000,18700000,-16300000,-11800000,9900000,36900000,2.34e+08,-13300000,-13300000,-13300000,-13100000,-26400000,-168300000,-88800000,7800000,15600000,-241500000,-33900000,-33900000,-4900000,-38800000,259500000,3270200000,257300000,0.52918,0.16867,0.137,0.04609,0.01592,2.27901,1.29161,1.89504,0.46115,0.41245,0.4097,3.01064,8.94863,0.93998,8,0.01769,0.04031,10.38459,19.38705
"36","2019_Q1",45.0919672131148,"Up",813400000,-392400000,4.21e+08,-319200000,-251600000,-52700000,-14900000,101800000,-27700000,-32400000,4700000,74100000,-2800000,71300000.0000001,-20800000,50500000,50500000,50500000,50500000,666700000,666700000,579200000,579200000,384100000,93200000,61500000,31700000,1723200000,478200000,5029500000,2398600000,2533200000,97700000,5507700000,7230900000,628300000,192200000,436100000,601400000,172900000,172900000,1402600000,2725500000,6.74e+08,18200000,498200000,157600000,3399500000,4802100000,5674200000,-2.494e+09,-25500000,2428800000,2428800000,7230900000,50500000.0000001,119100000,9800000,11900000,-7e+06,4899999.99999988,5.3e+07,-24400000,-11300000,23500000,65200000,232400000,-20500000,-20500000,-20500000,-14800000,-107500000,1396900000,-79400000,9100000,-1345400000,-27900000,9.7e+07,9.7e+07,-5700000,91300000,220900000,3326900000,274200000,0.51758,0.12515,0.0620900000000001,0.02079,0.00698,5.4297,1.22858,1.97715,0.46009,0.18517,0.18918,2.98254,8.9058,1.00542,6,0.00785,0.04265,12.04255,26.13163
"37","2019_Q2",46.2406349206349,"Up",830700000,-396600000,434100000,-291900000,-224600000,-53200000,-14100000,142200000,-35400000,-34800000,-6e+05,106800000,-2500000,104300000,-5700000,98600000,98600000,98600000,98600000,311100000,311100000,578600000,578600000,418600000,93600000,63900000,29700000,1401900000,472600000,5.057e+09,2402200000,2562900000,91900000,5529600000,6931500000,589500000,176300000,413200000,321100000,167100000,167100000,1077700000,2828400000,6.31e+08,18100000,456500000,156400000,3459400000,4537100000,5688800000,-2386500000,-31900000,2394400000,2394400000,6931500000,98600000,23700000,73900000,17100000,-5e+07,106800000,-91600000,4e+05,-27900000,-1.6e+07,-48100000,104600000,-9500000,-9500000,-9500000,-14600000,-130700000,-180400000,-133500000,13500000,-14300000,-328200000,-354300000,-354300000,-1300000,-355600000,165900000,3149500000,70500000,0.52257,0.17118,0.1187,0.04118,0.01422,0.71501,1.30083,1.89488,0.45437,0.36439,0.362,3.06996,8.84881,0.26054,6,0.01597,0.01142,17.1091,19.96062
"38","2019_Q3",49.2059375,"Up",818400000,-7.76e+08,42399999.9999999,-294800000,-223400000,-57300000,-14100000,-252400000,-30500000,-3.4e+07,3500000,-282900000,-70800000,-353700000,81100000,-272600000,-272600000,-272600000,-272600000,4.01e+08,4.01e+08,557500000,557500000,443400000,109100000,69100000,4e+07,1.511e+09,469700000,4544600000,1874900000,2564500000,105200000,5014300000,6525300000,559300000,165200000,394100000,312400000,173500000,173500000,1045200000,2819800000,500500000,1.7e+07,335400000,148100000,3320300000,4365500000,5725400000,-2659100000,-30500000,2159800000,2159800000,6525300000,-272600000,23100000,435200000,17500000,-123300000,5.41e+08,-52200000,18200000,-26100000,-11200000,-33100000,133500000,-13500000,-13500000,-13500000,-20900000,-36400000,-18400000,12200000,15300000,-1800000,-8e+06,89100000.0000001,89100000.0000001,8e+05,89900000.0000001,-229300000,3132200000,-376100000,0.0518100000000001,-0.30841,-0.33309,-0.12622,-0.04178,1.37968,1.44566,2.02125,0.48001,-1.01249,-1.01924,3.03971,8.02196,-1.39692,6,-0.04706,-0.06493,-11.91103,-10.82092
"39","2019_Q4",49.7865625,"Up",852300000,207100000,1059400000,-536700000,-223600000,-61300000,-251800000,522700000,-3.1e+07,-33900000,2900000,491700000,-377300000,114400000,-20500000,93900000,93900000,93900000,93900000,427900000,427900000,586800000,586800000,467900000,109200000,6.6e+07,43200000,1591800000,469800000,4460800000,1787900000,2566400000,106500000,4930600000,6522400000,580800000,161500000,419300000,263800000,170600000,170600000,1015200000,2811200000,479500000,15900000,312700000,150900000,3290700000,4305900000,5741900000,-2565200000,-34200000,2216500000,2216500000,6522400000,93900000,22900000,92700000,13900000,-21500000,100300000,-45800000,-28300000,-27700000,-3700000,13900000,163700000,-19300000,-19300000,-14800000,-12700000,-32800000,-58500000,-42900000,7100000,-3100000,-104500000,26400000,26400000,5e+05,26900000,545600000,3.075e+09,5.01e+08,1.24299,0.61328,0.11017,0.04236,0.0144,5.33546,1.56797,1.94266,0.47145,0.34916,0.34916,3.1692,8.24186,1.86292,7,0.01627,0.08681,4.85172,5.06428
"40","2020_Q1",47.6117741935484,"Down",865900000,-652200000,213700000,-5.8e+07,-225600000,-60400000,2.28e+08,155700000,-36200000,-33500000,-2700000,119500000,-242200000,-122700000,-8e+05,-123500000,-123500000,-123500000,-123500000,601800000,601800000,648700000,648700000,444900000,97700000,62800000,34900000,1793100000,470900000,4178100000,1459800000,2563700000,154600000,4.649e+09,6442100000,617400000,186500000,430900000,271400000,181300000,179500000,1070100000,2802800000,453500000,15800000,275300000,162400000,3256300000,4326400000,5772700000,-2688700000,-42300000,2115700000,2115700000,6442100000,-123500000,393400000,-55499999.9999999,13500000,-40900000,-28099999.9999999,33300000,-66800000,18700000,25400000,5.6e+07,247700000,-19200000,-19200000,-19200000,-60400000,-80800000,-3099999.99999997,13900000,13900000,-1600000,9200000.00000003,176100000,176100000,-2200000,173900000,549100000,3074200000,5.64e+08,0.2468,0.17981,-0.14263,-0.05837,-0.01917,-4.5668,1.67564,2.0449,0.4772,-0.45929,-0.45929,3.22023,7.86816,2.09748,4,-0.02188,0.09994,4.50264,15.87925
"41","2020_Q2",49.0661904761905,"Up",850500000,-390900000,459600000,-302800000,-232500000,-61200000,-9100000,156800000,-27399999,-30699999,3300000,129400001,-3.2e+07,97400001,288400000,385800001,385800001,386100001,386100001,680976131.027886,680976103.734345,581800000,581800000,380800000,6.75e+08,62700000,30900000,1637600000,4.52e+08,4222300000,1.367e+09,2594200000,261100000,4674300000,6311900000,505200000,123700000,381500000,3.04e+08,234100000,156200000,1043300000,2788200000,222700000,15300000,5700000,201700000,3010900000,4054200000,5752700000,-2302300000,-21800000,2257700000,2257700000,6311900000,385800000,94400000,-279100000,18100000,-327900000,30700000,-87200000,17600000,-14900000,-55400000,-34500000,113900000,-11400000,-11400000,-11400000,-22500000,-45700000,6200000,-267200000,18700000,-28900000,-289900000,-221700000,-221700000,1400000,-220300000,251200000,3092200000,-135800000,0.54039,0.18436,0.45397,0.17101,0.06117,-0.35172,1.56963,1.79572,0.4899,1.44125,1.43148,3.17478,8.42762,-0.50692,7,0.06929,-0.02437,0.460223748447762,16.569003505823
"42","2020_Q3",63.29515625,"Up",756100000,-360300000,395800000,-236900000,-177600000,-49200000,-10100000,158900000,-37400000,-29900000,-7500000,121500000,-2499999.99999999,1.19e+08,-24100000,94900000,94900000,96400000,96400000,653575684.302483,653575658.295199,597200000,597200000,401300000,938100000,75700000,62600000,1936600000,445300000,4439900000,1328800000,2.592e+09,519100000,4885200000,6821800000,500400000,134400000,3.66e+08,807900000,172600000,172600000,1480900000,2767700000,4.82e+08,1.5e+07,235900000,231100000,3249700000,4730600000,5830500000,-2.206e+09,-53800000,2091200000,2091200000,6821800000,94900000,93700000,313700000,15700000,283700000,14300000,-384599999,-17900000,-18399999,7500000.00000001,-355800000,117700001,-18200000,-18200000,-18200000,-14800000,78300000,481900000,-249700000,-18700000,-9600000,222600000,418600001,418600001,-3e+05,418300001,252600000,3575600000,-126099999,0.52348,0.21016,0.1275,0.0461,0.01413,-1.30809,1.30772,2.26215,0.52414,0.36621,0.36445,2.87229,7.94411,-0.47903,7,0.01568,-0.02051,0.576100074684377,12.9884665739276
"43","2020_Q4",70.59125,"Up",822900000,-356800000,466100000,-274199999,-208799999,-55100000,-10300000,191900001,-22600001,-26900001,4300000,169300000,-9e+05,168400000,-32200000,136200000,136200000,137800000,137800000,625087395.425839,625087383.708454,7.28e+08,7.28e+08,413600000,841200000,51500000,45500000,1982800000,456200000,4364100000,1252500000,2592900000,518700000,4820300000,6803100000,603300000,127300000,4.76e+08,567300000,175100000,175100000,1345700000,2749200000,449600000,12600000,214100000,222900000,3198800000,4544500000,5864600000,-2068100000,-58400000,2258600000,2258600000,6803100000,136200000,93600000,9600000,19900000,-19100000,8800000,-16400001,-130200000,-14700001,-7200000,135700000,222999999,-23600000,-23600000,-23600000,-12700000,-36300000,-259700000,18200000,-34838285.5657725,-2e+05,-241700000,-55000001,-55000001,-6e+05,-55600001,285500001,3316500000,277700000,0.56641,0.2332,0.16746,0.06101,0.02026,2.01524,1.47343,2.01209,0.4875,0.53027,0.52787,3.1666,8.6913,1.06862,6,0.02287,0.04609,2.32860386357881,7.79967135506843
"44","2021_Q1",75.9170491803279,"Up",1346900000,-415100000,931800000,-288600001,-221400001,-5.7e+07,-10200000,643199999,-15700000,-24700000,9e+06,627499999,-10400000,617099999,-123500000,493599999,493599999,494899999,494899999,7.01e+08,7.01e+08,1028900000,1028900000,395100000,97300000,58500000,38800000,2222300000,491500000,4.482e+09,1307500000,2657900000,516600000,4973500000,7195800000,726400000,178800000,547600000,326800000,186100000,186100000,1239300000,2731300000,517900000,12900000,201800000,303200000,3249200000,4488500000,5907700000,-1573200000,-47600000,2707300000,2707300000,7195800000,493600000,94300000,2200000,20831709.798428,-136173092.455967,44547866.888559,-148100000,-206964544.181073,-17193593.7140428,-17666094.0477457,281292347.784317,4.42e+08,-45100000,-27419147.9138704,-29050944.136612,-13200000,-137900000,-259900000,-89300000,65600000,-1700000,-350900000,-46799999.9999999,-46799999.9999999,3600000,-43199999.9999999,737499999,3058100000,667799999,0.69181,0.47754,0.36744,0.1828,0.06878,1.34936,1.79319,1.65792,0.42498,1.90414,1.88049,5.18224,10.41642,2.56938,8,0.07876,0.10628,3.19607,3.66465
"45","2021_Q2",66.8520634920635,"Down",1609800000,-429400000,1180400000,-288900000,-219500000,-59300000,-10100000,891500000,-31500000,-27700000,-3800000,8.6e+08,-27600000,832400000,-1.79e+08,653400000,653400000,654400000,654400000,868700000,868700000,1216100000,1216100000,420200000,91300000,61400000,29900000,2596300000,514500000,4439899999,1244800000,2663300000,531799999,4954399999,7550699999,796200000,184300000,611900000,74900000,184900000,182900000,1.056e+09,2706300000,519400000,12500000,189400000,317500000,3225700000,4281700000,5898300000,-918800000,-29600000,3.269e+09,3.269e+09,7550700000,653400000,92800000,57700000,18600000,-1.2e+07,51100000,-153900000,-175500000,-21200000,4599999.99999999,38200000,6.5e+08,-32400000,-32400000,-32400000,-12600000,-49900000,-303800000,-7.8e+07,257899914.897989,-46400000,-428200000,171900000,171900000,-4200000,167700000,984300000,2781200000,9.77e+08,0.73326,0.5538,0.40651,0.20018,0.08667,1.49297,2.45862,1.30979,0.36834,2.5305,2.49976,6.22494,12.6409,3.77796,8,0.09961,0.14872,1.94301,2.14526
"46","2021_Q3",74.99375,"Up",1537600000,-451900000,1085700000,-302099999,-220400000,-71399999,-10300000,783600001,-16200000,-20900000,4700000,767400001,13100000,780500001,-161100000,619400001,619400001,619900001,619900001,816400000,816400000,1212300000,1212300000,456200000,177500000,92100000,85400000,2662400000,533600000,4.848e+09,1447600000,2857200000,543200000,5381600000,8.044e+09,7.6e+08,225100000,534900000,77900000,198500000,198500000,1036400000,2695700000,516900000,13400000,229800000,273700000,3212600000,4.249e+09,5930100000,-298900000,-35200000,3.795e+09,3.795e+09,8.044e+09,619400000,95200000,-5100000,1.7e+07,-11500000,-10600000,-157300001,4100000,-24800000,28199999,-164800000,552199999,-36900000,-36900000,-30400000,-6200000,-478200000,-19100000,-109800000,33600000,-300000.000000015,-129200000,-55200001,-55200001,2900000,-52300000.9999999,878800001,2773600000,845700000,0.7061,0.50963,0.40316,0.16335,0.07706,1.36425,2.56889,1.11963,0.3448,2.39832,2.37738,5.94878,14.68238,3.27191,8,0.08749,0.11936,2.22713,2.4977
"47","2021_Q4",73.5075,"Down",1168300000,-466700000,701600000,-339400001,-2.6e+08,-69100001,-10300000,362199999,-2.1e+07,-21200000,2e+05,341199999,-3600000,337599999,-69500000,268099999,268099999,268399999,268399999,827600000,827600000,943200000,943200000,502900000,144500000,81500000,6.3e+07,2418200000,551100000,5621300000,1800800000,3264200000,556300000,6172400000,8590600000,787800000,208400000,579400000,463700000,213100000,213100000,1464600000,2677600000,571300000,1.5e+07,284800000,271500000,3248900000,4713500000,5939200000,-30500000,-42200000,3877100000,3877100000,8590600000,268100000,101100000,-4500000,15400000,-20800000,9e+05,298100001,282900000,-36400000,-23399999,7.5e+07,662800001,-27800000,-27800000,-27800000,-7300000,-758400000,300600000,-182300000,-443300000,-8700000,109600000,14000001,14000001,-2799999,11200002,463299999,3141300000,803100000,0.60053,0.31002,0.22974,0.06923,0.03124,2.99218,1.6511,1.21573,0.36567,1.03814,1.0273,4.51885,14.99619,3.1063,8,0.03536,0.10581,4.99396,6.38791
