"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2019_Q2",53.8134920634921,"Up",1411300000,-984800000,426500000,-257300000,-217100000,-40300000,1e+05,169200000,-107400000,-59400000,-4.8e+07,61800000,180400000,-43800000,125900000,125900000,125600000,123600000,222900000,222900000,452500000,452500000,498900000,68100000,57500000,1242400000,1.715e+09,1.715e+09,8159300000,4478500000,3488800000,1.92e+08,10042400000,11284800000,331600000,331600000,462100000,462100000,797100000,6336500000,994800000,781200000,213600000,7331300000,8128400000,-42700000,3.146e+09,3156400000,11284800000,125900000,93600000,-3.9e+07,58200000,238700000,-76800000,201500000,-1172600000,-25300000,3e+05,-1199600000,-759400000,-759400000,-1600000,-7.61e+08,262800000,6339900000,2.88e+08,0.3022,0.11989,0.08758,0.03916,0.01095,2.3301,1.55865,2.57521,0.56181,1.21274,1.0771,13.84746,30.86807,2.82581,0.01197,0.02745,23.27626,36.15248
"30","2019_Q3",52.1828125,"Down",1387800000,-936500000,451300000,-267600000,-225800000,-40400000,-1400000,183700000,-144800000,-85500000,-59300000,38900000,41500000,11600000,44300000,44300000,4.4e+07,4.3e+07,149700000,149700000,500400000,500400000,555100000,48600000,46400000,1253800000,1718700000,1718700000,8147200000,4498900000,3458600000,189700000,1.0029e+10,11282800000,325500000,325500000,317200000,317200000,649400000,6326200000,1062300000,751600000,310700000,7388500000,8037900000,-7e+06,3233900000,3244900000,11282800000,44300000,97800000,60100000,-236100000,-33900000.0000001,-56700000,-38600000,-99999.9999997616,1000000.00000001,-8700000,-9800000,-82300000.0000002,-82300000.0000002,7e+05,-81599999.9999998,281500000,6332900000,-22900000,0.32519,0.13237,0.03098,0.01325,0.00381,-0.53256,1.93071,2.47709,0.56129,0.39917,0.37372,12.88292,30.02024,-0.212580000000001,0.00423,-0.00215000000000001,21.96519,33.65923
"31","2019_Q4",52.39203125,"Up",1439200000,-977100000,462100000,-263900000,-223200000,-40300000,-4e+05,198200000,-168100000,-85600000,-82500000,30100000,30100000,-7400000,16500000,16500000,16200000,16200000,364700000,364700000,473400000,473400000,560600000,44300000,42500000,1.443e+09,1.722e+09,1.722e+09,8075800000,4.476e+09,3406900000,192900000,9954900000,11397900000,325400000,325400000,380200000,380200000,715700000,6324500000,1140400000,723900000,416500000,7464900000,8180600000,-38400000,3206100000,3217300000,11397900000,16500000,96700000,7.6e+07,110800000,3e+08,-67100000,-66200000,0,-18900000,0,-18900000,214900000,214900000,-3e+05,214600000,294900000,6334600000,3.46e+08,0.32108,0.13772,0.01126,0.00504,0.00142,21.35802,2.01621,2.54269,0.55577,0.14504,0.14043,12.88488,28.7036,3.09767,0.00152,0.03236,20.24381,30.12059
"32","2020_Q1",49.766935483871,"Down",1442800000,-990600000,452200000,-285600000,-245500000,-40300000,2e+05,166600000,-195500000,-91900000,-103600000,-28900000,-92900000,43500000,-60700000,-60700000,-61100000,-61100000,1050700000,1050700000,445100000,445100000,579800000,50700000,46900000,2126300000,1.736e+09,1.736e+09,7943800000,4399800000,3338500000,205500000,9825300000,11951600000,395600000,395600000,393800000,393800000,802900000,7.066e+09,1145400000,688500000,456900000,8211400000,9014300000,-96800000,2925900000,2937300000,11951600000,-60700000,91500000,143100000,9300000,183200000,-71200000,-7e+07,7.5e+08,-166300000,-11800000,575900000,689100000,689100000,-1100000,6.88e+08,258100000,7079500000,152700000,0.31342,0.11547,-0.04235,-0.0208,-0.00511,-2.49918,2.64828,3.06891,0.59235,-0.54852,-0.53674,12.95255,26.26689,1.37084,-0.00583,0.01368,23.35839,36.18727
"33","2020_Q2",44.567619047619,"Down",1456800000,-985300000,471500000,-275500000,-235300000,-40100000,-1e+05,1.96e+08,-38300000,-102900000,64600000,157700000,144800000,-30400000,107100000,107100000,99200000,99200000,812600000,812600000,451800000,451800000,588200000,68600000,66100000,1921200000,1764200000,1764200000,8119600000,4460700000,3328300000,330600000,10022300000,11943500000,332100000,332100000,394500000,394500000,883100000,6382600000,1366200000,842400000,523800000,7748800000,8631900000,-1800000,3357800000,3311600000,11943500000,107100000,90300000,-19500000,-69500000,108400000,-77200000,-75800000,-547300000,-231800000,504200000,-274900000,-242300000,-242300000,2900000,-239400000,286300000,6539100000,1.7e+08,0.32365,0.13454,0.06809,0.02996,0.00831,1.71371,2.17552,2.60656,0.5475,0.91827,0.90044,13.48519,31.08222,1.57364,0.00884,0.01516,20.00175,29.21684
"34","2020_Q3",43.7,"Down",1494200000,-1055400000,438800000,-285300000,-2.45e+08,-4e+07,-3e+05,153500000,-315300000,-9.4e+07,-221300000,-161800000,-221800000,47100000,-185800000,-185800000,-191400000,-191400000,1179400000,1179400000,551200000,551200000,5.69e+08,84100000,66900000,2383700000,1729200000,1729200000,7998300000,4404600000,3261100000,332600000,9853900000,12237600000,317100000,317100000,383700000,383700000,736900000,7171300000,1464200000,7.71e+08,693200000,8635500000,9372400000,-66500000,2907100000,2865200000,12237600000,-185800000,91500000,233300000,-158400000,-19400000,-37900000,13400000,618200000,318400000,-545800000,390800000,384800000,384800000,-3300000,381500000,2.45e+08,7207400000,1600000.00000003,0.29367,0.10273,-0.1281,-0.0668,-0.01564,-0.00836000000000214,3.23477,3.27112,0.58896,-1.80753,-1.8448,14.11082,27.45386,0.0151099999999995,-0.01659,0.00014,24.60408,39.27036
"35","2020_Q4",47.30015625,"Up",1336399999,-899600000,436799999,-264700000,-224200000,-40100000,-4e+05,172099999,-122500000,-96400000,-26099999.9999999,49599999,49599999,-5e+06,40399999,40399999,35999999,35999999,1043600000,1043600000,419500000,419500000,609600000,59600000,48500000,2132300000,1721800000,1721800000,7951300000,4401400000,3219500000,330400000,9795400000,11927700000,314600000,314600000,397300000,397300000,7.48e+08,6776900000,1523200000,767300000,755900000,8300100000,9048100000,-71100000,2916300000,2879600000,11927700000,40400000,92700000,19600000,166700000,319400000,-42400000,-32400000,-397800000,-31200000,-8e+05,-429800000,-142800000,-142800000,9e+05,-141900000,264799999,6.813e+09,394099999,0.32685,0.12878,0.02694,0.0125,0.00302,10.94722,2.85067,3.14214,0.57119,0.34546,0.34546,12.82415,27.98495,3.7818,0.00321,0.03514,21.78776,33.52353
"36","2021_Q1",50.1708196721311,"Up",423600001,-321300000,102300001,-87400000,-7.8e+07,-17900000,8500000,14900001,-33400000,-40600000,7200000,-18499999,-18499999.0000001,9599999.99999999,-17199999,40100001,57000001,57000001,1187900000,1187900000,441600000,441600000,599400000,58900000,53400000,2287800000,1779700000,1779700000,7965100000,4438600000,3197500000,3.29e+08,9858900000,12146700000,367900000,367900000,541600000,541600000,974400000,6.959e+09,1384300000,784500000,599800000,8343300000,9317700000,-29300000,2854499999,2828999999,12146699999,-17200000,70500000,-9400000,76100000,217200000,-72500000,-123700000,743500000,-644500000,-4499999.99999988,41900000,135400000,135400000,3300000,138700000,85400001,7023900000,79400000.9999999,0.2415,0.03517,0.13456,0.02015,0.00469,1.39298,2.34791,3.29364,0.57826,0.55347,0.51667,4.11313,27.71704,0.77097,0.00507,0.00707,68.33724,391.67783
"37","2021_Q2",56.4796825396825,"Up",1.458e+09,-1002600000,455400000,-289100000,-251100000,-40600000,2600000,166300000,-44200000,-96600000,52400000,122100000,122100000,-23200000,9.1e+07,9.1e+07,81200000,81200000,1.118e+09,1.118e+09,452700000,452700000,584400000,101400000,100900000,2256500000,1.776e+09,1.776e+09,8.001e+09,4.492e+09,3182500000,326500000,9883800000,12140300000,3.74e+08,3.74e+08,4.8e+08,4.8e+08,890100000,6972100000,1373600000,808500000,565100000,8345700000,9235800000,72300000,2920700000,2904500000,12140300000,9.1e+07,94100000,-13500000,-57100000,114500000,-37500001,-41500001,-17500000,-165300000,28300000,-154500000,-81500001,-81500001,6600000,-74900001,260400000,7008200000,188999999,0.31235,0.11406,0.05569,0.02796,0.00669,2.32759,2.53511,3.17982,0.57727,0.80885,0.79434,14.52342,29.09365,1.88267,0.00719,0.01675,22.61982,35.41912
"38","2021_Q3",54.31,"Down",919300000,-647200000,272100000,-190400000,-162900000,-29400000,1900000,81700000,1.21e+08,-70700000,191700000,202700000,109500000,-20300000,82200000,100600000,109900000,109900000,740500000,740500000,554800000,554800000,639700000,130500000,128400000,2065500000,1776600000,1776600000,8199200000,4574600000,3214200000,410400000,10075500000,1.2141e+10,406500000,406500000,409300000,409300000,890100000,6.981e+09,1382900000,858500000,524400000,8363900000,9.254e+09,86800000,2901200000,2.887e+09,1.2141e+10,82200000,82800000,-52500000,-138500000,47800000,-42699999,-214999999,44900000.0000001,-157400000,-6300000,-208200000,-375399999,-375399999,-5e+05,-375899999,164500000,7055300000,3600000.99999994,0.29599,0.08887,0.11955,0.03807,0.00905,0.032760000000001,2.32053,3.2054,0.58111,1.12206,1.10482,9.3859,29.62077,0.0367599999999997,0.0097,0.000320000000000001,38.38784,77.29253
"39","2021_Q4",52.51421875,"Down",1247500000,-879400000,368100000,-213100000,-189300000,-36500000,12700000,1.55e+08,-201100000,-82400000,-118700000,-46100000,-46100000,-19500000,-77200000,-55400000,-54300000,-54300000,775900000,775900000,562900000,562900000,670100000,90300000,83900000,2099200000,1846300000,1846300000,8183700000,4597100000,3197900000,388700000,10463200000,12562400000,440900000,440900000,374400000,374400000,930900000,6932100000,1561600000,879200000,682400000,8493700000,9424600000,97600000,2833900000,3137800000,12562400000,-77200000,91700000,145100000,1300000,2.33e+08,-42700000,-135900000,0,3.05e+08,-346900000,-57500000,39600000,39600000,1e+05,39700000,246700000,7047700000,224800000,0.29507,0.12425,-0.04353,-0.01731,-0.00432,-4.13996,2.25502,3.00357,0.56102,-0.54756,-0.53843,12.57976,28.57699,2.26688,-0.00462,0.01914,25.42278,40.46323
"40","2022_Q1",60.1693548387097,"Up",1355900000,-1023400000,332500000,-247800000,-203700000,-36700000,-7400000,84700000,-56200000,-82900000,26700000,28500000,28500000,4800000,15900000,37500000,29900000,29900000,664500000,664500000,452400000,452400000,476600000,492600000,99800000,2086100000,1830500000,1830500000,8082400000,4501600000,2924400000,3.48e+08,10328600000,12414700000,384200000,384200000,663900000,4.15e+08,1049200000,6441600000,1864700000,729100000,507900000,8306300000,9355500000,42900000,2742400000,3059200000,12414700000,15900000,97900000,-4399999.99999994,3300000,192900000,-48600000,-401200000,3.05e+08,-379400000,3.43e+08,252700000,44400000,44400000,-2500000,41900000,182600000,6442700000,132500000,0.24522,0.06247,0.02205,0.00977,0.00241,4.43144,1.98828,3.05815,0.51896,0.30719,0.30719,13.93044,28.17527,1.3613,0.00263,0.01166,31.64403,68.2196
"41","2022_Q2",77.5477419354839,"Up",1337500000,-1005800000,331700000,-253500000,-220500000,-36500000,3500000,78200000,-116800000,-82800000,-3.4e+07,-38600000,-38600000,12800000,-44400000,-20500000,-20800000,-20800000,1.158e+09,1.158e+09,531799999,531799999,621600000,123600000,121500000,2434999999,1.769e+09,1.769e+09,8.012e+09,4566700000,3097200000,348100000,10177900000,12612899999,4.26e+08,4.26e+08,479300000,479300000,941400000,7.429e+09,1365900000,838400000,527500000,8794900000,9736300000,48100000,2566100001,2876600001,12612900001,-44400000,96400000,35600000,27600000,106100000,-42900000,3200000,517500000,-1.59e+08,-18600000,227400000,336700000,336700000,-8e+05,335900000,174600000,7465100000,146500000,0.248,0.05847,-0.01555,-0.00723,-0.00165,-7.04327,2.58657,3.38466,0.59186,-0.2137,-0.2137,13.7414,26.36397,1.50513,-0.00178,0.01251,36.12314,80.65345
"42","2022_Q3",86.5053125,"Up",1409700000,-1031200000,378500000,-278500000,-235400000,-36400000,-6700000,1e+08,39300000,-87200000,126500000,139300000,567700000,-21100000,527900000,525600000,523300000,523300000,489800000,489800000,477800000,477800000,517500000,130700000,127200000,1615800000,1736300000,1736300000,7652500000,4475200000,2830500000,346800000,10214900000,11830700000,3.86e+08,3.86e+08,406900000,406900000,7.94e+08,6105900000,1137500000,702300000,435200000,7243400000,8037400000,7300000,3476500000,3793300000,11830700000,527900000,95300000,-510900000,-83900000,35900000,-42300000,-46999999,-25200000,-38199999.9999999,-553400000,-653800000,-664899999,-664899999,-1900000,-666799999,195300000,6.107e+09,90200000,0.2685,0.07094,0.37121,0.13795,0.04423,0.172370000000004,2.03501,2.11884,0.5162,8.3728,8.3728,22.5552,55.624,1.4432,0.04741,0.00817,28.7619,56.172
