"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",25.0977419354839,"Up",1385700000,-1.227e+09,158700000,-73700000,-73800000,1e+05,8.5e+07,-45600000,-46200000,39400000,-15900000,23500000,-6e+06,17500000,17500000,17500000,17500000,184500000,184500000,6.75e+08,6.75e+08,630400000,56300000,25500000,30800000,1546200000,3704900000,3511500000,2.118e+09,644400000,7216400000,8762600000,842100000,570800000,263800000,80500000,922600000,3537100000,2029900000,638100000,638100000,1032500000,359300000,5.567e+09,6489600000,2409200000,373800000,-5.1e+08,2.273e+09,2.273e+09,8762600000,17500000,136100000,2800000,39700000,196100000,-78500000,-76300000,-3.3e+07,-29400000,99999.9999999995,1e+05,-61900000,57900000,57900000,57500000,221100000,3617600000,188300000,0.11453,0.06134,0.01263,0.0077,0.002,10.76,1.67592,2.85508,0.41285,0.10587,0.10671,8.38294,13.75076,1.13914,0.19964,6,0.00638,0.02377,1.88571,15.52736,40.38941
"29","2017_Q2",25.7833333333333,"Up",1567100000,-1393700000,173400000,-88600000,-88200000,-4e+05,84800000,-51700000,-52200000,33100000,-15200000,17900000,-4500000,13400000,13400000,13400000,13400000,168500000,168500000,774500000,774500000,656300000,70400000,25500000,44900000,1669700000,3659200000,3484300000,2.119e+09,637200000,7143500000,8813200000,903600000,637300000,258200000,81800000,985400000,3530800000,2025400000,627500000,627500000,1.033e+09,364900000,5556200000,6541600000,2419600000,354100000,-502100000,2271600000,2271600000,8813200000,13400000,135100000,10700000,-59300000,99900000,-8.3e+07,-8.3e+07,-33100000,-8900000,8800000,8800000,-33200000,-16300000,-16300000,-1.6e+07,219900000,3612600000,82100000,0.11065,0.05411,0.00855,0.0059,0.00152,6.12687,1.69444,2.87973,0.40991,0.08092,0.07981,9.46316,13.71739,0.49577,0.19988,4,0.00588,0.01038,2.47015,15.66212,40.61439
"30","2017_Q3",26.4326984126984,"Up",1526500000,-1411700000,114800000,-89200000,-89500000,3e+05,25600000,-34500000,-52100000,-8900000,-12900000,-21800000,15900000,-5900000,-5900000,-5900000,-5900000,184500000,184500000,782200000,782200000,666200000,58100000,20900000,37200000,1.691e+09,3627400000,3475900000,2119500000,625600000,7103300000,8794300000,924700000,656100000,261500000,81700000,1006400000,3518900000,2010400000,625600000,625600000,1037600000,347200000,5529300000,6535700000,2.429e+09,3.15e+08,-485400000,2258600000,2258600000,8794300000,-5900000,137100000,-19900000,16200000,127500000,-67800000,-67800000,-33200000,-17400000,7e+06,7e+06,-43600000,16100000,16100000,1.6e+07,162700000,3600600000,95200000,0.0752,0.01677,-0.00387,-0.00261,-0.00067,-16.13559,1.68025,2.8937,0.40942,-0.03552,-0.03552,9.19025,13.59783,0.57315,0.19988,3,0.00347,0.0121,-5.62712,20.99631,133.44141
"31","2017_Q4",30.3122222222222,"Up",1554900000,-1349300000,205600000,-91100000,-91100000,0,114500000,-43800000,-52700000,70700000,-10300000,60400000,-7700000,52700000,52700000,52700000,52700000,255900000,255900000,729500000,729500000,689500000,4.3e+07,15900000,27100000,1717900000,3579200000,4069400000,2119800000,1215600000,7648600000,9366500000,917600000,613500000,294500000,81700000,999300000,3663500000,2405200000,618700000,618700000,1055500000,7.31e+08,6068700000,7.068e+09,2434100000,334400000,-4.7e+08,2298500000,2298500000,9366500000,52700000,139200000,-4200000,4e+07,227700000,-59100000,-268500000,-33300000,142700000,2700000,2700000,112100000,71300000,71300000,71400000,253700000,3745200000,242300000,0.13223,0.07364,0.03389,0.02293,0.00563,4.59772,1.7191,3.07505,0.39985,0.3169,0.31276,9.34997,13.82141,1.45701,0.20024,6,0.01018,0.02868,0.63188,13.75365,30.47424
"32","2018_Q1",29.204262295082,"Down",1619900000,-1400200000,219700000,-97600000,-1.01e+08,3400000,122100000,-49400000,-58600000,72700000,-1.2e+07,60700000,428600000,489300000,489300000,489300000,489300000,218400000,218400000,733200000,733200000,682600000,6.5e+07,16900000,48100000,1699200000,3575800000,3943300000,2.12e+09,1208400000,7519100000,9218300000,953600000,669800000,274400000,7e+05,954300000,3611300000,1.899e+09,635900000,635900000,511200000,751900000,5510300000,6464600000,2.448e+09,790300000,-484600000,2753700000,2753700000,9218300000,489300000,147500000,-435400000,-7700000,193700000,-79200000,-79200000,-33400000,-1.3e+08,11300000,11300000,-152100000,-37600000,-37600000,-37500000,269600000,3.612e+09,-245900000,0.13563,0.07538,0.30206,0.17769,0.05308,-0.50255,1.78057,2.34761,0.39183,2.93345,2.85306,9.71163,16.50899,-1.47422,0.20024,7,0.06324,-0.02975,0.0682599999999989,12.58754,27.79361
"33","2018_Q2",26.84078125,"Down",1710300000,-1528700000,181600000,-92400000,-100500000,8100000,89200000,-57400000,-63300000,31800000,-4300000,27500000,-6600000,20900000,20900000,20900000,20900000,109100000,109100000,835600000,835600000,675600000,78700000,17500000,61200000,1.699e+09,3539400000,3921800000,2120300000,1.197e+09,7461200000,9160200000,970300000,698200000,256100000,7e+05,9.71e+08,3534700000,1891400000,628700000,628700000,498400000,764300000,5426100000,6397100000,2452200000,863700000,-552800000,2763100000,2763100000,9160200000,20900000,146700000,-16700000,-7e+07,80900000,-89400000,-89400000,-33400000,-68100000,1e+06,1e+06,-100500000,-1.09e+08,-1.09e+08,-109300000,235900000,3535400000,83100000,0.10618,0.05215,0.01222,0.00756,0.00228,3.97608,1.74974,2.31519,0.38595,0.125,0.12352,10.22907,16.52572,0.49701,0.19976,7,0.00663,0.01015,1.59809,14.52437,38.41143
"34","2018_Q3",25.5,"Down",1728400000,-1460700000,267700000,-110300000,-110300000,-9.31322574615479e-10,157400000,-76400000,-60700000,8.1e+07,-6700000,74300000,-15699999.9999999,58599999.9999999,58599999.9999999,58599999.9999999,58599999.9999999,144200000,144200000,837200000,837200000,716300000,65500000,17800000,47700000,1763200000,3501400000,3873200000,2119700000,1169500000,7374600000,9137800000,981300000,681400000,284400000,9e+05,982200000,3512600000,1879900000,602700000,602700000,512700000,764500000,5392500000,6374700000,2447500000,888800000,-573200000,2763100000,2763100000,9137800000,58600000,150700000,36300000,-62200000,183400000,-86500000,-86500000,-33500000,-20500000,-7900000,1200000,-61900000,3.5e+07,3.5e+07,35100000,308100000,3513500000,175100000,0.15488,0.09107,0.0339000000000001,0.02121,0.00641,2.98805,1.79515,2.30708,0.3845,0.35069,0.34716,10.34351,16.53561,1.04788,0.20048,8,0.01129,0.02147,0.57167,10.93574,21.40597
"35","2018_Q4",18.6777777777778,"Down",1872400000,-1441700000,430700000,-112500000,-110800000,-1700000,318200000,-53100000,-58900000,265100000,-3700000,261400000,-66300000,195100000,195100000,195100000,195100000,156700000,156700000,1009200000,1009200000,724400000,4.8e+07,12800000,35200000,1938300000,3456700000,3832300000,2119600000,1159600000,7.289e+09,9227300000,1072800000,709400000,341300000,9e+05,1073700000,3336400000,1894300000,589600000,589600000,548600000,756100000,5230700000,6304400000,2443700000,1050500000,-571300000,2922900000,2922900000,9227300000,195100000,153600000,54400000,-81100000,3.22e+08,-95700000,-95700000,-33400000,-173600000,-6700000,1e+06,-213700000,12600000,12600000,12500000,471800000,3337300000,361300000,0.23003,0.16994,0.1042,0.06675,0.02114,1.85187,1.80525,2.1569,0.36168,1.16826,1.15718,11.21198,17.5024,2.16347,0.2,8,0.02802,0.04431,0.17119,6.74142,9.9956
"36","2019_Q1",21.1245901639344,"Up",1.635e+09,-1.391e+09,2.44e+08,-1.09e+08,-1.09e+08,0,1.35e+08,-3.3e+07,-58700000,1.02e+08,-27900000,74100000,-20800000,53300000,53300000,53300000,53300000,178800000,178800000,776300000,776300000,711400000,40900000,5900000,3.5e+07,1707400000,3482100000,3807900000,2119600000,1150400000,7.29e+09,8997400000,992400000,636500000,333300000,125900000,1118300000,3104400000,1942500000,674300000,674300000,518900000,749300000,5046900000,6165200000,2412700000,1070500000,-6.51e+08,2832200000,2832200000,8997400000,53300000,150400000,-19700000,137500000,321500000,-110700000,-110700000,-33300000,-113900000,-3.3e+07,2e+05,-188700000,22100000,22100000,22100000,285400000,3230300000,3.33e+08,0.14924,0.08257,0.0326,0.01882,0.00592,6.24765,1.52678,2.17682,0.35903,0.32128,0.31916,9.85533,17.07173,2.00723,0.20072,6,0.01082,0.0416,0.62477,10.69201,22.6037
"37","2019_Q2",19.8469841269841,"Down",1553400000,-1347300000,206100000,-106900000,-1.07e+08,1e+05,99200000,-42100000,-57200000,57100000,-4e+06,53100000,-11400000,41700000,41700000,41700000,41700000,105700000,105700000,808300000,808300000,717500000,5.3e+07,6300000,46700000,1684500000,3433500000,4051900000,2119500000,1406500000,7485400000,9169900000,944400000,6.37e+08,294400000,126100000,1139900000,3067200000,2125200000,660200000,660200000,525900000,939100000,5192400000,6332300000,2404100000,1090400000,-656900000,2837600000,2837600000,9169900000,41700000,152900000,-1.1e+07,-79300000,104300000,-102200000,-82200000,-3.3e+07,-50200000,-11800000,1400000,-9.5e+07,-72900000,-72900000,-73100000,252100000,3193300000,8.2e+07,0.13268,0.06386,0.02684,0.0147,0.00455,1.96643,1.47776,2.23157,0.34824,0.25273,0.25105,9.41455,17.19758,0.49697,0.2,7,0.00916,0.01005,0.79137,12.24752,31.125
"38","2019_Q3",16.97796875,"Down",1592900000,-1463700000,129200000,-96900000,-9.7e+07,1e+05,32300000,-53400000,-57600000,-21100000,-3800000,-24900000,4900000,-2e+07,-2e+07,-2e+07,-2e+07,126900000,126900000,848200000,848200000,698900000,52200000,23400000,28800000,1726200000,3410500000,4098600000,2119600000,1470300000,7509100000,9235300000,977600000,669200000,298900000,1100000.00000001,1050100000,3232600000,2181800000,653600000,653600000,506400000,1021800000,5414400000,6464500000,2393500000,1037700000,-660400000,2770800000,2770800000,9235300000,-2e+07,151400000,-12200000,12600000,131800000,-89100000,-89100000,-32700000,24600000,-13400000,1e+05,-21500000,21200000,21200000,21200000,183700000,3233700000,102300000,0.08111,0.02028,-0.01256,-0.00722,-0.00217,-5.115,1.64384,2.33308,0.35015,-0.12151,-0.12099,9.6774,16.83354,0.62151,0.19866,4,0.00155,0.0125,-1.635,16.91236,96.18576
"39","2019_Q4",16.29625,"Down",1576600000,-1357600000,2.19e+08,-110700000,-110800000,1e+05,108300000,-59600000,-63700000,48700000,-4900000,43800000,4e+05,44200000,44200000,44200000,44200000,177400000,177400000,849900000,849900000,700700000,41600000,17500000,24100000,1769600000,3.367e+09,4.096e+09,2119100000,1484700000,7.463e+09,9232600000,1004900000,647700000,347400000,1100000,1077200000,3.339e+09,2151700000,622400000,622400000,515500000,1013800000,5490700000,6567900000,2288300000,1049099999,-672700000,2664699999,2664699999,9232599999,44200000,1.56e+08,-3300000,-16400000,180500000,-80500000,-80500000,-32800000,92100000,-108900000,0,-49600000,50400000,50400000,50500000,264300000,3340100000,1.67e+08,0.13891,0.06869,0.02804,0.01659,0.00479,3.77828,1.64278,2.46478,0.36177,0.27368,0.27267,9.76223,16.49969,1.03406,0.2031,4,0.00944,0.02047,0.74208,11.96633,29.20314
"40","2020_Q1",13.9408064516129,"Down",1387100000,-1270600000,116500000,-1.02e+08,-102100000,1e+05,14500000,-59600000,-63700000,-45100000,-63800000,-108900000,31700000,-77200000,-77200000,-77200000,-77200000,220900000,220900000,760400000,760400000,695700000,3.7e+07,13900000,23100000,1.714e+09,3323800000,4149999999,2119699999,1546900000,7473799999,9187799999,1000800000,651900000,329100000,2100000,1082200000,3338700000,2349400000,797700000,797700000,454500000,1097200000,5688100000,6770300000,2279800000,941100000,-803400000,2417500000,2417500000,9187800000,-77200000,137100000,15200000,125600000,200700000,-113800000,-113800000,-30800000,14300000,-10100000,2e+05,-43200000,43700000,43700000,43500000,151600000,3340800000,131700000,0.08399,0.01045,-0.05566,-0.03193,-0.0084,-1.70596,1.58381,2.80054,0.36361,-0.4883,-0.49583,8.77356,15.29096,0.83302,0.19481,4,-0.00572,0.01624,-0.39896,20.57982,215.16552
"41","2020_Q2",11.8977777777778,"Down",1425100000,-1374200000,50900000,-96700000,-96700000,241347.677619944,-45800000,-58400000,-6.3e+07,-104200000,-1700000,-105900000,25900000,-8e+07,-8e+07,-8e+07,-8e+07,194500000,194500000,802900000,802900000,667500000,74400000,19900000,54500000,1739300000,3282700000,4162400000,2119600000,1571800000,7445100000,9184400000,1487300000,668100000,811800000,2e+06,1565900000,3489500000,1839900000,7.78e+08,7.78e+08,449900000,6.12e+08,5329400000,6895300000,2280600000,829600000,-821100000,2289100000,2289100000,9184400000,-8e+07,146500000,-9200000,-105199999,-47899999,-95900000,-95900000,-31500000,149600000,5e+05,5e+05,118200000,-25599999,-25599999,-26399999,100700000,3491500000,-126299999,0.03572,-0.03214,-0.05614,-0.03495,-0.00871,1.57875,1.11074,3.01223,0.38016,-0.50697,-0.50697,9.03105,14.50634,-0.80038,0.19962,2,-0.00636,-0.01657,-0.39375,32.74081,-71.9869
"42","2020_Q3",11.00421875,"Down",1241200000,-1235700000,5500000,-99600000,-99700000,99999.9999999999,-94100000,-64300000,-69200000,-158400000,-1700000,-160100000,4e+07,-120100000,-120100000,-120100000,-120100000,237900000,237900000,700200000,700200000,619100000,59600000,17600000,4.2e+07,1616800000,3234900000,4126399999,2119699999,1551500000,7361299999,8978099999,847199999,520799999,318700000,1800000,926299999,4073900000,1.789e+09,7.68e+08,7.68e+08,414500000,606500000,5862900000,6789199999,2284900000,677900000,-773900000,2188900000,2188900000,8978099999,-120100000,136500000,-45900001.0000001,132799998,103299997,-70600000,-607400000,-31600000,587800000,0,0,5.47e+08,42899997,42899997,43399997,42400000,4075700000,64599998,0.00443,-0.07581,-0.09676,-0.05487,-0.01338,-0.53789,1.74544,3.10165,0.45396,-0.76109,-0.76109,7.86565,13.87136,0.40938,0.20025,4,-0.01099,0.00801999999999999,-0.26311,90.51415,-40.78427
"43","2020_Q4",19.6190625,"Up",1437599999,-1307400000,130199999,-112900000,-112700000,-2e+05,17299999,-69600000,-74500000,-52300001,-701100000,-753400001,16600000,-736800001,-736800001,-736800001,-736800001,282700000,282700000,714900000,714900000,608400000,66500000,2.2e+07,44500000,1672500000,3179800000,3414300000,1420100000,1.553e+09,6594100000,8266600000,964700000,614700000,335800000,1200000,1042100000,3959500000,1795900000,766500000,766500000,410900000,618500000,5755400000,6797500000,2287800000,-90500000,-728200000,1469100000,1469100000,8266600000,-736800000,142100000,690400001,154200002,249900003,-56800000,-56800000,-31600000,-116700000,0,0,-148600000,44500003,44500003,44800003,159399999,3960700000,240200001,0.09057,0.01203,-0.51252,-0.50153,-0.08913,-0.326,1.60493,4.62698,0.47912,-4.6692,-4.6692,9.11027,9.30989,1.52218,0.20025,3,-0.0976,0.03324,-0.04289,23.07403,212.60117
"44","2021_Q1",29.4047540983607,"Up",1654100001,-1457300000,196800001,-112100000,-112900000,8e+05,84700001,-8.1e+07,-85500000,3700001,-4300000,-599999,-32400000,-32999999,-32999999,-32999999,-32999999,189700000,189700000,770900000,770900000,674700000,81800000,15100000,66700000,1717100000,3.171e+09,3382800000,1420200000,1.552e+09,6553800000,8270900000,1097900000,729200000,3.58e+08,26300000,1198900000,3837500000,1783700000,733300000,733300000,443200000,607200000,5621200000,6820100000,2295800000,-155100000,-689900000,1450800000,1450800000,8270900000,-32999999.9999999,143300000,66600000,-49200001,127699999,-75600000,-75599999.9999999,-31600000,-1.15e+08,1400000,1400000,-145600000,-93500001,-93500001,-93000001,228000001,3863800000,135600000,0.11898,0.05121,-0.01995,-0.02275,-0.00398999999999999,-4.10909,1.43223,4.70092,0.46716,-0.2086,-0.208599999999999,10.45575,9.17067,0.85714,0.19975,5,-0.000200000000000006,0.0191,-0.95758,16.11447,43.3778
"45","2021_Q2",43.9622222222222,"Up",1918800000,-1423800000,4.95e+08,-106900000,-106900000,556326.147550218,388100000,-75100000,-84400000,3.13e+08,-6900000,306100000,-62500000,243600000,243600000,243600000,243600000,259899999,259899999,963700000,963700000,679500000,109900000,13400000,96500000,2012999999,3073400000,3366800000,1420100000,1554600000,6440200000,8453199999,1097400000,716600000,367400000,42100000,1218200000,3.706e+09,1832400000,699800000,699800000,492300000,640300000,5538400000,6756600000,2323500000,56800000,-683700000,1696600000,1696600000,8453200000,243600000,145200000,69700000,-188700001,269799999,-51200000,-51200000,-31700000,-138900000,25700000,25700000,-1.48e+08,70599999,70599999,70199999,533300000,3748100000,355899999,0.25797,0.20226,0.12695,0.14358,0.02882,1.461,1.65244,3.98244,0.44339,1.53594,1.51493,12.09836,10.69735,2.24401,0.19987,7,0.03783,0.04891,0.13013,6.54078,8.98789
"46","2021_Q3",45.71484375,"Up",2221300000,-1712200000,509100000,-100600000,-100600000,-422337.906104407,4.09e+08,-57700000,-65900000,351300000,-1.4e+07,337300000,18500000,355800000,355800000,355800000,355800000,272800000,272800000,1033700000,1033700000,736500000,175100000,62400000,112700000,2218100000,3005600000,3433500000,1420200000,1536600000,6439100000,8657200000,1267700000,806300000,426300000,1100000,1345700000,3381800000,1.855e+09,683200000,683200000,521900000,649900000,5236800000,6582500000,2348400000,380600000,-654300000,2074700000,2074700000,8657200000,355800000,1.42e+08,-70600000,10600001,437800001,-35200000,-35200000,-3.2e+07,-382300000,24500000,24500000,-389800000,12800001,12800001,12900001,5.51e+08,3382900000,507900001,0.22919,0.18413,0.16018,0.17149,0.0411,1.42749,1.64829,3.17275,0.39076,2.24338,2.21269,14.00567,13.08134,3.2024,0.20177,7,0.05303,0.06946,0.0899400000000003,5.64446,7.60416
"47","2021_Q4",55.17484375,"Up",2340100000,-1679800000,660300000,-107700000,-107200000,-500000.000000001,552600000,-44700000,-53900000,507900000,-3600000,504300000,-113600000,390700000,390700000,390700000,390700000,306100000,306100000,1041700000,1041700000,826800000,130700000,3e+06,127700000,2305300000,2934500000,3412900000,1420300000,1539200000,6347400000,8652700000,1307800000,811700000,4.34e+08,201100000,1.587e+09,2823500000,1854300000,654200000,654200000,526800000,673300000,4677800000,6264800000,2292500000,739200000,-643800000,2387900000,2387900000,8652700000,390700000,145200000,6500000,1700000,544100000,-49400000,-49400000,-32100000,-367600000,-60200000,8100000,-460600000,34100000,34100000,33300000,697800000,3024600000,763700000,0.28217,0.23614,0.16696,0.16362,0.04515,1.9547,1.45261,2.62356,0.34956,2.45107,2.39693,14.68068,14.98055,4.79109,0.20138,7,0.05818,0.10509,0.08216,3.89582,4.91947
"48","2022_Q1",50.4577419354839,"Down",2430400000,-1800600000,629800000,-100300000,-102200000,1900000,5.29e+08,-134600000,-143600000,394400000,-3400000,3.91e+08,-84400000,306600000,306600000,306600000,306600000,180500000,180500000,1106500000,1106500000,868300000,9.3e+07,3e+05,92700000,2248300000,2913600000,3355800000,1420600000,1504200000,6269400000,8517700000,1404200000,847700000,458100000,201100000,1682100000,2578200000,1605200000,381900000,381900000,558900000,664400000,4183400000,5865500000,2126400000,1013800000,-4.88e+08,2652200000,2652200000,8517700000,306600000,150100000,81900000,-49300000,489300000,-61600000,-61600000,-3.2e+07,-3.52e+08,-169500000,14100000,-553600000,-125900000,-125900000,-125600000,679100000,2779300000,652600000,0.25913,0.21766,0.12615,0.1156,0.036,2.12851,1.3366,2.21156,0.3263,1.89026,1.84034,14.98397,16.35142,4.02343,0.19729,7,0.04812,0.09274,0.10437,3.82683,4.91267
"49","2022_Q2",57.2714516129032,"Up",2461400000,-1807500000,653900000,-104300000,-104300000,8116994.12072291,549600000,-22900000,-32500000,526700000,-3100000,523600000,-130600000,3.93e+08,3.93e+08,3.93e+08,3.93e+08,197900000,197900000,1181200000,1181200000,909200000,150100000,1200000,148900000,2438400000,2.827e+09,3309300000,1420700000,1478800000,6136300000,8574700000,1358500000,791500000,382100000,201200000,1635100000,2578900000,1574800000,355900000,355900000,577200000,641700000,4153700000,5788800000,1871100000,1.376e+09,-461200000,2785900000,2785900000,8574700000,3.93e+08,151700000,2600000,-193800000,353500000,-47300000,-47300000,-30800000,-2e+05,-2.58e+08,5200000,-2.89e+08,17200000,17200000,17400000,701300000,2780100000,590800000,0.26566,0.22329,0.15967,0.14107,0.04583,1.50331,1.49128,2.07789,0.32422,2.48106,2.41846,15.53914,17.58775,3.7298,0.19444,6,0.05935,0.08274,0.07837,3.68202,4.69833
"50","2022_Q3",50.4084375,"Down",2616100000,-1951400000,664700000,-9.9e+07,-9.9e+07,19430982.3621687,5.69e+08,-24700000,-34200000,544300000,-3600000,540700000,-118600000,422100000,422100000,422100000,422100000,304600000,304600000,1299200000,1299200000,945700000,1.17e+08,8e+06,1.09e+08,2666500000,2.755e+09,3253700000,1420900000,1450100000,6008700000,8675200000,1580400000,983700000,483800000,201100000,1856600000,2579600000,1542900000,322600000,322600000,582100000,638200000,4122500000,5979100000,1463600000,1.768e+09,-535500000,2696100000,2696100000,8675200000,422100000,148800000,18500000,16300000,605700000,-56600000,-56600000,-30100000,-299999.99999994,-410800000,15700000,-441200000,107900000,107900000,106700000,717800000,2780700000,796100000,0.25408,0.2175,0.16135,0.15656,0.04866,1.88605,1.43623,2.21768,0.32053,2.66477,2.59754,16.51578,17.02083,5.02588,0.19003,7,0.06442,0.11341,0.07131,3.44957,4.35167
