"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"28","2017_Q1",30.3622580645161,"Down",2150406000,-1320400000,830006000,-661178000,-434222000,-54265000,168828000,-26375000,-24261000,-2114000,142453000,1259000,143712000,-47341000,96298000,86331000,86331000,86331000,227400000,227400000,860549000,860549000,1935237000,544408000,87768000,3567594000,811576000,3740562000,3054769000,584231000,101562000,4735605000,8303199000,961629000,633773000,327856000,66109000,183047000,37943000,1210785000,3275662000,373803000,199657000,174146000,3649465000,4860250000,1119765000,3075000,1116690000,2590359000,-267175000,3442949000,3442949000,8303199000,86331000,55716000,20557000,-51741000,110863000,-54328000,-233883000,-285238000,131045000,438000,5772000.00000006,137255000,-37120000,-37120000,-215000,-37335000,224544000,3341771000,165816000,0.38598,0.07851,0.04015,0.02507,0.0104,1.9207,2.94651,1.41165,0.40247,0.28073,0.27837,6.99267,11.19574,0.5392,0.01206,0.02316,13.86976,18.44701
"29","2017_Q2",30.1792063492063,"Down",2342843000,-1412750000,930093000,-691473000,-642817000,-48656000,238620000,-22942000,-23988000,1046000,215678000,-2928000,212750000,-72155000,140809000,136278000,136278000,136278000,264614000,264614000,973670000,973670000,1978465000,101377000,101377000,3318126000,809208000,3809650000,3120844000,576451000,112355000,4804120000,8122246000,984112000,651117000,332995000,91988000,83601000,83601000,1159701000,2933277000,422397000,221504000,200893000,3355674000,4515375000,1125870000,3083000,1122787000,2726637000,-245636000,3606871000,3606871000,8122246000,136278000,50604000,17208000,-31797000,172293000,-44398000,224241000,181157000,-330206000,2464000,1356000,-326386000,27064000,27064000,3034000,30098000,289224000,3025265000,285184000,0.39699,0.10185,0.05817,0.03778,0.01678,2.09266,2.86119,1.25188,0.37247,0.44242,0.43918,7.60594,11.70956,0.92584,0.01932,0.04043,9.54503,11.56924
"30","2017_Q3",33.2604761904762,"Up",2458411000,-1493402000,965009000,-717915000,-664270000,-53645000,247094000,-21865000,-24596000,2731000,225229000,556000,225785000,-75862000,150914000,150914000,150914000,150914000,303544000,303544000,1001246000,1001246000,2063462000,132483000,132483000,3500735000,841608000,3906603000,3191613000,595333000,119657000,4930207000,8430942000,1077759000,724201000,353558000,96860000,47041000,47041000,1221660000,2890708000,461889000,225262000,236627000,3352597000,4574257000,1133404000,3086000,1130318000,2877551000,-154270000,3856685000,3856685000,8430942000,150914000,56002000,-925000,-16187000,189804000,-47147000,-23672000,-67421000,-98531999.9999999,2687000,-845000.000000007,-96690000,25693000,25693000,13237000,38930000,303096000,2987568000,315624000,0.39253,0.10051,0.06139,0.03913,0.0179,2.09142,2.86556,1.18606,0.35436,0.48933,0.4862,7.97132,12.50518,1.0234,0.02066,0.0432,8.85536,10.86236
"31","2017_Q4",37.3619047619048,"Up",2465800000,-1508924000,956876000,-752855000,-695978000,-56877000,204021000,-22115000,-25222000,3107000,181906000,-4009000,177897000,-58189000,122381000,122381000,122381000,122381000,275077000,275077000,1021728000,1021728000,2236376000,135192000,135192000,3668373000,867972000,4128347000,3392363000,602424000,133560000,5195565000,8863938000,1123668000,749852000,373816000,126887000,51783000,51783000,1302338000,3021717000,498846000,241544000,257302000,3520563000,4822901000,1138717000,3090000,1135627000,2999932000,-97612000,4041037000,4041037000,8863938000,122381000,59902000,-2103000,-93034000,87146000,-43992000,-159053000,-197893000,67464000,1314000,7235000,76013000,-34734000,-34734000,6267000,-28467000,263923000,3148604000,185086000,0.38806,0.08274,0.04963,0.03028,0.01381,1.51238,2.81676,1.19348,0.35522,0.39617,0.39379,7.98229,13.08164,0.59916,0.01592,0.02407,10.88775,14.08447
"32","2018_Q1",39.6281967213115,"Up",2469855000,-1522210000,947645000,-770390000,87366000,-60368000,177255000,-17183000,-27834000,10651000,160072000,-9877000,150195000,-29354000,122870000,120655000,124171000,124171000,279766000,279766000,1027106000,1027106000,2380783000,134479000,134479000,3822134000,913089000,4423245000,3536511000,743769000,142965000,5544738000,9366872000,1150637000,788613000,362024000,126360000,45727000,45727000,1322724000,3277620000,559875000,252359000,307516000,3837495000,5160219000,1144542000,3091000,1141451000,3124103000,-70476000,4198169000,4206653000,9366872000,120655000,63695000,-29202000,-85491000,69657000,-43553000,-260971000,-300438000,232468000,1005000,1023000,234496000,3714999.99999999,3714999.99999999,973999.999999998,4689000.00000001,240950000,3403980000,141260000,0.38368,0.07177,0.05027,0.02952,0.01326,1.13762,2.88959,1.22668,0.36341,0.40174,0.39911,7.99089,13.58262,0.45703,0.0152,0.01729,12.96623,17.62553
"33","2018_Q2",32.55921875,"Down",2720764000,-1666793000,1053971000,-823349000,-766891000,-56458000,230622000,-25633000,-28515000,2882000,204989000,-4054000,200935000,-49584000,152763000,152763000,152960000,152960000,245679000,245679000,1211788000,1211788000,2401309000,180367000,180367000,4039143000,929756000,4459069000,3572198000,740804000,146067000,5597035000,9636178000,1192165000,812661000,379504000,142277000,140346000,140346000,1474788000,3170788000,571621000,242226000,329395000,3742409000,5217197000,1149487000,3096000,1146391000,3271718000,-14618000,4406587000,4418981000,9636178000,152763000,61066000,2848000,-71514000,145163000,-62189000,-2966000,-64621000,-119852000,2255000,91000,-117506000,-36964000,-36964000,2877000,-34087000,291688000,3313065000,207569000,0.38738,0.08476,0.05622,0.03461,0.01587,1.35701,2.7388,1.18063,0.34382,0.49419,0.49128,8.79035,14.23698,0.67062,0.01842,0.025,10.51598,13.30049
"34","2018_Q3",32.4455555555556,"Down",3030751000,-1868872000,1161879000,-889207000,-826044000,-63163000,272672000,-39027000,-38272000,-755000,233645000,-15550000,218095000,-60775000,157866000,157866000,157007000,157007000,345202000,345202000,1301514000,1301514000,2718158000,228732000,228732000,4593606000,1188464000,5563908000,4421976000,973031000,168901000,6955025000,11548631000,1457639000,981643000,475996000,177372000,153297000,153297000,1788308000,4261176000,722172000,332602000,389570000,4983348000,6771656000,1406808000,3178000,1403630000,3428725000,-116061000,4719472000,4776975000,11548631000,157866000,68438000,13352000,-56150000,183506000,-53232000,-1133004000,-1184596000,1187759000,667000,-16577000,1171849000,170759000,170759000,-71236000,99523000,341110000,4438548000,292503000,0.38336,0.08997,0.0518,0.03287,0.0136,1.86299,2.56869,1.41756,0.38434,0.50233,0.5,9.69667,15.0996,0.93584,0.0158,0.02943,12.00008,15.01198
"35","2018_Q4",26.5333333333333,"Down",3122378000,-1925180000,1197198000,-955851000,-879150000,-76701000,241347000,-33901000,-40860000,6959000,207446000,-6614000,200832000,-46068000,134480000,134480000,134102000,134102000,341346000,341346000,1255876000,1255876000,2794894000,200944000,200944000,4593060000,1201003000,5633864000,4475266000,953372000,205226000,6992276000,11585336000,1453495000,941747000,511748000,118365000,163820000,163820000,1735680000,4250137000,702103000,325537000,376566000,4952240000,6687920000,1412424000,3182000,1409242000,3562827000,-134791000,4840460000,4897416000,11585336000,134480000,81473000,16872000,-40327000,192498000,-56342000,-81163000,-122299000,-73841000,850000,-2038000,-75029000,-4830000,-4830000,974000,-3856000,322820000,4368502000,272219000,0.38343,0.0773,0.04295,0.02738,0.01158,2.02994,2.64626,1.3656,0.37707,0.4216,0.41985,9.81627,15.21765,0.85581,0.01345,0.02731,12.47493,16.68617
"36","2019_Q1",26.2685245901639,"Down",3002781000,-1840972000,1161809000,-958537000,-880646000,-77891000,203272000,-38899000,-38730000,-169000,164373000,-40804000,123569000,-34968000,42456000,38059000,36049000,36049000,331761000,331761000,1154083000,1154083000,2836075000,199030000,199030000,4520949000,1220162000,5473122000,4381458000,928752000,162912000,6872453000,11393402000,1402828000,942398000,460430000,121826000,165694000,165694000,1690348000,4188674000,675628000,311434000,364194000,4864302000,6554650000,1418372000,3184000,1415188000,3598876000,-174950000,4782298000,4838752000,11393402000,38059000,83100000,100113000,-31700000,189572000,-50605000,-58162000,-87423000,-45149000,-63772000,12602000,-96319000.0000001,5829999.99999997,5829999.99999997,-9925999.99999999,-4096000.00000001,286372000,4310500000,239035000,0.38691,0.06769,0.01201,0.00745,0.00316,6.63084,2.67457,1.35462,0.37833,0.11352,0.11314,9.45588,15.05965,0.75273,0.00367,0.02433,13.8936,19.57347
"37","2019_Q2",27.3279365079365,"Up",3100303000,-1892039000,1208264000,-967534000,-896532000,-71002000,240730000,-32238000,-36089000,3851000,208492000,-18330000,190162000,-51550000,99063000,99063000,98048000,98048000,316066000,316066000,1353491000,1353491000,2692006000,283207000,283207000,4644770000,1206342000,6680564000,4354306000,889609000,1436649000,8021140000,12665910000,1413540000,952688000,460852000,136283000,421665000,421665000,1971488000,5202580000,635068000,305770000,329298000,5837648000,7809136000,1423874000,3189000,1420685000,3696924000,-190854000,4799482000,4856774000,12665910000,99063000,76207000,-145092000,147047000,177225000,-53016000,-4785000,-57784000,-67421000,-70462000,5152000,-132731000,-13290000,-13290000,-2513000,-15803000,316937000,5338863000,462518000,0.38972,0.07765,0.03163,0.02019,0.00774,4.71726,2.35597,1.60789,0.42151,0.31122,0.31026,9.84079,15.23423,1.4681,0.00905,0.0427,15.84794,20.86486
"38","2019_Q3",26.7096875,"Down",3248173000,-2000986000,1247187000,-969202000,-898368000,-70834000,277985000,-30151000,-35884000,5733000,247834000,-41874000,205960000,-55825000,151707000,152105000,150561000,150561000,375967000,375967000,1285802000,1285802000,2650138000,319942000,319942000,4631849000,1206690000,6732543000,4409925000,880123000,1442495000,8072387000,12704236000,1513336000,1031952000,481384000,132641000,460969000,460969000,2106946000,5042178000,645364000,303179000,342185000,5687542000,7794488000,1432319000,3190000,1429129000,3847485000,-188553000,4840489000,4909748000,12704236000,152105000,76154000,243306000,-10386000,461179000,-48252000,-9981999.99999999,-58986000,-250480000,-120300000,31523000,-339257000,62936000,62936000,2411000,65347000,354139000,5174819000,351326000,0.38397,0.08558,0.04635,0.03067,0.01185,2.33345,2.19837,1.58755,0.40733,0.48276,0.48148,10.41502,15.52066,1.1265,0.01403,0.03274,13.55076,17.26299
"39","2019_Q4",33.14765625,"Up",3147773000,-1947444000,1200329000,-963637000,-892124000,-71513000,236692000,-26165000,71973000,-98138000,210527000,-5200000,205327000,-57747000,151812000,152593000,152262980,152262980,433391000,433391000,1223197000,1223197000,2582188000,245082000,245082000,4483858000,1184188000,6599635000,4309822000,837272000,1452541000,7927832000,12411690000,1486660000,997874000,488786000,128143000,439248000,439248000,2054051000,4866535000,618404000,296199000,322205000,5484939000,7538990000,1430578000,3196000,1427382000,3999748000,-260746000,4817767000,4872700000,12411690000,152593000,77878000,-6227000,102523000,326767000,-57881000,19755000,-43319000,-109455000,-101051000,-7200000,-217706000,65742000,65742000,-9600000,56142000,314570000,4994678000,416959000,0.38133,0.07519,0.04837,0.03125,0.01227,2.73841,2.18293,1.54719,0.40242,0.49571,0.49453,10.24799,15.68488,1.35747,0.01452,0.03976,14.50007,19.27098
"40","2020_Q1",28.9411290322581,"Down",3009860000,-1813846000,1196014000,-970697000,-893276000,-77421000,225317000,-17195000,-138504000,121309000,208122000,-18549000,189573000,-50208000,140833000,141273000,140388020,140388020,523020000,523020000,1131132000,1131132000,2772777000,260890000,260890000,4687819000,1234400000,6718494000,4406535000,850338000,1461621000,8092137000,12779956000,1411681000,942795000,468886000,326367000,440464000,440464000,2178512000,4852986000,675801000,310129000,365672000,5528787000,7707299000,1421438000,3199000,1418239000,4140136000,-200885000,5008876000,5072657000,12779956000,141273000,84167000,14665000,-141243000,98862000,-90536000,-32284000,-104764000,126798000,0,-37773000,89025000,83123000,83123000,8798000,91921000,309484000,5179353000,127913000,0.39737,0.07486,0.04664,0.02768,0.01099,0.91114,2.15184,1.51938,0.40527,0.45798,0.4569,9.81882,16.34004,0.41728,0.01285,0.01171,15.04547,20.6657
"41","2020_Q2",24.017619047619,"Down",3000935000,-1787059000,1213876000,-965306000,-899811000,-65495000,248570000,-22309000,-25931000,3622000,226261000,-19472000,206789000,-60411000,146894000,145979000,145136000,145136000,332784000,332784000,1168626000,1168626000,2718630000,222624000,222624000,4442664000,1202329000,6563218000,4334725000,819335000,1409158000,7911406000,12354070000,1398422000,893807000,504615000,90965000,449581000,449581000,1938968000,4777157000,626549000,300117000,326432000,5403706000,7342674000,1428804000,3204000,1425600000,4282753000,-313903000,4957835000,5011396000,12354070000,145979000,71379000,17749000,-40544000,194563000,-39010000,-5862000,-44872000,-341244000,-88006000,94511000,-334739000,-185048000,-185048000,-11746000,-196794000,319949000,4868122000,300806000,0.4045,0.08283,0.04836,0.02896,0.01175,2.07258,2.29125,1.4652,0.39405,0.47393,0.47313,9.79936,16.18948,0.98226,0.01381,0.02863,14.17519,18.24572
"42","2020_Q3",28.77921875,"Up",2626323000,-1615319000,1011004000,-803116000,-737369000,-65747000,207888000,-17442000,-25616000,8173999.99999999,190446000,-27435000,163011000,-41869000,118493000,118770000,118792000,118792000,476426000,476426000,1125816000,1125816000,2288293000,216438000,216438000,4106973000,1196505000,6595148000,4377350000,798799000,1418999000,7928326000,12035299000,1469302000,756846000,598254000,93200000,387266000,387266000,1949768000,4269955000,643558000,299867000,343691000,4913513000,6863281000,1436543000,3205000,1433338000,4401545000,-279763000,5118506000,5172018000,12035299000,118770000,72930000,9447000,517342000,718489000,-32181000,397000,-31099000,-551874000,0,-3541000,-555415000,131975000,131975000,6388000,138363000,280818000,4363155000,807848000,0.38495,0.07916,0.04523,0.02297,0.00987,6.80053,2.10639,1.327,0.36253,0.39075,0.39051,8.63899,16.83675,2.65732,0.01167,0.07937,13.84074,18.69626
"43","2020_Q4",33.385625,"Up",3047684000,-1849142000,1198542000,-882548000,-813893000,-68655000,315994000,-27674000,-25182000,-2492000,288320000,-19992000,268328000,-78510000,193931000,193931000,193483000,193483000,421382000,421382000,1174504000,1174504000,2245846000,260776000,260776000,4102508000,1204766000,6706402000,4473576000,799460000,1433366000,8058704000,12161212000,1401172000,847733000,553439000,97268000,428055000,428055000,1926495000,4131754000,663300000,304898000,358402000,4795054000,6721549000,1442701000,3208000,1439493000,4595028000,-209722000,5388188000,5439663000,12161212000,193931000,76327000,-1914000,-46755000,221589000,-25821000,-1642000,-30462000,-144725000,0,-115904000,-260629000,-69502000,-69502000,14458000,-55044000,392321000,4229022000,398255000,0.39326,0.10368,0.06349,0.03557,0.01591,2.05835,2.12952,1.23566,0.34775,0.6359,0.63529,10.01654,17.70887,1.30891,0.01873,0.03855,9.70542,12.04972
"44","2021_Q1",38.3954098360656,"Up",2953888000,-1784039000,1169849000,-887387000,-814992000,-72395000,282462000,-20406000,-27055000,6649000,262056000,-15189000,246867000,-68708000,181191000,181734000,181012000,181012000,312154000,312154000,1073389000,1073389000,2414612000,233877000,233877000,4034032000,1248703000,6922574000,4591569000,814219000,1516786000,8326501000,12360533000,1476014000,932406000,543608000,58497000,453980000,453980000,1988491000,2812641000,1864024000,291421000,1572603000,4676665000,6665156000,1447792000,3208000,1444584000,4776040000,-99009000,5655718000,5695377000,12360533000,181734000,78861000,-18040000,66674000,309229000,-58933000,-256000,-59454000,-326701000,-29286000,-5781000.00000003,-361768000,-111993000,-111993000,2765000,-109228000,361323000,2871138000,437772000,0.39604,0.09562,0.06128,0.03178,0.01464,2.41847,2.02869,1.17027,0.23228,0.59534,0.59444,9.71517,18.60134,1.43981,0.01735,0.04197,7.08226,9.05957
"45","2021_Q2",46.637619047619,"Up",3.171e+09,-1.877e+09,1.294e+09,-9.15e+08,-8.49e+08,-6.6e+07,3.79e+08,-1.8e+07,-2.4e+07,6e+06,3.61e+08,-8e+06,3.53e+08,-9.3e+07,2.66e+08,2.66e+08,2.66e+08,2.66e+08,590194000,590194000,1252374000,1252374000,2392714000,218664000,218664000,4453946000,1204643000,6836139000,4515634000,777372000,1543133000,8211511000,12665457000,1786983000,1228524000,558459000,239962000,409681000,409681000,2436626000,2471730000,1874397000,285584000,1588813000,4346127000,6782753000,1452879000,3212000,1449667000,5041953000,-126122000,5842626000,5882704000,12665457000,2.66e+08,7.2e+07,-1e+06,1.86e+08,5.23e+08,-3.4e+07,-9799273.00154135,-3.3e+07,-8.2e+07,-5.7e+07,-6.9e+07,-2.08e+08,2.82e+08,2.82e+08,-4e+06,2.78e+08,4.51e+08,2711692000,6.96e+08,0.40807,0.11952,0.08389,0.04522,0.021,2.61654,1.82792,1.153,0.2141,0.87776,0.87568,10.46386,19.27986,2.2967,0.02541,0.06648,4.70399,5.59762
"46","2021_Q3",49.67296875,"Up",3.435e+09,-2.02e+09,1.415e+09,-9.66e+08,-9.01e+08,-6.5e+07,4.49e+08,-1e+07,-1.6e+07,6e+06,4.39e+08,-2.8e+07,4.11e+08,-1.08e+08,3.06e+08,3.06e+08,3.05e+08,3.05e+08,328700000,328700000,1225735000,1225735000,2394147000,219952000,219952000,4168534000,1207156000,6893902000,4568087000,768471000,1557344000,8269525000,12438059000,1769429000,1191250000,578179000,90825000,417902000,417902000,2278156000,2360685000,1881132000,285426000,1595706000,4241817000,6519973000,1462205000,3212000,1458993000,5346577000,-101090000,5877924000,5918086000,12438059000,3.06e+08,7e+07,1.7e+07,1.7e+07,4.1e+08,-4.2e+07,-2.3e+07,-7.6e+07,-2.64e+08,-2.87e+08,-5e+07,-6.01e+08,-2.67e+08,-2.67e+08,6e+06,-2.61e+08,5.19e+08,2451510000,6.02e+08,0.41194,0.13071,0.08879,0.05154,0.02452,1.97377,1.82978,1.1017,0.1971,1.00646,1.00407,11.33503,19.39634,1.98652,0.02975,0.05873,4.09019,4.72786
"47","2021_Q4",55.22859375,"Up",3.297e+09,-1.953e+09,1.344e+09,-9.62e+08,-8.98e+08,-6.4e+07,3.82e+08,-1.3e+07,-1.6e+07,3e+06,3.69e+08,-4e+06,3.65e+08,-8.9e+07,2.84e+08,2.84e+08,2.84e+08,2.84e+08,402703000,402703000,1185004000,1185004000,2423853000,247838000,247838000,4259398000,1192357000,6830695000,4525474000,755426000,1549795000,8201462000,12460860000,1850921000,1262976000,587945000,36815000,434523000,434523000,2322259000,2348448000,1848219000,280850000,1567369000,4196667000,6518926000,1468561000,3215000,1465346000,5630632000,-148575000,5901809000,5941934000,12460860000,2.84e+08,7e+07,-1.2e+07,8.7e+07,4.29e+08,-4.1e+07,-3.8e+07,-1.08e+08,-2.3e+07,-2.31e+08,1.3e+07,-2.41e+08,8e+07,8e+07,-6e+06,7.4e+07,4.52e+08,2385263000,5.87e+08,0.40764,0.11586,0.08614,0.0478,0.02279,2.0669,1.83416,1.09711,0.19142,0.94925,0.94665,11.01997,19.72635,1.962,0.02791,0.05769,4.38619,5.18995
"48","2022_Q1",50.2275806451613,"Down",3185504000,-1916069000,1269435000,-984724000,-919732000,-64992000,284711000,-10678000,-16078000,5400000,274033000,-3903000,270130000,-40591000,235476000,236124000,235873000,235873000,2.74e+08,2.74e+08,1.073e+09,1.073e+09,2.611e+09,2.96e+08,2.96e+08,4.254e+09,1.299e+09,6.872e+09,4.54e+09,7.46e+08,1.586e+09,8.352e+09,1.2606e+10,1.708e+09,1.176e+09,5.32e+08,3.5e+07,4.22e+08,4.22e+08,2.165e+09,2.777e+09,1.853e+09,2.79e+08,1.574e+09,4.63e+09,6.795e+09,1.477e+09,3116844.53450934,1472772368.25839,5.794e+09,-1.53e+08,5.772e+09,5.811e+09,1.2606e+10,236124000,72003000,-10361000,-292719000,5047000,-156901000,-62898000,-201758000,454300000,-301844000,-14718000,64865000,-131846000,-131846000,2826000,-129020000,356714000,2.812e+09,-52315000,0.3985,0.08938,0.07405,0.04059,0.01871,-0.22179,1.9649,1.16933,0.22307,0.84678,0.84384,11.43594,20.72145,-0.18781,0.02947,-0.00499,7.11494,8.9143
"49","2022_Q2",48.6625806451613,"Down",3.348e+09,-1.991e+09,1.357e+09,-9.83e+08,-9.24e+08,-5.9e+07,3.74e+08,-1.5e+07,-1.5e+07,6471604.99338608,3.59e+08,-3e+06,3.56e+08,-8.9e+07,2.69e+08,2.73e+08,2.73e+08,2.73e+08,3.27e+08,3.27e+08,1.239e+09,1.239e+09,2.573e+09,5.43e+08,2.53e+08,4.682e+09,1.256e+09,6.661e+09,4.426e+09,7.15e+08,1.52e+09,8.096e+09,1.2778e+10,1.919e+09,1.37e+09,5.49e+08,3.1e+07,5.45e+08,4.18e+08,2.495e+09,2.68e+09,1.78e+09,2.7e+08,1.51e+09,4.46e+09,6.955e+09,1.485e+09,3e+06,1.482e+09,5.995e+09,-2.06e+08,5.784e+09,5.823e+09,1.2778e+10,2.73e+08,6.5e+07,9e+06,6.2e+07,4.09e+08,-5.7e+07,27274811.1379842,-7.2e+07,-5.3e+07,-1.44e+08,-1e+07,-2.78e+08,5.9e+07,5.9e+07,-6e+06,5.3e+07,4.39e+08,2.711e+09,5.33e+08,0.40532,0.11171,0.08154,0.04688,0.02136,1.95238,1.87655,1.1944,0.21216,0.94179,0.93831,11.54985,19.9535,1.83873,0.03335,0.05168,5.43052,6.37433
"50","2022_Q3",51.91734375,"Up",3.341e+09,-1.974e+09,1.367e+09,-9.59e+08,-8.98e+08,-6.1e+07,4.08e+08,-1.6e+07,-1.4e+07,-2e+06,3.92e+08,1.51e+08,5.43e+08,-1.27e+08,4.2e+08,4.2e+08,4.2e+08,4.2e+08,2.65e+08,2.65e+08,1.161e+09,1.161e+09,2.65e+09,2.55e+08,2.55e+08,4.331e+09,1.217e+09,6.432e+09,4.29e+09,6.69e+08,1.473e+09,7.803e+09,1.2134e+10,1.997e+09,1.457e+09,5.4e+08,4.7e+07,4.41e+08,4.41e+08,2.485e+09,2.313e+09,1.707e+09,2.56e+08,1.451e+09,4.02e+09,6.505e+09,1.495e+09,3e+06,1.492e+09,6.344e+09,-3.55e+08,5.59e+09,5.629e+09,1.2134e+10,4.2e+08,6.8e+07,-1.5e+08,-1e+07,3.28e+08,-3.9e+07,3.67e+08,3.37e+08,-2.48e+08,-3.84e+08,-4e+06,-7.07e+08,-4.2e+07,-4.2e+07,-2e+07,-6.2e+07,4.76e+08,2.36e+09,5.54e+08,0.40916,0.12212,0.12571,0.07461,0.03461,1.31905,1.74286,1.15562,0.19449,1.49254,1.48778,11.87278,19.86496,1.96873,0.05064,0.05714,4.40126,5.1348
