"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",96.852380952381,"Up",1.584e+09,-1219700000,364300000,-130200000,-129600000,-599999.999999998,234100000,-25500000,-25500000,208600000,208600000,-65400000,143200000,143200000,143200000,143200000,3.21e+08,3.21e+08,755200000,755200000,734400000,52800000,52800000,1863400000,2872500000,1167300000,731100000,8e+07,4039800000,5903200000,602400000,349200000,60100000,193100000,157800000,760200000,2.477e+09,759400000,342700000,60400000,3236400000,3996600000,461800000,1578800000,-1.34e+08,1906600000,1906600000,5903200000,143200000,93700000,3100000,-18500000,221500000,-80400000,-2700000,-83100000,-59400000,-1999999.99999999,-1e+07,-71400000,6.7e+07,6.7e+07,6.7e+07,327800000,2634800000,294300000,0.22999,0.14779,0.0904,0.07511,0.02426,2.05517,2.4512,2.09619,0.44633,1.53319,1.52991,16.95931,20.41328,3.15096,0.63597,0.03822,0.05552,0.4148,7.05857,9.88381
"31","2017_Q4",100.955873015873,"Up",1640100000,-1243200000,396900000,-154300000,-129500000,-24800000,242600000,-25700000,-25700000,216900000,216900000,-77800000,139100000,139100000,139100000,139100000,370500000,370500000,831300000,831300000,736600000,63400000,43400000,2001800000,2881600000,1143800000,732100000,63900000,4025400000,6027200000,666500000,379500000,60300000,226700000,157800000,824300000,2475600000,733100000,342100000,68200000,3208700000,4.033e+09,4.67e+08,1658200000,-1.31e+08,1994200000,1994200000,6027200000,139100000,97500000,-11800000,-27100000,197700000,-85300000,-1400000,-86700000,-59400000,-1900000,-2e+05,-61500000,49500000,49500000,49500000,340100000,2633400000,305500000,0.242,0.14792,0.08481,0.06975,0.02308,2.19626,2.42848,2.02236,0.43692,1.48611,1.48294,17.52244,21.30556,3.26389,0.63462,0.03703,0.05699,0.42703,6.65363,9.3277
"32","2018_Q1",105.549344262295,"Up",1684300000,-1311500000,372800000,-121700000,-135700000,1.4e+07,251100000,-27100000,-27100000,2.24e+08,2.24e+08,44900000,268900000,268900000,268900000,268900000,216900000,216900000,830700000,830700000,762500000,1.05e+08,35500000,1915100000,2924900000,1357500000,883200000,64300000,4282400000,6197500000,681400000,402900000,60500000,2.18e+08,151300000,832700000,2499400000,682800000,239500000,70800000,3182200000,4014900000,472100000,1867400000,-156900000,2182600000,2182600000,6197500000,268900000,107700000,-7.2e+07,-31800000,272800000,-104600000,-3100000,-381500000,-59400000,21500000,-7e+06,-44900000,-153600000,-153600000,-153600000,358800000,2650700000,177500000,0.22134,0.14908,0.15965,0.1232,0.04339,0.6601,2.29987,1.8395,0.4277,2.87286,2.86674,17.99466,23.31838,1.89637,0.63462,0.05952,0.03218,0.2209,6.78317,9.69255
"33","2018_Q2",102.7378125,"Down",1690600000,-1334500000,356100000,-143200000,-134900000,-8300000,212900000,-26300000,-26300000,186600000,186600000,-46500000,140100000,140100000,140100000,140100000,102400000,102400000,860200000,860200000,766400000,103600000,5.5e+07,1832600000,2961400000,1345800000,883200000,6.3e+07,4307200000,6139800000,672200000,427300000,60600000,184300000,1400000,673600000,2499800000,692600000,256700000,62900000,3192400000,3.866e+09,477200000,1949600000,-1.53e+08,2273800000,2273800000,6139800000,140100000,108100000,27200000,-72900000,202500000,-107900000,7e+05,-107200000,-59400000,-150300000,-1e+05,-209800000,-114500000,-114500000,-114500000,3.21e+08,2501200000,186700000,0.21064,0.12593,0.08287,0.06161,0.02282,1.33262,2.72061,1.70024,0.40737,1.49679,1.4936,18.06197,24.29274,1.99466,0.63462,0.03649,0.03415,0.42398,7.4729,11.26726
"34","2018_Q3",99.8950793650794,"Down",1767500000,-1346900000,420600000,-1.51e+08,-137700000,-13300000,269600000,-24400000,-24400000,245200000,245200000,-58600000,186600000,186600000,186600000,186600000,199600000,199600000,9.2e+08,9.2e+08,763700000,73300000,56600000,1956600000,3026500000,1332500000,888700000,59700000,4.359e+09,6315600000,714400000,431700000,75500000,207200000,1400000,715800000,2500400000,711400000,272800000,63700000,3211800000,3927600000,4.83e+08,2.054e+09,-1.49e+08,2.388e+09,2.388e+09,6315600000,186600000,104100000,2.7e+07,13300000,3.31e+08,-165500000,-8e+05,-166300000,-59500000,-4e+05,-7600000,-67500000,97200000,97200000,97200000,373700000,2501800000,280100000,0.23796,0.15253,0.10557,0.07814,0.02955,1.50107,2.73345,1.64472,0.39613,1.99359,1.98934,18.88355,25.51282,2.99252,0.63568,0.04394,0.05001,0.31886,6.16056,8.53932
"35","2018_Q4",82.9657142857143,"Down",1.81e+09,-1366800000,443200000,-144700000,-134100000,-10600000,298500000,-24300000,-24300000,274200000,274200000,-67500000,206700000,206700000,206700000,206700000,293800000,293800000,986200000,986200000,780600000,54100000,4.9e+07,2114700000,3065100000,1320200000,888700000,57600000,4385300000,6.5e+09,765100000,438900000,75800000,250400000,1400000,766500000,2500800000,702500000,279300000,6.3e+07,3203300000,3969800000,489800000,2185500000,-145100000,2530200000,2530200000,6.5e+09,206700000,101400000,1900000,-9e+06,3.01e+08,-130400000,-1400000,-131800000,-74500000,-3e+05,-2e+05,-7.5e+07,94200000,94200000,94200000,399900000,2502200000,3.28e+08,0.24486,0.16492,0.1142,0.08169,0.0318,1.58684,2.7589,1.56897,0.38495,2.20598,2.19894,19.31697,27.0032,3.50053,0.79509,0.04903,0.05719,0.36043,5.52238,7.39832
"36","2019_Q1",85.4968852459016,"Up",1746500000,-1321100000,425400000,-138700000,-129700000,-9e+06,286700000,-22200000,-20100000,264500000,264500000,-59900000,204600000,204600000,204600000,204600000,361500000,361500000,901900000,901900000,795600000,56100000,39400000,2115100000,3108600000,1.346e+09,917300000,50500000,4454600000,6569700000,692200000,382200000,76100000,233900000,1400000,693600000,2501300000,702400000,285200000,59700000,3203700000,3897300000,495400000,2315800000,-138800000,2672400000,2672400000,6569700000,204600000,97300000,2.8e+07,15700000,345600000,-146100000,-5e+05,-202900000,-74700000,-3e+05,9.31322574615479e-10,-7.5e+07,67700000,67700000,67700000,3.84e+08,2502700000,313500000,0.24357,0.16416,0.11715,0.07656,0.03114,1.53226,3.04945,1.45835,0.38095,2.17891,2.1766,18.59957,28.46006,3.33866,0.79553,0.04752,0.05334,0.3651,5.57604,7.46843
"37","2019_Q2",87.5073015873016,"Up",1733700000,-1312300000,421400000,-1.46e+08,-1.4e+08,-6e+06,275400000,-26100000,-24100000,249300000,249300000,-62500000,186800000,186800000,186800000,186800000,442400000,442400000,930300000,930300000,831700000,5.8e+07,5.8e+07,2262400000,3109800000,1556400000,917300000,270400000,4666200000,6928600000,6.82e+08,405100000,76200000,200700000,58700000,740700000,2667200000,726100000,305700000,56900000,3393300000,4.134e+09,502300000,2427800000,-135500000,2794600000,2794600000,6928600000,186800000,94800000,39400000,-8.5e+07,2.36e+08,-78800000,-1300000,-80100000,-74700000,-3e+05,-6222538.16317138,-7.5e+07,80900000,80900000,80900000,370200000,2725900000,268900000,0.24306,0.15885,0.10775,0.06684,0.02696,1.43951,3.05441,1.47928,0.39343,1.9936,1.98723,18.50267,29.82497,2.8698,0.79723,0.04186,0.04305,0.39989,6.16829,8.29158
"38","2019_Q3",92.595,"Up",1759900000,-1.332e+09,427900000,-147500000,-143700000,-3800000,280400000,-24400000,-22300000,2.56e+08,2.56e+08,-62400000,193600000,193600000,193600000,193600000,569400000,569400000,9.47e+08,9.47e+08,815700000,70600000,59200000,2402700000,3107200000,1564500000,918700000,287600000,4671700000,7074400000,668200000,382800000,75900000,209500000,61400000,729600000,2685600000,7.38e+08,314800000,58300000,3423600000,4153200000,514200000,2539200000,-132200000,2921200000,2921200000,7074400000,193600000,95900000,32300000,-19400000,302400000,-92100000,-1800000,-93900000,-74600000,8e+05,-7700000,-81500000,1.27e+08,1.27e+08,1.27e+08,376300000,2.747e+09,327200000,0.24314,0.15933,0.11001,0.06627,0.02737,1.69008,3.29317,1.42174,0.3883,2.06177,2.05957,18.74228,31.10969,3.48456,0.79446,0.04187,0.05108,0.38533,5.78687,7.76605
"39","2019_Q4",101.56703125,"Up",1750700000,-1339300000,411400000,-148600000,-136900000,-11700000,262800000,-23500000,-21600000,239300000,239300000,-59500000,179800000,179800000,179800000,179800000,738300000,738300000,932300000,932300000,806300000,54400000,44900000,2531300000,3110400000,1549400000,918700000,282200000,4659800000,7191100000,708800000,385500000,76300000,2.47e+08,61900000,770700000,2.68e+09,705700000,327600000,57800000,3385700000,4156400000,519800000,2643700000,-128800000,3034700000,3034700000,7191100000,179800000,97900000,-23200000,85300000,339800000,-91500000,-2800000,-94300000,-74600000,-1600000,-4e+05,-76600000,168900000,168900000,168900000,360700000,2741900000,4.14e+08,0.23499,0.15011,0.1027,0.05925,0.025,2.30256,3.28442,1.36962,0.38129,1.91684,1.90668,18.66418,32.35288,4.41365,0.79531,0.03925,0.06387,0.41491,5.55475,7.62405
"40","2020_Q1",89.9722580645161,"Down",1.72e+09,-1336700000,383300000,-148200000,-1.37e+08,-11200000,235100000,-62700000,-60800000,172400000,172400000,-36200000,136200000,136200000,136200000,136200000,767400000,679500000,845600000,845600000,794100000,71300000,44800000,2478400000,3151700000,1547600000,918700000,290100000,4757400000,7235800000,659700000,351900000,76600000,231200000,80960371.2130987,723800000,2670400000,770600000,340100000,5.5e+07,3.441e+09,4164800000,525699999,2704800000,-159500000,3070999999,3070999999,7235799999,136200000,98900000,65699999,28400000,329199999,-133000001,8e+05,-278300001,-74800000,-33300000,-1599999,-109699999,-58800001,-58800001,-58800001,3.34e+08,2670400000,265599999,0.22285,0.13669,0.07919,0.04435,0.01882,1.95007,3.42415,1.35617,0.36905,1.45203,1.4474,18.33689,32.73987,2.83156,0.79744,0.0324,0.04079,0.54919,5.6976,8.09443
"41","2020_Q2",89.1269841269841,"Down",1708700000,-1343700000,3.65e+08,-155900000,-145900000,-1e+07,209100000,-1.9e+07,-19600000,190100000,190100000,-48400000,141700000,141700000,141700000,141700000,856300000,7.64e+08,879500000,879500000,809900000,67900000,67900000,2613600000,3138600000,1538300000,918700000,290400000,4.734e+09,7347600000,678700000,3.89e+08,7.7e+07,212700000,65900000,744600000,2670200000,782900000,354300000,56300000,3453100000,4197700000,535800000,2771100000,-1.57e+08,3149900000,3149900000,7347600000,141700000,100300000,30700000,-3.6e+07,236700000,-70400000,-2700000,-7.7e+07,-74800000,-4e+05,-9352235.07835452,-75200000,84500000,84500000,84500000,309400000,2736100000,251400000,0.21361,0.12237,0.08293,0.04499,0.01929,1.77417,3.51007,1.33265,0.37238,1.50905,1.50265,18.19702,33.54526,2.67732,0.79659,0.03246,0.0377,0.52788,6.07563,8.98996
"42","2020_Q3",96.55484375,"Up",1541600000,-1215900000,325700000,-154400000,-136300000,-18100000,171300000,-24500000,-2.5e+07,146800000,91600000,-3.5e+07,56600000,56600000,56600000,56600000,940200000,853300000,817300000,817300000,834500000,6.7e+07,60900000,2.659e+09,3114700000,1.462e+09,863500000,283600000,4.613e+09,7.272e+09,614900000,315200000,76500000,223200000,1600000,683600000,2664700000,790600000,361100000,6e+07,3455300000,4138900000,543600000,2742900000,-153400000,3133100000,3133100000,7.272e+09,56600000,108200000,78100000,-16100000,226800000,-76500000,-2400000,-51800000,-74900000,-4e+05,-10400000,-85700000,89300000,89300000,89300000,279500000,2666300000,221900000,0.21127,0.11112,0.03672,0.01807,0.00778,3.92049,3.8897,1.32102,0.36665,0.60149,0.59894,16.38257,33.29543,2.35813,0.79596,0.01995,0.03367,1.32332,6.17567,10.07647
"43","2020_Q4",119.76328125,"Up",1693700000,-1348300000,345400000,-135900000,-127100000,-8800000,209500000,-23900000,-24500000,185600000,185600000,-46500000,139100000,139100000,139100000,139100000,1050300000,949100000,864600000,864600000,777600000,51200000,51200000,2743700000,3130900000,1452800000,863500000,283900000,4628900000,7372600000,705800000,352100000,76700000,2.77e+08,1600000,775400000,2665700000,726100000,363700000,61700000,3391800000,4167200000,549600000,2806700000,-150900000,3205400000,3205400000,7372600000,139100000,100500000,-52000001,110600000,298199999,-102200000,-1100000,-127100000,-74900000,-3e+05,-1e+05,-75300000,95799999,95799999,95799999,3.1e+08,2667300000,364900000,0.20393,0.12369,0.08213,0.0434,0.01887,2.62329,3.53843,1.30006,0.36179,1.47979,1.47352,18.01809,34.1,3.88191,0.79681,0.03243,0.0553,0.53846,5.21613,7.71838
"44","2021_Q1",130.671639344262,"Up",1714200000,-1380900000,333300000,-144100000,-130300000,-13800000,189200000,-23800000,-24400000,165400000,165400000,-41800000,123600000,123600000,123600000,123600000,1080200000,974600000,832400000,832400000,787900000,49800000,44700000,2750300000,3193400000,1446800000,863500000,287400000,4682900000,7433200000,712100000,3.87e+08,9.7e+07,228100000,1600000,782600000,2667400000,736900000,379400000,357500000,3404300000,4186900000,555300000,2835500000,-144500000,3246300000,3246300000,7433200000,123600000,100900000,27300001,19300000,271100001,-167500000,-2e+05,-170200000,-7.5e+07,-399999.999999996,0,-75400000,25500001,25500001,25500001,290100000,2.669e+09,183700000,0.19443,0.11037,0.0721,0.03807,0.01663,1.48625,3.51431,1.28975,0.35906,1.30932,1.30932,18.1589,34.38877,1.94597,0.79449,0.02985,0.02761,0.6068,5.47673,8.39746
"45","2021_Q2",138.88619047619,"Up",1807200000,-1403500000,403700000,-1.45e+08,-1.45e+08,-29716906.2568286,258700000,-39100000,-23500000,219600000,219600000,-53100000,166500000,166500000,166500000,166500000,1085900000,983400000,908600000,908600000,799600000,62800000,62800000,2856900000,3212500000,1432600000,863500000,282800000,4692100000,7.549e+09,734800000,402500000,97600000,234700000,1699999.99999999,805800000,2.664e+09,7.48e+08,392600000,355400000,3.412e+09,4217800000,5.67e+08,2906300000,-142100000,3331200000,3331200000,7.549e+09,166500000,100800000,31500000,-107200000,191600000,-84400000,-1300000,-87500000,-94800000,-4e+05,-1e+05,-95300000,8800000,8800000,8800000,359500000,2665700000,2.21e+08,0.22338,0.14315,0.09213,0.04998,0.02206,1.32733,3.54542,1.26615,0.35312,1.76752,1.76004,19.18471,35.36306,2.34607,1.00637,0.03874,0.03277,0.56937,4.39444,6.10669
"46","2021_Q3",138.66671875,"Down",1879800000,-1.431e+09,448800000,-146300000,-146300000,-43118031.2543455,302500000,-27800000,-24900000,274700000,274700000,-67400000,207300000,207300000,207300000,207300000,1073900000,972200000,981400000,981400000,827200000,78600000,78600000,2961100000,3240500000,1422100000,863500000,281600000,4712500000,7673600000,746300000,405300000,97400000,243600000,1700000,816800000,2665600000,746900000,395700000,351200000,3412500000,4229300000,575500000,3008500000,-139700000,3444300000,3444300000,7673600000,207300000,104700000,13500000,-97300000,228200000,-129700000,-3e+05,-132700000,-9.5e+07,-4e+05,-11300000,-106700000,-11200000,-11200000,-11200000,407200000,2667300000,247600000,0.23875,0.16092,0.11028,0.06019,0.02701,1.1944,3.62524,1.22791,0.34759,2.20064,2.19133,19.95541,36.56369,2.62845,1.00849,0.04408,0.0361,0.45827,3.91306,5.26744
"47","2021_Q4",131.6384375,"Down",2000100000,-1489500000,510600000,-186100000,-144400000,-41700000,324500000,9500000,-23800000,3.34e+08,3.34e+08,-83200000,250800000,250800000,250800000,250800000,1791200000,1702900000,1066700000,1066700000,880100000,66800000,55400000,3804800000,3360800000,1407400000,863500000,276200000,4.826e+09,8630800000,877400000,499100000,97300000,2.81e+08,699800000,1644400000,2655700000,722400000,423900000,298500000,3378100000,5022500000,582300000,3162800000,-136800000,3608300000,3608300000,8630800000,250800000,105600000,-8600000,-64200000,283600000,-149500000,-2e+05,-144800000,-9.5e+07,695900000,-9e+06,591900000,730700000,730700000,730700000,430100000,3355500000,299600000,0.25529,0.16224,0.12539,0.06951,0.02906,1.19458,2.31379,1.39193,0.38878,2.6528,2.6528,21.15579,38.16631,3.16898,1.00485,0.04499,0.03898,0.37879,3.63706,4.82065
"48","2022_Q1",144.125806451613,"Up",2043200000,-1533300000,509900000,-154200000,-141100000,-13100000,355700000,-75300000,-80200000,280400000,280400000,-63900000,216500000,216500000,216500000,216500000,704800000,618700000,1.071e+09,1.071e+09,902500000,54400000,4.7e+07,2732700000,3.529e+09,1515100000,923500000,283200000,5104100000,7836800000,8.16e+08,452400000,96300000,267300000,1700000,884799999,2663500000,681300000,465900000,215400000,3344800000,4229599999,580300000,3102100000,-75200000,3607200000,3607200000,7836799999,216500000,106400000,86500000,-18700000,390700000,-233600000,-2.3283064365387e-10,-429400000,-9.5e+07,-762600000,5100000,-1045500000,-1084200000,-1084200000,-1084200000,462100000,2665200000,273700000,0.24956,0.17409,0.10596,0.06002,0.02763,1.2642,3.08849,1.17254,0.34009,2.29,2.29,21.61168,38.15468,2.89503,1.00485,0.0448,0.03936,0.4388,4.24237,5.51139
"49","2022_Q2",153.435967741935,"Up",2136400000,-1603200000,533200000,-161100000,-161100000,55282531.244413,372100000,-31800000,-19800000,340300000,340300000,-86100000,254200000,254200000,254200000,254200000,709900000,628600000,1140700000,1140700000,941200000,77600000,77600000,2869400000,3670700000,1529199999,923100000,307899999,5268399999,8137799999,896400000,546700000,96900000,252800000,1800000,967900000,2686800000,703800000,488800000,2.15e+08,3390600000,4358500000,592600000,3261900000,-75200000,3779300000,3779300000,8137800000,254200000,109700000,43100000,-81700000,325300000,-2.13e+08,-2400000,-221200000,-93600000,-4e+05,-2e+05,-94200000,9900000,9900000,9900000,481800000,2688600000,273200000,0.24958,0.17417,0.11899,0.06726,0.03124,1.07474,2.96456,1.15326,0.33038,2.71,2.71,22.77594,40.29073,2.91256,0.99786,0.0485,0.03809,0.36821,4.10689,5.31766
"50","2022_Q3",139.87525,"Down",2237300000,-1648500000,588800000,-156600000,-156600000,176107593.733239,432200000,-31500000,-18900000,400700000,400700000,-99200000,301500000,301500000,301500000,301500000,749600000,667300000,1.212e+09,1.212e+09,954200000,74600000,74600000,2990400000,3762900000,1526100000,922500000,316300000,5350200000,8340600000,901800000,528200000,120200000,253400000,1800000,972900000,2695200000,7.08e+08,495100000,212900000,3403200000,4376100000,601900000,3.437e+09,-74400000,3964500000,3964500000,8340600000,301500000,114300000,22300000,-119100000,3.19e+08,-184100000,1700000,-176900000,-93600000,-499999.999999762,-9300000,-103400000,38700000,38700000,38700000,546500000,2.697e+09,342500000,0.26317,0.19318,0.13476,0.07605,0.03615,1.13599,3.0737,1.10382,0.32336,3.24801,3.22805,24.10206,42.7089,3.6897,1.00834,0.05361,0.04648,0.31045,3.5634,4.50578
