"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"28","2017_Q1",27.0851612903226,"Up",530800000,-234700000,296100000,-195800000,-94900000,-80500000,-20400000,100300000,-47500000,-33300000,-33300000,-14200000,52800000,5e+06,57800000,-1.2e+07,45800000,45800000,45800000,45800000,1.73e+08,1.73e+08,160100000,189300000,189300000,522400000,7681800000,11067400000,-3385600000,465200000,465200000,8.147e+09,8669400000,267900000,196400000,71500000,264200000,40800000,223400000,657100000,2405800000,2354400000,167700000,1752300000,434400000,4760200000,5417300000,1024100000,2.228e+09,3252100000,3252100000,8669400000,45800000,80500000,19800000,4.1e+07,187100000,-192800000,-193400000,-193400000,-192800000,-99999.9999999851,70800000,5700000,4.54747350886464e-13,4.54747350886464e-13,4.54747350886464e-13,180800000,2530800000,4.1e+07,0.55784,0.18896,0.08628,0.01408,0.00528,0.8952,0.79501,1.66579,0.29192,0.22934,0.22843,2.65799,16.28493,0.20531,0.01362,0.00504
"29","2017_Q2",27.4338095238095,"Up",4.56e+08,-208700000,247300000,-201700000,-124700000,-54700000,-22300000,45600000,-2.9e+07,-33600000,-33600000,4600000,16600000,6900000,23500000,-7300000,16200000,16200000,16200000,16200000,136400000,136400000,167800000,293200000,293200000,597400000,7889300000,11304300000,-3.415e+09,464200000,464200000,8353500000,8950900000,287500000,236800000,50700000,197500000,24200000,173300000,6.1e+08,2703200000,2368600000,166800000,1.759e+09,442800000,5071800000,5681800000,1024900000,2244200000,3269100000,3269100000,8950900000,16200000,54700000,1400000,-7900000,64400000,-219900000,-219900000,-219900000,-219900000,2.97e+08,-76500000,155500000,0,0,0,100300000,2828200000,-120200000,0.54232,0.1,0.03553,0.00496,0.00181,-7.41975,0.97934,1.73803,0.31597,0.08112,0.0808,2.28343,16.37006,-0.6019,0.00959,-0.0142
"30","2017_Q3",28.2201587301587,"Up",586400000,-232100000,354300000,-208600000,-114700000,-73700000,-20200000,145700000,-30300000,-35600000,-35600000,5300000,115400000,8500000,123900000,-37700000,86200000,86200000,86200000,86200000,1.85e+08,1.85e+08,159100000,310400000,310400000,654500000,8078100000,11525800000,-3447700000,466400000,466400000,8544500000,9.199e+09,248100000,181300000,66800000,181500000,39200000,142300000,554600000,2.863e+09,2425200000,164800000,1797100000,463300000,5288200000,5842800000,1025800000,2330400000,3356200000,3356200000,9.199e+09,86200000,73700000,31500000,-121400000,7e+07,-270900000,-271200000,-271200000,-270900000,159400000,41500000,200900000,-3.63797880709171e-12,-3.63797880709171e-12,-3.63797880709171e-12,219400000,2.988e+09,-135200000,0.6042,0.24847,0.147,0.02568,0.00937,-1.56845,1.18013,1.7409,0.32482,0.43165,0.42993,2.9364,16.80621,-0.67702,0.00983,-0.01542
"31","2017_Q4",28.2020634920635,"Down",716800000,-255700000,461100000,-207300000,-109400000,-76200000,-21700000,253800000,-32400000,-34500000,-34500000,2100000,221400000,11800000,233200000,-71700000,161500000,161500000,161500000,161500000,261500000,261500000,156100000,191400000,191400000,6.09e+08,8190600000,11685300000,-3494700000,431300000,431300000,8621900000,9230900000,196100000,135900000,60200000,174600000,58900000,115700000,620400000,2749500000,2448100000,106900000,1870600000,470600000,5197600000,5.818e+09,1.026e+09,2386900000,3412900000,3412900000,9230900000,161500000,76200000,62300000,-5e+07,2.5e+08,-171600000,-171700000,-171700000,-171600000,10800000,-89200000,-78400000,0,0,0,3.3e+08,2999200000,180100000,0.64328,0.35407,0.22531,0.04732,0.0175,1.11517,0.98162,1.70471,0.32491,0.80871,0.80549,3.58938,17.09014,0.90185,0.01823,0.02033
"32","2018_Q1",25.4667213114754,"Down",501900000,-201100000,300800000,-217900000,-1.21e+08,-76300000,-20600000,82900000,-28700000,-34700000,-34700000,6e+06,54200000,12500000,66700000,-25100000,41600000,41600000,41600000,41600000,188500000,188500000,165100000,227600000,227600000,581200000,8333800000,11902600000,-3568800000,340600000,340600000,8674400000,9255600000,286400000,216800000,69600000,152400000,41500000,110900000,688600000,2749600000,2361700000,110300000,832200000,1419200000,5111300000,5799900000,1027200000,2428500000,3455700000,3455700000,9255600000,41600000,76300000,-1.2e+07,225400000,331300000,-1.61e+08,-161300000,-161300000,-1.61e+08,-2e+05,-65100000,-170300000,0,0,0,159200000,2999400000,248700000,0.59932,0.16517,0.08289,0.01204,0.00449,5.97837,0.84403,1.67836,0.32406,0.20831,0.20748,2.51327,17.30446,1.24537,0.01663,0.02821
"33","2018_Q2",27.3809375,"Up",492700000,-210500000,282200000,-215100000,-113600000,-78800000,-22700000,67100000,-39800000,-37300000,-37300000,-2500000,27300000,7e+06,34300000,-3e+06,31300000,31300000,31300000,31300000,177500000,177500000,196800000,227400000,227400000,601700000,8.387e+09,1.1994e+10,-3.607e+09,314600000,314600000,8701600000,9303300000,228600000,171300000,57300000,202900000,25100000,177800000,931200000,2500100000,2.384e+09,1.08e+08,840600000,1435400000,4884100000,5815300000,1028200000,2459800000,3.488e+09,3.488e+09,9303300000,31300000,78800000,5300000,30400000,145800000,-137400000,-137400000,-137400000,-137400000,0,-8400000,-8400000,0,0,0,145900000,2999800000,41900000,0.57276,0.13619,0.06353,0.00897,0.00336,1.33866,0.64616,1.66723,0.32244,0.15674,0.15611,2.4672,17.4662,0.20981,0.00353,0.00472
"34","2018_Q3",29.9379365079365,"Up",5.67e+08,-208700000,358300000,-2.2e+08,-117500000,-80900000,-21600000,138300000,-41500000,-39200000,-39200000,-2300000,96800000,6300000,103100000,-11100000,9.2e+07,9.2e+07,9.2e+07,9.2e+07,221200000,221200000,211400000,267500000,267500000,700100000,8.467e+09,12104500000,-3637500000,280700000,280700000,8747700000,9447800000,220500000,149100000,71400000,239300000,41800000,197500000,959700000,2500400000,2406600000,1.05e+08,864900000,1436700000,4.907e+09,5866700000,1029300000,2551800000,3581100000,3581100000,9447800000,9.2e+07,80900000,8600000,-29100000,152400000,-136400000,-136400000,-136400000,-136400000,0,-1.6e+07,-1.6e+07,0,0,0,219200000,3000300000,64800000,0.63192,0.24392,0.16226,0.02569,0.00974,0.70435,0.7295,1.63824,0.31757,0.46069,0.45885,2.83926,17.9324,0.32449,0.01024,0.00721
"35","2018_Q4",31.89,"Up",698800000,-244400000,454400000,-224100000,-121100000,-81100000,-21900000,230300000,-34300000,-37800000,-37800000,3500000,1.96e+08,6700000,202700000,-18800000,183900000,183900000,183900000,183900000,243500000,243500000,196700000,391300000,391300000,831500000,8550900000,12231500000,-3680600000,269600000,269600000,8820500000,9.652e+09,222100000,154400000,67700000,2.67e+08,62600000,204400000,7.39e+08,2896800000,2434900000,99500000,887900000,1447500000,5331700000,6070700000,1030600000,2550700000,3581300000,3581300000,9.652e+09,183900000,81100000,26700000,27600000,319300000,-1.4e+08,-1.4e+08,-1.4e+08,-1.4e+08,1.46e+08,-325300000,-179300000,0,0,0,311400000,3146700000,217800000,0.65026,0.32956,0.26317,0.05135,0.01905,1.18434,1.12517,1.69511,0.32602,0.92088,0.91721,3.49925,17.9334,1.09064,0.02007,0.02377
"36","2019_Q1",34.7340983606557,"Up",511800000,-228900000,282900000,-2.29e+08,-122400000,-80800000,-25800000,53900000,99900000,-41700000,-41700000,-11200000,153800000,3800000,157600000,-39300000,118300000,118300000,118300000,118300000,172900000,172900000,184300000,409600000,409600000,766800000,8637700000,12365100000,-3727400000,3e+08,3e+08,8937700000,9704500000,293300000,2.15e+08,78300000,214700000,4.4e+07,170700000,7.58e+08,2896900000,2446300000,137900000,899900000,1408500000,5343200000,6101200000,1031800000,2571500000,3603300000,3603300000,9704500000,118300000,80800000,15900000,118600001,333600001,-159700000,-159800000,-159800000,-162200000,-168500000,349200000,-91500000,79900001,79900001,79900001,134700000,3146900000,132900001,0.55275,0.10531,0.23114,0.03283,0.01219,1.12342,1.01161,1.69323,0.32427,0.59239,0.59002,2.56284,18.04357,0.6655,0.04246,0.01445
"37","2019_Q2",35.804126984127,"Up",4.9e+08,-212600000,277400000,-227100000,-120300000,-82400000,-24400000,50300000,-31300000,-32400000,-32400000,1100000,1.9e+07,1500000,20500000,-9e+05,19600000,19600000,19600000,19600000,154900000,154900000,161100000,108500000,108500000,424500000,8763300000,12477200000,-3713900000,290700000,290700000,9.054e+09,9478500000,232400000,1.8e+08,52400000,257200000,26100000,231100000,489600000,2897300000,2467700000,136600000,9.08e+08,1423100000,5.365e+09,5854600000,1032800000,2591100000,3623900000,3623900000,9478500000,19600000,82400000,-1e+05,-83600000,18300000,-152900000,-152900000,-152900000,-152900000,-2.5e+08,384600000,134600000,0,0,0,132700000,2897300000,-102900000,0.56612,0.10265,0.04,0.00541,0.00207,-5.25,0.86703,1.61555,0.30567,0.09815,0.09776,2.45368,18.14672,-0.51527,0.00218,-0.01145
"38","2019_Q3",36.95625,"Up",513700000,-178700000,3.35e+08,-224400000,-1.2e+08,-84300000,-20100000,110600000,-3.3e+07,-33300000,-33300000,300000.000000002,77600000,1200000,78800000,-4300000.00000001,74500000,74500000,74500000,74500000,163100000,163100000,134800000,260600000,260600000,558500000,8871400000,12637400000,-3.766e+09,303900000,303900000,9175300000,9733800000,196700000,136500000,60200000,201100000,40600000,160500000,397800000,3193600000,2.443e+09,134800000,909300000,1398900000,5636600000,6034400000,1033800000,2665600000,3699400000,3699400000,9733800000,74500000,84300000,-6800000,-96300000,55700000,-161600000,-161600000,-161600000,-161600000,295900000,-1.9e+08,105900000,1.49011611938477e-08,1.49011611938477e-08,1.49011611938477e-08,194900000,3193600000,-58700000,0.65213,0.2153,0.14503,0.02014,0.00765,-0.787920000000002,1.40397,1.63118,0.32809,0.37306,0.37157,2.57236,18.52479,-0.29394,0.00798,-0.00629
"39","2019_Q4",37.173125,"Up",755400000,-2.34e+08,521400000,-246400000,-1.3e+08,-94100000,-22300000,2.75e+08,-39100000,-3.8e+07,-3.8e+07,-1100000,235900000,1e+06,236900000,-9700000,227200000,227200000,227200000,227200000,226500000,226500000,137100000,369900000,369900000,746700000,8955100000,12781200000,-3826100000,317900000,317900000,9.273e+09,10019700000,209600000,149400000,60200000,221300000,60600000,160700000,430900000,3194700000,2465900000,1.29e+08,933500000,1403400000,5660600000,6091500000,1035400000,2892800000,3928200000,3928200000,10019700000,227200000,94100000,15600000,-67500000,269400000,-1.62e+08,-1.62e+08,-1.62e+08,-1.62e+08,5e+05,-94700000,-94200000,13200000,13200000,13200000,369100000,3194700000,149300000,0.69023,0.36405,0.30077,0.05784,0.02268,0.65713,1.73288,1.55071,0.31884,1.13543,1.13204,3.77511,19.63118,0.74613,0.02369,0.01557
"40","2020_Q1",35.1053225806452,"Down",472500000,-161600000,310900000,-242500000,-121500000,-94200000,-26800000,68400000,57999999.9999999,-44200000,-44200000,-11700000,126400000,8e+05,127200000,-14900000,112300000,112300000,112300000,112300000,153800000,153800000,136900000,139500000,128600000,430200000,9044600000,12912700000,-3868100000,1549500000,3.98e+08,10594100000,11024300000,3.51e+08,194900000,78500000,194900000,41900000,1.53e+08,657900000,3195200000,3031700000,2.25e+08,1382900000,1423800000,6226900000,6884800000,1131300000,3036100000,4139500000,4139500000,11024300000,112300000,94200000,39900000,91700000,338100000,-1.59e+08,-1.59e+08,-1.59e+08,-148200000,1.12e+08,-110200000,-297400000,-107500000,-107500000,-107500000,162600000,3307200000,110200000,0.65799,0.14476,0.23767,0.02713,0.01019,0.9813,0.6539,1.6632,0.29999,0.56122,0.55954,2.36132,20.68716,0.55072,0.03927,0.01052
"41","2020_Q2",27.1680952380952,"Down",431300000,-1.35e+08,296300000,-2.4e+08,-1.2e+08,-94400000,-25600000,56300000,-7.84e+08,-38300000,-38300000,8e+05,-727700000,1300000,-726400000,234600000,-491800000,-491800000,-491800000,-491800000,140700000,140700000,142700000,348800000,348800000,632200000,9.085e+09,13005900000,-3920900000,313500000,313500000,9398500000,10030700000,198600000,143100000,55500000,1.72e+08,24800000,147200000,370600000,3195600000,2485400000,129700000,968100000,1387600000,5.681e+09,6051600000,1037500000,2941600000,3979100000,3979100000,10030700000,-491800000,94400000,5.26e+08,-24699999,103900001,-127200000,-127200000,-127200000,-124900000,2.63e+08,-7100000,166900000,145900001,145900001,145900001,150700000,3195600000,-235799999,0.68699,0.13054,-1.14027,-0.1236,-0.04903,0.47946,1.70588,1.52085,0.31858,-2.45654,-2.45654,2.15435,19.87562,-1.17782,-0.0427,-0.02441
"42","2020_Q3",28.0103125,"Up",503500000,-137400000,366100000,-240700000,-117500000,-97300000,-25900000,125400000,-13199999.9999998,-40800000,-40800000,7e+05,112200000,1300000,113500000,-27600000,85899999.9999999,85899999.9999999,85899999.9999999,85899999.9999999,1.59e+08,1.59e+08,141500000,517700000,517700000,885700000,9166100000,13123400000,-3957300000,315800000,315800000,9481900000,10367600000,198300000,1.3e+08,68300000,207300000,46200000,161100000,405600000,3493400000,2484900000,127400000,9.82e+08,1375500000,5978300000,6383900000,1038200000,2945500000,3983700000,3983700000,10367600000,85899999.9999999,97300000,23600000.0000001,-47400001,159399999,-153600000,-153600000,-153600000,-157400000,-2800000,-1e+05,-80399999.9999999,-78400001,-78400001,-78400001,222700000,3493400000,49299999.0000001,0.72711,0.24906,0.17061,0.02156,0.00829,0.57392,2.18368,1.60251,0.33695,0.42907,0.42907,2.51499,19.8986,0.24625,0.0164,0.00495
"43","2020_Q4",29.11296875,"Up",702100000,-209100000,4.93e+08,-2.35e+08,-109700000,-100500000,-24800000,2.58e+08,-25900000,-39800000,-39800000,-1900000,232100000,1100000,233200000,-55800000,177400000,177400000,177400000,177400000,2.09e+08,2.09e+08,143500000,391200000,391200000,775700000,9227900000,1.3238e+10,-4010100000,319700000,319700000,9547600000,10323300000,177200000,112400000,64800000,231500000,70700000,160800000,408700000,3493900000,2486900000,1.15e+08,1006400000,1365500000,5980800000,6389500000,1038800000,2.895e+09,3933800000,3933800000,10323300000,177400000,100500000,62100000,-7.8e+07,2.62e+08,-138900000,-138900000,-138900000,-139800000,-75200000,1e+05,-157700000,-35500000,-35500000,-35500000,358500000,3493900000,197400000,0.70218,0.36747,0.25267,0.0451,0.01718,1.11274,1.89797,1.62426,0.33845,0.88656,0.88656,3.50875,19.65917,0.98651,0.02572,0.01991
"44","2021_Q1",28.7688524590164,"Down",485400000,-163100000,322300000,-239800000,-115600000,-99100000,-25100000,82500000,-5e+06,-39600000,-39600000,-1200000,77500000,1100000,78600000,-23800000,54800000,54800000,54800000,54800000,157800000,157800000,152700000,116900000,108800000,428500000,9374600000,13442200000,-4067600000,915700000,541400000,10290300000,10718800000,403300000,251500000,71300000,199100000,55700000,143400000,697400000,3494400000,2895200000,231400000,1279500000,1384300000,6389600000,7.087e+09,1124600000,2544600000,3631800000,3631800000,10718800000,54800000,99100000,18500000,15099999.9999999,187500000,-230800000,-230800000,-230800000,-232800000,9.5e+07,-99999.9999999991,14400000.0000001,-30900000,-30900000,-30900000,181600000,3589400000,-10300000,0.66399,0.16996,0.1129,0.01509,0.00511,-0.187959999999999,0.61443,1.95137,0.33487,0.27386,0.27386,2.42579,18.14993,-0.0514700000000001,0.01337,-0.00102
"45","2021_Q2",31.1592063492064,"Up",1630600000,-1346800000,283800000,-235200000,-144973973.921977,-98700000,-136500000,48600000,13400000,-39400000,-39400000,-4e+05,6.2e+07,1300000,63300000,-10600000,52700000,52700000,52700000,52700000,139500000,139500000,161300000,201900000,195500000,502700000,9474500000,1.3606e+10,-4131500000,1811500000,1378700000,1.1286e+10,11788700000,390300000,244800000,64900000,168200000,37700000,130500000,1836500000,3.495e+09,2851700000,182500000,1298800000,1370400000,6346700000,8183200000,1118600000,2515600000,3605500000,3605500000,11788700000,52700000,98700000,-2.5e+07,-1066600000,-940200000,-158400000,-158400000,-158400000,-1.59e+08,1183100000,-3300000,1098100000,-1100000,-1100000,-1100000,147300000,4.773e+09,-1067100000,0.17405,0.0298,0.03232,0.01462,0.00447,-20.24858,0.27373,2.26964,0.40488,0.26337,0.26337,8.14893,18.01849,-5.33283,0.01197,-0.09502
"46","2021_Q3",32.2884375,"Up",577400000,-2e+08,377400000,-247900000,-206451965.229302,-102900000,-1.45e+08,129500000,-8100000,-39900000,-39900000,-1700000,121400000,1600000,1.23e+08,-10100000,112900000,112900000,112900000,112900000,173200000,173200000,165100000,146299999,142200000,484599999,9575200000,13763700000,-4188500000,1839700000,1.388e+09,11414900000,11899499999,347200000,189800000,76800000,179600000,56500000,123100000,911300000,4495200000,2852200000,179800000,1217400000,1.455e+09,7347400000,8258700000,1120900000,2547900000,3640800000,3640800000,11899500000,112900000,102900000,-7600000,-35800000.0000002,172400000,-195100000,-195100000,-195100000,-197800000,1.06e+08,-1e+05,25400000.0000001,3.72529029846191e-09,3.72529029846191e-09,3.72529029846191e-09,232400000,4879700000,11600000.0000002,0.65362,0.22428,0.19553,0.03101,0.00949,0.10275,0.53177,2.26838,0.41008,0.56422,0.56422,2.88556,18.1949,0.057970000000001,0.01701,0.00102
"47","2021_Q4",33.17109375,"Up",864400000,-330100000,534300000,-249500000,-309378973.921977,-108600000,-140900000,284800000,-39300000,-39500000,-39500000,2e+05,245500000,43100000,288600000,-36100000,252500000,252500000,252500000,252500000,242300000,242300000,146400000,236800000,236300000,6.27e+08,9695900000,13953200000,-4257300000,1854600000,1375700000,11550500000,12177500000,406700000,243500000,81100000,2.04e+08,82800000,121200000,993900000,4495800000,2872900000,175200000,1251900000,1445800000,7368700000,8362600000,1.123e+09,2718300000,3814900000,3814900000,12177500000,252500000,108600000,2900000,-90300000,273700000,-187100000,-229357280.135789,-229357280.135789,-190100000,-1400000,-1e+05,-82100000,1500000,1500000,1500000,393400000,4.879e+09,152100000,0.61812,0.32948,0.29211,0.06619,0.02073,0.60238,0.63085,2.19209,0.40066,1.26124,1.25998,4.31768,19.05544,0.75974,0.0288,0.01315
"48","2022_Q1",36.2970967741935,"Up",581300000,-250700000,330600000,-249300000,-463100000,-105800000,319600000,81300000,25800000,-39500000,-39500000,-17800000,107100000,296500000,403600000,-84400000,319200000,319200000,319200000,319200000,162300000,162300000,158500000,292800000,290200000,613600000,9832900000,14151800000,-4318900000,1374800000,1254800000,11992800000,12606400000,434600000,2.74e+08,78500000,168100000,52900000,115200000,1089600000,4496400000,2964100000,163027451.898815,1346100000,1.618e+09,7460500000,8550100000,1125800000,2955400000,4056300000,4056300000,12606400000,319200000,105800000,-282100000,37900000,180800000,-237900000,-228130087.359138,-228130087.359138,-202200000,101900000,1e+05,19900000,-1500000,-1500000,-1500000,187100000,4983300000,71500000,0.56873,0.13986,0.54911,0.07869,0.02532,0.224,0.56314,2.10786,0.3953,1.59441,1.59281,2.9036,20.26124,0.35714,0.03343,0.00596
"49","2022_Q2",38.4137096774194,"Up",589300000,-255700000,333600000,-250500000,-676960043.463372,-107400000,-143100000,83100000,-32100000,-40100000,-40100000,8e+06,5.1e+07,283600000,334600000,-55100000,279500000,279500000,279500000,279500000,164600000,164600000,183800000,3.09e+08,3.08e+08,657400000,9971300000,14341300000,-4.37e+09,1397500000,1397500000,12436200000,13093600000,451600000,300900000,68600000,159700000,39900000,119800000,1342800000,4.497e+09,2991100000,148800000,1399800000,1442500000,7488100000,8830900000,1127200000,3152600000,4262700000,4262700000,13093600000,279500000,107400000,-233800000,-94200000,58900000,-220100000,-220100000,-220100000,-220400000,244600000,-8e+05,161500000,0,0,0,190500000,5228500000,-68700000,0.5661,0.14101,0.47429,0.06557,0.02135,-0.2458,0.48957,2.07167,0.39932,1.3961,1.39401,2.94356,21.29221,-0.34316,0.02899,-0.0055
"50","2022_Q3",39.4253125,"Up",803700000,-393300000,410400000,-253800000,-960304104.312093,-111600000,-142200000,156600000,-31600000,-42400000,-42400000,10800000,1.25e+08,-38700000,86300000,-13200000,73100000,73100000,73100000,73100000,249900000,249900000,211500000,1237400000,1234900000,1703700000,1.0118e+10,1.4556e+10,-4.438e+09,634300000,634300000,11134300000,1.2838e+10,4.58e+08,297100000,78800000,242200000,110400000,131800000,2125400000,3547600000,2908100000,129642644.303556,1328600000,1579500000,6455700000,8581100000,1129500000,3143600000,4256900000,4256900000,1.2838e+10,73100000,111600000,-4e+07,-195500000,-50800000,-230700000,-230700000,-230700000,394100000,-256300000,0,-338400000,4900000,4900000,4900000,268200000,4972800000,-144800000,0.51064,0.19485,0.09095,0.01717,0.00569,-1.98085,0.80159,2.01581,0.38735,0.36513,0.36441,4.01449,21.26324,-0.72328,0.01279,-0.01193
